"start","end","text"
"970","4330"," Bonjour chers étudiants, bienvenue en deuxième année et"
"4330","5510"," bon courage pour vos cours."
"6450","9070"," Je me présente, je suis professeur Ubaha, je"
"9070","11890"," serai votre enseignante de physiologie et donc je"
"11890","14890"," commence par ce cours introductif de la discipline."
"15790","17190"," Pour vous mettre un peu dans le vin,"
"17970","19850"," si je vous pose la question suivante. "
"20590","23050"," Pourquoi vous avez choisi de faire médecine ?"
"23610","26910"," La plupart me répondront que c'est essentiellement"
"26910","29550"," pour pouvoir traiter les maladies."
"31570","34450"," Ainsi, si on veut voir cette maladie, on"
"34450","37050"," va la définir comme étant un ensemble d "
"37050","40890","'altérations qui engendre un mauvais fonctionnement de l "
"40890","41490","'organisme."
"44620","48060"," Donc, pour atteindre votre objectif qui est de"
"48060","51320"," traiter la maladie, il faut connaître ses dysfonctionnements. "
"51840","55080"," Et pour connaître ces dysfonctionnements, il faut d "
"55080","57980","'abord connaître quel est le fonctionnement normal."
"57980","61840"," Et il se trouve que la science qui"
"61840","66320"," étudie ce fonctionnement normal des organes est la"
"66320","67000"," physiologie."
"69020","71800"," Ainsi, si on veut définir la physiologie, on"
"71800","74060"," va la définir comme étant la science qui"
"74060","77380"," étudie le fonctionnement des organes, des tissus, des"
"77380","79760"," cellules et même des organites cellulaires. "
"80400","83840"," Et plus précisément, il s'agit de comprendre"
"83840","86720"," comment le corps marche, le rôle de chaque"
"86720","89220"," organe et de ses mécanismes de fonctionnement."
"90260","93060"," Ainsi, la physiologie devient une science de base"
"93060","95660"," en médecine, de même que l'anatomie et"
"95660","96380"," que l'histologie."
"96860","100280"," D'ailleurs, ce sont des disciplines complémentaires, puisque"
"100280","103220"," l'anatomie et l'histologie vont étudier la"
"103220","106960"," structure du corps et la physiologie, elle, va"
"106960","109400"," s'intéresser au fonctionnement de ces structures. "
"109400","113920"," Ceci m'amène à préciser que l'anatomie"
"113920","118380"," et l'histologie seront des prérequis importants pour"
"118380","120560"," aborder vos cours de physiologie."
"121160","124160"," De toute façon, on va avoir des rappels,"
"124600","127060"," mais il vaut mieux que vous cernez vos"
"127060","131240"," prérequis d'anatomie et d'histologie avant de"
"131240","132820"," parler de la physiologie."
"134100","138380"," Donc, les objectifs pédagogiques de l'enseignement de"
"138380","142020"," cette physiologie, c'est de définir les principes"
"142020","145500"," qui régissent les organismes vivants, qui régissent leur"
"145500","147980"," fonctionnement en tant que système intégré. "
"148480","151680"," Et donc, ceci va nous permettre de décrire"
"151680","153080"," les différentes fonctions."
"154100","156720"," Cela va également nous permettre d'appréhender les"
"156720","158100"," paramètres qu'on peut quantifier."
"158100","161440"," Et de là, on va définir les principales"
"161440","165240"," fonctions, les principales techniques d'explorer ces fonctions. "
"166760","170620"," Donc, la physiologie se divise en physiologie 1,"
"170880","172840"," que vous allez avoir au cours du premier"
"172840","175880"," semestre, et en physiologie 2, que vous allez"
"175880","178220"," avoir au cours du deuxième semestre."
"178720","182100"," Pour ma part, j'interviens surtout en physiologie"
"182100","182480"," 1."
"182480","185400"," Donc, le cours de physiologie 1 va comporter"
"185400","188440"," ce cours introductif avec les généralités."
"189260","191120"," On va parler de la part de physiologie"
"191120","194840"," digestive, une part de physiologie cardiovasculaire et la"
"194840","196580"," partie physiologie respiratoire. "
"197120","198610"," Vous aurez plusieurs intervenants."
"199500","202620"," Donc, professeur Htaoui pour la partie physiologie cardiovasculaire,"
"203160","205500"," professeur Bouchentouf et son équipe, et en particulier"
"205500","209320"," professeur Boudjeloun pour la physiologie respiratoire et moi "
"209320","211480","-même pour la physiologie digestive."
"212260","215500"," Le cours se divise en 14 heures pour"
"215500","218740"," la digestive, 14 heures pour la cardiovasculaire et"
"218740","221200"," 10 heures de cours magistral pour la respiratoire. "
"221660","224180"," Vous aurez également des travaux dirigés et pratiques."
"224660","228320"," L'évaluation va se faire essentiellement sous un"
"228320","229400"," mode QCM."
"231120","233640"," Donc, pour ma part, la physiologie digestive, on"
"233640","236640"," va essayer d'appréhender le fonctionnement de l "
"236640","240560","'appareil digestive en suivant le cheminement de l "
"240560","241260","'alimentation. "
"241560","244000"," Donc, on va parler d'une phase buccale"
"244000","245920"," et d'une oesophagienne."
"246400","247920"," A la suite, on va parler de la"
"247920","250440"," phase gastrique avec ses différents temps, aussi bien"
"250440","255500"," moteur que sécrétoire, pour aborder les phases intestinales,"
"255579","258660"," donc la phase diodénale et la phase guérillique"
"258660","261660"," et la phase colique, avant de parler de"
"261660","264160"," la partie terminale du tube digestive et donc"
"264160","265540"," de la phase de défecation."
"265540","267680"," Il y aura également un cours qui va"
"267680","273200"," s'intéresser à la physiologie hépatique pour clore"
"273200","276440"," toute cette partie physiologie digestive. "
"277480","282140"," Pour la physiologie cardiovasculaire, vous aurez différents intitulés"
"282140","285340"," en commençant par l'électrophysiologie du cœur, l "
"285340","288300","'hémodynamique, le contrôle de l'activité cardiaque, le"
"288300","288700"," débit."
"288700","291640"," Vous aurez également une partie sur la circulation,"
"292080","295480"," aussi bien les généralités, la circulation artérielle, la"
"295480","299360"," circulation veineuse, et vous aurez à la fin"
"299360","303820"," des explorations qui seront probablement abordées au cours"
"303820","306780"," des TD, et donc l'électrocardiogramme, la pression"
"306780","308420"," artérielle et les preuves de force."
"308940","313500"," Pour la physiologie respiratoire, là aussi, les chapitres"
"313500","316360"," vont traiter de la mécanique ventilatoire, les transports"
"316360","319720"," des gaz, la physiologie de la bronchomotricité, les"
"319720","323700"," échanges gazeux, la régulation de la ventilation, et"
"323700","327860"," vous aurez les explorations fonctionnelles respiratoires, en particulier"
"327860","331440"," la spirométrie, qui là aussi sera probablement abordée"
"331440","334000"," au cours des TD de physiologie respiratoire. "
