"start","end","text"
"520","4100"," Bonjour chers étudiants, nous allons commencer la partie"
"4100","7480"," Physiologie Digestive à proprement dit par ce premier"
"7480","11460"," chapitre qui concerne les généralités de la Physiologie"
"11460","12120"," Digestive."
"12600","17140"," Ce chapitre généralité, vous aurez besoin de ces"
"17140","19720"," connaissances tout au long de notre cours de"
"19720","20360"," Physiologie."
"21560","25820"," Les objectifs pédagogiques de cette Physiologie, de cette"
"25820","28760"," partie généralité, c'est tout d'abord d "
"28760","32760","'être capable de reconnaître les différentes fonctions assurées"
"32760","34040"," par l'appareil digestif. "
"34540","37220"," Il faut être capable de décrire l'organisation"
"37220","40300"," anatomo-histologique à l'origine de ces fonctions."
"41060","44720"," Et le troisième objectif pédagogique est de décrire"
"44720","48260"," les systèmes de communication entre les différentes parties"
"48260","50040"," du tube digestif."
"51220","56080"," Donc si on veut redire ces objectifs pédagogiques"
"56080","58520"," d'une façon un peu plus différente, c "
"58520","61980","'est répondre à ces trois principales questions. "
"62560","65960"," Quelles sont les fonctions du tube digestif ?"
"65960","69160"," Par quels moyens cet appareil digestif assure-t "
"69160","70440","-il ses fonctions ?"
"70440","74820"," Et comment ces fonctions sont-elles réalisées ?"
"74820","78840"," Donc pour vivre, tout être humain a des"
"78840","82020"," besoins diversifiés et parmi ces besoins, il y"
"82020","84840"," a certains besoins qui sont des besoins élémentaires."
"85240","89200"," Ces besoins élémentaires sont des besoins indispensables à"
"89200","92700"," la vie et qui sont appelés également besoins"
"92700","94040"," physiologiques."
"94360","100500"," Or, donc, ces besoins élémentaires ou besoins indispensables"
"100500","104240"," à la vie sont essentiellement des besoins énergétiques"
"104240","105100"," et plastiques. "
"105560","108320"," Et donc, pour survivre, l'être humain doit"
"108320","112860"," satisfaire ses besoins énergétiques et plastiques et il"
"112860","116060"," se trouve que l'appareil digestif fournit ces"
"116060","119320"," substances qui sont nécessaires à satisfaire ses besoins."
"120360","122940"," Et c'est la principale fonction de notre"
"122940","126980"," appareil digestif qui communément est appelée digestion."
"127840","131380"," Donc la digestion est l'ensemble des transformations"
"131380","135180"," qui sont aussi bien d'ordre mécanique que"
"135180","137820"," chimique, que va subir les aliments qu'on"
"137820","140300"," va trouver dans la nature et qu'on"
"140300","144980"," va les transformer en des substances assimilables par"
"144980","148260"," les cellules, parce que la forme sous laquelle"
"148260","151360"," existent ces aliments dans la nature n'est"
"151360","156680"," pas forcément assimilable et utilisable par nos cellules. "
"157140","160080"," Et donc, cette digestion, c'est l'ensemble"
"160080","164300"," des transformations qui va modifier ces aliments sous"
"164300","168020"," la forme présente dans la nature, en une"
"168020","171640"," forme qui est utilisable par nos cellules et"
"171640","174560"," qui va donc les transformer en nutriments."
"176640","180660"," Si on dissocie cette fonction de transformation des"
"180660","183780"," nutriments, on va en fait s'apercevoir que"
"183780","187220"," le tube digestive assure plusieurs fonctions, au moins"
"187220","187660"," cinq."
"188160","190740"," D'abord une fonction de motricité, qui va"
"190740","193940"," assurer la propagation des aliments le long du"
"193940","197820"," tube digestif, elle va également assurer leur fragmentation"
"197820","202700"," par la force de la motricité, donc la"
"202700","205240"," transformation mécanique de ces nutriments. "
"206040","209160"," Il y a également la fonction sécrétoire, donc"
"209160","212040"," il y a un ensemble de sécrétions tout"
"212040","214700"," au long de l'appareil digestive qui vont"
"214700","220440"," avoir la fonction de modifier chimiquement ces nutriments."
"221180","224060"," La troisième fonction c'est la digestion à"
"224060","227140"," proprement dit, et là c'est la fonction"
"227140","231240"," qui va permettre à l'appareil digestive de"
"231240","236940"," modifier et de transformer et de digérer les"
"236940","240960"," nutriments, pour que la quatrième fonction, qui est"
"240960","243980"," l'absorption et qui se fait essentiellement au"
"243980","248060"," niveau de l'intestin grain, puisse être assurée."
"248500","251460"," Bien sûr ces nutriments et ces aliments qui"
"251460","254760"," viennent du milieu extérieur font que ce qui"
"254760","258040"," se trouve à l'intérieur du tube digestive,"
"258500","262560"," c'est une interface entre le milieu interne"
"262560","265260"," et le milieu externe, et du coup il"
"265260","268340"," faut se protéger à travers cette interface. "
"268640","270260"," Il faut qu'il y ait une barrière"
"270260","277240"," sélective qui empêche les substances non désirées de"
"277240","280940"," traverser cette barrière, et par conséquent l'appareil"
"280940","286520"," digestive assure également une fonction immunitaire, puisque c "
"286520","289260","'est une surface d'échange considérable qui va"
"289260","293720"," séparer le milieu interne et le milieu externe"
"293720","296060"," qui lui est riche en antigènes."
"299000","300680"," Comme je vous ai dit au cours du"
"300680","303660"," cours introductif, on aura besoin de nos connaissances"
"303660","304480"," en anatomie."
"304860","308840"," D'une façon générale, l'appareil digestive commence"
"308840","311040"," au niveau de la cavité buccale et il"
"311040","313020"," se termine au niveau de la marginale. "
"313640","317980"," Il est constitué du tube digestif, donc l "
"317980","322700","'osophage, l'estomac, l'intestin grêle, le colon"
"322700","325480"," et le rectum avec le canal anal, avec"
"325480","328980"," en plus de ce tube digestif, les glandes"
"328980","332440"," annexes au tube digestif qui sont essentiellement représentées"
"332440","335960"," par le foie et par le pancréas qui"
"335960","339760"," déversent leurs produits de sécrétion au niveau du"
"339760","340960"," deuxième duodenum."
"341460","345320"," Bien sûr, les différentes parties du tube digestif"
"345320","348380"," ont des formes différentes et ces formes du"
"348380","352920"," tube digestif sont essentiellement dictées par la fonction"
"352920","356780"," qui sera exercée au niveau de ces parties"
"356780","359380"," et qui sera exigée de ces parties."
"359900","362060"," Donc quand on parle de l'osophage, c "
"362060","364940","'est le tube qui va juste emmener les"
"364940","367420"," nutriments, les aliments de la bouche à l "
"367420","367780","'estomac. "
"367980","369680"," Ce qui fait, c'est un tube qui"
"369680","372360"," est de 2 cm de diamètre, c'est"
"372360","375400"," une paroi musculo-membraneuse et qui va s "
"375400","378540","'étendre de façon directe de la cavité buccale"
"378540","379560"," jusqu'à l'estomac."
"379600","382100"," Par contre, la fonction qu'on demande de"
"382100","384700"," l'estomac, c'est une fonction de modification"
"384700","387180"," mécanique et chimique, ce qui fait que c "
"387180","389580","'est une forme de poche avec une musculature"
"389580","394480"," plus développée, avec la capacité de jouer le"
"394480","395540"," rôle de réservoir."
"395840","399200"," Du coup, la fonction c'est elle qui"
"399200","401940"," dicte la forme que va prendre les différentes"
"401940","406180"," parties de notre appareil digestive et on va"
"406180","409440"," voir ça au fur et à mesure des"
"409440","411920"," chapitres qui vont traiter du fonctionnement de telle"
"411920","414460"," ou telle partie dans notre appareil digestive. "
"418060","422180"," Donc chaque partie va exercer une fonction différente"
"422180","424840"," mais le plus important c'est que c "
"424840","427020","'est un fonctionnement qui va se faire de"
"427020","431040"," façon intégrée, de façon coordonnée et de façon"
"431040","431820"," liée."
"432240","434560"," Donc il faut que les aliments traversent l "
"434560","436460","'estomac pour que l'action au niveau de"
"436460","438860"," l'intestin grêle soit la plus efficace et"
"438860","440920"," il faut qu'ils traversent l'intestin grêle"
"440920","443860"," pour que les différentes modifications, aussi bien d "
"443860","445260","'un point de vue chimique que d'un"
"445260","447860"," point de vue mécanique, permettent à la partie"
"447860","449860"," suivante, c'est-à-dire au colon, d "
"449860","451340","'avoir une action optimale."
"451700","454340"," Donc c'est des actions qui sont liées,"
"454620","457780"," qui sont coordonnées et qui sont intégrées et"
"457780","461200"," qui vont se faire selon un cheminement et"
"461200","465000"," une organisation qui est bien orchestré, ce qui"
"465000","468180"," va nous permettre de définir les modes de"
"468180","471500"," communication entre ces différentes parties du tube digestif"
"471500","475200"," et qui va également nous permettre d'étudier"
"475200","479800"," comment cette régulation va se faire pour avoir"
"479800","484700"," une fonction la plus adéquate et la plus"
"484700","485820"," optimisée possible. "
"486840","490040"," Donc pour assurer ces fonctions, le tube digestif"
"490040","492960"," a une structure histologique particulière."
"493380","495180"," Il y aura des variations en fonction de"
"495180","496840"," la partie, comme j'ai dit au départ,"
"497240","498620"," mais de façon générale."
"498960","502400"," La paroi du tube digestif est constituée de"
"502400","505640"," cinq couches qui vont de l'intérieur vers"
"505640","509320"," l'extérieur, être constituées tout d'abord d "
"509320","512020","'une muqueuse, constituée d'un épithélium qui va"
"512020","516080"," avoir une structure et une composition cellulaire variable"
"516080","519600"," en fonction de la partie étudiée et en"
"519600","522740"," fonction de la fonction qui sera exercée par"
"522740","523500"," cette partie. "
"524640","528780"," Il y aura une sous-muqueuse qui elle"
"528780","531880"," va être constituée essentiellement d'un chorion."
"532220","534980"," Il y aura une musculeuse constituée de deux"
"534980","539780"," ou trois couches musculaires dont l'épaisseur sera"
"539780","543840"," différente en fonction de la partie étudiée."
"544140","546140"," Il y aura à la fin une serreuse. "
"546680","548600"," Donc ça c'est la structure de base"
"548600","550660"," mais il y aura des modifications et des"
"550660","553980"," particularités en fonction de chaque partie qu'on"
"553980","555640"," étudiera au fur et à mesure."
"556720","560500"," Les différentes fonctions de l'appareil digestif sont"
"560500","565000"," également assurées grâce à une circulation particulière qui"
"565000","566640"," est la circulation splanchnique."
"567020","570460"," Cette circulation splanchnique fait que tout le sang"
"570460","577820"," béneux qui a été collecté du tube digestif"
"577820","583160"," va obligatoirement passer via le foie avant d "
"583160","584320","'être acheminé au cœur. "
"584920","588360"," Cette particularité fait que ce son qui lui"
"588360","591780"," est riche en nutriments, avant d'arriver au"
