"start","end","text"
"5380","11860"," Chers étudiants, nous reprenons cette année la rentrée"
"11860","14260"," universitaire 2020-2021."
"15660","17420"," Je vous souhaite la bienvenue."
"19400","23540"," En ces circonstances difficiles où nous faisons le"
"23540","26420"," cours à distance, c'est à Allah, Al "
"26420","29260","-Zawajal, à nous renfermer à l'événement, à"
"29260","30320"," la humanité en général. "
"31740","36300"," Et donc, on fera notre cours de physiologie"
"36300","39620"," cardiovasculaire en deux parties."
"40120","43120"," Une partie réservée à la physiologie cardiaque et"
"43120","46420"," une autre à la physiologie vasculaire pure."
"48380","50660"," Et ces deux parts sont en gros à"
"50660","53540"," part égale dans le volume horaire de la"
"53540","54780"," physiologie cardiovasculaire. "
"55880","60380"," En espérant par la suite et en priant"
"60380","66060"," pour qu'on puisse faire le plus tôt"
"66060","71460"," possible des cours en présentiel pour pouvoir entamer"
"71460","76260"," la partie pratique ou alors à distance toujours"
"76260","79540"," à travers la plateforme Teams pour faire des"
"79540","80400"," cours interactifs."
"83040","86480"," Alors pour le cours du cycle cardiaque qui"
"86480","91680"," permet de démarrer la physiologie cardiaque, il faut"
"91680","97160"," savoir qu'on aura comme objectif essentiellement la"
"97160","102220"," compréhension des différents événements mécaniques, bien sûr, qui"
"102220","104100"," se succèdent au cours du cycle cardiaque."
"104100","108000"," Ces événements, on va par la suite les"
"108000","113660"," coupler aux événements électriques pour pouvoir décrire dans"
"113660","117220"," un troisième cours, ce qu'on va appeler"
"117220","121560"," cette année l'étude de la performance cardiaque,"
"121800","123720"," qu'elle soit systolique ou diastolique. "
"124560","128880"," Ce qui va en quelque sorte remplacer le"
"128880","131820"," cours du DB cardiaque qu'on faisait les"
"131820","134220"," années précédentes, mais qui va l'englober, bien"
"134220","134400"," sûr."
"136960","139820"," Et on va insister dans le cours du"
"139820","143320"," cycle cardiaque sur la représentation de la fonction"
"143320","146560"," cardiaque sous forme de cours de pression volume"
"146560","151580"," et sous forme de diagrammes qu'on va"
"151580","155020"," par la suite essayer de décrire."
"155120","158240"," Je vous demanderai bien sûr de pouvoir reprendre"
"158240","162480"," en détails ce qui permettrait à la fois"
"162480","167020"," une synthèse et un modèle de meilleure compréhension"
"167020","169000"," et assimilation. "
"172060","174680"," Voilà à quoi je faisais allusion."
"174980","176500"," C'est au diagramme de Wieger."
"177100","180520"," Wieger, c'est le scientifique qui a décrit,"
"180980","184080"," il y a maintenant 100 ans, le cycle"
"184080","188140"," cardiaque sous cette forme-là, dans laquelle vous"
"188140","190260"," voyez représenter beaucoup de choses. "
"192440","196120"," Sur l'axe du temps, on voit le"
"196120","199300"," changement des cours de pression de différentes cavités,"
"199500","202720"," qu'elles soient auriculaires, ventriculaires ou artérielles."
"203540","206700"," Et en bas, vous voyez représenter l'activité"
"206700","210300"," électrique, l'enregistrement des bruits du cœur par"
"210300","211680"," le phonocardiogramme."
"211680","216580"," Tout ça sera fait à la fin du"
"216580","218000"," cours sous forme de synthèse. "
"218880","224700"," Vous voyez la référence dans une revue récente,"
"225560","232140"," la revue Advanced Physiology Education, de laquelle j "
"232140","234820","'ai pris ce modèle."
"235580","237820"," Ce modèle, c'est exactement le même diagramme"
"237820","239060"," de Wieger qu'on a vu tout à"
"239060","240700"," l'heure, mais avec un peu plus de"
"240700","246180"," précision, notamment dans la représentation de la courbe"
"246180","250680"," de pression auriculaire, qu'on étudiera bien sûr"
"250680","255140"," avec les différents détails, que j'essaierai de"
"255140","260000"," vous représenter de façon réelle à travers un"
"260000","268460"," enregistrement échographique que je souhaite vous présenter au"
"268460","270820"," moins au cours des séances interactives."
"272600","275740"," Ça, c'est une courbe complémentaire des courbes"
"275740","276860"," de pression qu'on a vues tout à"
"276860","278260"," l'heure et qui représente la courbe de"
"278260","282100"," volume et son changement au cours du cycle"
"282100","282760"," cardiaque. "
"283840","288420"," Et là, on s'attachera ensemble à étudier"
"288420","293800"," ce tableau qui est, comme j'ai dit,"
"293920","299060"," tiré de cette revue publiée en 2020 et"
"299060","301960"," qui, à mon sens, très intéressant sur le"
"301960","307620"," plan éducatif, permettrait de faire, encore une fois,"
"307820","312160"," à côté du diagramme de Wieger, de montrer"
"312160","316460"," de façon schématique les modifications à la fois"
"316460","319360"," des pressions et des volumes dans les différentes"
"319360","320400"," cavités cardiaques."
"320400","323160"," Là, c'est représenté les cavités droites et"
"323160","330800"," on fera les cavités gauches, ce qui nous"
"330800","337060"," permettrait de comprendre de façon synthétique tout ce"
"337060","340560"," dont on va parler dans le cours du"
"340560","341380"," cycle cardiaque."
"345010","347150"," Donc ça, on le laissera vraiment à la"
"347150","347350"," fin. "
"349210","353030"," Bien, démarrons par quelques rappels anatomiques qui constituent,"
"353130","355430"," bien sûr, le prérequis dont vous aurez besoin"
"355430","356350"," pour..."
"359470","362790"," Alors, bien sûr, le cœur, c'est un"
"362790","364770"," organe vital."
"365490","367770"," Il pèse aux alentours de 300 grammes chez"
"367770","372630"," l'adulte et donc il subira en pathologie"
"372630","376430"," des modifications de son poids qui seront expliquées"
"376430","378770"," par des modifications, que ce soit de son"
"378770","381510"," volume ou de l'épaisseur de ses parois."
"385730","389250"," Cet organe subit des contractions périodiques. "
"389510","390170"," C'est ce qui est à l'origine"
"390170","391490"," du cycle cardiaque."
"392610","395110"," De façon automatique, c'est ce qui va"
"395110","399110"," nous renvoyer vers le cours de l'activité"
"399110","402550"," électrique qu'on fera en deuxième lieu."
"404410","406970"," Et la résultante, c'est qu'il permet"
"406970","410010"," de circuler le sang, de faire circuler le"
"410010","413750"," sang à travers des valves unidirectionnelles dont l "
"413750","419650","'importance va être primordiale dans la compréhension. "
"420510","424350"," Je vais réserver une partie importante à l "
"424350","426570","'étude des valves cardiaques et leur rôle dans"
"426570","430770"," le bon fonctionnement du travail cardiaque."
"431290","434570"," Et puis, qui dit circuler, dit qu'on"
"434570","438230"," aura deux types de circulation, une grande et"
"438230","441390"," une petite, anciennement appelées grandes et petites, mais"
"441390","445410"," qu'on appellera par la suite la circulation"
"445410","447290"," systémique et la circulation pulmonaire."
"448770","450710"," Et bien sûr, comme vous le savez, quatre"
"450710","453710"," cavités sont disposées en série avec des lits"
"453710","457730"," vasculaires, ce qui suppose un travail entre ces"
"457730","461630"," différentes cavités qui doit être harmonieux, synchrone. "
"461890","465230"," Et on parlera de décalage de phase entre"
"465230","467510"," le travail des oreillettes et le travail des"
"467510","468150"," ventricules."
"468150","470870"," Et puis on parlera aussi, puisque ces cavités"
"470870","476630"," doivent travailler avec les lits vasculaires, on parlera"
"476630","478130"," aussi de ce qu'on appelle les courbes"
"478130","481470"," de pression volume dans un cours prochain."
"483190","487510"," Puis le cœur, en fait, c'est un"
"487510","490650"," muscle strié, qui est le myocarde, mais qui"
"490650","493090"," est très particulier et différent des muscles striés"
"493090","496210"," par le fait que, histologiquement, ces fibres sont"
"496210","499150"," ramifiées, sont reliées entre eux de façon les"
"499150","503770"," unes aux autres avec des disques intercalaires et"
"503770","507370"," avec un sarcoplasme très riche en mitochondrie, en"
"507370","508250"," raison capillaire. "
"508250","512730"," On parle d'un véritable syncytium fonctionnel, donc"
"512730","514650"," c'est ce qui nous ramènera par la"
"514650","518330"," suite à l'étude des particularités du métabolisme"
"518330","519390"," cardiaque."
"520789","526690"," Et enfin, le cœur, de façon synthétique, réalise"
"526690","529970"," un travail mécanique qu'on appellera l'hémodynamie"
"529970","533430"," cardiaque, mais aussi un travail électrique qu'on"
"533430","537510"," appellera l'électrophysiologie cardiaque, mais il a aussi"
"537510","541230"," un rôle endocrinien, ce qu'on va réserver"
"541230","543330"," à la fin du cours, à la partie"
"543330","545430"," régulation de la pression artérique."
"546290","549330"," Voilà, de façon schématique, le cœur à l "
"549330","555410","'intérieur des différents organes du corps, dans lequel"
"555410","558730"," le sang circule de façon unidirectionnelle, c'est"
"558730","560950"," important, donc il n'a jamais le droit"
"560950","566110"," de circuler à contre courant, et qui va"
"566110","571270"," permettre une circulation systémique et puis une circulation"
"571270","574990"," pulmonaire, et aussi vous retenez de ce schéma"
"574990","578890"," que le seul organe qui reçoit la totalité"
"578890","581910"," du bibi cardiaque est le poumon. "
"584070","587270"," Alors, ce rappel, c'est simplement pour vous"
"587270","590570"," montrer ou pour situer les valves cardiaques à"
"590570","593810"," l'intérieur des différentes cavités cardiaques, les valves"
"593810","596310"," gauches qui sont la valve mitrale et la"
"596310","605170"," valve aortique, et les valves droites qui sont"
"605170","607790"," la valve tricuspide et la valve pulmonaire."
"609610","615050"," Et sur ce schéma-là, je vous montre"
"615050","618530"," de l'intérieur du cœur les différentes valves,"
"618610","624670"," qu'il soit la valve mitrale ou tricuspide,"
"625410","630950"," qui ont une composition particulière différente des valves"
"630950","639290"," pulmonaires et aortiques, dans le sens que les"
"639290","642070"," valves mitrales et tricuspides ont ce qu'on"
"642070","645250"," appelle un appareil sous-valvulaire composé de cordages"
"645250","648550"," et de piliers, et par contre les valves"
"648550","652710"," aortiques et pulmonaires ont une forme comme ça,"
"652870","655510"," en hamac, qu'on appelle un sigmoïde en"
"655510","658550"," hamac, et qui sont rattachées un peu plus"
"658550","662950"," haut sur les anneaux, ce qui leur permet,"
"663670","666010"," quand ils se rabattent les unes sur les"
"666010","667870"," autres, de se fermer."
"668610","672490"," Alors, ça va de soi de rappeler que"
"672490","675030"," l'appareil sous-valvulaire fait de cordages et"
"675030","677370"," de piliers n'est pas là pour ouvrir"
"677370","681050"," les valves, mais plutôt pour les soutenir et"
"681050","683670"," éviter qu'ils s'éversent dans les oreillettes. "
"685950","689450"," Par contre, la structure des valves aortiques et"
"689450","692470"," pulmonaires est différente, et ils n'ont pas"
"692470","695490"," besoin de cordages, la structure en hamac, en"
"695490","698590"," sigmoïde, leur permet bien sûr de se fermer"
"698590","700850"," sans problème."
"703010","707610"," De là, on va appeler, à partir de"
"707610","712470"," maintenant, les valves mitraléortiques, plutôt les valves auriculo "
"712470","718590","-ventriculaires, et les valves pulmonaires aortiques, plutôt les"
"718590","720770"," valves, on peut les appeler les valves ventriculo "
"720770","725470","-artérielles, ou alors les valves sigmoïdes, compte tenu"
"725470","726710"," de leur forme."
"730870","734410"," Sur ce schéma, vous voyez à droite une"
"734410","737770"," phase du cycle cardiaque, qui, j'espère que"
"737770","743490"," vous l'avez reconnu, c'est l'acystole"
"743490","748310"," ventriculaire, parce que les valves sigmoïdes sont ouvertes,"
"748390","750670"," alors que les valves auriculo-ventriculaires sont fermées. "
"751690","755110"," Notez la structure qui est juste autour des"
"755110","757670"," valves, vous la voyez partout, et vous la"
"757670","760970"," voyez plus clairement autour des valves auriculo-ventriculaires."
"760970","763710"," La structure qui n'est pas musculaire, qui"
"763710","769290"," est plutôt cartilagineuse, c'est les anneaux, et"
"769290","772890"," ces anneaux vont jouer un rôle important dans"
"772890","778890"," l'isolement des cavités ventriculaires, leur séparation des"
"778890","782290"," cavités, et leur séparation des cavités auriculaires, on"
"782290","785690"," verra leur importance quand on abordera l'activité"
"785690","786550"," électrique du cœur."
"786550","789690"," Pour l'instant, c'est le siège sur"
"789690","791930"," lequel s'attachent les valves. "
"791930","795350"," Alors, ils jouent un rôle dans le fonctionnement"
"795350","798290"," des valves, dans la mesure où ces anneaux,"
"798810","801730"," si par hasard il arrive, pour une raison"
"801730","805690"," pathologique, qu'ils se dilatent, ils vont tirer"
"805690","811190"," sur les parties qui constituent les valves, qu "
"811190","812810","'on appellerait les valvules."
"812810","818510"," Vous voyez, la valve tricuspide a trois valvules,"
"818590","821450"," la valve mitrale a deux valvules, vous voyez"
"821450","825650"," clairement que si l'anneau se dilate, elle"
"825650","829230"," va tirer vers lui une des valvules, et"
"829230","831930"," donc la valve, par exemple ici sur la"
"831930","835970"," valve mitrale, la petite valve va s'éloigner"
"835970","839230"," de la grande valve, et ça va empêcher"
"839230","842450"," une fermeture étanche de la valve."
"842810","845410"," Donc, ça va permettre au sang de circuler"
"845410","847710"," à contre-courant, chose qu'on a vu,"
"848190","850770"," qui ne doit jamais arriver, donc ça va"
"850770","854590"," créer un dysfonctionnement dans la circulation du sang"
"854590","857490"," dans le cœur, et donc c'est un"
"857490","859430"," des rôles importants des anneaux. "
"860070","864210"," Et en fait, tout l'appareil valvulaire constitué"
"864210","866690"," des valvules, de l'anneau, des cordages et"
"866690","870450"," des piliers, joue un rôle important dans le"
"870450","872190"," bon fonctionnement des valves cardiaques."
"873750","877030"," Donc, le rôle des valves cardiaques, en synthèse,"
"877770","885650"," sont indispensables au bon fonctionnement de l'activité"
"885650","892410"," du cœur, schématiquement, au moins en faisant deux"
"892410","892770"," choses."
