"start","end","text"
"780","2640"," Bonjour, donc j'ai l'honneur de vous"
"2640","4980"," présenter aujourd'hui ce cours intitulé « Les"
"4980","6240"," états de choc »."
"7610","10030"," Les objectifs de ce cours sont de reconnaître"
"10030","11950"," un état de choc, de comprendre les mécanismes"
"11950","16250"," physiopathologiques, de reconnaître les différents états de choc"
"16250","19710"," ainsi que les principes diagnostiques et les modalités"
"19710","20450"," thérapeutiques."
"22190","24010"," Comme vous le savez, donc, il s'agit"
"24010","26790"," d'une insuffisance de perfusion tissulaire qui entraîne"
"27270","29970"," une anoxie cellulaire avec déviation à l'aérobie"
"29970","33270"," du métabolisme, avec un défaut de stockage d "
"33270","36110","'ATP nécessaire au fonctionnement cellulaire qui va aboutir"
"36110","41110"," à une acidose laxique, avec comme conséquence une"
"41110","46490"," lactatémie supérieure ou égale à 2,5 millimoles"
"46490","47550"," par litre."
"49290","51390"," La définition d'un état de choc, c "
"51390","54930","'est la survenue d'une hypotension inférieure à"
"54930","57110"," 90 mmHg ou une baisse d'au moins"
"57110","59470"," 30% de la pression artérielle chez un"
"59470","63050"," hypertendu connu, avec une redistribution de la perfusion"
"63050","67150"," aux différents organes qui va entraîner une défaillance"
"67150","68130"," multiviscérale. "
"69190","74590"," Ce schéma illustre le métabolisme à aérobie avec"
"74590","76990"," un stockage d'énergie, comme vous le voyez,"
"77230","80510"," donc, l'aboutissement du glucose à l'acide"
"80510","83570"," purifique et puis à l'acide lactique et"
"83570","86110"," vice-versa, donc l'acide lactique peut donner"
"86110","86990"," l'acide purifique."
"87810","89770"," Et dans les états de choc, on a"
"89770","93750"," une déviation du métabolisme à aérobie avec comme"
"93750","97250"," conséquence un défaut de production d'ATP et"
"97250","103830"," comme conséquence une acidose lactique, excès de production"
"103830","104770"," lactique."
"105370","107930"," Alors, les déterminants de l'oxygénation tissulaire, c "
"107930","109930","'est, comme vous le savez, la délivrance de"
"109930","112350"," l'oxygène de l'environnement, ce fait jusqu "
"112350","114470","'à la mitochondrie, et puis un certain nombre"
"114470","117630"," d'étapes interviennent, la convection, la diffusion au"
"117630","121550"," niveau pulmonaire, son transport au niveau sanguin, puis"
"121550","124270"," sa mise à la disposition des tissus périphériques"
