"start","end","text"
"1160","3900"," Bonjour, le cours d'aujourd'hui est un"
"3900","6460"," cours d'anatomie et il est intitulé l "
"6460","8460","'anatomie de la région cellaire."
"12920","15540"," L'objectif de ce cours est d'abord"
"15540","17780"," de savoir décrire les différentes parois de la"
"17780","22060"," région cellaire, connaître la morphologie du principal constituant"
"22060","25600"," qui est la glande hypophyse, et enfin connaître"
"25600","27260"," les rapports de cette région."
"31479","34020"," Pour ceci, on va adopter le plan suivant. "
"34020","36820"," On va commencer par une introduction, puis par"
"36820","39360"," la suite on va passer à l'anatomie"
"39360","40940"," descriptive du contenant."
"41620","44180"," On va décrire le contenu qui est l "
"44180","48560","'hypophyse, la vascularisation, les différents rapports avec des"
"48560","50780"," voies d'abord chirurgicales, avant de conclure."
"55550","58410"," La loge hypophysaire est une loge qui est"
"58410","60590"," ostéo-fibreuse qui est située au niveau de"
"60590","64370"," la partie moyenne de la base du crâne"
"64370","68310"," sous la loge cérébrale dont elle est séparée"
"68310","69490"," par la durmère. "
"69930","71670"," Son principal constituant, comme on l'a vu,"
"71830","73410"," est la glande hypophyse."
"73930","78090"," Cette question porte un intérêt d'abord fonctionnel"
"78090","81130"," vu que cette hypophyse constitue la plus importante"
"81130","84050"," des glandes endocrines qui est sous le contrôle"
"84050","85070"," de l'hypothalamus."
"85530","88790"," Le deuxième intérêt est anatomique vu ses rapports"
"88790","91090"," importants avec différents éléments de la base du"
"91090","94670"," crâne, notamment le casement optique, le sinus caverneux"
"94670","96150"," et la carotide interne. "
"96490","99470"," Et enfin, un intérêt pratique vu que diverses"
"99470","102510"," pathologies peuvent être vues au niveau de cette"
"102510","105750"," région et qui ont bénéficié du développement et"
"105750","109430"," de l'imagerie et des différentes techniques chirurgicales."
"112330","117190"," On commencera notre anatomie descriptive par l'étude"
"117190","120310"," du contenant qui est la loge hypophysaire."
"120310","123550"," La loge hypophysaire est située dans la selle"
"123550","124070"," thursique. "
"124650","126770"," La selle thursique est médiane."
"127130","129830"," Elle est creusée dans la partie antérieure et"
"129830","132670"," moyenne de l'étage moyen de la base"
"132670","133170"," du crâne."
"133690","134770"," Elle est en paire. "
"135850","140190"," Elle a une forme parallèle pupédique et présente"
"140190","141490"," à décrire six faces."
"142010","145690"," Son principal constituant est la glande hypophyse."
"150350","153010"," La loge hypophysaire est située au niveau de"
"153010","153950"," la selle thursique. "
"153950","156670"," Dans ce diapo, on voit deux schémas."
"156850","159550"," Le premier schéma est une coupe sagittale du"
"159550","164270"," squelette osseux du crâne et de la face"
"164270","164690"," aussi."
"165190","166890"," Et le deuxième schéma, c'est une coupe"
"166890","171850"," axiale, coupe cadavérique. "
"172190","174310"," A partir de ces deux coupes, on voit"
"174310","177230"," que cette selle thursique est creusée dans la"
"177230","181050"," partie antérieure et médiane de l'étage moyen"
"181050","182030"," de la base du crâne."
"182030","186010"," Il est surplombé en haut par le plancher"
"186010","187770"," du troisième ventricule."
"188230","191650"," Sa forme est dite parallèle pupédique et de"
"191650","193890"," ce fait, on lui décrit six faces. "
"194410","199430"," Une face antérieure et une face postérieure qui"
"199430","202340"," sont formées par le squelette osseux."
"203210","206240"," Une face supérieure qui est fibrose."
"207030","209200"," Une face inférieure qui est osseuse. "
"209200","212480"," Et deux faces latéraux."
"213140","216460"," Les dimensions de cette loge hypophysaire sont comme"
"216460","216800"," suite."
"217180","219560"," Sur le plan sagittal, il est de 20"
"219560","220100"," mm. "
"220400","223460"," Sur le plan transversal, il varie entre 16"
"223460","224540"," à 18 mm."
"225080","228340"," Et en verticale, il est de 5 à"
"228340","229080"," 6 mm."
"232870","234930"," Ça, c'est un schéma de la loge"
"234930","238190"," osseuse de la selle thursique en coupe sagittale"
"238190","241310"," qui nous permet de voir les différentes parois"
"241310","245230"," osseuses de cette loge hypophysaire. "
"246790","251190"," Il présente à décrire une face antérieure."
"251950","254750"," Cette face antérieure est oblique en pas et"
"254750","257550"," en arrière et qui présente d'avant en"
"257550","262190"," arrière la gouttière optique où siège le sillon"
"262190","265370"," préchiasmatique qui est juste en arrière du jugon"
"265370","266190"," sphenoidal."
"266190","269770"," Cette gouttière optique s'étend entre les deux"
"269770","273010"," trous optiques et se prolonge latéralement par les"
"273010","275290"," deux apophyses clinoïdes antérieures. "
"276250","278490"," Puis on a la face inférieure qui est"
"278490","281610"," aussi une paroi osseuse et qui correspond au"
"281610","283130"," fond de la selle thursique."
"283630","286790"," Il est concave dans le sens antéro-postérieur"
"286790","291190"," et se continue latéralement par les gouttières carotidiennes."
"291830","294850"," Elle présente à ce niveau deux reliefs transversaux. "
"294850","298710"," Le premier correspond au sillon du sinus corénaire"
"298710","302530"," ou sillon intercaverneux qui relie les deux sinus"
"302530","305290"," caverneux c'est un sinus veineux et à"
"305290","308570"," la crête synostosique qui est renflée latéralement par"
"308570","310890"," les apophyses clinoïdes moyennes."
"313070","318390"," La face postérieure est formée par la lame"
"318390","323650"," quadrilatère du sphenoïde et forme le dorsum scellé"
"323650","326350"," ou le dos de la selle."
"327070","330850"," L'ensemble forme le cluvus avec la partie"
"330850","335010"," antérieure libre et excavée orientée en avant et"
"335010","337490"," en haut et une partie postérieure qui s "
"337490","339930","'unit à l'apophyse basilaire de l'occipital. "
"341010","346170"," Le bord postérieur forme les apophyses clinoïdes postérieures."
"368970","378900"," Sur cette maquette du squelette osseux"
"378900","381320"," de la base du crâne on revient pour"
"381320","386320"," voir cette face inférieure qui est concave et"
"386320","391000"," on voit les deux gouttières de la carotide"
"391000","395500"," interne latéralement en avant vous voyez l'empreinte"
"395500","400040"," du sinus coronaire et très latéralement les apophyses"
"400040","401940"," clinoïdes moyennes."
"401940","406260"," Sur cette coupe là on profite pour parler"
"406260","411420"," aussi des faces latérales donc les faces latérales"
"411420","415060"," sont des faces durmériennes qui unissent l'attente"
"415060","417200"," de l'hypophyse au bord latéraux de la"
"417200","420260"," selle thursique il est constitué principalement par les"
"420260","422900"," parois internes du sinus caverneux et de l "
"422900","424840","'artère carotide interne. "
"425820","429660"," La face supérieure aussi il est durmérienne il"
"429660","432980"," est formé par le diaphragme célère qui a"
"432980","435940"," une membrane épaisse et qui est tendue horizontalement"
"436480","440420"," entre en avant le bord postérieur de la"
"440420","444360"," gouttière optique en arrière par le bord supérieur"
"444360","447680"," de la lame quadrilatère et latéralement par la"
"447680","450700"," petite circonférence de l'attente du cervelet."
"492170","494670"," On passe maintenant à l'étude du contenu"
"494670","495760"," qui est l'hypophyse."
"495760","500520"," L'hypophyse est une glande neuro-endocrine il"
"500520","502980"," est impair, il est situé dans la selle"
"502980","504940"," thursique au niveau de l'étage moyen de"
"504940","506680"," la base du crâne et c'est une"
"506680","509580"," glande qui assure une double fonction une fonction"
"509580","512340"," de sécrétion d'hormones mais aussi une fonction"
"512340","516020"," de stockage il a une forme ovoïde et"
"516020","520000"," il est appendu à la tige pituitaire il"
"520000","523240"," est relié aux différentes parois de la selle"
"523240","528360"," thursique par un tractus fibreux elle est de"
"528360","531060"," couleur grisâtre il a la forme et le"
"531060","533360"," volume d'un pois chiche et il pèse"
"533360","537580"," à peu près 350 mg ses dimensions sont"
"537580","540760"," 58, 30 mm de large, 8 mm de"
"540760","550340"," hauteur et 6 mm d'épaisseur l'hypophyse"
"550340","554260"," est formé par deux parties un lobe antérieur"
"554260","558100"," et un lobe postérieur le lobe antérieur appelé"
"558100","561680"," aussi anti-hypophyse il fait partie de la"
"561680","564640"," glande hypophyse et il a une origine neuro "
"564640","568640","-endocrine il est formé également par un deuxième"
"568640","571000"," lobe c'est le lobe postérieur ou post "
"571000","575140","-hypophyse ou neuro-hypophyse il fait partie également"
"575140","578020"," de la glande hypophysaire il est d'origine"
"578020","581000"," nerveux et il est en relation avec les"
"581000","584680"," noyaux du thalamus la post-hypophyse ou la"
"584680","588260"," neuro-hypophyse assure une fonction de stockage des"
"588260","591880"," hormones neuro-endocrines ces deux parties ne sont"
"591880","594600"," pas homogènes et ils sont différents à la"
"594600","602670"," coupe sur ce schéma, on voit les deux"
"602670","605950"," lobes de l'hypophyse vous voyez très bien"
"605950","609290"," que ces deux lobes ne sont pas homogènes"
"609290","615710"," ils sont différents le lobe antérieur est assez"
"615710","619190"," volumineux il est rouge, il est réuniforme et"
"619190","621870"," il a une concavité postérieure il est formé"
"621870","627290"," essentiellement par un tissu glandulaire appelé anti-hypophyse"
"628370","631910"," par contre, le lobe postérieur est jeunâtre il"
"631910","634790"," est plus petit par rapport au lobe antérieur"
"634790","637330"," et il est compris dans la gouttière du"
"637330","640330"," lobe antérieur et se rattache au plancher du"
"640330","644070"," troisième ventricule par la tige pituitaire il est"
"644070","647150"," formé essentiellement par un tissu nerveux et il"
"647150","658600"," est appelé post-hypophyse ou neuro-hypophyse dans"
"658600","661840"," cette diapo, on voit différentes images de cette"
"661840","665460"," hypophyse d'abord, on a l'hypophyse dans"
"665460","669480"," sa loge hypophysaire c'est une vue antérieure"
"669480","673680"," après écartement du neuroptique et du chiasma optique"
"673680","677800"," de la partie droite on voit le lobe"
"677800","681900"," antérieur de l'hypophyse qui est situé en"
"681900","687760"," plein septurcique entre latéralement les deux sinus caverneux"
"688340","693220"," la deuxième image B c'est une vue"
"693220","697740"," supérieure latéralement, on voit toujours les deux carotides"
"697740","703700"," internes et le nerf optique qui surcroît cette"
"703700","709720"," carotide interne et toujours le lobe antérieur en"
"709720","714080"," avant et le lobe postérieur grisâtre en arrière"
"715040","719680"," et dans les images qui restent on voit"
"719680","724120"," bien cette hypophyse avec ses deux segments le"
"724120","726480"," lobe antérieur, comme vous le voyez dans les"
"726480","729640"," différents schémas qui est rougeâtre et ce lobe"
"729640","732100"," postérieur qui est plus petit, qui est postérieur"
"732100","746090"," et qui est plus ou moins jaunâtre on"
"746090","749130"," passe maintenant pour voir les différents rapports de"
"749130","753730"," la loge hypophysaire et donc, on commencera par"
"753730","756610"," les rapports inférieurs et comme vous voyez sur"
"756610","763210"," cette coupe sagittale la phase inférieure de la"
"763210","766330"," loge hypophysaire il correspond de haut en bas"
"766330","769650"," d'abord au sinus sphenoidal et plus en"
"769650","774050"," bas à la voûte du rhinopharynx la phase"
"774050","777650"," antérieure, il répand d'arrière en avant au"
"777650","781090"," limbus sphenoidal comme on a vu, qui vient"
"781090","784450"," juste en arrière du limbus sphenoidal on a"
"784450","787190"," la gouttière du nerf optique donc plus en"
"787190","791950"," arrière du limbus sphenoidal on a le jugum"
"791950","795930"," sphenoidal puis les gouttières olfactives et enfin la"
"795930","818080"," partie antérieure de l'os frontal les"
"818080","821680"," rapports postérieurs de la loge hypophysaire se font"
"821680","825480"," essentiellement avec le trans cérébral et plus particulièrement"
"825480","828940"," la protubérance annulaire en avant de la protubérance"
"828940","831500"," annulaire, on a le trans basilaire qui va"
"831500","841040"," se diviser en deux artères cérébrales postérieures les"
"841040","845720"," rapports postérieurs correspondent à la région supracélère et"
"845720","848500"," cette partie peut être anatomiquement divisée en deux"
"848500","852380"," régions une région médiane et une région latérale"
"856190","860950"," la région médiane correspond de haut en bas"
"860950","864410"," au chiasma optique qui repose sur le diaphragme"
"864410","869050"," célère avec en dessus la citerne optochiasmatique en"
"869050","872670"," dessus du chiasma optique, on a le losange"
"872670","878870"," octopédonculaire qui correspond au plancher du troisième ventricule"
"880110","884070"," latéralement en dehors du chiasma les rapports se"
"884070","887150"," font essentiellement avec la carotide interne et l "
"887150","932300","'espace perforé antérieur les"
"932300","935800"," rapports latéraux de la loge hypophysaire se font"
"935800","939560"," essentiellement avec la carotide interne et notamment sa"
"939560","945760"," portion horizontale du siphon carotidien se font également"
"945760","950740"," avec les nerfs oculomoteurs notamment le nerf oculomoteur"
"950740","958320"," externe le nerf oculomoteur externe ou la sixième"
"958320","962740"," paire crânienne le nerf oculomoteur commun ou la"
"962740","966740"," troisième paire crânienne le nerf pathétique et le"
"966740","971140"," nerf ophthalmique le 5-1 donc les nerfs"
"971140","975960"," oculomoteurs avec le nerf ophthalmique cheminent dans la"
"975960","978440"," partie toute latérale comme vous voyez dans le"
"978440","982100"," schéma la partie toute latérale du sinus caverneux"
"988140","990780"," on passe maintenant à la vascularisation de l "
"990780","994100","'hypophyse et on commencera par la vascularisation artérielle"
"994100","997760"," la vascularisation artérielle de l'hypophyse il est"
"997760","1002680"," assuré par deux systèmes il est assuré et"
"1002680","1005440"," par les artères hypophysaires qui sont tous issus"
"1005440","1008200"," de l'artère carotide interne mais aussi par"
"1008200","1017660"," le système porte pour les artères"
"1017660","1021560"," hypophysaires on a l'artère hypophysaire supérieure qui"
"1021560","1024460"," va donner les artères infendugulaires et les artères"
"1024460","1029700"," lorales descendantes l'artère hypophysaire moyenne et l "
"1029700","1033180","'artère hypophysaire inférieure qui donne les artères interlobaires"
"1034020","1037680"," toutes ces artères sont richement anastomosées sous la"
"1037680","1041859"," capsule de la glande il faut savoir aussi"
"1041859","1046119"," que les artères lorales sont des artères très"
"1046119","1049660"," très importantes qui peuvent être le siège d "
"1049660","1055060","'un spasme et surtout en postpartum donc en"
"1055060","1057660"," postpartum à la suite d'un choc hémorragique"
"1057660","1060980"," ces artères lorales peuvent être le siège d "
"1060980","1063560","'un spasme et donc ce spasme des artères"
"1063560","1066960"," lorales va donner une écrose aiguë de l "
"1066960","1070580","'hypophyse antérieure qui est appelée le syndrome de"
"1070580","1078560"," Sheehan en plus des artères hypophysaires comme on"
"1078560","1080880"," a dit on a le système porte qui"
"1080880","1084380"," est composé de réseaux capillaires en nombre de"
"1084380","1087140"," deux qui sont réunis par des vaisseaux portes"
"1087140","1091380"," qui cheminent dans le lobe infendubulo-tubéral ils"
"1091380","1095320"," véhiculent essentiellement les hormones épivisaires vers l'adéno "
"1095320","1104790","-hypophyse le retour veineux il est assuré par"
"1104790","1108070"," deux systèmes un système extrinsèque et un système"
"1108070","1111930"," intrinsèque le système extrinsèque va rejoindre le sinus"
"1111930","1115570"," caverneux via les sinus coronaires et le système"
"1115570","1118670"," intrinsèque va suivre la tige pituitaire et va"
"1118670","1121370"," gagner par la suite la veine cérébrale moyenne"
"1121370","1131090"," profonde ici c'est un schéma"
"1131090","1136050"," schématisant le système porte artérielle hypophysaire comme vous"
"1136050","1139910"," voyez qui chemine dans l'infendubulo-tubéral et"
"1139910","1144350"," qui assure essentiellement une fonction de transport des"
"1144350","1158540"," hormones vers l'adéno-hypophyse pour"
"1158540","1162260"," l'inervation de la glande hypophysaire il provient"
"1162260","1164980"," de deux sources une source périphérique et l "
"1164980","1167740","'autre centrale la périphérique c'est via les"
"1167740","1171580"," filets sympathiques du plexus périphérique carotidien mais aussi"
"1171580","1176980"," parasympathique du gonglions phénopalatins et la source centrale"
"1176980","1179640"," via des connexions nerveuses avec les noyaux de"
"1179640","1192820"," l'hypophyse pour"
"1192820","1195100"," les voies d'abord de la région fêlaire"
"1195100","1199220"," on a essentiellement deux voies la voie intracranienne"
"1199220","1204280"," ou transcranienne ou voie classique dans cette voie"
"1204280","1207160"," on a différents types d'abord mais essentiellement"
"1207160","1209980"," c'est par soit un abord souffrantal soit"
"1209980","1213700"," par un abord ptérional centré sur le ptérien"
"1213700","1218320"," et cette voie transcranienne ou voie classique utilise"
"1218320","1221980"," le plus souvent un microscope la deuxième voie"
"1221980","1224620"," c'est la voie transphénoidale c'est à"
"1224620","1230380"," dire une voie par en bas parce que"
"1230380","1232800"," la voie classique ou la voie intracranienne on"
"1232800","1236240"," passe par en haut par en bas c "
"1236240","1238760","'est la voie endoscopique transphénoidale et dans cette"
"1238760","1241000"," voie on a deux types d'abord on"
"1241000","1243980"," a l'abord rhinoceptal et l'abord transnasal"
"1243980","1248820"," l'abord rhinoceptal lui aussi il utilise classiquement"
"1248820","1252420"," un microscope et la voie transnasale c'est"
"1252420","1255260"," une voie qui utilise un neuro-endoscope c "
"1255260","1258340","'est ce qui est schématisé dans l'image"
"1258340","1260740"," et donc cette dernière voie c'est à"
"1260740","1264620"," dire la voie transnasale il est associé à"
"1264620","1268740"," une mortalité qui est très réduite par rapport"
"1268740","1273860"," aux différentes autres voies donc durant cet abord"
"1273860","1278200"," chirurgical il faut savoir que le diaphragme cellaire"
"1278200","1281780"," qui constitue la limite supérieure de la région"
"1281780","1285260"," cellaire peut être touché et s'il est"
"1285260","1287820"," touché le malade va avoir en post-opératoire"
"1287820","1290060"," ce qu'on appelle une fuite du liquide"
"1290060","1299060"," céphalo-rachidien ou une rhinorrhée donc ça c "
"1299060","1301680","'est une image de l'installation per opératoire"
"1302980","1307400"," d'un malade pour une chirurgie hypophysaire par"
"1307400","1313540"," voie endoscopique transnasale et donc vous voyez la"
"1313540","1318320"," tête il est fixé en position transatlantique et"
"1318320","1320140"," des fois comme vous voyez que c'est"
"1320140","1322360"," marqué dans la cuisse donc là c'est"
"1322360","1326460"," pour éventuellement prélever du facialata au cas où"
"1326460","1329660"," on a une ouverture du diaphragme cellaire pour"
"1329660","1334240"," le fermer on peut utiliser une plastique à"
"1334240","1346960"," l'aide de ce facialata ici"
"1346960","1350760"," c'est une IRM en coupe coronale centrée"
"1350760","1353940"," sur la région hypophysaire c'est une IRM"
"1353940","1357540"," en séquence T1 non injectée qui est objective"
"1357540","1360920"," une lésion au niveau de la région cellaire"
"1360920","1363960"," qui est plus latéralisée à droite il est"
"1363960","1369780"," en iso-signal hétérogène qui est plus latéralisé"
"1369780","1372120"," comme j'ai dit à droite et qui"
"1372120","1375000"," est en rapport très probablement avec un adénome"
"1375000","1384630"," hypophysaire ici ce sont deux images"
"1385610","1391150"," opératoires d'une voie endoscopique endonasale utilisant un"
"1391150","1393950"," neuro-endoscope et donc dans la première image"
"1393950","1397710"," on voit le plancher du sinus sphénoidal avant"
"1397710","1400910"," son ouverture et dans l'image suivante vous"
"1400910","1405610"," voyez la petite ouverture du plancher sphénoidal et"
"1405610","1408990"," ce qu'on voit juste juste après c "
"1408990","1415850","'est la durmère cellaire toujours des vues per"
"1415850","1419870"," opératoire de l'exérèse du lésion de la"
"1419870","1423910"," région cellaire notamment un adénome hypophysaire et donc"
"1423910","1428170"," après ouverture de la durmère en général on"
"1428170","1431290"," tombe sur la lésion et sur l'adénome"
"1431290","1434470"," et on commence l'exérèse de cette lésion"
"1434470","1440110"," et la dernière image vous voyez donc après"
"1440110","1445510"," exérèse complète de de la lésion de l "
"1445510","1448690","'adénome hypophysaire et ce que vous voyez au"
"1448690","1450630"," plus haut c'est on commence à voir"
"1450630","1458720"," le diaphragme cellaire donc pour conclure donc l "
"1458720","1464340","'anatomie constitue la base de la compréhension des"
"1464340","1468960"," différentes affections qui vont toucher la région cellaire"
"1468960","1471820"," donc ça va nous permettre de comprendre la"
"1471820","1476680"," symptomatologie clinique et de ce fait assurer une"
"1476680","1480560"," meilleure prise en charge des pathologies hypophysaires et"
"1480560","1481300"," je vous remercie "
