"start","end","text"
"1350","5930"," Bonjour, on enchaîne les cours d'anatomie par"
"5930","9070"," ce cours sur l'anatomie des méninges."
"10010","14450"," Les méninges constituent les enveloppes protectrices et nourricières"
"14450","17110"," du système nerveux central et de ce fait,"
"17350","20890"," ils entourent l'encéphale, la portion intracrânienne des"
"20890","23650"," nerfs crâniens, la moelle spinale et les racines"
"23650","24630"," des nerfs spinaux."
"29290","32610"," L'anatomie des méninges est une question qui"
"32610","33950"," revêt beaucoup d'intérêt. "
"33950","38270"," Premier intérêt est anatomique, vu ses rapports intimes"
"38270","40910"," avec le système nerveux central, les nerfs crâniens"
"40910","42230"," et la racine spinale."
"42930","47230"," Un intérêt physiologique, vu ce rôle protecteur et"
"47230","50110"," nourricier par rapport au système nerveux central."
"51630","55110"," Un intérêt pathologique, vu qu'il peut être"
"55110","63510"," au siège de pathologies diverses, traumatiques, vasculaires, hypertensives,"
"63750","65450"," infectieuses et tumorales. "
"66030","69930"," Et enfin, un intérêt thérapeutique, l'intérêt des"
"69930","73690"," injections intratécales de certains médicaments."
"76230","79390"," Les méninges sont formés par trois feuillets, un"
"79390","84110"," feuillet externe appelé dur mère, qui constitue la"
"84110","89270"," pachyméninge, et deux feuillets internes, l'arachnoïde et"
"89270","92690"," la pyrmère, qui est collée au parenchyme cérébral."
"93150","94630"," Ces deux derniers, c'est-à-dire l "
"94630","97430","'arachnoïde et la pymère, forment les leptoméninges. "
"98610","102510"," Ces différents feuillets vont délimiter entre trois espaces,"
"102950","106430"," un espace extra-dural, entre la dur mère"
"106430","109210"," et la table interne de l'os, un"
"109210","112670"," espace sous-dural, entre la dur mère et"
"112670","116230"," l'arachnoïde, et un espace sous-arachnoïdien, sous"
"116230","116970"," l'arachnoïde."
"118940","121740"," On commencera par l'étude du feuillet le"
"121740","123560"," plus externe, c'est-à-dire la dur"
"123560","124000"," mère."
"125360","131120"," C'est un feuillet superficiel, situé directement en "
"131120","133660","-dedans de l'os, et plus précisément en "
"133660","136560","-dedans de la table interne de l'os. "
"137140","140700"," Sa couleur est blanc-acré, il est épaisse"
"140700","144040"," et résistant, et il va émettre des expansions"
"144040","146120"," qui vont diviser le volume intracrânien."
"146580","149240"," Ces expansions, en fait, sont de deux types."
"149720","152140"," Ce sont les faux, c'est-à-dire"
"152140","154260"," la faux du cerveau et la faux du"
"154260","157160"," cervelet, et les tentes, il en existe deux,"
"157260","159460"," la tente du cervelet et la tente de"
"159460","160300"," l'hypophyse. "
"160800","163760"," Mais ceux qui divisent le volume intracrânien sont"
"163760","166440"," notamment la faux du cerveau, qui va diviser"
"166440","170720"," le cerveau en un hémisphère cérébral droit et"
"170720","173680"," gauche, et la tente du cervelet, qui délimite"
"173680","177200"," deux étages, un étage sustentoriel et un étage"
"177200","180480"," soutentoriel, qui correspond à la fosse cérébrale postérieure."
"182380","184640"," Ce feuillet, ou cette dur mère, a des"
"184640","191520"," particularités, notamment, elle va former des deux doublements,"
"191520","193780"," et au sein de ces deux doublements vont"
"193780","196640"," se trouver les sinus véneux."
"197260","200420"," C'est une membrane qui est résistante et"
"200420","203280"," inextensible, et c'est une membrane qui est"
"203280","205380"," énervée et vascularisée. "
"205940","209260"," La vascularisation artérielle se fait par les artères"
"209260","210020"," méningées."
"211800","214340"," On passe maintenant aux expansions de la dur"
"214340","214600"," mère."
"215380","218600"," On a dit pour les expansions, il existe"
"218600","219220"," deux types. "
"219220","221960"," Il existe les faux durmériennes et les temps"
"221960","222700"," durmériennes."
"223120","227640"," Les faux durmériennes correspondent à des cloisons sagittales"
"227640","230980"," de séparation, et on en retrouve deux, la"
"230980","233560"," faux du cerveau et la faux du cervelet."
"236480","239360"," La faux du cerveau sépare les deux hémisphères"
"239360","240540"," cérébraux. "
"241160","245680"," Comme on voit sur cette vue cadavérique à"
"245680","249460"," gauche, avec une représentation schématique à droite."
"249460","252760"," Dans la représentation schématique, en même temps dans"
"252760","255500"," la vue cadavérique, on voit la faux du"
"255500","257880"," cerveau en haut et la faux du cervelet"
"257880","258620"," en bas."
"259180","261160"," Pour la faux du cerveau, comme on vient"
"261160","263140"," de le dire, elle va séparer les deux"
"263140","267240"," hémisphères cérébraux, et elle présente à décrire un"
"267240","270400"," bord supérieur en rouge, qui correspond à la"
"270400","275140"," gouttière du sinus longitudinal supérieur, un bord inférieur"
"275140","278320"," en jaune, qui correspond à la gouttière du"
"278320","283760"," sinus longitudinal inférieur, un sommet qui correspond à"
"283760","288620"," la crista galli en vert, et une base"
