"start","end","text"
"1029","4450"," Bonjour, le cours d'anatomie du système nerveux"
"4450","6590"," central d'aujourd'hui va porter sur l "
"6590","8370","'anatomie du système ventriculaire."
"11520","14840"," Le système ventriculaire correspond à un ensemble de"
"14840","18560"," cavités, dites aussi cavités épendimères, situées à l "
"18560","21460","'intérieur du cerveau et qui se continuent au"
"21460","23860"," niveau de la moelle spinale avec le canal"
"23860","24200"," épendimère."
"24940","30160"," Ce système ventriculaire comprend 4 ventricules, 3 qui"
"30160","33220"," siègent au niveau de l'étage sustentoriel et"
"33220","35000"," 1 qui siège au niveau de l'étage"
"35000","37620"," soutentoriel au niveau de la fosse cérébrale postérieure. "
"38060","41160"," Et ces ventricules sont les ventricules latéraux qui"
"41160","44420"," communiquent avec le 3ème ventricule par le trou"
"44420","47340"," de monros et puis le 4ème ventricule, ce"
"47340","50080"," 4ème ventricule qui communique avec le 3ème ventricule"
"50080","52940"," via l'acide du solvus et se continue"
"52940","55000"," en bas par le canal de l'épendime."
"55480","58480"," Le 4ème ventricule communique également avec les espaces"
"58480","61460"," sous-arachnoïdien via les trous de mengendis et"
"61460","62700"," de l'ouchka."
"63239","67140"," Le système ventriculaire assure essentiellement la production du"
"67140","71020"," liquide céphalorachidien par le plexus corruïde situé au"
"71020","73620"," centre de ces ventricules mais aussi il permet"
"73620","76140"," la circulation du liquide céphalorachidien. "
"81000","84240"," L'étude du système ventriculaire a un intérêt"
"84240","88800"," anatomique vu le rapport intime du système ventriculaire"
"88800","91200"," avec les noyaux de la base et avec"
"91200","93680"," les structures de la fosse cérébrale postérieure notamment"
"93680","95460"," le tronc cérébral et le cervelet."
"95460","100640"," Un intérêt pathologique vu la fréquence des hydrocéphalies"
"100640","105800"," et pour la compréhension des tumeurs cérébrales notamment"
"105800","111700"," intraventriculaires qui vont entraver la circulation du LCR"
"111700","115600"," mais qui peuvent également aboutir à une hyperproduction"
"115600","120300"," du liquide céphalorachidien mais aussi un intérêt chirurgical"
"120300","123680"," pour comprendre les différentes voies de dérivation du"
"123680","126660"," liquide céphalorachidien par voie externe ou par voie"
"126660","131340"," interne et aussi par voie endoscopique notamment les"
"131340","132640"," ventriculocysternostomies."
"135860","139680"," On commencera notre étude du système ventriculaire par"
"139680","140900"," les ventricules latéraux. "
"141480","144080"," Les ventricules latéraux se présentent sous la forme"
"144080","147460"," de cavités pairs situées dans la profondeur des"
"147460","149920"," hémisphères cérébraux notamment du télencephale."
"150440","153380"," On les divise en cinq parties, les cornes"
"153380","158060"," frontales, occipitales, temporales, le corps et le carrefour."
"161080","163760"," Les ventricules latéraux s'étendent dans les différentes"
"163760","166360"," lobes du cerveau, le lobe frontal, le lobe"
"166360","168480"," temporal et le lobe occipital. "
"171180","176060"," La corne frontale du ventricule latéral ou corne"
"176060","180080"," antérieure est située dans le lobe frontal, délimitée"
