"start","end","text"
"680","1300"," J'ai l'honneur de vous écouter et"
"1300","2520"," de vous voir par la suite."
"3560","6020"," Aujourd'hui, j'ai l'honneur et l "
"6020","8500","'immense plaisir de vous présenter les travaux dirigés"
"8500","10540"," de deuxième année de bactériologie."
"11240","15379"," Nous avons deux séances réduites. "
"15920","18260"," Une première qui consiste à la phase pré "
"18260","21060","-analytique en bactériologie et vous allez comprendre pourquoi,"
"21600","25360"," parce que déjà vous avez vu l'ensemble"
"25360","29740"," des pathologies en relation à tout ce qui"
"29740","31240"," est micro-organismes, bactéries."
"32040","33740"," Vous avez vu aussi au niveau des travaux"
"33740","36920"," pratiques comment on va procéder à la réalisation"
"36920","39200"," des analyses dans un laboratoire de bactériologie."
"39920","42160"," Il reste la phase pré-analytique qu'on"
"42160","43380"," va voir tout de suite. "
"43700","45980"," Si vous avez des questions, n'hésitez pas."
"46140","48040"," J'ai déjà déposé le cours sonorisé sur"
"48040","48980"," la plateforme Théria."
"49820","52080"," Si quelque chose n'est pas clair, vous"
"52080","53140"," pouvez m'arrêter à ce moment. "
"53420","54500"," C'est bon ?"
"67470","70470"," Donc les objectifs pédagogiques de cette séance sont"
"70470","72950"," d'abord, on va traiter les différentes étapes"
"72950","74350"," de cette phase pré-analytique en bactériologie."
"76690","78770"," Vous ne voyez pas la diapo ?"
"91840","100210"," Vous voyez maintenant ?"
"100210","100670"," Parfait."
"101510","103990"," J'ai dit que les objectifs pédagogiques de"
"103990","107450"," cette séance vont surtout se focaliser sur cette"
"107450","108290"," phase pré-analytique. "
"108290","110090"," On va traiter les différentes étapes de cette"
"110090","110370"," phase."
"110890","114630"," On va connaître les informations qui doivent comporter"
"114630","117350"," la prescription médicale d'une analyse bactériologique."
"117810","120230"," On va connaître les conditions nécessaires à respecter"
"120230","122410"," pour l'exécution d'un prélèvement bactériologique. "
"122590","124690"," Et enfin, on va voir les éléments qui"
"124690","129389"," peuvent fausser un résultat bactériologique."
"130690","133970"," L'objectif principal des analyses en bactériologie, c "
"133970","136350","'est d'abord isoler et identifier les micro "
"136350","139510","-organismes pathogènes et bien sûr de mesurer leur"
"139510","141050"," sensibilité aux antibiotiques."
"141230","143350"," Parce que derrière, il y a une antibiotérapie"
"143350","145930"," qui va être démarrée et à la base"
"145930","148670"," de ces résultats, on va pouvoir choisir l "
"148670","153330","'antibiotique ou l'antibiotérapie adéquate à démarrer. "
"153610","155350"," Donc le GBA ou le guide de bonne"
"155350","157290"," exécution des analyses, c'est un guide qui"
"157290","159770"," va détailler la façon et la manière de"
"159770","163070"," procéder au prélèvement et toute analyse de laboratoire."
"163070","165750"," Donc il a défini ces analyses comme un"
"165750","170330"," ensemble d'étapes successives allant du prélèvement de"
"170330","172630"," l'échantillon biologique jusqu'à la remise des"
"172630","173070"," résultats."
"173610","175590"," Donc la qualité de ces résultats, il va"
"175590","177630"," dépendre étroitement des trois phases. "
"177810","180290"," La phase préanalytique qu'on va voir au"
"180290","181230"," cours de cette séance."
"181990","187970"," La phase analytique et la phase post-analytique"
"187970","191210"," qui concerne l'interprétation des résultats."
"191210","195670"," Donc la figure suivante illustre le cheminement de"
"195670","199730"," l'analyse depuis la source, le patient jusqu "
"199730","201330","'à l'interprétation des résultats. "
"201750","203570"," Vous voyez que cette phase préanalytique c'est"
"203570","207090"," une phase critique et elle comporte plusieurs étapes"
"207090","210770"," dont la chronologie est vraiment très importante à"
"210770","213070"," respecter et doit être sans faille et de"
"213070","213730"," bonne qualité."
"214370","217890"," Donc afin de réceptionner au laboratoire un prélèvement"
"217890","221910"," de qualité à analyser et bien sûr qui"
"221910","224950"," va servir par la suite à donner un"
"224950","228690"," rapport de résultats aux cliniciens afin de procéder"
"228690","229190"," au traitement."
"229710","230970"," C'est bon ?"
"234140","237200"," La figure 2 montre les différentes étapes de"
"237200","238420"," cette phase préanalytique. "
"239140","241080"," D'abord la première étape consiste à la"
"241080","245240"," prescription médicale puis toutes les modalités de prélèvement"
"245240","247120"," et comment on va procéder à le prélèvement."
"247580","249740"," Bien sûr le transport de l'échantillon et"
"249740","253320"," sa conservation jusqu'au laboratoire et une fois"
"253320","255940"," arrivé au laboratoire quelles sont les modalités pour"
"255940","259480"," saisir ce prélèvement et commencer à l'analyser"
"259480","260680"," et à le traiter."
"261040","263960"," Donc on va voir ces étapes une par"
"263960","265040"," une en détail. "
"267280","272320"," Donc la prescription médicale c'est un moyen"
"272320","274920"," qui va consister au dialogue entre le biologiste"
"274920","275640"," et le clinicien."
"276780","281560"," Il doit être vraiment écrite dans une ordonnance."
"282720","288020"," A travers cette ordonnance on va pouvoir définir"
"288020","292060"," clairement le nom du prescripteur le destinataire auquel"
"292060","294460"," on va rendre les résultats et il faut"
"294460","298020"," vraiment veiller à vérifier cet élément là. "
"298560","302260"," Puis l'identification univoque du patient et par"
"302260","304680"," la suite le type de spécimen anatomique d "
"304680","307500","'origine, la nature des analyses à prescrite et"
"307500","309500"," s'il y a vraiment un besoin spécifique"
"309500","318100"," de recherche de bactéries particulières le clinicien doit"
"318100","322900"," saisir ces notions là dans la prescription médicale"
"322900","325300"," afin que le biologiste fasse attention."
"325780","328340"," Et bien sûr tous les renseignements cliniques relatifs"
"328340","329180"," au patient."
"329640","332300"," L'âge, la date de naissance, s'il"
"332300","334480"," a passé un six jours dans un pays"
"334480","337300"," endémique ou il peut être colonisé au porteur"
"337300","342680"," d'une bactérie résistante ou facilement transmissible et"
"342680","344120"," bien sûr la date et l'heure de"
"344120","346240"," prélèvement afin de voir est-ce que vraiment"
"346240","348160"," ça rentre dans les normes ou c'est"
"348160","351760"," un échantillon à rejeter. "
"351980","352180"," Voilà."
"352780","358000"," Donc le tableau suivant détaille vraiment ces renseignements"
"358000","360260"," et le rôle et l'intérêt de chaque"
"360260","361540"," renseignement demandé."
"361540","362920"," C'est bon?"
"364420","367600"," Donc les différents types de prélèvements, on a"
"367600","370180"," deux types de prélèvements, des prélèvements à visite"
"370180","373400"," diagnostique et des prélèvements à visite épidémiologique. "
"374260","378460"," Donc on dit pour deux prélèvements d'origine"
"378460","382080"," ou à visite diagnostique, on cherche vraiment tout"
"382080","384540"," ce qui est diagnostic d'une infection, le"
"384540","388180"," diagnostic d'un syndrome infectieux et bien sûr"
"388180","390320"," si on est le choix ou le suivi"
"390320","392560"," d'un traitement anti-infectieux, c'est le"
"392560","393060"," cas normal."
"393720","396900"," Donc les prélèvements à visite épidémiologique, c'est"
"396900","399620"," des prélèvements qui visent l'épidémiologie d'un"
"399620","400620"," patient ou d'un service."
"401280","403620"," Exactement je donne l'exemple de la recherche"
"403620","407740"," des bactéries multirésistantes dans le cas où on"
"407740","410340"," insiste à une infection nosocomiale ou un problème"
"410340","413580"," de dissémination ou de contamination de tous les"
"413580","415140"," patients et c'est des prélèvements qui peuvent"
"415140","417720"," concerner aussi bien l'environnement du patient. "
"419120","421960"," Donc l'exemple, la photo montre un exemple"
"421960","424260"," des prélèvements à visite épidémiologique."
"425220","428660"," L'objectif du prélèvement, d'abord il doit"
"428660","432100"," respecter le processus infectieux ou pathologique de la"
"432100","432700"," zone prélevée."
"433220","435660"," Je ne vais pas recevoir un bon ou"
"435660","438260"," une demande d'analyse de SEB, je reçois"
"438260","440640"," par exemple des coprocultures, donc ce n'est"
"440640","441200"," pas logique. "
"441720","444660"," Donc je dois vraiment que l'échantillon, il"
"444660","448640"," représente le processus infectieux et le prélèvement adéquat."
"449140","452000"," Donc il doit conserver la viabilité des bactéries"
"452000","455180"," pour tout échantillon destiné à la culture et"
"455180","459000"," l'antigénicité pour les examens microscopiques par immunofluorescence."
"459540","463080"," Bien évidemment, si on recherche des molécules telles"
"463080","465700"," que les ADN et les ARN, ce type"
"465700","469560"," de prélèvement, on doit veiller à que ces"
"469560","471020"," molécules soient non dégradées. "
"472980","475600"," Voilà, le temps du prélèvement."
"475760","478040"," Le prélèvement doit être effectué au début du"
"478040","483540"," processus infectieux, avant en général toute administration d "
"483540","486520","'agents antimicrobiens, parce que si on commence un"
"486520","489660"," traitement, l'antibiotique, il va influencer sur la"
"489660","492140"," charge bactérienne qu'on va trouver dans le"
"492140","494040"," prélèvement et à ce moment-là, on ne"
"494040","497620"," va pas vraiment évaluer comme il faut ce"
"497620","498040"," prélèvement."
"498620","502480"," Les répétitions des prélèvements, ils sont nécessaires surtout"
"502480","504580"," lorsqu'on assiste à des charges microbiennes faibles"
"504580","506800"," ou variables dans le temps. "
"507680","511120"," Surtout ce problème dans le cas de recherche"
"511120","513640"," des mycobactéries et dans le cas des septicymes."
"514679","518340"," Le site de prélèvement, le foyer initial, c "
"518340","521059","'est toujours vraiment souhaité."
"521520","524780"," Et après, toutes les localisations secondaires, sinon si"
"524780","526800"," on cherche le prélèvement via les portes d "
"526800","529360","'entrée, les voies d'excretion ou l'évacuation"
"529360","531360"," de l'infection telle que les fessules et"
"531360","531940"," le drainage. "
"533100","536420"," Le matériel de prélèvement, il doit être stérile"
"536420","538580"," à usage unique, étanche et non périmé."
"542290","545050"," Les méthodes de prélèvement, on a des prélèvements"
"545050","547990"," invasifs tout dépend du type de prélèvement, via"
"547990","551170"," l'éponction, les aspirations et on a des"
"551170","556070"," prélèvements qui sont très utilisés par équivionnage, surtout"
"556070","558930"," au niveau des plaies et des muqueuses Cependant,"
"559290","561830"," si on récolte un faible volume d'échantillons"
"561830","564490"," et on doit veiller vraiment à préserver la"
"564490","567990"," qualité la viabilité des micro-organismes au niveau"
"567990","570730"," de ces échantillons ou de prélever des échantillons"
"570730","571230"," en double."
"572190","575970"," Si on vise la recherche des bactéries anaerobiques"
"575970","580770"," strictes, on doit vraiment rapidement conditionner le prélèvement"
"581410","585530"," vers le laboratoire en évitant tout contact avec"
"585530","585750"," l'air. "
"586910","591310"," Voilà, donc au niveau de quelques prélèvements, vous"
"591310","593070"," allez voir que le corps humain, c'est"
"593070","596410"," un réservoir de micro-organismes commensaux, donc on"
"596410","599710"," doit éviter la contamination par la flore commensale."
"600090","604270"," Pour protéger le prélèvement, on va utiliser des"
"604270","607070"," solutions d'abord un rinçage ou des solutions"
"607070","611990"," antiseptiques afin d'éviter cette contamination par la"
"611990","612690"," flore commensale."
"613190","615410"," Dans le cas où l'on utilise des"
"615410","616590"," produits anti-inflammatoires ou des produits antiseptiques, on"
"616590","619010"," doit veiller à rincer par un sirope physiologique"
"619010","622110"," pour ne pas inhiber la croissance des bactéries"
"622110","624110"," pathogènes au niveau de prélèvement. "
"624890","627450"," Et bien sûr, on va utiliser des conditions"
"627450","631530"," de culture qui peuvent vraiment influencer ou inhiber"
"631530","634630"," cette flore commensale et favoriser seulement la croissance"
"634630","636330"," des bactéries demandées."
"637110","640310"," Donc quelques exemples de prélèvements, un prélèvement urinaire"
"640310","641730"," chez la femme et chez l'homme via"
"641730","644810"," la technique de sondage, la procédure de prélèvement"
"644810","650030"," directe des flacons d'hémoculture, les pulls, les"
"650030","650550"," ponctions."
"652070","654990"," Donc vous voyez que chaque prélèvement a des"
"655710","657410"," circonstances vraiment spécifiques. "
"657790","659630"," On doit veiller à les respecter à la"
"659630","660830"," lettre."
"661470","663530"," Donc les bactéries ne résistent pas à la"
"663530","664750"," desiccation et au froid."
"665490","669750"," On doit les acheminer vraiment rapidement au laboratoire. "
"670110","672410"," Dans le cas des biopsies et des petits"
"672410","674770"," échantillons au bout de 15 à 30 minutes,"
"675210","677510"," les autres ont moins de deux heures et"
"677510","680450"," on utilise des milieux de transport afin de"
"680450","684410"," garder la viabilité des bactéries à rechercher."
"685050","687710"," Le délai maximal entre le prélèvement et l "
"687710","690770","'analyse d'un échantillon conservé en atmosphère réfrigérée"
"690770","691890"," est de 24 heures."
"693190","697090"," La sécurité pendant le transfert est très exigée. "
"697710","701550"," Deux produits pathologiques doivent être considérés comme potentiellement"
