"start","end","text"
"140","4400"," Bonjour, le cours d'aujourd'hui va concerner"
"4400","6960"," une partie de l'histologie de l'appareil"
"6960","8120"," dégéstif."
"8760","11660"," Elle va concerner les glandes annexes au tube"
"11660","15500"," dégestif à type du foie, pancréas, les voies"
"15500","19260"," biliaires et la vésicule biliaire."
"20180","25220"," Donc, ici sur le plan anatomique, voici le"
"25220","25600"," foie. "
"25600","28200"," Il est formé de deux lobes."
"29080","31800"," Ce qui est schématisé en vert, c'est"
"31800","35620"," les voies biliaires qui sont intra-extra-hépatiques."
"36640","39740"," Ici, c'est la vésicule biliaire. "
"40360","42280"," Ici, c'est le canal collédoque."
"42720","45920"," Ici, c'est le diodéne pancréas."
"45920","49060"," Donc, ici, c'est le pancréas avec le"
"49060","52140"," canal qui traverse le pancréas, le canal de"
"52140","55020"," Huerson qui va au niveau de l'ampoule"
"55020","58960"," voitaire pour rejoindre au niveau du diodéne. "
"59500","62280"," Donc, on va voir d'abord le foie,"
"62880","66300"," puis le pancréas et les voies biliaires et"
"66300","67640"," la vésicule biliaire."
"68380","70980"," Donc, comme vous connaissez, sur le plan anatomique,"
"71540","74960"," le foie est le plus gros organe du"
"74960","75600"," corps humain."
"76500","77920"," Donc, il peut aller d'un kilo à"
"77920","78800"," deux kilos cinq cents. "
"79640","82320"," Donc, il est situé dans la loge sophrynique"
"82320","85200"," droite, donc au niveau de l'hypochondre droite."
"86000","87920"," Donc, il est entouré par une capsule qui"
"87920","90660"," est très importante, fibreuse, conjonctive qui est la"
"90660","91600"," capsule de Gleason."
"92200","95940"," Et cette capsule va envoyer des travées et"
"95940","99200"," des septas qui vont délimiter d'abord des"
"99200","101120"," lobes, puis des segments. "
"101520","104280"," Donc, c'est la segmentation hepatique jusqu'à"
"104280","108580"," ce qu'il termine en unité histologique du"
"108580","111380"," foie qui est le lobule hepatique qu'on"
"111380","112740"," va voir à la suite."
"114110","118530"," Donc, sur la face inférieure du foie, on"
"118530","120570"," aura l'huile qu'on aura."
"121030","124170"," Donc, on peut comparer le foie comme usine. "
"124650","126330"," Donc, lorsqu'on parle d'usine, il y"
"126330","128650"," a toujours des entrées et des sorties."
"129389","131890"," Donc, les entrées pour le foie sont l "
"131890","135690","'artère hépatique qui va amener le sang de"
