"start","end","text"
"840","3740"," On va terminer notre cours sur l'histologie"
"3740","5420"," de l'appareil respiratoire."
"6320","8260"," Je vous rappelle le plan."
"8760","10480"," On a déjà vu dans la partie 1,"
"10700","14100"," après l'introduction et les objectifs du cours,"
"14180","20740"," l'organisation générale de tout l'appareil respiratoire. "
"21280","24600"," Et on a aussi vu la structure histologique"
"24600","26540"," des voies aériennes supérieures."
"26540","28220"," Maintenant, pour cette partie 2, on va s "
"28220","32340","'intéresser à la structure histologique des voies aériennes"
"32340","37220"," inférieures et de la sinus pulmonaire qui constitue"
"37220","38460"," la zone respiratoire."
"43470","47170"," Maintenant, pour les voies aériennes inférieures, on a"
"47170","49350"," parlé tout à l'heure de l'arbre"
"49350","51530"," tracheo-branchique. "
"52550","54570"," On va commencer par la trachée."
"54570","56210"," Comme vous savez très bien, c'est un"
"56210","59370"," tube flexible qui est hémicylindrique de 12 cm,"
"59450","61070"," s'étendant du larynx à la carène."
"62250","65350"," Il a une constitution fibrocartilagineuse. "
"65450","67030"," Il est aplati en arrière."
"68050","71630"," La structure de la paroi, c'est une"
"71630","74710"," paroi de 3 couches."
"74970","75890"," Il y a la muqueuse qui est de"
"75890","79310"," type respiratoire au contact de la lumière. "
"79730","81050"," Il y a la sous-muqueuse qui est"
"81050","85250"," la tunique moyenne et les fibrocartilagineuses avec du"
"85250","86670"," muscle traqué à l'arrière."
"87110","89910"," Et il y a l'adventis qui est"
"89910","91750"," la couche la plus externe."
"93950","97570"," Regardez sur cette coupe transversale de la trachée. "
"97730","98310"," C'est un schéma."
"98450","99630"," Vous avez la lumière au centre."
"100310","103110"," Il y a en bleu schématisé la muqueuse,"
"103270","105190"," donc la tunique la plus interne. "
"106710","108810"," En vert, c'est le cartilage."
"108810","111250"," Le cartilage est de type hialin."
"111630","116550"," Il forme un anneau cartilagineux en fer à"
"116550","116930"," cheval. "
"117470","119290"," Il est ouvert en arrière."
"121190","123590"," C'est la sous-muqueuse qui comporte ce"
"123590","124710"," cartilage en avant."
"124890","127190"," Et en arrière, il y a du muscle"
"127190","132090"," avec un tissu conjonctivo-élastique. "
"132770","135290"," Et la tunique la plus externe, c'est"
"135290","136470"," l'adventis."
"142790","146070"," Sur cette image histologique, on voit très bien"
"146070","148990"," une coupe transversale de la trachée au niveau"
"148990","150910"," d'un seul anneau traquéal."
"150970","153270"," On voit ici un anneau traquéal en fer"
"153270","155130"," à cheval, ouvert en arrière. "
"155330","156810"," Ici, c'est l'arrière."
"156950","159570"," Ici, c'est l'avant."
"159750","161990"," On reconnaît aussi la partie antérieure par la"
"161990","165090"," présence d'un parenchyme thyruidien, qui est un"
"165090","167670"," rapport antérieur pour la trachée. "
"167670","170910"," Si on commence à partir de la lumière,"
"171150","175470"," on a ici la muqueuse, avec cette flèche"
"175470","176670"," bleue."
"177430","180610"," C'est un épithélium de revêtement, de surface,"
"180810","182810"," qui repose sur un corion."
"182990","185590"," L'épithélium, on va voir de près ses"
"185590","186510"," caractéristiques. "
"187050","189970"," Le corion comporte des glandes et des vaisseaux."
"190470","192950"," La couche moyenne ou la tunique moyenne, c "
"192950","195490","'est la sous-muqueuse, qui est cartilagineuse en"
"195490","195830"," avant."
"196530","198890"," En arrière, on se retrouve avec un tissu"
"198890","202770"," conjonctivo-élastique, avec du tissu musculaire strié, le"
"202770","205810"," muscle traquéal, qui va solidariser les deux bouts"
"205810","208990"," du cartilage traquéal. "
"209290","211510"," C'est du cartilage hialin."
"212270","214810"," Vers la partie la plus externe, on se"
"214810","218010"," retrouve avec l'adventis, qui est un tissu"
"218010","219790"," conjonctif."
"225480","228000"," Maintenant, on va prendre chaque tunique à part"
"228000","228900"," pour la muqueuse. "
"229380","230700"," A chaque fois qu'on parle d'une"
"230700","233600"," muqueuse, c'est un tissu épithélial ou un"
"233600","236780"," revêtement épithélial qui repose sur un corion."
"236900","238440"," On va commencer par l'épithélium."
"238880","240480"," Il est de type respiratoire. "
"240600","242540"," On a parlé de l'épithélium de type"
"242540","244660"," respiratoire et de ses caractéristiques, c'est-à "
"244660","246740","-dire qu'il est pseudo-stratifié."
"246920","249920"," Il comporte des cellules ciliées qui s'étendent"
"249920","252140"," de la membrane basale à la surface épithéliale."
"252140","254440"," Les cils sont situés au niveau du pôle"
"254440","256660"," apical et ils battent pour amener le mucus"
"256660","259019"," en direction du pharynx. "
"259579","263840"," Et les cellules calyciformes sont des cellules muco "
"263840","267240","-sécrétantes dont le nombre augmente avec les impuretés"
"267240","268700"," de l'air."
"269060","271920"," Elles ont un pôle basal effilé et un"
"271920","275060"," pôle apical dilaté avec du mucus qui forme"
"275060","277860"," un film continu à la surface des cils."
"277860","281360"," Ce film muqueux avec les cils, ça forme"
"281360","283660"," ce qu'on appelle le tapis muco-ciliaire"
"283660","288360"," qui est très important pour la purification de"
"288360","294560"," l'air, de toutes particules agressives, poussières, ainsi"
"294560","295060"," de suite. "
"295640","297580"," Il y a aussi vers la lame basale"
"297580","302480"," les cellules basales qui vont servir à la"
"302480","303820"," régénération épithéliale."
"304440","306460"," Ce sont des cellules de petite taille."
"306460","308960"," Il y a aussi les cellules de Kulczyski. "
"309160","313060"," Ce sont des cellules à fonction endocrine ou"
"313060","315660"," neuro-endocrine qui vont se regrouper parfois pour"
"315660","318800"," former des corps neuro-épithéliaux et pour jouer"
"318800","321580"," le rôle de chémorécepteurs."
"321780","323660"," Ce sont des cellules qui sont un peu"
"323660","326000"," difficiles à voir sur des préparations standards."
"326520","331340"," On peut utiliser des colorations spéciales ou d "
"331340","334760","'autres techniques complémentaires pour les mettre en évidence. "
"336400","338640"," Sur ce schéma-là, on voit très bien"
"338640","340880"," cet épithélium qui est de type respiratoire et"
"340880","341820"," qui est pseudo-stratifié."
"342800","344300"," On voit très bien que toutes les cellules"
"344300","347520"," reposent sur la membrane basale, aussi bien les"
"347520","354720"," cellules ciliées que les cellules calicyformes et les"
"354720","356640"," petites cellules basales."
"356780","358500"," Les noyaux sont de ce fait à des"
"358500","359920"," hauteurs différentes. "
"361300","363580"," Ici, c'est les vacuoles de mucus des"
"363580","366760"," cellules calicyformes et ici, c'est les projections"
"366760","371680"," cilières des cellules ciliées."
"374940","380860"," Ici, c'est la membrane basale et là,"
"381320","384720"," c'est une schématisation des glandes séromuqueuses."
"385040","386940"," Ce qui est clair, ce sont des cellules"
"386940","387700"," muqueuses. "
"387860","389240"," Ce qui est sombre, ce sont les cellules"
"389240","390040"," séreuses."
"390040","393500"," Et là, c'est les vénules qui forment"
"393500","396960"," le réseau vasculaire du corion."
"397400","400060"," Là, ce sont des cellules lymphocytaires qui vont"
"400060","403420"," former le tissu lymphoïde associé à cette muqueuse"
"403420","404120"," respiratoire. "
"404980","407540"," Le corion qui est vascularisé avec ses glandes,"
"408100","410760"," ce tissu lymphoïde, c'est un tissu de"
"410760","411300"," soutien."
"414360","418760"," Regardez, sur cette coupe histologique, on a une"
"418760","420560"," muqueuse de type respiratoire."
"420560","423840"," Vous avez l'épithélium de surface qui est"
"423840","428820"," pseudostratifié avec une coloration spéciale qui met en"
"428820","432400"," évidence ce mucus des cellules calicyformes en bleu. "
"432540","433960"," C'est le bleu halcyon."
"434800","439200"," Des projections ciliées des cellules ciliées et des"
"439200","441360"," petites cellules basales qui ne sont situées qu "
"441360","442920","'entre la membrane basale."
"443120","445420"," Là, c'est la membrane basale et là,"
"445540","447220"," c'est le corion qui est un tissu"
"447220","452400"," conjonctif lâche avec les éléments, le tissu lymphoïde"
"452400","455760"," et le réseau vasculaire. "
"455920","458240"," À plus fort grossissement, on voit très bien"
"458240","461980"," la cellule calicyforme avec son pôle apical riche"
"461980","464700"," en vacuoles de mucosecrétion et on voit les"
"464700","467760"," cellules ciliées avec leurs projections ciliées."
"467880","470380"," Les noyaux sont à des hauteurs différentes mais"
"470380","472800"," toutes les cellules reposent normalement sur la membrane"
"472800","475000"," basale et il y a des petites cellules"
"475000","478020"," basales qui vont servir à la régénération et"
"478020","481760"," au remplacement des cellules épithéliales en cas de"
"481760","485180"," dégâts."
"487280","491380"," C'est une image en microscopie électronique de"
"491380","494000"," balayage qui montre la surface de l'épithélium"
"494000","494760"," respiratoire. "
"495240","497320"," On voit très bien ici les cils sous"
"497320","500180"," forme de projections donc un aspect qui est"
"500180","502580"," chevelu et ce sont les projections qui se"
"502580","505020"," retrouvent au niveau du pôle apical des cellules"
"505020","508080"," ciliées et ici ce sont les bulles de"
"508080","511720"," mucus à la surface des cellules calicyformes."
"516030","520730"," Après avoir vu l'épithélium et ses caractéristiques,"
"521289","522330"," maintenant le chorion."
"523230","525730"," Le chorion est un tissu conjonctif. "
"525930","530490"," Il est riche en vaisseaux et en glandes."
"530590","533470"," Les glandes sont de type mixte avec une"
"533470","534690"," prédominance muqueuse."
"534830","538110"," On est au niveau de la trachée et"
"538110","540470"," ces glandes sont beaucoup plus nombreuses dans la"
"540470","542210"," région postérieure de la trachée. "
"544420","548480"," Sur cette coupe histologique d'une paroi trachéale,"
"548980","551160"," on voit très bien le cartilage yalin avec"
"551160","552080"," son péricordre."
"552520","555200"," C'est la partie antérieure de la trachée."
"555460","557980"," On est au niveau de la partie sous "
"557980","562960","-muqueuse ou de la tunique moyenne vers la"
"562960","565600"," lumière de la trachée. "
"565600","567940"," Il y a la muqueuse."
"568320","571060"," On voit une partie de la muqueuse, notamment"
"571060","576580"," le chorion, avec la présence de glandes mixtes."
"576720","577560"," C'est-à-dire qu'il y en"
"577560","580020"," a de celles de type muqueux, qu'on"
"580020","583780"," voit bien clair, et celles qui sont de"
"583780","584620"," type séreux. "
"584700","587280"," Ce sont des glandes séromuqueuses avec une prédominance"
"587280","589780"," de glandes muqueuses."
"591440","594300"," Pour la sous-muqueuse, c'est la tunique"
"594300","594780"," moyenne."
"595920","598720"," Elle comporte une vingtaine de pièces cartilagineuses. "
"598800","600320"," On a dit que c'est du cartilage"
"600320","604820"," de type yalin qui est sous forme d "
"604820","607240","'anneaux en fer à cheval ouverts en arrière."
"607380","609820"," Ils sont superposés les uns aux autres."
"611500","616000"," Contrairement à l'armature cartilagineuse des branches souches,"
"617120","621140"," le cartilage yalin retrouvé au niveau de la"
"621140","622880"," trachée est ouvert en arrière. "
"623040","625500"," Alors qu'au niveau des branches souches, c "
"625500","630000","'est une armature cartilagineuse entière."
"630080","632640"," Elle est circonférentielle, elle n'est pas discontinue."
"632900","635060"," Ce n'est pas en fer à cheval,"
"635180","635840"," ce n'est pas ouvert. "
"636660","639200"," Le muscle trachéal, qui fait aussi partie de"
"639200","644480"," cette tunique sous-muqueuse, est un muscle lisse."
"644480","646340"," On le retrouve au niveau de la partie"
"646340","649120"," postérieure de la trachée."
"649460","653040"," Avec le tissu conjonctivo-élastique, il va relier"
"653040","656160"," les bouts des anneaux cartilagineux en arrière. "
"656780","658480"," Après la sous-muqueuse, il y a l "
"658480","660940","'adventice qui est la tunique la plus externe."
"661160","664480"," C'est une couche conjonctivo-adipeuse lâche."
"665440","666940"," Il n'y a pas de serreuse au"
"666940","669520"," niveau de la trachée. "
"669520","673060"," Je vous rappelle que l'adventice n'est"
"673060","676610"," pas recouvert ou tapissé par une couche mésothéliale."
"677380","680260"," C'est uniquement une couche conjonctivo-adipeuse qui"
"680260","680760"," est lâche."
"685040","687780"," Après avoir vu la structure histologique de la"
"687780","690360"," trachée, on va passer à la structure histologique"
"690360","693050"," des branches de moyen et de petit calibre. "
"695100","699240"," Les branches souches vont subir une dizaine de"
"699240","702480"," divisions pour aboutir aux branches suslobulaires."
"702480","706020"," Juste au sommet du lobule pulmonaire qui est"
"706020","707300"," l'unité histologique."
"708160","711940"," La lumière est plissée car il y a"
"711940","714120"," des fibres élastiques en petites colonnes au niveau"
"714120","716700"," de la paroi de ces structures branchiques. "
"717340","719500"," Il y aura des modifications qui vont se"
"719500","721740"," faire de façon progressive."
"721980","724580"," C'est-à-dire en allant progressivement des"
"724580","728380"," branches souches vers ces branches suslobulaires."
"729080","732340"," A savoir l'épaisseur épithéliale qui va diminuer. "
"732540","734940"," L'épithélium qui était au début de type"
"734940","739840"," pseudo-stratifié va devenir cylindrique simple."
"740180","744060"," Les cellules calicyformes vont se raréfier au fur"
"744060","744660"," et à mesure."
"744940","748380"," Le muscle de récessène va devenir circonférentiel. "
"748460","749960"," On se rappelle très bien qu'il était"
"749960","752880"," uniquement présent au niveau de la paroi postérieure"
"752880","756180"," de la trachée."
"756180","761600"," Donc il va se répartir de façon circonférentielle"
"761600","764040"," sur la paroi branchique."
"765240","769360"," Le cartilage qui était sous forme d'anneaux"
"769360","772300"," en fer à cheval et discontinu en arrière"
"772300","774920"," va se trouver au niveau des branches souches"
"774920","777360"," sous forme d'une armature continue. "
"778060","780320"," A partir de ces branches souches il va"
"780320","784020"," se fragmenter en plaques irrégulières pour constituer une"
"784020","785560"," armature discontinue."
"785560","788460"," Entre les plaques irrégulières de ce cartilage on"
"788460","792520"," va retrouver des glandes séromuqueuses et des follicules"
"792520","793220"," lymphoïdes."
