"start","end","text"
"7300","14520"," Alors, on va faire projeter des questions et"
"14520","17120"," vous répondez en écrivant des messages."
"72560","73060"," Vous êtes là?"
"78420","79060"," Oui, monsieur."
"79660","81320"," Voilà, vous commencez à répondre, s'il vous"
"81320","81560"," plaît. "
"83730","84310"," Oui, monsieur."
"113800","116600"," Donc, la première question, c'est ABD, donc"
"116600","117800"," ça ne pose pas de problème."
"126900","129240"," Donc, il faut faire attention, s'il vous"
"129240","130700"," plaît, lorsqu'il y a un changement des"
"130700","134200"," propositions, des phrases au sein des propositions, il"
"134200","135020"," faut faire attention. "
"135540","135740"," D'accord?"
"137940","139780"," Alors, on passe à la deuxième question."
"167330","169270"," Alors, la deuxième, ça ne pose pas de"
"169270","169670"," problème."
"170630","172310"," C'est aussi le B et le C,"
"173110","173210"," effectivement. "
"173790","174870"," Allez, vous passez à la troisième."
"208600","209140"," Alors, la troisième."
"245120","247620"," Donc, je vais accepter qu'il dérive de"
"247620","248360"," macrophages. "
"248660","251660"," Donc, on va l'accepter, même si c "
"251660","253120","'est de la moelle osseuse, plus ou moins"
"253120","255000"," du macrophages, puisqu'il a un rôle qui"
"255000","256140"," est phagocyte."
"257180","257800"," D'accord?"
"258579","261240"," Donc, les cellules de l'ongérence, c'est"
"261240","266020"," le B, le C et le E."
"266620","269620"," Donc, les cellules étoilées au sein de la"
"269620","270020"," couche."
"271600","272280"," Quelle couche?"
"278200","280940"," Au niveau de quelle couche de l'épiderme?"
"285430","285910"," Épineuse. "
"286030","286410"," Très bien."
"286630","288050"," Non, ce n'est pas la couche basale."
"288910","290610"," C'est la couche épineuse. "
"291630","293990"," Donc, c'est le B, le C et"
"293990","294370"," le E."
"296010","296470"," Très bien."
"299340","301220"," Alors, on passe à la quatrième question."
"321780","323320"," Donc, c'est le A et le B."
"324340","326800"," La mélanocyte se situe dans la couche basale. "
"327660","329560"," Effectivement, elle élabore la mélanine."
"330360","332340"," Ce sont des cellules qui sont visibles au"
"332340","333000"," microscope."
"334760","338080"," Une cellule pour 35 kératinocytes. "
"338080","341760"," Il ne contient pas de filaments de cytokératine,"
"341880","342300"," d'esmosomes."
"342440","346220"," Ce sont les kératinocytes qui contiennent les filaments"
"346220","347260"," de cytokératine."
"348340","352020"," Donc, le E, il contient des filaments de"
"352020","352500"," mélanine. "
"352680","356080"," Pas de cytokératine, des grains de mélanine."
"357060","359040"," Donc, le E, c'est le cytokératine qui"
"359040","361380"," contient au niveau de kératinocytes."
"370980","372440"," Alors, la cinquième. "
"387620","389020"," Donc, c'est le départ."
"390520","391920"," Il existe deux types."
"392440","393240"," Quels sont les deux types?"
"409070","414250"," Le crine et le mérocrine. "
"414390","414850"," La même chose."
"415010","416210"," Donc, le crine, c'est la même chose"
"416210","416950"," que le mérocrine."
"418510","418950"," Très bien. "
"427690","429730"," Donc, à propos de l'hypothélium de la"
"429730","431450"," face supérieure de la langue."
"450020","450660"," Donc, ici."
"452760","454040"," La sixième, d'abord. "
"456660","477660"," Hypothélium de la face supérieure pour"
"477660","478400"," la sixième."
"482310","487310"," Donc, elle est lisse et elle est pluristratifiée"
"487310","488150"," et pavémenteuse."
"489010","490490"," Donc, ça c'est quelle face qui est"
"490490","494130"," lisse et qui est pavémenteuse et pluristratifiée?"
"494270","494930"," C'est quelle face?"
"497350","497830"," Inférieure. "
"497910","498310"," Très bien."
"499070","502130"," Donc, il est formé de papilles gustatives, dont"
"502130","505370"," les plus nombreuses, ce ne sont pas les"
"505370","506670"," papilles caliciformes."
"507570","512090"," Alors, les papilles fingiformes sont présentes surtout au"
"512090","513370"," niveau de la pointe. "
"513490","515070"," Oui, bien sûr, avec qu'on va goûter."
"518340","521620"," Donc, je pense, fingiformes, elles participent au goût."
"522240","525780"," Les papilles caliciformes, elles contiennent les bourgeons de"
"525780","526020"," goût. "
"526360","528560"," Donc, avec les fingiformes."
"529220","531900"," Alors, les bourgeons de goût sont situés dans"
"531900","533940"," la face latérale des papilles fingiformes."
"534600","534920"," Très bien. "
"535080","536260"," Donc, c'est le CDE."
"540130","541090"," Monsieur?"
"541470","541990"," Oui?"
"542650","546830"," Monsieur, les papilles fingiformes, ce sont les plus"
"546830","547890"," nombreuses au niveau de la pointe?"
"547930","549430"," C'est les fingiformes qui sont les plus"
"549430","549930"," nombreuses."
"550330","550790"," Oui, monsieur. "
"551450","552910"," D'accord, c'est les fingiformes."
"568380","570260"," Donc, on passe à la septième."
"576750","578590"," Alors, la muqueuse est oesophagien. "
"579450","582850"," Son épithélium est pavémenteux et ratinisé."
"583710","585510"," La musculaire muqueuse est fine."
"586290","588490"," Son épithélium est fait suite à celui de"
"588490","589550"," la cavité buccale. "
"590170","592850"," Le coriandre comporte des glandes sur toute sa"
"592850","593330"," hauteur."
