"start","end","text"
"2040","7060"," Le système endocrine diffus, en fait, on l "
"7060","10440","'a laissé à la fin après avoir vu"
"10440","13620"," tout ce qui est glande endocrine qui sont"
"13620","17680"," des organes anatomiquement individualisables, vous vous en rappelez,"
"18180","20540"," on a parlé de l'hypophyse, de la"
"20540","23040"," thyroïde, des parathyroïdes et des surrénales."
"23360","26740"," On a aussi parlé des formations endocrines qui"
"26740","30320"," se forment d'un mât au sein de"
"30320","31439"," glandes exocrines."
"31700","35020"," Et l'exemple type qu'on a vu,"
"35140","37380"," c'est le pancréas endocrine, les îlots de"
"37380","39760"," longuérance au sein d'un parenchyme exocrine. "
"40080","42760"," Et puis, on a parlé du système endocrinien"
"42760","44960"," diffus et je vous ai dit que c "
"44960","48240","'est un ensemble de cellules neuro-endocrines qui"
"48240","50740"," sont en fait un petit peu dispersées dans"
"50740","52540"," les différentes muqueuses."
"52960","56040"," On a donné l'exemple du tube ou"
"56040","59060"," du tractus gastro-intestinal, du tractus digestif."
"59580","61620"," Et on a aussi donné l'exemple de"
"61620","62840"," l'appareil respiratoire. "
"63360","64740"," Alors, ce sont des cellules qui ne vont"
"64740","69300"," pas former des amas ou des glandes, mais"
"69300","71120"," ce sont des cellules qu'on va retrouver"
"71120","75160"," au niveau, par exemple, du colon."
"75340","78140"," L'image que je vous avais mise, c "
"78140","80440","'était au niveau d'une glande de Libercune,"
"80680","82320"," si vous vous en rappelez."
"87750","90650"," Voilà, vous remontrez l'image. "
"91250","94670"," Vous avez les différentes cellules qui constituent la"
"94670","99790"," glande de Libercune et vous avez une cellule"
"99790","101290"," neuro-endocrine."
"101470","103510"," Donc, c'est un petit peu diffus, si"
"103510","103870"," vous voulez."
"104130","106510"," Voilà, vous avez la diapo ?"
"109740","112600"," Vous avez la diapo devant vous ?"
"112600","114580"," Alors, je ne sais pas si vous avez"
"114580","116700"," le pointeur. "
"118340","120300"," Maintenant, est-ce que vous voyez le pointeur"
"120300","122680"," ?"
"122680","125380"," Alors, HADIS, c'est une glande de Libercune"
"125380","132320"," au niveau du coriandre, de l'intestin colon"
"132320","133780"," ou intestin grêle."
"133940","134780"," D'accord ?"
"134780","137560"," Donc, vous avez les différents types de cellules"
"137560","141940"," qui constituent le revêtement glandulaire et au sein"
"141940","146060"," de cet épithélium, on retrouve une cellule endocrine."
"146620","148360"," Et ce sont des cellules qui sont en"
"148360","152400"," général à polarité inversée, c'est-à-dire"
"152400","155200"," que leur noyau, remarquez très bien que le"
"155200","158600"," noyau, il est légèrement ascensionné en haut avec"
"158600","161800"," les grains de sécrétion qui sont plutôt au"
"161800","163060"," niveau du pôle basal. "
"163440","164080"," D'accord ?"
"164080","166080"," Et ce sont des cellules qui sont plaquées"
"166080","169140"," contre la membrane basale pour la simple raison"
"169140","172920"," qu'elles doivent déverser leur contenu directement dans"
"172920","175580"," le courant sanguin qui se retrouve au niveau"
"175580","177800"," du coriandre qui les entoure."
"182600","184800"," Donc, on l'appelle diffus parce qu'en"
"184800","186720"," fait, c'est des cellules qui sont un"
"186720","189480"," petit peu dispersées, qu'on retrouve au niveau"
"189480","193480"," de certaines muqueuses et qui ont bien sûr"
"193480","197700"," un rôle dans soit la sécrétion d'hormones"
"197700","203600"," qui vont agir sur la fonction, sur une"
"203600","207560"," des fonctions de ces muqueuses-là, soit parfois"
"207560","211180"," ils vont avoir aussi un rôle à côté"
"211180","217420"," des déplexus nerveux dans la régularisation du péristaltisme."
"218440","221080"," Ça dépend du produit sécrété. "
"221800","222940"," D'accord ?"
"224770","225590"," D'accord, merci."
"226350","227070"," Je vous en prie."
"227330","229030"," D'autres questions ?"
"236290","237270"," Allez-y s'il vous plaît. "
"238270","239670"," Est-ce qu'il y a des schémas"
"239670","240910"," ou des images que vous n'avez pas"
"240910","242290"," compris ?"
"255190","255810"," S'il vous plaît."
"272770","274290"," Pas de questions ?"
"285580","287280"," Il n'y a pas de questions ?"
"288980","292020"," S'il vous plaît madame, pour le pigment"
"292020","295000"," de l'hypophychine, des cellules de la zone"
"295000","298580"," articulée de la corticostérone, est-ce que vous"
"298580","300660"," pouvez nous éclaircer un peu ?"
"300660","303160"," Bon, les dépôts de l'hypophychine, c'est"
"303160","307280"," comme si, si vous voulez, c'est des"
"307280","310820"," substances qui ont dû au vieillissement de la"
"310820","313280"," cellule et qui vont s'accumuler au niveau"
"313280","317160"," du cytoplasme de ces cellules-là pour donner"
"317160","318320"," une teinte brunâtre."
"318600","322380"," C'est une accumulation, si vous voulez, de"
"322380","325640"," substances vieillies en intracellulaire et qui donne cette"
"325640","328240"," teinte brunâtre. "
"328480","329820"," On l'a vu où ?"
"333240","336220"," La zone articulée de la corticostérone."
"336720","339080"," Exactement, au niveau de la zone articulée de"
"339080","341480"," la cortico- surénale."
"343360","345620"," Je vois, voilà, ici. "
"347420","348760"," D'accord ?"
"351550","356010"," C'est des substances pigmentées qui sont en"
"356010","359070"," rapport avec le vieillissement de cellules et qui"
"359070","361270"," peuvent s'accumuler dans ces cellules-là et"
"361270","363330"," donner cette teinte brunâtre."
"367180","367980"," D'accord, merci madame."
"370240","371680"," D'autres questions ?"
"371680","376520"," Madame, s'il vous plaît, pour l'apparition"
"376520","380420"," de tête, pour le col éterne ?"
"380420","388520"," Attendez, s'il vous plaît, on finit juste"
