"start","end","text"
"1140","3360"," Donc, on va étudier symptôme par symptôme et,"
"3480","5520"," au fait, on va s'intéresser pas tellement"
"5520","8440"," à la physiopathologie, on va s'intéresser justement"
"8440","11240"," à la sémiologie, c'est-à-dire chaque"
"11240","13980"," symptôme, ses caractéristiques et ce qu'il peut"
"13980","15280"," évoquer comme diagnostic."
"16100","17440"," On va commencer par l'atout."
"20080","27240"," Donc, c'est un symptôme qui est peu"
"27240","30020"," spécifique, il peut accompagner plusieurs pathologies et peut"
"30020","32340"," s'accompagner d'un certain nombre de symptômes. "
"33380","35560"," Il est déclenché le plus souvent par une"
"35560","38080"," irritation des voies respiratoires, mais pas seulement."
"38240","40580"," Les récepteurs de l'atout se trouvent dans"
"40580","43080"," plusieurs organes, dans le pharynx, le larynx, la"
"43080","45720"," trachée, les bronches, même dans le ventre, même"
"45720","46960"," dans l'appendice."
"47420","50400"," L'atout productif sert à expulser, à nettoyer"
"50400","52640"," les bronches, donc il faut la respecter, il"
"52640","54240"," ne faut pas donner d'antitucif, mais l "
"54240","56780","'atout sèche est irritatif, inutile et il faut"
"56780","57340"," la soulager. "
"58800","60460"," Ça, c'est les zones tucigènes, c'est"
"60460","61480"," pas très…"
"61480","63300"," il faut les connaître, mais ça ne nous"
"63300","64280"," intéresse pas aujourd'hui."
"64920","66860"," Ça, c'est le mécanisme de l'atout,"
"66940","67320"," d'accord."
"67320","71060"," Alors, la conduite du diagnostic, il faut la"
"71060","74360"," caractériser de façon précise et l'intégrer dans"
"74360","78060"," un contexte sémiologique avec les autres symptômes respiratoires"
"78060","80980"," ou extra-respiratoires, les signes généraux, les antécédents,"
"81060","83820"," les facteurs de risque, surtout le tabagisme, et"
"83820","84820"," puis les signes d'examen. "
"85340","87200"," Et après, une fois que vous avez un"
"87200","90180"," diagnostic en tête, après on va faire les"
"90180","93120"," examens complémentaires pour confirmer ce diagnostic."
"93120","96220"," Les examens complémentaires ne servent pas à faire"
"96220","99440"," un diagnostic, ils servent à confirmer quelque chose"
"99440","101060"," que vous avez déjà en tête."
"103460","105860"," Alors, d'abord, le premier caractère de l "
"105860","106680","'atout, c'est l'horaire. "
"107400","109540"," En fonction de l'horaire, déjà, vous pouvez"
"109540","112060"," soupçonner un certain nombre de maladies."
"112760","114560"," Quand vous avez une toux matinale qui s "
