"start","end","text"
"6540","10840"," Bonjour, on va essayer de traiter aujourd'hui"
"10840","15540"," la sémiologie qui serait dédiée à l'appareil"
"15540","17740"," cardiovasculaire."
"19960","21960"," Alors, c'est quoi la sémiologie?"
"22120","26020"," La sémiologie médicale est une branche qui a"
"26020","30160"," pour but de recenser ou de réunir le"
"30160","32340"," maximum de signes, ou ce qu'on appelle"
"32340","35980"," le symptôme, en vue d'avoir un diagnostic,"
"36160","37720"," c'est-à-dire connaître un petit peu"
"37720","39860"," la maladie à travers tous ces signes."
"40340","43600"," Alors, les signes peuvent être recueillis de deux"
"43600","44080"," manières. "
"45160","47920"," Déjà à l'étape clinique, vous avez l "
"47920","49240","'interrogatoire, c'est-à-dire qu'on va"
"49240","51660"," essayer d'interroger le patient avec des questions"
"51660","53820"," et réponses pour essayer d'avoir le maximum"
"53820","57000"," de renseignements et des choses dont il en"
"57000","57360"," souffre."
"57360","59940"," Et puis, par la suite, on va passer"
"59940","61580"," à l'étape suivante qui est l'examen"
"61580","62160"," clinique."
"62780","63879"," Au cours de l'examen clinique, on va"
"63879","66260"," essayer d'examiner le patient aussi bien sur"
"66260","68440"," le plan général, la crise des constantes, c "
"68440","70540","'est-à-dire la tension artérielle, la température,"
"72140","74200"," la fréquence cardiaque, la fréquence respiratoire. "
"74760","77260"," Et puis, passer appareil par appareil pour essayer"
"77260","81300"," de recenser le maximum de signes à travers"
"81300","82180"," cet examen clinique."
"82180","84660"," Alors, les signes que vous allez recueillir par"
"84660","87760"," ces deux modalités, à savoir l'interrogatoire et"
"87760","91240"," l'examen clinique, on les appelle étapes cliniques."
"92060","94740"," Si l'étape clinique n'est pas suffisante"
"94740","98740"," pour pouvoir reconnaître le diagnostic, on passe à"
"98740","100960"," l'étape suivante qui est l'étape paraclinique. "
"101040","102900"," Dans l'étape paraclinique, vous aurez à faire"
"102900","105660"," soit à l'imagerie médicale tout ce qui"
"105660","109200"," va concerner la radiologie et à la biologie"
"109200","111000"," tout ce qui va concerner les analyses aussi"
"111000","114140"," bien sanguines, urinaires ou autres, pour pouvoir avoir"
"114140","118560"," des informations supplémentaires qui peuvent nous approcher lors"
"118560","121340"," de cette étape pour avoir un diagnostic."
"122180","126280"," Alors, toutes ces informations vont être regroupées sous"
"126280","128919"," forme d'un recueil pour pouvoir poser le"
"128919","130620"," diagnostic de la maladie."
"133660","136040"," Finalement, la sémiologie est une discipline qui va"
"136040","139040"," étudier les signes qu'on avait précédemment cités. "
"139780","142780"," Ces signes peuvent être soit fonctionnels quand on"
"142780","144780"," va les recueillir à l'interrogatoire, c'est "
"144780","146040","-à-dire quand on va poser des questions "
"146040","148900","-réponses, soit physiques, c'est-à-dire à"
"148900","150460"," l'étape de l'examen clinique quand on"
