"start","end","text"
"2700","6200"," Bonjour, je suis le professeur Tassi, je suis"
"6200","11360"," infectiologue et je suis chargée cette année-là"
"11360","15320"," de vous faire la simbiologie infectieuse qui est"
"15320","18100"," faite de 6 heures et on commence aujourd "
"18100","20820","'hui avec le syndrome méningé."
"24880","28320"," Bonjour, le cours d'aujourd'hui est intitulé"
"28320","29300"," le sepsis."
"31460","35360"," Les objectifs de ce cours là sont de"
"35360","39340"," reconnaître une infection, une bactérie émise, un sepsis"
"39340","42320"," et un choc septique, de réunir les signes"
"42320","44860"," cliniques d'un sepsis, de prévoir le germe"
"44860","49680"," responsable avant même les résultats de l'hémoculture"
"49680","53820"," ou des hémocultures, de poser l'indication d "
"53820","57620","'une hémoculture et d'interpréter ses résultats. "
"59130","63510"," Alors, commençons la définition par le syndrome de"
"63510","68230"," réponse inflammatoire systémique ou comme abréviation esquisse."
"68230","72430"," C'est un syndrome qui réunit au moins"
"72430","77290"," deux des anomalies suivantes, une température supérieure à"
"77290","80890"," 38 degrés ou inférieure à 36, un pot"
"80890","84550"," supérieur à 90 battements par minute, une fréquence"
"84550","87950"," respiratoire supérieure à 20 cycles par minute et"
"87950","90410"," un taux de globules blanc supérieur à 12"
"90410","93890"," 000 éléments par millimètre cube ou inférieur à"
"93890","94230"," 4000."
"95030","98210"," Et l'infection, c'est le résultat de"
"98210","101050"," l'agression de l'organisme par un agent"
"101050","103870"," pathogène qui peut être soit un virus, soit"
"103870","106630"," une bactérie, soit un parasite. "
"107410","111770"," Et l'infection, elle est faite de l "
"111770","115830","'association du syndrome de réponse inflammatoire systémique à"
"115830","118710"," un foyer infectieux qui peut être une pneumonie,"
"118990","121550"," une pyelonephrite, un néricipèle ou autre."
"123240","126720"," La bactériémie, c'est la présence de bactéries"
"126720","130240"," viables dans le sang qu'on va confirmer"
"130240","136000"," par l'isolement de cet agent pathogène par"
"136000","136960"," les hémocultures."
"138080","141800"," Le sepsis, c'est le dysfonctionnement d'un"
"141800","145660"," organe secondaire à une réponse inappropriée de l "
"145660","147360","'autre vis-à-vis d'une infection. "
"148220","152480"," Et vous voyez dans cette diapositive, à gauche,"
"152960","156660"," vous avez l'infection qui est une réaction"
"156660","159020"," adaptée de l'autre vis-à-vis d "
"159020","160200","'une infection donnée."
"161060","165940"," Et en contrepartie, en cas de sepsis, on"
"165940","169900"," a une infection, mais la réaction de l "
"169900","174180","'autre, elle est inadaptée ou elle est dysrégulée"
"174180","177500"," par le fait qu'elle est excessive ou"
"177500","182560"," extensive ou décompartementalisée, c'est-à-dire qu "
"182560","187060","'elle atteint plusieurs compartiments, ou bien par le"
"187060","189100"," fait qu'elle est inadaptée."
"189100","193720"," Et cette réaction dysrégulée de l'autre va"
"193720","197620"," être responsable d'une défaillance d'organes ou"
"197620","199100"," de plusieurs organes. "
"199100","204960"," Cette défaillance d'organes ou dysfonctionnement d'organes"
"204960","210440"," peut être au niveau cardiovasculaire avec une hypotension,"
"210920","215740"," une froideur des exprimités, une tachycardie, une cyanose"
"215740","216780"," ou des marbrures."
"216780","219680"," On va les voir dans la diapositive suivante."
"220280","225880"," On peut avoir un dysfonctionnement néphrologique avec une"
"225880","228860"," oligurie ou même une insuffisance rénale. "
"229260","232620"," On peut avoir un dysfonctionnement neurologique avec une"
"232620","235520"," confusion, un coma, des troubles de comportement qu "
"235520","237880","'il faut évaluer par score de Glasgow."
"238680","240900"," On peut avoir un dysfonctionnement gastroenterologique avec même"
"240900","245680"," un illus paralytique, pulmonaire avec une détresse respiratoire,"
"246060","247880"," cutanée sous forme de marbrure."
"248900","254120"," Pour évaluer ce dysfonctionnement d'organes, on a"
"254120","257880"," un score d'évaluation qu'on appelle le"
"257880","261960"," score Quicksofa qui va nous permettre rapidement d "
"261960","264540","'évaluer l'état du patient. "
"264540","268220"," Ce Quicksofa se base sur trois éléments."
"268700","272740"," D'abord de calculer la fréquence respiratoire, si"
"272740","275860"," elle est supérieure à 22 battements par minute,"
"276640","278140"," elle est cotée 1."
"278520","281000"," Aussi si on a une altération de l "
"281000","283540","'état de conscience, elle est cotée 1."
"283540","287540"," Et si on a une pression artérielle systolique"
"287540","290960"," inférieure ou égale à 100 mmHg, elle est"
"290960","291480"," cotée 1."
"292760","296660"," Chaque élément de ces trois est cotée 1."
"296900","300800"," On parle d'un Quicksofa positif quand il"
"300800","302720"," est supérieur ou égal à 2."
"305000","308640"," Dans cette diapositive, vous avez une image des"
"308640","309340"," marbrures."
"310480","315380"," C'est une défaillance vasculaire avec une mauvaise"
"315380","316280"," vascularisation. "
"316280","322220"," C'est une pyramide qui évalue la gravité"
"322220","323640"," d'une infection donnée."
"324200","330780"," Si on trouve la colonisation, la présence de"
"330780","334220"," germes sans signe infectieux, on passe à l "
"334220","338860","'infection où on a une réaction adaptée de"
"338860","340440"," l'autre vis-à-vis de l'infection."
"340440","344100"," On passe au sepsis où on a une"
"344100","347260"," réaction inadaptée de l'autre vis-à-vis"
"347260","350180"," d'une infection avec un dysfonctionnement d'organe. "
"350580","354520"," On va passer au choc septique où on"
"354520","360280"," a une défaillance multiorganique qui est définie par"
"360280","361360"," cette diapositive."
"361360","363440"," Dans le choc septique, il y a le"
"363440","364000"," sepsis."
"365060","368980"," On aura besoin d'administrer des vasopresseurs pour"
"368980","373120"," augmenter la pression artérielle au-delà d'une"
"373120","376460"," pression à 65 mmHg. "
"376640","378580"," On a un taux de lactate supérieur à"
"378580","381180"," 2 mmol par litre ou 18 mg par"
"381180","381640"," dL."
"382320","387440"," Cela va persister malgré la correction de l "
"387440","388040","'hypovolémie."
"391090","394670"," Une infection se produit par le fait qu "
"394670","396650","'il y a un agent pathogène qui va"
"396650","399530"," trouver une porte d'entrée qui peut être"
"399530","402050"," cutanée, qui peut être digestive, qui peut être"
"402050","402710"," cardiaque. "
"403550","406210"," À partir de cette porte d'entrée, il"
"406210","413210"," va se multiplier, créer des dégâts, se disséminer"
"413210","416050"," et il va par la suite susciter une"
"416050","417090"," réponse de l'autre."
"417090","419490"," En fonction de cette réponse-là, on a"
"419490","421930"," l'infection ou le sepsis ou le choc"
"421930","422190"," septique."
"424460","426180"," Comment se développe le sepsis?"
"426480","429920"," Il y a plusieurs aspects en fonction des"
"429920","430600"," points de départ. "
"431080","432840"," On a le sepsis à point de départ"
"432840","435440"," en thrombophlébite, le sepsis à point de départ"
"435440","438860"," lymphatique-mésentérique et le sepsis à point de"
"438860","440320"," départ d'une endocardite."
"440320","443300"," Voyons maintenant le sepsis à point de départ"
"443300","444960"," thrombophlébite."
"445380","448740"," À partir d'une perte d'entrée cutanée"
"448740","452920"," qui peut être soit une blée, soit une"
"452920","455680"," perfusion installée chez un patient. "
"455680","458760"," À l'occasion d'une manipulation de cette"
"458760","461260"," perfusion, à l'occasion de la main du"
"461260","463660"," soignant, il y a la pénétration du germe"
"463660","465920"," à partir de cette porte d'entrée et"
"465920","468140"," qui va par la suite se multiplier au"
"468140","471560"," niveau de cette porte d'entrée et reconstituer"
"471560","472360"," un thrombus."
"472740","478720"," Ce thrombus va être fragmenté pour être disséminé"
"478720","481380"," par voie sanguine vers les autres organes."
"483020","489560"," L'autre porte d'entrée où il y"
"489560","492680"," a le sepsis à point de départ lymphatique "
"492680","496480","-mésentérique, par exemple, l'ingestion d'un agent"
"496480","499020"," pathogène par alimentation. "
"499020","504660"," Il peut passer au niveau du système lymphatique"
"504660","508560"," digestif, se multiplier dans les ganglions mésentériques, être"
"508560","513559"," responsable d'une septicémie primaire qui va par"
"513559","516500"," la suite être acheminée au niveau de la"
"516500","519960"," visicule biliaire, être disséminée, être responsable d'une"
"519960","521720"," septicémie secondaire."
"521720","524520"," Et puis, il y aura l'élimination par"
"524520","526400"," la suite du germe au niveau de l "
"526400","528220","'intestin, puis au niveau du sel."
"528600","530640"," C'est l'exemple de la fièvre typhoïde,"
"530720","531220"," par exemple. "
"533050","537490"," Et le sepsis à point de départ endocardique."
"538170","542490"," Lors d'un dépôt de germes au niveau"
"542490","544610"," de l'endocarde, il va se multiplier."
"544930","549050"," Essentiellement, le tissu endocardique est mutilé comme dans"
"549050","551170"," le cas de la valvulopathie. "
"551170","554530"," Et il va trouver un endroit favorable à"
"554530","556490"," leur dépôt, à leur multiplication."
"557110","558810"," Et par la suite, il y aura formation"
"558810","561330"," de végétation, c'est-à-dire des formations"
"561330","566690"," constituées de germes et de la réaction inflammatoire"
"566690","567370"," tout autour."
"567370","571790"," Et à la suite du fonctionnement du cœur,"
"572090","574190"," il y aura la fragmentation de ces végétations"
"574190","577790"," et l'élimination et l'envoi d'embouts"
"577790","581230"," septiques qui vont se déposer vers plusieurs organes"
"581230","585070"," et être responsables de localisations secondaires. "
"586530","588150"," Alors, qu'est-ce que ça veut dire"
"588150","590230"," le pari microbiologique?"
"590370","593490"," Le pari microbiologique, c'est-à-dire prévoir,"
"594130","596850"," quand on est devant une infection, devant un"
"596850","599830"," sepsis, devant un germe septique, prévoir quel est"
"599830","603550"," le germe qui est le plus responsable de"
"603550","604310"," cette infection."
"604310","610270"," Parce que le sepsis, essentiellement une infection, c "
