"start","end","text"
"1480","4440"," La biopsie cutanée consiste à prélever un fragment"
"4440","6340"," d'une lésion à des fins diagnostiques."
"6800","9220"," Le prélèvement doit porter sur une lésion récente,"
"9700","12040"," non modifiée par le grattage ou les traitements"
"12040","12440"," locaux."
"15230","19450"," Le matériel nécessaire comporte gants et compresse stérile,"
"19810","24550"," antiseptiques type bétadine, seringue et insuline, xylocaïne à"
"24550","28210"," 1% avec ou sans adrénaline, flacons contenant"
"28210","32410"," un fixateur formol ou boin, champ stérile percé,"
"33230","35930"," manche de bistauri pour lames n°15 ou 11,"
"36650","40170"," pince à disséquer à griffes, ciseaux, porte-aiguilles,"
"40810","44010"," fils de suture non résorbables avec aiguilles triangulaires"
"44010","46570"," type crin, nylon ou soie. "
"47330","49510"," Le fil sera d'autant plus fin que"
"49510","51250"," l'épaisseur de la peau sera fine."
"51250","54530"," En utilisera par exemple du 5-0 pour"
"54530","57070"," le visage, du 3-0 pour les membres."
"57710","60030"," Punch ou bistauri circulaire qui a le même"
"60030","61670"," rôle que le bistauri ordinaire. "
"62170","64230"," C'est un manche cylindrique terminé par une"
"64230","65870"," lame circulaire à bord tranchant."
"66370","68570"," Il existe dans différentes tailles allant de 2"
"68570","69990"," à 6 mm de diamètre."
"71250","72950"," Passons maintenant à la technique. "
"73550","75510"," On enfile les gants de manière stérile."
"77670","80770"," Les lésions à biopsie sont des papules érythémateuses"
"80770","81430"," de la cuisse."
"82510","84590"," On procède à la désinfection locale. "
"86230","88250"," On met en place un champ percé."
"89450","91690"," Puis on prépare 1 à 2 cc de"
"91690","94330"," l'hydocaïne adrénalinée à 1%."
"95230","97810"," L'injection se fait en intradermique. "
"98290","100890"," Elle doit provoquer un blanchiment avec aspect de"
"100890","102730"," peau d'orange au niveau de la zone"
"102730","103290"," à biopsie."
"103290","107930"," L'utilisation de préparation adrénalinée est contre-indiquée"
"107930","109370"," au niveau des extrémités."
"112910","115090"," On incise par le punch en combinant un"
"115090","117090"," mouvement de rotation entre le pouce et l "
"117090","119370","'index à une force de pression verticale. "
"123100","125680"," On récupère le fragment qu'on déposera dans"
"125680","126440"," le fixateur."
"129590","131550"," On suture la plaie en un seul plan."
"132330","133430"," Un seul point suffit. "
"134830","137630"," L'ablation du fil se fera dans ce"
"137630","140110"," cas entre le 10e et le 15e jour."
"140890","142670"," Elle est d'autant plus précoce que la"
"142670","143250"," peau est fine."
"151290","153870"," On protège par un pansement qu'on changera"
"153870","154850"," tous les deux jours. "
"157110","160030"," La biopsie fusiforme est indiquée pour des lésions"
"160030","162490"," dont l'intégrité est primordiale pour l'examen"
"162490","162770"," anatomopathologique."
"164350","165730"," C'est le cas des lésions vésiculobuleuses."
"167030","169610"," Elle est également préconisée pour des lésions profondes. "
"169730","173370"," Le sens du fuseau tracé au crayon dermographique"
"173370","175630"," doit suivre les lignes de traction naturelles de"
"175630","175990"," la peau."
"177330","183270"," On pratique une désinfection locale, puis une anesthésie"
"183270","187150"," intradermique en périphérie de la lésion, le principe"
"187150","189310"," étant le même que pour la biopsie au"
"189310","189630"," punch."
"198930","202190"," On incise en suivant le tracé dessiné. "
"202190","205630"," On maintient le fragment incisé par une de"
"205630","207550"," ses extrémités à l'aide d'une pince"
"207550","209850"," à disséquer pour éviter de l'écraser."
"210470","218980"," On excise au ciseau ou au bistouri, puis"
"218980","221360"," on conserve dans le flacon approprié."
"222500","225080"," On suture par des points séparés dont le"
"225080","227520"," nombre dépendra de la taille du fuseau. "
"235790","238310"," Le fil est noué sur le côté sans"
"238310","241650"," trop serrer, ainsi qu'un bref descriptif des"
"241650","243850"," lésions élémentaires et de leur groupement."
"245070","247410"," On n'omettra pas d'évoquer un ou"
"247410","251090"," plusieurs diagnostics qui orienteront l'anatomo-pathologiste. "
