"start","end","text"
"1370","4830"," Bonjour, dans le cadre des cours d'anatomie"
"4830","10670"," en relation avec l'appareil otorhinolaryngologique, nous allons"
"10670","12710"," parler aujourd'hui de l'anatomie de l "
"12710","14710","'appareil auditif."
"16410","18350"," Alors c'est quoi cet appareil auditif?"
"18530","22590"," C'est l'ensemble des structures anatomiques qui"
"22590","26530"," vont être responsables de la transmission et de"
"26530","33890"," la perception des sangs et pour assurer aussi"
"33890","36090"," le maintien de l'équilibre, comme nous allons"
"36090","39010"," le voir à partir de l'oreille interne."
"40330","43630"," C'est un appareil qui est assez complexe,"
"43810","46950"," il est formé d'un certain nombre de"
"46950","51350"," segments, à savoir l'oreille externe, l'oreille"
"51350","56510"," moyenne, l'oreille interne, les voies auditives et"
"56510","57310"," les centres auditifs. "
"57450","60350"," Et donc, vous comprenez très bien que cet"
"60350","64470"," appareil va permettre d'acheminer les sangs via"
"64470","69550"," l'oreille externe pour stimuler l'oreille moyenne"
"69550","73330"," et exciter l'oreille interne, qui va bien"
"73330","77370"," sûr assurer la transmission nerveuse vers les voies"
"77370","80590"," auditives et bien par conséquent, les centres auditifs."
"82230","84930"," Où se situe cet appareil auditif?"
"84930","91500"," Il se situe de façon bilatérale au niveau"
"91500","96080"," de la jonction entre la tête, la face"
"96080","97700"," et le cou."
"100020","104400"," Il est situé de façon équidistante par rapport"
"104400","107480"," à une ligne médiane passant par la pyramide"
"107480","113760"," nasale et l'occipite pour pouvoir assurer, comme"
"113760","116300"," on va le voir, la fonction de l "
"116300","122880","'équilibre et bien sûr de l'audition dans"
"122880","126520"," l'espace pour assurer l'audition dans tout"
"126520","128919"," l'environnement, de tout l'environnement sonore. "
"130060","133140"," Il est creusé au niveau de l'os"
"133140","136800"," temporale et plus particulièrement au niveau de la"
"136800","140560"," partie horizontale de cette os temporale et qu "
"140560","143300","'on appelle la pyramide pétreuse que vous voyez"
"143300","145460"," sur ce schéma."
"146240","150680"," Qui vous montre l'os temporal avec l "
"150680","152580","'écaille de l'os temporal, c'est à"
"152580","157260"," dire la partie verticale et la pyramide pétreuse"
"157260","162820"," avec sa base postérieure et son sommet antérieur"
"162820","164420"," et interne."
"166230","169470"," Vous voyez au travers de ce schéma en"
"169470","170450"," vue supérieure. "
"171210","175510"," Cet appareil auditif creusé dans cet os temporal"
"175510","182530"," en individualisant le conduit auditif externe qui va"
"182530","187730"," donner accès à la caisse du tympan qui"
"187730","192490"," fait partie de l'oreille moyenne et qui"
"192490","195490"," communique en avant avec la trempe de stache"
"195490","199510"," et en arrière avec les cellules de la"
"199510","201950"," base de la pyramide pétreuse et qu'on"
"201950","209030"," appelle la mastoïde et qui va aboutir à"
"209030","211510"," l'oreille interne comme vous voyez sur le"
"211510","215670"," schéma sur laquelle on distingue une partie antérieure"
"215670","219770"," en coquille d'escargot responsable de l'audition"
"219770","222850"," ce qu'on appelle la cochlée et une"
"222850","226510"," partie postérieure formée par le vestibule et les"
"226510","229630"," canaux semi-circulaires responsables de l'équilibre."
"230150","232930"," A partir de cette oreille interne vous voyez"
"232930","237030"," individualiser un autre conduit qu'on appellera le"
"237030","240730"," conduit auditif interne et au niveau duquel on"
"240730","245470"," va trouver les voix auditives, nerveuses bien sûr,"
"245570","248270"," les nerfs, le nerf auditif et qui vont"
"248270","253810"," acheminer les informations sonores vers le système nerveux"
"253810","254110"," central."
"255570","259070"," Nous allons étudier ces différents segments un par"
"259070","261950"," un et bien sûr, au fur et à"
"261950","264670"," mesure, on vous dira de quoi il est"
"264670","266150"," responsable chacun des segments. "
"267970","271030"," L'oreille externe, l'oreille externe, c'est"
"271030","273830"," la partie la plus externe de l'appareil"
"273830","274610"," auditif."
"274730","279490"," Vous la voyez schématisé au niveau du schéma"
"279490","282870"," sur la diapositive et limitée en dedans par"
"282870","284470"," cette première ligne verte."
"285310","288250"," Il est constitué du pavillon de l'oreille"
"288250","292990"," et du conduit auditif externe et comme vous"
"292990","295990"," le voyez très bien, grosso modo, il a"
"295990","298570"," la forme d'un entonnoir. "
"300410","305890"," Le pavillon de l'oreille est constitué d "
"305890","311810","'un fibrocartilage qui est recouvert par de la"
"311810","315970"," peau, dont l'anatomie est très importante à"
"315970","318390"," connaître parce qu'il est formé d'un"
"318390","322730"," certain nombre de reliefs et de dépressions et"
"322730","326770"," qu'on doit, bien sûr, connaître de façon"
"326770","328330"," approfondie."
"329210","333510"," Le premier relief de ce pavillon de l "
"333510","336950","'oreille est formé par l'hélix, c'est"
"336950","340410"," à dire la partie la plus postérieure et"
"340410","342830"," supérieure du pavillon de l'oreille que vous"
"342830","347070"," voyez sur cette photo du pavillon d'oreille,"
"348170","352290"," devant laquelle on retrouve un deuxième relief et"
"352290","355830"," qu'on appelle l'antélix et l'hélix"
"355830","360290"," et l'antélix sont séparés par une gouttière"
"360290","363290"," qu'on appelle la gouttière scaphoïde."
"364910","369030"," En avant du conduit auditif externe, on trouve"
"369030","373350"," un relief cartilagineux qu'on appelle le tragus"
"373350","379110"," et à l'extrémité inférieure de l'antélix,"
"380070","383870"," en regard du tragus, on retrouve un relief"
"383870","387170"," cartilagineux qu'on appelle l'antitragus. "
"390910","394830"," L'excavation du pavillon de l'oreille en"
"394830","401290"," avant de l'antélix, donnant accès au conduit"
"401290","405110"," auditif externe, s'appelle la conque."
"408760","412060"," La partie la plus inférieure du pavillon de"
"412060","415400"," l'oreille est une partie qui est dépourvue"
"415400","420400"," de cartilage et il est appelé le lobule"
"420400","421140"," de l'oreille."
"423830","426230"," Le conduit auditif externe qui fait suite au"
"426230","428810"," pavillon de l'oreille est un conduit qui"
"428810","435890"," est cylindrique, orienté de façon horizontale mais en"
"435890","440470"," avant et en dedans, d'une longueur de"
"440470","446390"," 2,5 cm et il présente 4 parois. "
"448400","452240"," Sa paroi supérieure est en rapport avec la"
"452240","455360"," base du crâne, vous voyez très bien sur"
