"start","end","text"
"390","1009"," Bonjour."
"1770","6110"," Dans ce chapitre, l'anatomie du système lacrymal"
"6110","11010"," est subdivisée en anatomie d'étudiants et zoologie."
"11510","14290"," La connaissance de ces deux anatomies est essentielle"
"14290","16290"," pour la chirurgie des voies lacrymales. "
"17650","19510"," Donc, voilà le plan de la question."
"19670","23350"," Après une introduction, anatomie descriptive, appareil de lacrymal"
"23350","28230"," secréteur, les glandes lacrymales, l'appareil lacrymal excréteur,"
"28430","31330"," les voies de drainage lacrymales, à savoir le"
"31330","35030"," sac lacrymal, les points lacrymaux, les canalicules lacrymaux,"
"35150","37730"," le canal d'union, le sac lacrymal, le"
"37730","42630"," conduit lacrymonasal, puis le chapitre de vascularisation et"
"42630","44090"," nervation avant de conclure."
"45310","48610"," Par définition, le système lacrymal est constitué de"
"48610","52430"," plusieurs composantes qui permettent la formation des lacrymales,"
"52430","54750"," leur répartition sous la surface antérieure du globe"
"54750","59110"," oculaire et leur évacuation par le système excréteur. "
"59350","63390"," Il comporte donc l'appareil lacrymal excréteur, c "
"63390","65450","'est-à-dire la glande lacrymale principale et"
"65450","66010"," accessoire."
"66170","69170"," La glande lacrymale principale est située à la"
"69170","72350"," partie antérieure supérieure et latérale de l'orbite."
"73590","76690"," Et l'appareil lacrymal excréteur, les voies de"
"76690","77090"," drainage. "
"78170","80010"," D'abord, le film lacrymal."
"80130","84330"," Le film lacrymal, c'est un liquide qui"
"84330","88290"," participe à la nutrition, le lavage et la"
"88290","90570"," protection de la surface antérieure de l'œil."
"91790","97110"," Donc, la sécrétion de ce film lacrymal est"
"97110","104010"," produite par la glande lacrymale principale et les"
"104010","107090"," tissus lacrymaux accessoires et la glande crousse et"
"107090","107990"," la glande ophryque. "
"108930","111550"," Donc, il faut savoir que sa qualité et"
"111550","115250"," sa bonne répartition impliquent une sécrétion diversifiée et"
"115250","116530"," une sécrétion adaptée."
"117130","120470"," La distribution de ces larmes est sous la"
"120470","124530"," dépendance de paupières qui distribuent l'arme sur"
"124530","128110"," tous les propulses luminesques lacrymales, donc les paupières"
"128810","131610"," qui permettent de distribuer l'arme sur la"
"131610","136290"," face antérieure du globe oculaire et propulse les"
"136290","139830"," luminesques lacrymales le long du bord octébral."
"140790","143930"," Donc, le recueil des larmes, les larmes pénètrent"
"143930","147270"," dans l'héméa, donc dans l'héméa lacrymaux"
"147270","149570"," au niveau de l'extrémité interne des paupières,"
"149930","152430"," passant par les canalicules supérieures et inférieures et"
"152430","155450"," par les canalicules d'union dans le sac"
"155450","155970"," lacrymal. "
"157510","162210"," Sur ce schéma qui montre la structure du"
"162210","165790"," film lacrymal, le film lacrymal était décrit comme"
"165790","168030"," une structure faite de trois couches."
"168890","173430"," La couche superficielle lépidique, la couche superficielle lépidique"
"173430","176050"," en contact avec l'air, et cette couche"
"176050","179690"," est produite à partir de l'endomébumus au"
"179690","183410"," niveau de la paupière, ainsi que de l "
"183410","185970","'endomébumus par les glands de zeïs et les"
"185970","187570"," glands de molde."
"188090","191010"," Les principales fonctions de la couche lépidique sont"
"191010","194530"," de lutter contre l'évaporation des larmes et"
"194530","200430"," d'assurer le glissement des paupières sur la"
"200430","200750"," cornée. "
"201390","205230"," La deuxième couche est une couche intermédiaire, donc"
"205230","206670"," une couche aqueuse."
"206670","211010"," Elle est essentiellement sécrétée par les glands lacrymales"
"211010","215510"," principaux et accessoirement par les glands lacrymales de"
"215510","216870"," cousse et wolfring."
"217590","220430"," La troisième couche, c'est la couche mycoïde,"
"220950","223310"," c'est la couche mycoïde ou mycoïse la"
"223310","224250"," plus profonde. "
"224890","228170"," Elle est en contact avec l'épithélium corneal,"
"228350","231090"," donc cette couche est sécrétée par les cellules"
"231090","235930"," calciformes et epithéliales de la conjonctive et accessoirement"
"235930","237330"," par les glands lacrymales."
"238150","242410"," Il faut retenir que le rôle principal du"
"242410","246010"," film lacrymal, d'abord c'est de protéger"
"246010","251710"," de façon permanente la cornée et la conjonctive"
"251710","257390"," et d'assurer l'humidification de la cornée"
"257390","265090"," ainsi comme un lubrifiant favorisant le glissement des"
"265090","266330"," paupières sur la cornée."
"266750","269830"," Il y a également un rôle optique, donc"
"269830","272550"," le film lacrymal crée un effet en avant"
"272550","277950"," de la cornée, donc des surfaces régulières qui"
"277950","279590"," permettent un bon point de vision précis. "
"281170","284570"," Sur le plan anatomique, l'appareil lacrymal est"
"284570","286170"," subdivisé en deux parties."
"286810","290210"," L'appareil lacrymal sécréteur, c'est les glands"
"290210","296190"," lacrymales principales et accessoires, et l'appareil lacrymal"
"296190","299410"," excréteur, c'est-à-dire les voies lacrymales"
"299410","306410"," de drainage composées de lacs lacrymales, des points"
"306410","310270"," lacrymaux, les canalicules lacrymaux, le canal d'union,"
"310590","314310"," le sac lacrymal et le conduit lacrymaux nasal."
"315090","318070"," Deuxièmement, l'anatomie des glands lacrymales. "
"318290","321290"," Deux types de glands lacrymales, les glands lacrymales"
"321290","324950"," principales et les glands lacrymales accessoires."
"325630","331500"," Les glands lacrymales principales sont situés au niveau"
"331500","334280"," de l'angle extérieur du toit de l "
"334280","337440","'orbite et se trouvent dans une poussette située"
"337440","340160"," dans l'os frontal, dans la partie entérante"
"340160","343340"," supérieure et latérale de l'orbite, donc en"
"343340","344900"," arrière du rebord orbitaire."
"345660","348280"," Sur cette coupe de l'orbite droite, montrant"
"349570","352920"," le toit de l'orbite et l'association"
"352920","355880"," de la poussette lacrymale ici, donc est située"
"355880","358340"," dans l'os frontal, dans l'os frontal,"
"358540","361420"," dans la partie entérante supérieure, la partie entérante"
"361420","366740"," supérieure et latérale de l'orbite, en arrière"
