"start","end","text"
"900","5000"," Bonjour, je suis le professeur Agregé Youssef Terwassi."
"5760","8940"," Nous allons parler maintenant de la région saouïdienne."
"12530","17930"," La région saouïdienne contient les parties molles situées"
"17930","19730"," en avant de l'axe viscéral du cou,"
"20270","23710"," sous l'océide et entre les deux muscles"
"23710","25770"," sternoclito-mastuidiens. "
"33430","34870"," Il s'agit en fait d'un plan"
"34870","39370"," de couverture musculo-aponeurotique des viscères du cou."
"43290","45870"," En ce qui concerne les limites, elles sont"
"45870","49750"," constituées en arrière par la gaine viscérale du"
"49750","55210"," cou, en haut par le plan horizontal passant"
"55210","58030"," par le corps de l'océide, en bas"
"58030","61830"," par la fourchette sternale et latéralement par les"
"61830","65690"," bords antérieurs des muscles sternoclito-mastuidiens."
"71840","73360"," Pour ce qui est de l'anatomie de"
"73360","75720"," surface, il s'agit d'un triangle à"
"75720","80880"," base supérieure constitué par l'océide et un"
"80880","85280"," sommet inférieur constitué par la fourchette sternale. "
"86280","89940"," Nous voyons ici une saille immédiate constituée par"
"89940","94140"," le cartilage séroïde et le cartilage cricoïde."
"95260","98220"," Il est excavé en susterne."
"99300","101280"," En ce qui concerne la peau, il y"
"101280","105440"," a des plis transversaux qui permettent des incisions"
"105440","108240"," chirurgicales esthétiques. "
"111860","116580"," Nous allons parler maintenant du plan aponeurotique superficiel."
"116580","121220"," L'aponeurose cervicale superficielle s'insère en haut"
"121220","124500"," au niveau du bord inférieur de la mandible"
"124500","126540"," et en bas au niveau de la fourchette"
"126540","128220"," sternale et des clavicules."
"129580","132220"," Elle présente un dédoublement latéral qui va engaîner"
"132220","134840"," les muscles sternoclito-mastuidiens. "
"135680","137980"," Elle va adhérer au milieu à l'aponeurose"
"137980","141900"," cervicale moyenne au niveau de la ligne blanche."
"143620","147680"," Nous passons maintenant au plan musculo-aponeurotique moyen"
"147680","151720"," qui comporte quatre muscles subiuïdiens qui sont organisés"
"151720","154140"," en deux couches superficielles et profondes."
"154740","157680"," L'aponeurose cervicale moyenne s'insère au niveau"
"157680","160300"," de l'océanide en haut et sur le"
"160300","162640"," milieu de la sternale et des clavicules et"
"162640","165060"," également les ongles glaces en bas. "
"166480","169900"," L'aponeurose cervicale moyenne se dédouble latéralement."
"170820","173600"," Le feuillet profond va engaîner les muscles de"
"173600","177160"," la couche profonde et le feuillet superficiel de"
"177160","180420"," cette aponeurose cervicale moyenne va engaîner les muscles"
"180420","182140"," de la couche superficielle."
"184960","189540"," Nous allons parler maintenant des muscles subiuïdiens au"
"189540","192660"," niveau de la couche superficielle et nous commençons"
"192660","194700"," par les muscles sternoclito-éuidiens. "
"195740","198420"," Il va s'insérer au niveau du manubrium"
