"start","end","text"
"1270","4390"," Alors ça c'est un cours qui fait"
"4390","7970"," partie de l'anatomie 4 sur l'anatomie"
"7970","8890"," du nerf facial."
"10830","13490"," Alors le nerf facial ou l'assatien par"
"13490","17590"," crânien, c'est un nerf qui appartient au"
"17590","21110"," deuxième arc bronchial du point de vue embryologique"
"21110","24130"," et qui présente certaines particularités."
"24130","25790"," C'est un nerf qui est très important"
"25790","28070"," pour tous les médecins, surtout en ORL, mais"
"28070","30890"," pour tous les médecins, puisque les paralysies faciales"
"30890","34850"," restent un motif de consultation fréquent auquel le"
"34850","37730"," médecin doit essayer de répondre à plusieurs questions"
"37730","42270"," concernant le mécanisme, le niveau d'atteinte du"
"42270","42650"," nerf. "
"43030","45290"," Et ce nerf là, il présente des particularités"
"45290","46330"," qui sont très importantes."
"46330","48610"," D'abord, c'est un nerf qui a"
"48610","49450"," deux racines."
"49990","52190"," Il met au niveau du tronc cérébral une"
"52190","54010"," lession bioportique par deux racines. "
"54130","55970"," On va voir ça en détail par la"
"55970","56190"," suite."
"56810","58750"," C'est un nerf mixte qui va assurer"
"58750","59610"," plusieurs fonctions."
"59790","62330"," La première, c'est la motricité faciale. "
"63050","64910"," La deuxième, c'est une fonction sensitive au"
"64910","66930"," niveau du conduit auditif externe."
"66930","69810"," La troisième, c'est une fonction végétative, surtout"
"69810","75630"," sécrétoire et une quatrième fonction sensorielle au niveau"
"75630","77430"," concernant la gustation."
"77430","79870"," Il a un trajet qui est complexe puisqu "
"79870","84790","'il va traverser l'angle ontocérébrelleux, puis il"
"84790","87630"," va traverser le rocher à travers le conduit"
"87630","90530"," auditif interne, à travers l'oreille interne, l "
"90530","91290","'oreille moyenne. "
"91290","96590"," Avec un trajet qui est complexe dans un"
"96590","98390"," canal osseux qu'on appelle le canal de"
"98390","99970"," Fallot, puisqu'il expose les traumatismes."
"101490","103830"," Et il va avoir à travers ce trajet"
"103830","107750"," des rapports très importants, ce qui expose ce"
"107750","111550"," nerf à des atteintes qui vont être d "
"111550","114810","'idéologie et d'origine très variées en fonction"
"114810","117210"," de la zone qui est touchée."
"119330","121690"," Alors, on va traiter la question selon le"
"121690","122210"," plan suivant. "
"122330","124590"," On va voir l'origine, le trajet et"
"124590","126650"," les rapports du nerf au niveau de la"
"126650","129090"," fosse cérébrale postérieure, là où il est."
"129650","131590"," On a un trait pétreux, là où il"
"131590","134210"," décrit un trajet qui est assez complexe."
"135010","137950"," Au niveau du trou silomastidien, et bien sûr"
"137950","140470"," au niveau de la région parotidienne où il"
"140470","143430"," va présenter ses branches terminales. "
"143430","144310"," Et bien sûr, à la fin, on va"
"144310","147190"," voir les branches collatérales pour voir les principales"
"147190","148790"," fonctions du nerf."
"149890","153810"," Alors, le nerf facial prend l'essence au"
"153810","155510"," niveau du tronc cérébral."
"157210","160370"," Son noyau est constitué de plusieurs parties. "
"160990","163170"," Il y a d'abord le contingent moteur"
"163170","164290"," et végétatif."
"165430","168470"," C'est-à-dire que cette partie, l "
"168470","171550","'assiège au niveau du tronc cérébral, qu'on"
"171550","172670"," voit sur le schéma ici."
"172670","176390"," La partie rouge constitue le noyau moteur. "
"177130","179730"," Et la partie végétative est constituée par le"
"179730","185130"," noyau mycolacrim nasal et le noyau salivaire."
"185990","192950"," Le contingent sensorel, puisque ce sont des fibres"
"192950","200230"," afférentes, siège au niveau du gonglion géniculé, qu "
"200230","201430","'on verra par la suite."
"203410","206430"," Une particularité par rapport au noyau moteur du"
"206430","208470"," nerf facial, qui siège au niveau de la"
"208470","211290"," protubérance, c'est qu'il est formé de"
"211290","211930"," deux parties. "
"212150","214830"," Une partie qui va assurer l'énervation du"
"214830","218050"," territoire supérieur et une partie qui va assurer"
"218050","220730"," l'énervation du territoire inférieur."
"221130","223910"," La partie qui assure l'énervation du territoire"
"223910","230990"," supérieur reçoit les fibres de l'air cortical"
"230990","236370"," préfrontal de façon homolatérale et contralatérale."
"237230","240450"," Mais la partie qui énerve le territoire inférieur"
"240450","245570"," reçoit uniquement les fibres de l'air cortical"
"245570","248530"," préfrontal contralatéral. "
"248530","253730"," À la sortie du nerf à partir du"
"253730","261250"," noyau vers la face, le nerf contient les"
"261250","265790"," fibres qui viennent du côté homolatéral et contralatéral"
"265790","270770"," pour la partie supérieure et l'énervation uniquement"
"270770","273690"," contralatérale pour le territoire inférieur."
"273690","278570"," À partir de là, on peut avoir deux"
"278570","280690"," types d'atteintes du nerf facial, c'est "
"280690","282910","-à-dire deux types de paralysie faciale."
"282930","285530"," Si on a une atteinte périphérique, c'est "
"285530","287730","-à-dire qu'elle touche le nerf à"
"287730","290110"," ce niveau-là, on aura une atteinte du"
"290110","292990"," territoire supérieur et inférieur. "
"293530","296850"," Si on a par exemple l'atteinte uniquement"
"296850","300870"," au niveau du système nerveux central, c'est "
"300870","303810","-à-dire qu'elle touche le cortex cérébral"
"303810","310530"," moteur contralatéral, l'autre partie contralatérale pourra continuer"
"310530","313890"," à assurer l'énervation de la face, mais"
"313890","316170"," uniquement au niveau du territoire supérieur."
"316890","319090"," Et dans ce cas-là, on parlera de"
"319090","321390"," paralysie faciale centrale."
"322170","323990"," On aura deux types de paralysie faciale. "
"324150","325930"," Périphérique, c'est l'atteinte qui touche le"
"325930","326910"," trangulaire ici."
"326910","329990"," Et on aura une paralysie faciale centrale, c "
"329990","333590","'est l'atteinte qui touche les fibres cortico "
"333590","339910","-nucléaires avant d'arriver au niveau du noyau."
"340890","342610"," Voilà l'exemple type. "
"343070","345810"," On voit que ce patient a une paralysie"
"345810","350230"," faciale gauche puisque la face est déviée à"
"350230","350610"," droite."
"351150","352750"," Et vous voyez très bien qu'elle a"
"352750","356010"," une déviation au niveau du territoire inférieur."
"356010","358290"," Et en même temps, il n'arrive pas"
"358290","360230"," à fermer le gauche. "
"360570","362410"," Alors dans ce cas-là, on est sûr"
"362410","366350"," d'avoir une paralysie faciale périphérique puisque les"
"366350","369210"," deux territoires sont touchés."
"369590","370910"," C'est ce qu'on appelle le signe"
"370910","373530"," de Charles Bell que vous allez voir en"
"373530","374390"," signologie."
"375930","377070"," Alors qu'en est-il de l'origine"
"377070","378910"," apparente du nerf facial ?"
"378910","383890"," Le nerf facial, il va émerger par deux"
"383890","384390"," racines. "
"384390","387910"," La racine motrice et la racine sensitive et"
"387910","388770"," sensorielle."
"388990","392550"," Alors la racine motrice, elle émerge au niveau"
"392550","395410"," du sillon bulbo-protubérantiel."
"395950","398570"," Et juste à côté d'elle, au niveau"
"398570","401330"," de la faucette latérale des bulbes, c'est"
"401330","403870"," la racine sensitive et sensorielle qui est grelle"
"403870","407410"," et qui constitue le nerf intermédiaire de Riesberg. "
"407410","412850"," Alors ces deux racines émergent en dehors et"
"412850","416530"," en arrière du nerf oculomoteur externe et en"
"416530","420050"," dedans du nerf cochléo-vestibulaire."
"422110","425330"," Alors ces trois structures, c'est-à-dire"
"425330","428170"," le nerf facial moteur ainsi que le nerf"
"428170","431090"," intermédiaire de Riesberg et le nerf cochléo-vestibulaire"
"431090","433950"," forment ce qu'on appelle le paquet acoustico "
"433950","437570","-facial qui va se diriger en avant, en"
"437570","440550"," haut et en dehors vers le conduit auditif"
"440550","444250"," interne en traversant l'angle pontocérébule."
"445870","447590"," Alors c'est un autre schéma qui montre"
"447590","449290"," ce qu'on vient de dire, c'est "
"449290","452010","-à-dire le tronc cérébral avec le pont,"
"453030","455670"," le bulbe, le sillon bulbo-protique. "
"455870","458790"," On voit ici les deux racines du nerf"
"458790","464390"," facial avec en dedans le nerf abducens et"
"464390","468670"," juste à côté et en arrière le nerf"
"468670","470750"," cochléo-vestibulaire."
"471570","473870"," Même chose ici ce qu'on voit, alors"
"473870","479530"," le pont avec le bulbe, sillon bulbo-protiguant"
"479530","483450"," en ciel, le paquet acoustico-facial constitué par"
"483450","487710"," le nerf facial moteur, le nerf intermédiaire de"
"487710","493590"," Riesberg et le nerf cochléo-vestibulaire et en"
"493590","498070"," avant l'émergence du nerf abducens, le trait"
"498070","501590"," jumeau en haut, le tout au niveau du"
"501590","504050"," sillon bulbo-protiguant en ciel."
"504630","508030"," Alors le paquet acoustico-facial se dirige en"
"508030","509870"," avant et en dehors, un peu en haut"
"509870","514190"," en traversant l'angle pontocérébuleux et en se"
"514190","517130"," dirigeant vers le conduit auditif interne. "
"518169","522190"," Alors ça c'est un autre schéma qui"
"522190","530390"," montre le trajet intracrânien du nerf facial où"
"530390","533850"," il fait partie du pellicule acoustico-facial."
"534450","543090"," Ici le nerf facial accompagné du nerf intermédiaire."
"544090","548130"," En arrière et en dehors vous avez le"
"548130","550470"," nerf cochléo-vestibulaire. "
"551290","556090"," Les trois éléments vont traverser l'angle pontocérébuleux"
"556630","562210"," en étant entourés par de l'arachnoïde et"
"562210","566630"," en passant dans le LCR."
"566630","570850"," Et de ce fait, il reste exposé, en"
"570850","573970"," cas par exemple de mélingite, à une atteinte"
"573970","577510"," infectieuse qui peut être responsable de paralysie faciale,"
"577850","579210"," parfois même de surdité."
"579410","581810"," Même chose en cas de tumeur de l "
"581810","586430","'angle pontocérébuleux, puisque les trois éléments ont des"
"586430","587830"," rapports anatomiques intimes. "
"588370","590050"," Si on a par exemple une tumeur au"
"590050","592610"," niveau de l'angle pontocérébuleux, on peut avoir"
"592610","595090"," une paralysie faciale, comme on peut avoir en"
"595090","600510"," même temps une surdité, voire même des vertiges,"
"601110","603790"," puisque le pellicule acoustico-facial peut être touché."
"607250","610110"," Sur ce schéma, on voit très bien l "
"610110","612810","'os pétreux, c'est-à-dire le rocher"
"612810","615070"," qui fait partie de l'os."
"617010","622090"," Le rocher avec sa pointe, sa base, sa"
"622090","624730"," face supérieure, sa face postérieure. "
"625830","628070"," Le rocher fait partie de l'os temporal,"
"628390","631330"," et sur sa face postérieure, elle présente le"
"631330","633710"," conduit auditif interne."
"634930","638870"," Ce bord postérosupérieur, c'est la limite entre"
"638870","642490"," l'étage moyen et l'étage postérieur de"
"642490","643370"," la base du crâne."
"643990","645870"," Alors, sur sa face postérieure, il y a"
"645870","649330"," le conduit auditif interne, vers lequel se dirige"
"649330","653590"," le paquet acoustico-facial, c'est-à-dire"
"653590","656550"," le nerf facial avec le nerf cochléo-vestibulaire,"
"657810","660050"," où ils vont pénétrer. "
"660450","662570"," On voit très bien la position anatomique du"
"662570","664730"," conduit auditif interne."
"666850","671970"," Alors, maintenant, on va passer du trajet endocranien"
"671970","678970"," ou intracranien vers le trajet intrapétreux."
"679710","682030"," C'est-à-dire là, elle était au"
"682030","683770"," niveau de l'angle penteux cérébreux. "
"683930","689150"," Maintenant, le nerf facial accompagné du nerf cochléo "
"689150","693410","-auditif interne, ils vont pénétrer au niveau du"
"693410","695790"," conduit auditif interne."
"695790","701230"," C'est un conduit osseux qui va livrer"
"701230","706310"," passage aux pellicules acoustico-faciales selon une disposition"
"706310","710950"," particulière, puisqu'on va avoir en bas le"
"710950","713990"," nerf cochléo-vestibulaire qui va former une gouttière"
"713990","715950"," sur sa face supérieure."
"716950","720310"," Et dans cette gouttière, on aura le nerf"
"720310","726870"," facial qui va être accompagné par ce nerf"
"726870","729830"," et par l'artère auditive interne. "
"731030","735630"," Alors, au fond du conduit auditif interne, ces"
"735630","740370"," structures vont se séparer puisque chacun va se"
"740370","746210"," diriger vers une région anatomique particulière."
"748410","755990"," On va nous montrer la face supérieure des"
"755990","756490"," rochers."
"756690","760610"," C'est le conduit auditif interne qui a"
"760610","764010"," été ouvert au niveau de sa partie supérieure. "
"765230","767730"," Et on voit à l'intérieur le paquet"
"767730","774310"," acoustico-facial avec le nerf facial ici, le"
"774310","776310"," nerf cochléo-vestibulaire en bas."
"777230","780230"," Et remarquez que le tout est entouré par"
"780230","780950"," les mélanges."
"781830","785150"," Ce qui fait que les mélanges pénètrent à"
"785150","789570"," partir de l'angle pantocérébuleux et vont pénétrer"
"789570","791750"," à l'intérieur jusqu'au niveau du fond"
"791750","794970"," du conduit auditif interne. "
"794970","798590"," Et de ce fait, si on a par"
"798590","803710"," exemple une fracture du rocher, on peut avoir"
"803710","807530"," une brèche, une ouverture au niveau des mélanges"
"807530","809730"," et ça peut expliquer le fait qu'on"
"809730","813110"," a certains écoulements du LCR au niveau de"
"813110","817730"," l'oreille moyenne après les traumatismes crâniens."
"818950","823090"," Alors, toujours dans le trajet intrapétreux, au fond"
"823090","826110"," du conduit auditif interne, qu'est-ce qui"
"826110","826810"," va se passer?"
"827530","831430"," Alors, on a dit que les différents nerfs"
"831430","832330"," vont se séparer."
"833050","839450"," Mais il faut savoir que d'abord, ce"
"839450","842830"," fond est divisé en deux étages par une"
"842830","844610"," crête transversale. "
"845450","847650"," L'étage supérieur est divisé par une crête"
"847650","849070"," verticale."
"850070","853990"," La partie antérieure supérieure, c'est là où"
"853990","859090"," passe le nerf facial, moteur et accompagné du"
"859090","861030"," nerf intermédiaire."
"862030","865050"," C'est là où le nerf facial passe"
"865050","868490"," à travers cet orifice et pénètre dans le"
"868490","871870"," canal de Fallop, dans lequel il va cheminer"
"871870","874250"," le long de son trajet intrapétreux. "
"875250","881410"," La partie postérieure de cette R supérieure livre"
"881410","884130"," passage au nerf vestibulaire supérieur."
"884630","887730"," La partie inférieure ou bien l'étage inférieur"
"887730","891050"," présente aussi une R antérieure où passe le"
"891050","894490"," nerf cochléaire qui va se diriger vers la"
"894490","894890"," cochlée."
"895710","900210"," La partie postérieure de l'R inférieure livre"
"900210","903170"," passage au nerf vestibulaire inférieur. "
"906140","908880"," Dans l'académie de Fallop, le nerf facial"
"908880","911100"," va décrire trois portions."
"911820","915640"," D'abord, la portion labyrinthique qui a une"
"915640","920660"," direction horizontale en avant et en dehors entre"
"920660","923940"," le vestibule en arrière et la cochlée en"
"923940","924220"," avant."
"925360","929180"," Après, c'est la deuxième portion tympanique où"
"929180","931900"," le nerf se dirige en arrière dans une"
"931900","937500"," position presque horizontale Entre la portion labyrinthique et"
"937500","939840"," la portion tympanique il y a une zone"
"939840","941520"," qu'on appelle le genou du facial. "
"942700","944580"," La zone où le nerf change de direction"
"944580","946960"," pour se diriger en arrière."
"947360","948840"," C'est ce qu'on appelle le genou"
