"start","end","text"
"780","2140"," Donc, c'est bon, je crois qu'on"
"2140","5960"," peut démarrer alors pour une séance qui va"
"5960","7280"," durer à peu près une heure."
"8140","11320"," Donc, avant de commencer la révision de la"
"11320","14180"," partie du cours sur l'œil et de"
"14180","16160"," la neuro-ophtalmologie, est-ce que vous avez"
"16160","19940"," des questions ou des explications à demander ?"
"21950","23690"," Des chapitres particuliers que vous n'avez pas"
"23690","25090"," bien saisis ?"
"25710","27270"," Ou bien, je démarre directement."
"27270","29690"," Est-ce que vous pourriez expliquer la partie"
"29690","31070"," de la rétine ?"
"31070","35690"," Les différentes parties, la macule, la macula, la"
"35690","37130"," papule, la fourrure, etc. "
"39470","42430"," Alors, si vous permettez vos questions, vous posez"
"42430","47890"," vos questions sous forme de messages, pas en"
"47890","48190"," audio."
"49370","51290"," Alors, je suis en train de lire vos"
"51290","51650"," commentaires."
"52030","53630"," S'il vous plaît, posez les questions sous"
"53630","56550"," forme de messages, comme ça, ça reste écrit"
"56550","58370"," et je pourrai suivre vos commentaires. "
"82900","86180"," On arrivera à la partie de la rétine"
"86180","87400"," et je vais vous expliquer."
"88480","89820"," Alors, l'anatomie de la rétine, oui."
"90340","92440"," Alors, quelqu'un d'autre, est-ce qu "
"92440","96380","'il a d'autres questions à poser ?"
"96380","97040"," Ou bien, je démarre. "
"100600","101920"," Alors, au fur et à mesure, vous pouvez"
"101920","103260"," poser des questions si vous voulez."
"103700","109510"," Donc, je commence le cours."
"113340","117320"," Alors, c'est une petite révision du cours. "
"117400","120920"," Vous avez tout vu du cours réel."
"121660","124060"," Donc, sur un œil hémétrope, quand on dit"
"124060","125500"," un œil hémétrope, ça veut dire qu'il"
"125500","127520"," ne pose pas de problème de taille."
"127680","128620"," Ce n'est pas un œil qui est"
"128620","129860"," myope ou hypermétrope. "
"130520","133280"," Quand on précise myope ou hypermétrope, parce que"
"133280","134920"," les yeux qui sont myopes, ils sont plus"
"134920","137100"," gros, la taille est plus grande."
"137540","139360"," Les hypermétropes sont généralement plus petits."
"139360","142100"," Donc, ça, c'est des tailles du standard. "
"142360","143940"," Ça veut dire que c'est un œil"
"143940","146620"," de taille qui est normale."
"151640","154920"," Alors, on peut assimiler l'œil à un"
"154920","157060"," appareil photo."
"157900","159840"," Donc, la cornée et le cristallat seront l "
"159840","162280","'objectif, l'iris, le diaphragme et la rétine"
"162280","163340"," sera le pellicule. "
"165810","168490"," Alors, on peut décomposer l'œil de deux"
"168490","170110"," façons, soit en contenant-contenu."
"173070","176790"," Le contenant sera la coque corneosclérale et le"
"176790","180110"," contenu sera, soit des milieux qui sont transparents,"
"180850","183830"," les muraqueuses, cristallins, les vidrées, ou des milieux"
"183830","185350"," qui sont opaques comme l'UV."
"188410","192390"," La façon la plus intéressante pour décomposer l "
"192390","195790","'œil sera, c'est la segmentation, un segment"
"195790","197370"," antérieur et un segment postérieur. "
"197370","199710"," C'est très, très important, la segmentation."
"200670","202230"," Et ça, peut-être, ce sera une question"
"202230","203310"," d'examen."
"203930","205810"," Le segment antérieur, c'est toutes les parties"
"205810","208710"," qui sont situées en avant du cristallin, y"
"208710","209870"," compris du cristallin. "
"210470","214010"," Automatiquement, toutes les parties situées en arrière, et"
"214010","217110"," on va exclure le cristallin, sera le segment"
"217110","217970"," postérieur."
"219110","222890"," Donc, un schéma qui va expliquer cette segmentation."
"224150","229320"," Une corruite appartient. "
"229540","231760"," La corruite, c'est le segment postérieur."
"235510","238590"," La cornée, c'est le premier dioptre oculaire."
"239890","242450"," Des caractéristiques les plus importantes, c'est la"
"242450","248990"," transparence absolue qui va garantir cette netteté d "
"248990","250690","'image au niveau de la rétine et ce"
"250690","253810"," pouvoir réfractif cornéen. "
"254290","257769"," À l'état normal, elle est avasculaire, au"
"257769","258610"," moins au centre."
"259630","261150"," Je vais dire pourquoi au centre, parce qu "
"261150","264230","'à l'extrême périphérie, on peut percevoir des"
"264230","266410"," fins capillaires qui viennent du limbe."
"266550","268250"," Mais on peut dire que la cornée, elle"
"268250","270030"," est avasculaire à l'état normal. "
"270210","271910"," Elle est richement énervée."
"273710","280370"," Alors, pour donner des exemples, pour avoir quelques"
"280370","283150"," exemples qui vont essayer de coller les idées"
"283150","283890"," à vos esprits."
"283890","287890"," Une douleur occasionnée par un ulcère de cornée"
"287890","290790"," est plus importante qu'une douleur occasionnée par"
"290790","291630"," une rage dentaire. "
"291970","294430"," Ça explique la richesse d'innervation de la"
"294430","294770"," cornée."
"295710","298430"," C'est les tailles, les mesures."
"299250","301850"," Une notion très importante, c'est l'histologie"
"301850","304070"," de la cornée, de l'antérieur vers le"
"304070","304530"," postérieur. "
"305110","308210"," On a l'épithélium qui est inséparable du"
"308210","310830"," film lacrymal, par la suite de la baumane."
"310830","315410"," Et derrière, on trouve la partie qui explique"
"315410","317370"," la grande épaisseur de la cornée."
"317510","319690"," 90% est formée par l'astroment. "
"320290","323970"," Elle est formée par des fibres de collagène"
"323970","327670"," qui sont très bien agencées, parallèles, parfaites."
"327850","332910"," Et cet agencement régulier explique la transparence de"
"332910","333350"," la cornée."
"334470","337010"," Et derrière, on trouve le plan endothéliodismétique. "
"337010","340690"," Alors, pourquoi j'insiste sur le parfait agencement"
"340690","342290"," de fibres de collagène ?"
"342290","344210"," Parce que la composition de l'astroment, on"
"344210","345990"," va la trouver également au niveau de la"
"345990","348250"," sclère, puisque la cornée et la sclère sont"
"348250","349010"," en continuité."
"349510","355710"," Sauf que cet agencement régulier, on ne va"
"355710","357190"," pas le trouver au niveau de la sclère,"
"357370","359170"," puisque l'agencement n'est pas régulier."
"359770","361450"," La sclère est opaque. "
"366420","369380"," L'endothélium, une couche très importante, c'est"
"369380","370340"," une monocouche."
"371900","375580"," On est avec un capital de celle de"
"375580","377720"," l'endothélium, qui va diminuer au fur et"
"377720","378600"," à mesure avec l'âge."
"379060","381600"," Une fonction très importante, c'est la détourgescence"
"381600","382500"," du stroma. "
"382740","386120"," Donc, il va chasser tout excédent de liquide"
"386120","389040"," du stroma vers le maracuse."
"389520","393300"," Donc, la cornée n'est pas vascularisée."
"393760","398440"," Donc, il va avoir un besoin en alimentation,"
"398580","399160"," en liquide. "
"399160","402160"," Ce besoin en liquide va être apporté soit"
"402160","404900"," à partir des larmes pour la couche antérieure,"
"405520","409900"," soit à partir du maracuse pour la partie"
"409900","410560"," postérieure."
"411320","415020"," Mais l'endothélium va laisser passer jusqu'à"
"415020","415840"," ce qu'il y ait du liquide."
"416220","418960"," Tout le reste va être chassé vers le"
"418960","419540"," maracuse. "
"420260","426340"," Cette fonction de détourgescence va donner cette transparence"
"426340","427200"," cornéenne."
"428200","432140"," Quand on a un dysfonctionnement de l'endothélium,"
"432780","435700"," on aura une accumulation du liquide au niveau"
"435700","436300"," du stroma."
"437240","440340"," L'accumulation va donner un eudème, ce qu "
"440340","441620","'on appelle un eudème de cornée. "
"442340","444820"," Cliniquement, c'est une cornée qui n'est"
"444820","446000"," pas transparente."
"446580","450360"," L'asclaire, c'est la continuité de la"
"450360","450700"," cornée."
"451340","452820"," C'est une paroi qui est très solide,"
"452880","453700"," très résistante. "
"453700","455800"," Mais à l'opposé de la cornée, elle"
"455800","457420"," est complètement opaque."
"457860","462200"," Ceci est dû à ce manque d'agencement"
"462200","465020"," régulier, cette anarchie au niveau des fibres de"
"465020","465460"," collagène."
"468180","471680"," Chambre antérieure, c'est un espace très important. "
"471860","474080"," Il est situé entre la face postérieure de"
"474080","477020"," la cornée et le plan irido-crystallinien."
"477180","480760"," En périphérie, c'est l'angle irido-cornéen."
"481240","483600"," C'est là où s'accumule le maracuse. "
"483600","485480"," C'est très important."
"485920","487540"," Pourquoi ?"
"487540","494560"," Ce maracuse va apporter toute la nutrition pour"
"494560","496420"," les organes du segment antérieur."
"497140","502160"," L'iris, le cristallin, la cornée, tous les"
"502160","507180"," déchets, produits de dégradation, de catabolisme de tous"
"507180","511039"," les organes du segment antérieur vont être éliminés"
"511039","512419"," grâce à ce maracuse. "
"512419","515500"," Ce maracuse va être éliminé au niveau de"
"515500","516659"," l'angle irido-cornéen."
"518200","521179"," C'est très important, cet angle irido-cornéen,"
"521820","524100"," qui est un espace, si j'ose dire,"
"524280","527540"," triangulaire avec un sommet, avec une paroi antéro "
"527540","530400","-externe, c'est la jonction corneo-sclérale."
"531100","534520"," Quand on dit une paroi antéro-externe, donc"
"534520","536540"," une jonction corneo-sclérale, ça veut dire qu "
"536540","538580","'elle a une partie qui est cornéenne et"
"538580","540140"," une partie qui est sclérale. "
"540140","543140"," La partie cornéenne, c'est l'anneau de"
"543140","546980"," Schwalbe, et la partie sclérale, c'est deux"
"546980","552180"," petites surélevations."
"552440","554300"," L'une, c'est l'épreuve sclérale, et"
"554300","558240"," la deuxième, c'est l'hiver-septembre."
"558380","561260"," Entre les deux, on va trouver une gouttière,"
"561380","563760"," une dépression qu'on va appeler la gouttière"
"563760","566100"," sclérale, et à l'intérieur de cette gouttière"
"566100","568360"," va se loger le canal de Schwalbe. "
"568360","570840"," L'autre paroi, c'est la paroi posterior"
"570840","573960"," interne, et c'est la partie la plus"
"573960","575960"," fine de la racine de l'iris."
"576220","579160"," Le sommet va être composé par le muscle"
"579160","579720"," ciliaire."
"582350","584930"," Le lymphe, c'est une partie très importante. "
"587010","588630"," A l'œil nu, c'est la partie"
"588630","592130"," qu'on voit cliniquement entre la partie transparente"
"592130","593970"," de la cornée et la partie opaque de"
"593970","594470"," la sclère."
"595290","597490"," La jonction entre la cornée et la sclère,"
"597590","598550"," c'est ce qu'on appelle le lymphe."
"598550","599790"," Pourquoi c'est une partie qui est très"
"599790","600890"," importante ?"
"600890","604870"," Déjà derrière, on trouve l'angle iridocornéen, c "
"604870","606390","'est le lieu d'excrétion de l'humaraqueuse. "
"607070","608790"," C'est une zone qui est très richement"
"608790","610710"," vascularisée et innervée."
"611190","613430"," Au-delà, la cornée n'est plus vascularisée."
"614250","616230"," C'est une zone où vont se loger"
"616230","617270"," les cellules souches. "
"618030","624290"," Cette cornée aura besoin de cellules souches pour"
"624290","625210"," la cicatrisation."
"625210","628330"," Toutes les cellules souches cornéennes vont naître au"
"628330","629850"," niveau du lymphe."
"630210","634450"," Elles vont migrer pour une cicatrisation, toute ulcération"
"634450","635350"," ou écorchure. "
"635990","638950"," C'est le support immunitaire de la cornée."
"640110","642950"," Quand on parle de support immunitaire, lors de"
"642950","645750"," la griffe de cornée, vous avez déjà entendu"
"645750","648410"," parler des griffes de cornée, on va changer"
"648410","651070"," une cornée qui est opaque par une cornée"
"651070","653030"," qui est transparente."
"653030","655590"," La cornée n'est pas vascularisée. "
"656530","659510"," Automatiquement, on n'aura pas une réaction immunitaire"
"659510","662530"," entre l'autre, entre la personne qui va"
"662530","666710"," recevoir la cornée et la personne qui va"
"666710","666990"," donner."
"668930","672710"," Automatiquement, les réactions immunitaires sont exceptionnelles."
"672890","675710"," Les réactions de rejet de griffons de cornée"
"675710","676690"," sont exceptionnelles. "
"676830","677590"," Pourquoi ?"
"677590","680330"," Parce que la réaction immunitaire est apportée par"
"680330","681230"," la vascularisation."
"682070","684510"," Sauf qu'au niveau de la périphérie, au"
"684510","687010"," niveau du lymphe, on trouve la vascularisation et"
"687010","688030"," le support immunitaire."
"688350","692070"," Automatiquement, les griffes de cornée vont être destinées"
"692070","694370"," à la partie centrale. "
"694470","694910"," Pourquoi ?"
"694910","696510"," Parce que juste la partie centrale qui va"
"696510","698850"," apporter la lumière et l'image et la"
"698850","701270"," partie centrale est avasculare et il n'y"
"701270","702330"," a pas d'immunité là-bas."
"702530","705290"," Donc, on va épargner aux patients une réaction"
"705290","707650"," immunitaire qui va détruire le griffon."
"709150","711170"," Alors, l'iris et la pupille. "
"712310","714830"," L'iris, c'est un anneau qui va"
"714830","717150"," être composé de deux muscles antagonistes."
"717930","719730"," Un muscle qui va dilater et un muscle"
"719730","724230"," qui va serrer l'orifice central, ce qu "
"724230","725730","'on appelle la pupille."
"726690","727610"," Le corps ciliaire. "
"729390","731190"," L'iris, c'est la partie antérieure de"
"731190","731470"," l'UV."
"731810","733590"," Le corps ciliaire, c'est la partie intermédiaire"
"733590","734250"," du UV."
"736270","738370"," Deux éléments importants pour le corps ciliaire. "
"738470","741490"," Le processus ciliaire qui va sécréter l'hémorragueuse"
"741490","742330"," et les muscles."
"742630","744790"," C'est un rôle très, très important lors"
"744790","746130"," de l'accommodation."
"747070","747750"," Le cristallin. "
"748350","750030"," Un deuxième organe très, très important."
"750270","753050"," C'est une liente qui est biconvexe, transparente"
"753050","756490"," et qui est suspendue dans un plan qui"
"756490","757910"," est frontal grâce à la zone U."
"758290","759610"," Ce qu'il faut savoir, c'est que"
"759610","762310"," les deux faces sont entourées par une capsule"
"762310","765790"," et c'est une capsule qui est intacte"
"765790","767570"," et qui doit rester intacte et qui est"
"767570","768230"," imperméable."
"768690","772370"," Et tout le contenu cristallinien, il est antigénique"
"772370","773610"," pour la personne et lui-même. "
"773770","773930"," Pourquoi?"
"774490","777210"," Parce que l'origine embryologique du cristallin et"
"777210","778670"," de l'oeil sont différents."
"779230","781630"," Donc, c'est une capsule qui doit rester"
"781630","783650"," intacte lors des traumatismes."
"784330","788210"," Le cristallin n'est ni vascularisé, ni non"
"788210","789050"," plus énervé. "
"790940","795100"," Donc, la zone U, c'est un système"
"795100","802220"," très important qui va suspendre le cristallin."
"804380","806200"," L'hémorragueuse, c'est un liquide qui est"
"806200","808900"," transparent, eau de roche, parfaitement transparent."
"809860","812500"," Il est produit par les procéciliaires qui va"
"812500","815840"," passer au niveau de la chambre postérieure, procéciliaire. "
"815840","822260"," Il va remplir ce petit espace entre les"
"822260","823980"," onules de zine et la face postérieure de"
"823980","824380"," l'iris."
"824720","830640"," Donc, l'espace situé ici entre les onules"
"830640","833540"," de zine et la face postérieure du cristallin"
"833540","836220"," et entre la face postérieure de l'iris,"
"836680","841140"," on va le nommer la chambre postérieure."
"841140","845340"," Donc, l'hémorragueuse va être sécrétée par le"
"845340","848280"," procéciliaire, va remplir la chambre postérieure. "
"848400","850460"," C'est un petit espace qui va passer"
"850460","854200"," à travers la pupille et va remplir la"
"854200","854900"," chambre antérieure."
"855100","857060"," Alors, l'hémorragueuse, on a dit que c "
"857060","858740","'est un liquide qui est transparent, eau de"
"858740","860760"," roche et qui va aider à la nutrition"
"860760","863560"," de tous les éléments du segment antérieur et"
"863560","865160"," va éliminer tous leurs déchets."
"867380","868740"," Alors, le lympe, est-ce qu'il recouvre"
"868740","869180"," la cornée?"
"869180","873880"," Non, le lympe c'est ici, c'est"
"873880","876080"," entre la partie transparente de la cornée et"
"876080","878740"," la partie opaque de la sclère. "
"878880","881800"," C'est la jonction entre la partie, le"
"881800","884220"," lympe c'est la jonction corneo-sclérale."
