"start","end","text"
"1220","5240"," On va continuer notre cours par un autre"
"5240","7640"," chapitre, c'est l'osmase et les muscles"
"7640","9700"," possés, dont la face."
"10840","11800"," Qu'est-ce que c'est que l "
"11800","12340","'osmase ?"
"12340","15960"," L'osmase, c'est le système musculo-aponeurotique"
"15960","16820"," superficiel."
"17420","19680"," Les muscles possés, ce sont les muscles de"
"19680","22540"," la mimique ou bien les muscles de l "
"22540","24220","'animation sociale. "
"26580","27340"," Qu'est-ce que c'est que tout"
"27340","28840"," d'abord l'osmase et les muscles possés"
"28840","30340"," de la face ?"
"30340","32580"," D'une manière globale, tout ce qu'on"
"32580","34440"," sait sur les muscles, il existe trois types"
"34440","37240"," de muscles au niveau du corps humain."
"37800","39520"," Il y a les muscles scolitiques, il y"
"39520","41000"," a les muscles lisses, il y a un"
"41000","42700"," muscle qui est à part, qui est le"
"42700","43740"," muscle cardiaque."
"44260","47260"," Les muscles scolitiques, qui sont des muscles constitués"
"47260","50260"," par des fibres striées, ils sont scolitiques, on"
"50260","51880"," les appelle scolites parce qu'ils sont attachés"
"51880","52820"," au squelette, au sein. "
"54540","56500"," La particularité des muscles possés de la face,"
"56580","57980"," qu'ils sont attachés à la peau du"
"57980","59840"," visage, c'est pour ça qu'on les"
"59840","61480"," appelle muscles possés."
"63300","67460"," Ils permettent les expressions et la gestualité au"
"67460","68080"," niveau de la face."
"68760","70560"," Ce sont finalement des muscles de la communication. "
"71540","79680"," Donc la contraction des muscles scolitiques a une"
"79680","83060"," commande volontaire assurée par un nerf, qui est"
"83060","84940"," le nerf au niveau de la face, c "
"84940","85540","'est le nerf facial."
"85540","88860"," Le deuxième type de muscles, ce sont les"
"88860","91740"," muscles lisses, ce sont les muscles du viscère,"
"91860","93900"," qui sont les organes internes et dont la"
"93900","98300"," commande, contrairement aux muscles scolitiques, est une commande"
"98300","99160"," involontaire."
"100080","103220"," Le muscle cardiaque, par contre, est aussi le"
"103220","107340"," muscle du corps et il est autonome et"
"107340","108420"," involontaire. "
"110860","112140"," Toujours de l'introduction."
"113060","115200"," Contrairement à la majorité des muscles du corps"
"115200","117540"," humain qui s'insèrent sur des zones et"
"117540","121420"," entraînent des mouvements surtout articulaires, les muscles de"
"121420","123820"," la mimique font partie des muscles scolitiques, mais"
"123820","128300"," on voit des insertions fibreuses directement dans le"
"128300","128680"," derme."
"130920","133780"," Pour cela, ils sont attachés au derme, entraînant"
"133780","137320"," lors de leur contraction des mouvements de la"
"137320","137540"," peau. "
"138100","139420"," C'est pour ça qu'on les appelle"
"139420","140620"," muscles possés."
"140620","142920"," Ils sont attachés à la fois au scolite"
"142920","145100"," et ils ont une autre attache qui est"
"145100","145620"," dermique."
"145960","147860"," C'est pour ça qu'on les appelle"
"147860","148680"," muscles possés. "
"149440","152580"," Les muscles de la mimique sont situés à"
"152580","155680"," différentes profondeurs au sein de l'architecture du"
"155680","156800"," tissu humain de la face."
"157800","160800"," Certains sont superficiels, quant à d'autres, ils"
"160800","161920"," sont profonds."
"165660","167820"," Les muscles possés de la face sont des"
"167820","170260"," muscles cutanés de la tête et du cou. "
"170260","173600"," Ils sont attachés au scolite facial et, à"
"173600","176100"," la peau, se forment d'un cagoule, comme"
"176100","178980"," nous voyons ici."
"183790","186440"," Les muscles possés de la face ont trois"
"186440","188240"," caractères communs."
"188860","192820"," Ils sont tout d'abord une terminaison mobile,"
"193200","194160"," qui est cutanée. "
"195480","199440"," La deuxième caractéristique est qu'ils sont énervés"
"199440","201560"," communement par le nerf facial."
"202460","204260"," Le septième, le nerf crânien."
"205620","208860"," Troisième caractéristique, ils sont groupés autour des orifices"
"208860","209760"," naturels de la face. "
"210140","215480"," C'est-à-dire les orifices oculaires, nasales,"
"215720","217600"," buccales et auriculaires."
"219390","224530"," Sur le plan ombriologique, la morphodifférenciation des broches"
"224530","229030"," antérieures faciales débute vers le cinquantième jour par"
"229030","231550"," la formation d'un muscle possé antérieur facial,"
"232210","235750"," qui est constitué de deux parties, l'une"
"235750","237530"," superficielle et l'autre profonde."
"238030","242070"," Ainsi, le possé antérieur facial superficiel s'articule"
"242070","245230"," autour des orifices orbitaires et nasales, mais il"
"245230","248110"," se prolongera également par le platysma cervical. "
"249110","252330"," Bien que le possé antérieur facial profond s "
"252330","255930","'articule autour de l'orifice buccal, formant ainsi"
"255930","260149"," un véritable sphinctre fonctionnel pour l'association nécessaire"
"260149","263550"," pour le nourrisson surtout, et qui va par"
"263550","266790"," la suite posséder dans l'enfance la fonction"
"266790","270510"," de la mimique intégrée ou bien la fonction"
"270510","271470"," sociale."
"273830","277270"," Leur rôle est d'intervenir dans le modélisme"
"277270","282970"," en produisant différents types de mimiques faciales, c "
"282970","285610","'est ce qu'on appelle l'animation faciale."
"286930","289530"," Donc, leur rôle est d'intervenir dans le"
"289530","293450"," modélisme en produisant différents types de mimiques faciales"
"293450","294500"," ou bien l'animation faciale. "
"295810","301170"," Ces muscles sont en interrelation profonde avec le"
"301170","304870"," système limbique qui est le siège des émotions."
"306470","310490"," Ils agissent en synergie potentialisatrice avec les muscles"
"310490","313910"," massétères et temporaux qui sont des muscles de"
"313910","314670"," la mastication."
"315730","319790"," Donc, le rôle classique du muscle possé est"
"319790","322890"," d'optimiser les organes du sens. "
"325420","330220"," Cette optimisation des organes du sens domine largement"
"330220","332420"," les fonctions de la mimique faciale."
"333440","337060"," Ainsi, ceux du nez optimisent l'olfaction par"
"337060","339080"," des muscles délatateurs et constricteurs."
"339700","343240"," Ceux de l'œil optimisent la vision et"
"343240","343980"," ainsi de suite. "
"344640","348260"," Ils jouent ainsi un rôle fonctionnel majeur."
"354630","356870"," Si bien les muscles possédant la face s "
"356870","364050","'organisent schématiquement autour de l'orifice buccal, que"
"364050","367430"," nous voyons ici, mais aussi autour des orifices"
"367430","371450"," narinaires et des orifices palpebraux."
"371870","378810"," Ce sont des muscles ainsi periorificiels, cutanés. "
"380030","383110"," Ils sont pairs à l'exception des muscles"
"383110","384210"," orbiculaires de la bouche."
"385150","389810"," Tous les muscles possédant sont pairs à l "
"389810","393330","'exception de ce muscle-là, le muscle orbiculaire"
"393330","394670"," de la bouche."
"395470","398570"," En conséquence, les uns de ces muscles sont"
"398570","402410"," délatateurs et les autres sont constricteurs de ces"
"402410","403270"," orifices. "
"404170","408190"," Ils peuvent donc agir soit par synergie ou"
"408190","409150"," en antagonisme."
"411620","416680"," Toujours dans l'organisation, parlons maintenant du SMAS."
"417760","420700"," En effet, le fascial superficiel de la face"
"420700","428280"," est une extension du fascial cervical superficiel du"
"428280","428460"," cou. "
"429360","432560"," Elle englobe les muscles de la mimique faciale"
"432560","434700"," qui forment ainsi ce qu'on appelle le"
"434700","439460"," SMAS ou le système musculo-aponeurotique superficiel."
"441150","445190"," Le SMAS est une fine couche musculo-aponeurotique"
"445190","452050"," qui sépare la graisse socutanée, que nous voyons"
"452050","457850"," ici, du fascial parotidon macétérien, qui est juste"
"457850","462080"," là, et des branches du nerf facial."
"462680","464360"," Parce que les branches du nerf facial quand"
"464360","467500"," même circulent à la face profonde du SMAS. "
"469760","474500"," Le SMAS répartit ainsi les contractions des muscles"
"474500","478720"," fasciaux responsables de l'expression faciale."
"478880","483600"," Ces actions musculaires sont transmises à la peau"
"483600","489540"," par des attaches ligamentaires localisées entre le SMAS"
"489540","491200"," et le derme."
"491200","494080"," Nous voyons sur ce schéma-là le muscle"
"494080","498180"," platysma qui va se continuer à ce niveau "
"498180","502020","-là par le système SMAS, le système musculo "
"502020","505080","-aponeurotique superficiel, qui va se continuer à ce"
"505080","508360"," niveau-là par le fascial temporal profond, puis"
"508360","509200"," par le galia. "
"513059","517600"," Le SMAS est également connecté aux structures sous "
"517600","521799","-jacentes osseuses par un réseau de septons fibres"
"521799","523440"," et de ligaments."
"524280","527560"," Ainsi, l'expression faciale est transmise depuis les"
"527560","532540"," structures fixes en profondeur de la face vers"
"532540","534520"," le derme sous-jacente."
"536220","539100"," Nous voyons ici les structures osseuses. "
"539260","540220"," Ici, c'est l'os temporal."
"540600","541840"," Ici, c'est l'os mondébulaire."
"541960","543120"," Ici, c'est la garde zygomatique. "
"543400","545660"," Ici, bien sûr, c'est l'amont de"
"545660","547520"," bulle sur cette coupe qui est plus ou"
"547520","549140"," moins transversale ou horizontale."
"549640","553080"," Et nous voyons ici la peau, puis le"
"553080","555000"," tissu graisseux succutanique."
"555000","557560"," Puis nous voyons ici le SMAS qui se"
"557560","563500"," continue en bas avec le platysma, avec le"
"563500","566680"," fascial temporal profond, puis avec le galia. "
"567280","569740"," Voilà, le SMAS se poursuit au-dessus de"
"569740","571080"," la garde zygomatique ici."
"572040","575180"," Il devient en continuité avec le fascial temporal"
"575180","581420"," parietal, puis avec le galia aponeurotique du cuir"
"581420","582100"," chevelu."
"585840","589320"," On parle maintenant un petit peu de 6"
"589320","591160"," muscles fasciaux, de 6 muscles proxy. "
"592060","595340"," Au total, on a 12 muscles proxy de"
"595340","598340"," la face qui interviennent dans l'omodolie."
"599260","600580"," C'est-à-dire l'omodolie ou bien"
"600580","602740"," ce qu'on appelle, c'est la forme"
"602740","604280"," ou bien l'aspect global de la face."
"604280","610140"," Ces muscles sont tout d'abord l'orbiculaire"
"610140","615830"," des paupières, l'orbiculaire des lèvres, c'est"
"615830","620330"," un muscle qui est impair, le transverse du"
"620330","623290"," nez, le buccinateur, c'est un muscle profond"
"623290","627170"," de la joue, l'élévateur de la lèvre"
"627170","631810"," supérieure, le pyramidal que nous voyons ici, le"
"631810","636270"," prosseurus, le grand et le petit zygomatique que"
"636270","639790"," nous voyons ici, le muscle sorcilier au corrugateur"
"639790","643130"," qui sont attachés à ce niveau-là que"
"643130","645950"," nous voyons dans d'autres schémas, puis le"
"645950","649570"," muscle abaisseur de la commissure labiale et bien"
"649570","651430"," sûr le muscle monotone. "
"656880","660040"," On va maintenant décrire ces muscles, c'est "
"660040","661340","-à-dire les muscles proxy."
"662100","664780"," Nous avons tout d'abord le muscle frontal"
"664780","670280"," au niveau du front, le muscle orbiculaire des"
"672360","680850"," paupières, le muscle orbiculaire des lèvres, le muscle"
"680850","690010"," paramontonné de la lèvre, le muscle oriculaire en"
"690010","694590"," rapport avec l'oreille, le muscle grand et"
"694590","702210"," petit zygomatique, le rhizorius responsable du sourire et"
"702210","703270"," le platissement."
"706840","708160"," Revenons au muscle frontal. "
"709180","711620"," Le muscle frontal est un muscle qui est"
"711620","711900"," fin."
"712500","715760"," Il est très adhérent aux facilles superficielles sans"
"715760","717420"," insertion osseuse."
