"start","end","text"
"1990","6910"," Bonjour, aujourd'hui nous allons étudier les muscles"
"6910","7990"," masticateurs."
"10090","12790"," Les muscles masticateurs s'intègrent dans le cadre"
"12790","14370"," de l'appareil mandibulaire."
"15720","23330"," Qu'on va étudier selon trois cours, notamment"
"23330","29190"," les muscles masticateurs, l'articulation temporomandibulaire ainsi que"
"29190","31070"," le système dentaire. "
"33070","38810"," Bien sûr, l'appareil mandicata est constitué de"
"38810","39750"," plusieurs éléments."
"40170","43010"," En plus, il y a le squelette maxillomandibulaire,"
"43870","48130"," mais aussi les téguments qui entourent tout cet"
"48130","48990"," appareil mandicateur."
"50610","52970"," Donc les muscles masticateurs sont les muscles de"
"52970","55730"," la mastication comme leur nom l'indique. "
"55730","63950"," Il est communément appelé les muscles élévateurs de"
"63950","65830"," la mandibule, les muscles masticateurs."
"66310","68690"," Mais on peut aussi étendre ses liens aux"
"68690","71610"," muscles abaisseurs de la mandibule qui sont les"
"71610","72990"," muscles subsidiens."
"76530","80450"," Les muscles masticateurs comprennent les muscles persymétriques. "
"80450","85710"," Ces muscles sont le muscle temporal, le muscle"
"85710","90170"," massétaire, le périgaudier immédial et le périgaudéral."
"90750","93590"," Ce sont des muscles qui sont pairs et"
"93590","94330"," symétriques."
"95250","98710"," Ils ont la particularité de tricher tous par"
"98710","101810"," des rameaux du nerf mandibulaire. "
"102370","104840"," C'est la troisième branche du nerf trigeminal."
"104840","107560"," Retenez que le nerf trigeminal est un nerf"
"107560","108980"," qui est essentiellement sensé."
"110060","113840"," Mais il donne des branches motrices aux nerfs"
"113840","114600"," masticateurs. "
"115140","119780"," Ces muscles masticateurs ont une particularité d'être"
"119780","124780"," innovés par des branches issues de la même"
"124780","126280"," branche nerveuse du trigeminal."
"126540","128080"," C'est pour cela qu'on appelle groupe"
"128080","129139"," musculaire."
"129139","135100"," Parce que leur fonctionnement est coordonné pour permettre"
"135100","137360"," à l'appareil mandicataire et aussi à l "
"137360","140660","'articulation temporomandibule de bouger et de faire fonctionner"
"140660","142140"," cet appareil mandicataire. "
"143160","144140"," D'où le nom de musculaire."
"147260","151580"," Nous commencerons par le muscle temporal."
"152320","155980"," Le muscle temporal étant le muscle le plus"
"155980","157880"," grand de ces muscles masticateurs. "
"158500","163480"," Il va s'insérer en haut sur le"
"163480","170460"," crâne, sur l'incorbe supérieure et en bas,"
"170720","175740"," en bas, le lupophys chronoïde ou bien le"
"175740","179580"," processus chronoïde de l'abranchement de la mandibule."
"179580","183020"," Donc c'est un muscle qui est très"
"183020","185760"," large sous forme d'éventail."
"186120","189620"," Il est constitué par plusieurs fibres musculaires ayant"
"189620","192900"," des orientations bien précises. "
