"start","end","text"
"60","1620"," C'est bon ?"
"2620","6920"," Voilà, donc ce que je vous propose, c "
"6920","9600","'est de reprendre avec vous les points essentiels"
"9600","11660"," de ces trois premiers chapitres."
"12560","14100"," Donc on va revoir un petit peu les"
"14100","18020"," objectifs pédagogiques que je vous ai fixés pour"
"18020","19960"," ces cours-là."
"20900","24980"," On va les passer en revue ensemble, sachant"
"24980","27360"," que je vais vous donner un travail à"
"27360","31360"," faire à la fin, soit pour remplacer les"
"31360","37360"," plaques que j'ai mises incomplètes, soit je"
"37360","39720"," vais vous donner des questions à propos de"
"39720","41100"," ces trois premiers chapitres. "
"49280","53600"," Pour l'exploration des dysfonctionnements rénaux, je vous"
"53600","57960"," ai fixé comme objectif les dix objectifs qui"
"57960","59300"," figurent sur cette plaque."
"59900","62300"," Je ne vais pas les reprendre par la"
"62300","64560"," lecture, on va essayer de les voir au"
"64560","65180"," tour à mesure."
"67080","69520"," Le premier objectif, c'était de citer les"
"69520","72080"," paramètres à mettre en œuvre pour explorer la"
"72080","76060"," fonction globulaire, la fonction tubulaire en précisant leurs"
"76060","77560"," conditions préanalytiques. "
"78080","80880"," Je vous ai mis là un tableau où"
"80880","84580"," vous avez les paramètres de la fonction globulaire,"
"84740","88920"," les paramètres de la fonction tubulaire en commun,"
"89260","91200"," c'est-à-dire les paramètres qui explorent"
"91200","94360"," la fonction globulaire et la fonction tubulaire."
"95080","97280"," Je vous ai mis de compléter le tableau."
"100140","103400"," Vous pouvez toujours interagir avec moi en posant"
"103400","107500"," des questions pour les choses qui vous posent"
"107500","111200"," problème, sachant que pour cette plaque, le deuxième"
"111200","114060"," objectif, c'est à peu près la même"
"114060","114480"," chose. "
"114480","120590"," Le deuxième objectif, c'est savoir distinguer entre"
"120590","123110"," les paramètres usuels et les paramètres non-usuels."
"123450","127530"," On va reprendre ces paramètres concernant la fonction"
"127530","132690"," globulaire et concernant la fonction tubulaire et de"
"132690","135290"," la même sorte, on va préciser les paramètres"
"135290","139050"," communs qui sont usuels pour les deux fonctions"
"139050","141290"," ainsi que les paramètres non-usuels."
"142010","143410"," Est-ce que vous avez des questions là "
"143410","144370","-dessus ?"
"147730","149530"," Vous avez la parole, chers étudiants. "
"154670","157090"," N'hésitez pas à m'arrêter quand vous"
"157090","159550"," avez des choses qui clochent ou quand vous"
"159550","162850"," n'avez pas compris des choses ou vous"
"162850","165530"," ne savez pas répondre correctement à un objectif"
"165530","167930"," pédagogique que je vous ai utilisé."
"168610","172150"," Alors, pour les paramètres de la fonction globulaire,"
"172270","174650"," on avait dit que les paramètres usuels sont"
"174650","187130"," la protéinerie alors,"
"188290","191070"," il y a la détermination, l'évaluation du"
"191070","195290"," débit de filtration globulaire ou bien sa mesure"
"195290","200570"," en assistant sur la façon qui est analytique,"
"200710","202350"," c'est-à-dire il faut savoir connecter"
