"start","end","text"
"2700","6620"," Bonjour, nous allons continuer ce cours d'hémostase."
"8340","11000"," Aujourd'hui, nous allons voir le cours sur"
"11000","11920"," la fibrinolyse."
"12400","14900"," Maintenant, vous commencez à être initialisé à cette"
"14900","15460"," hémostase. "
"16200","19220"," La fibrinolyse, c'est la dernière étape de"
"19220","21640"," l'hémostase, après l'hémostase primaire et la"
"21640","22280"," coagulation."
"24180","27900"," Globalement, son rôle, c'est d'éliminer, c "
"27900","29720","'est-à-dire après cicatrisation, c'est d "
"29720","34060","'éliminer le caillot formé par l'hémostase primaire"
"34060","34800"," et la coagulation."
"35640","38980"," Donc, on l'appelle fibrinolyse, mais c'est"
"38980","43540"," un chapitre particulier puisque c'est une étape"
"43540","45960"," hyper importante en hémostase, mais il y a"
"45960","49320"," peu de tests qui sont réalisés pour son"
"49320","52960"," exploration, et on l'appelle souvent, c'est "
"52960","56900","-à-dire la phase orpheline de l'hémostase. "
"58760","63620"," Donc, nous allons suivre le plan suivant, toujours"
"63620","66760"," une petite introduction, voir la physiologie de la"
"66760","72220"," fibrinolyse, comment l'explorer, et quelles sont les"
"72220","75800"," pathologies de la fibrinolyse, et enfin, une petite"
"75800","76320"," conclusion."
"78240","80040"," Là, c'est un schéma que vous connaissez,"
"80220","81920"," c'est-à-dire, juste pour vous resituer,"
"81920","88100"," donc, normalement, nous avons l'action de l "
"88100","92160","'hémostase primaire, suivie par l'action de la"
"92160","98440"," coagulation, et après cicatrisation, la fibrinolyse va agir"
"98440","102680"," pour dissoudre le caillot et faire retourner le"
"102680","104380"," vaisseau à sa circulation normale."
"107110","109990"," Donc, c'est quoi cette fibrinolyse ?"
"109990","113330"," C'est un phénomène physiologique aboutissant à la"
"113330","117350"," destruction prothéolithique du thrombus, du thrombus fibrino-plaquitaire,"
"118390","120250"," formé à l'issue de la coagulation. "
"121990","124210"," Donc, c'est un système enzymatique centré sur"
"124210","128750"," la génération de plasmines, et donc, cette plasmine,"
"128970","131670"," c'est elle qui va, c'est-à "
"131670","135010","-dire, sous l'action de certains activateurs, elle"
"135010","138900"," va être générée et activée, et donc, elle"
"138900","143440"," va détruire le caillot fibrino-plaquitaire."
"144660","148640"," Et comme les autres chapitres, il y a"
"148640","152980"," cette plasmine activée pour détruire le caillot, mais"
"152980","156200"," à un certain moment, il faut savoir arrêter"
"156200","160080"," tout ce processus, et ça se fait grâce"
"160080","165180"," à un système de régulation que nous allons"
"165180","165740"," voir aussi."
"168610","172480"," Donc, toujours, on revient vers ce concept de"
"172480","180660"," balance qui doit être vraiment respecté physiologiquement, puisque"
"180660","184620"," nous avions dit que les moustases primaires et"
"184620","188000"," coagulations entraînent la formation du caillot, et les"
"188000","191060"," moulises, il va le dissoudre après cicatrisation. "
"191840","195500"," Donc, chacune doit être arrivée en son temps"
"195500","196140"," opportun."
"196980","201800"," Donc, par exemple, si on a une hyperfibrinolyse,"
"202640","204600"," on aura un risque d'hémorragie, c'est "
"204600","208760","-à-dire, la coagulation et les moustases primaires"
"208760","211840"," forment le caillot, et la fibrinolyse le détruit."
"212520","216960"," Par contre, si on a une hypofibrinolyse, c "
"216960","218540","'est-à-dire, il y aura une continuation"
"218540","220440"," de cette coagulation, ça ne va pas s "
"220440","223040","'arrêter, et on aura un risque thrombocycle. "
"223040","228240"," Donc, on a cette espèce de balance et"
"228240","230900"," d'équilibre qui doit se faire entre les"
"230900","233860"," moustases primaires et coagulations, d'un côté, et"
"233860","237360"," la fibrinolyse, par la suite, qui va dissoudre"
"237360","237820"," le caillot."
"240980","242720"," Le premier chapitre, c'est la physiologie de"
"242720","243580"," la fibrinolyse."
