"start","end","text"
"34070","35950"," Oui, salam aleykoum."
"36850","37870"," Est-ce que vous m'entendez s'il"
"37870","38150"," vous plaît?"
"40640","43580"," Bonjour, salam aleykoum."
"43740","44460"," Activez-vous. "
"44820","46060"," Quelqu'un d'entre vous, activez-vous."
"46400","48400"," Oui, monsieur, oui, on vous entend."
"49020","50420"," Merci beaucoup, merci. "
"51380","52860"," Voilà, salam aleykoum."
"52960","58460"," Donc, nous allons reprendre le cours aujourd'hui."
"59380","62700"," Donc, le cours des mostazes. "
"63260","63860"," Très bien."
"67250","69850"," Voilà, on a des petits soucis toujours avec"
"69850","70710"," la technique."
"71710","71810"," Voilà. "
"73150","73910"," C'est très bien."
"74490","74830"," Donc, voilà."
"75930","80050"," Je suis le professeur Chakour. "
"80150","81550"," Comme d'habitude, je crois qu'on commence"
"81550","82250"," à se connaître."
"84070","87230"," Nous allons commencer à reprendre les cours interactifs"
"87230","89710"," sur les mostazes."
"90210","92690"," Et donc, la dernière fois, c'était le"
"92690","93890"," mercredi dernier. "
"93890","98510"," Donc, on avait entamé les premiers chapitres des"
"98510","102130"," mostazes et notamment l'introduction pour signaler l "
"102130","106070","'intérêt de les mostazes, à quoi elles servent."
"106470","110210"," Puisqu'on avait défini les mostazes comme un"
"110210","113650"," moyen physiologique pour lutter et arrêter les hémorragies"
"113650","114630"," en cas de lésion."
"115590","118250"," Mais aussi, il y a une grande deuxième"
"118250","122870"," fonction, c'est de garder le sang à"
"122870","125050"," l'état fluide dans nos vaisseaux, à l "
"125050","127410","'intérieur de notre corps, à l'intérieur de"
"127410","130430"," notre corps pour éviter les thromboses. "
"131430","135590"," Et donc, les mostazes servent à étudier la"
"135590","139870"," physiologie, mais aussi à connaître les pathologies en"
"139870","140550"," cas de problème."
"140550","145570"," Quand le patient a des saignements sans traumatisme,"
"145730","147530"," sans rien, on suspecte les mostazes."
"147690","149450"," Donc, il faut chercher un déficit en facteur,"
"150130","152290"," une atteinte d'une voie de les mostazes"
"152290","152890"," en général. "
"153470","155650"," Et quand le patient aussi a un problème"
"155650","158990"," de thrombose, on va chercher la cause de"
"158990","161970"," la thrombose et notamment les bilans de thrombophilie."
"162530","165110"," Et donc, c'est très important ces chapitres."
"165110","169730"," Voilà, donc, aujourd'hui, après ce qu'on"
"169730","171330"," a dit l'autre jour, nous allons voir"
"171330","175470"," les trois derniers chapitres et notamment la coagulation"
"175470","180710"," plasmatique, la fibrinolise et le traitement par les"
"180710","181450"," anticoagulants. "
"181630","186810"," Donc, comment, comment traiter, mais comment surveiller les"
"186810","189130"," traitements par anticoagulants?"
"189770","194090"," Très bien, donc, on commence par la coagulation"
"194090","194870"," plasmatique."
"195470","197890"," Donc, la coagulation plasmatique, si vous avez vu"
"197890","201470"," vos cours, elle constitue la deuxième phase de"
"201470","203550"," l'hémostase puisque la première phase, c'était"
"203550","204550"," l'hémostase primaire."
