"start","end","text"
"1350","6510"," Bonjour, on va continuer sur nos cours de"
"6510","7290"," neurophysiologie."
"8350","12710"," Aujourd'hui on va finir notre cours sur"
"12710","16270"," les bases neurophysiologiques du fonctionnement du neurone."
"17370","21170"," On avait vu la dernière fois comment est "
"21170","22950","-ce que le potentiel d'action est créé,"
"23150","24210"," comment il est conduit. "
"25050","26850"," Aujourd'hui on va voir comment il est"
"26850","30310"," transmis d'un neurone à un autre, ou"
"30310","35010"," bien d'un neurone à des fibres musculaires."
"38000","40000"," Donc c'est ce qu'on appelle la"
"40000","41560"," neurotransmission synaptique."
"46220","49000"," Je vous rappelle ici le neurone A, le"
"49000","49520"," neurone B."
"50820","55020"," Quand le neurone A crée le potentiel d "
"55020","56760","'action au niveau du cône d'implantation, il"
"56760","60500"," va le transmettre par les mécanismes de conduction"
"60500","61520"," qu'on a vus ensemble. "
"62240","65580"," Puis la finalité c'est de transmettre l "
"65580","66740","'information à notre neurone."
"67380","69420"," Si le neurone garde l'information juste pour"
"69420","71340"," lui, ce n'est pas intéressant pour le"
"71340","71980"," système nerveux."
"72140","73940"," Il faut que l'information passe depuis ce"
"73940","76920"," neurone à notre neurone dans le cadre d "
"76920","81420","'un circuit neuronal, ou bien à une fibre"
"81420","85160"," musculaire dans la jonction non musculaire pour pouvoir"
"85160","86220"," contracter le muscle. "
"86600","94780"," Ou bien dans certaines situations c'est entre"
"94780","97800"," le neurone et une glande."
"99400","103000"," Donc cette connexion on appelle ça synapse."
"103740","105520"," Et cette synapse peut se faire entre l "
"105520","107140","'axone et les dendrites. "
"107700","108780"," C'est le cas le plus fréquent."
"109720","112640"," Ça peut se faire entre l'axone écocellulaire"
"112640","115700"," directement, ce qu'on appelle l'axo somatique."
"116600","117540"," C'est l'axo dendritique. "
"119060","122680"," Et ça peut être enfin ce forme d "
"122680","126580","'une connexion axo-axonique pour contrôler directement un"
"126580","126980"," axone."
"127740","129880"," Donc ce neurone là, il va contrôler cet"
"129880","133760"," axone, soit pour potentialiser cet axone ou bien"
"133760","134380"," pour l'inhiber."
"136580","140440"," Et sur le schéma à droite, on voit"
"140440","144260"," que ces connexions peuvent se faire de différentes"
"144260","144660"," façons. "
"145360","147020"," D'accord ?"
"147020","147900"," Différentes organisations."
"148880","152440"," Une organisation simple, comme vous le voyez ici."
"153220","157380"," Ou bien sur le même élément postsynaptique, on"
"157380","160080"," peut avoir deux branchements du même neurone qui"
"160080","163200"," vont entrer en synapse avec cet élément. "
"164240","170600"," On peut avoir une grande surface du neurone"
"170600","173900"," présynaptique qui va englober l'ensemble du corps"
"173900","175520"," cellulaire du deuxième neurone."
"176600","178400"," Ça suit notre situation possible."
"179300","180600"," D'accord ?"
"180600","182460"," Ou bien plusieurs connexions. "
"183660","186280"," L'axone qui peut entrer en connexion avec"
"186280","189280"," plusieurs dendrites comme vous pouvez le voir ici."
"190230","195040"," Différentes dispositions, mais la finalité c'est qu "
"195040","196360","'il va y avoir une transmission."
"201380","208060"," Donc la neurotransmission dans le système nerveux se"
"208060","211120"," fait grâce à deux mécanismes principaux qui sont"
"211120","215120"," la neurotransmission chimique et la neurotransmission électrique. "
"215940","221160"," Dans notre système nerveux des humains, la neurotransmission"
"221160","223120"," chimique c'est la neurotransmission prédominante."
"224380","226340"," C'est elle qui est la plus répandue."
"227020","229140"," La neurotransmission synaptique, on va la voir plus"
"229140","230140"," tard et on va en discuter. "
"231200","232980"," Ça veut dire quoi une neurotransmission chimique ?"
"232980","234140"," Ça veut dire qu'il y a un"
"234140","239500"," contact entre les deux neurones, mais pas de"
"239500","240160"," continuité."
"240160","242920"," Donc il doit y avoir un espace, ce"
"242920","246340"," qu'on appelle une fonte synaptique, entre les"
"246340","246840"," deux neurones."
"253820","256500"," Le fait qu'il n'y a pas"
"256500","259940"," de connexion directe entre les deux neurones fait"
"259940","262320"," qu'il doit y avoir un agent qui"
"262320","264540"," va transmettre l'information depuis le neurone A"
"264540","265760"," au neurone B."
"266380","267860"," C'est des molécules chimiques qu'on a"
"267860","270740"," découvertes et qu'on appelle les neuromédiateurs ou"
"270740","271280"," bien les neurotransmetteurs. "
"275460","279600"," Donc là c'est l'exemple, vous le"
"279600","281120"," voyez ici, c'est l'exemple d'une"
"281120","282500"," synapse chimique."
"283400","286700"," On a fait un agrandissement de cette connexion"
"286700","288180"," qu'on a ici entre le neurone A"
"288180","288960"," et le neurone B."
"289700","293000"," Et en faisant un agrandissement, on a vu"
"293000","298560"," que la synapse comprend un élément présynaptique et"
"298560","299540"," un élément postsynaptique."
"299600","300540"," Entre les deux, il y a une fonte"
"300540","301180"," synaptique. "
"301180","304900"," Et vous voyez que dans l'élément présynaptique,"
"305020","306880"," il y a des vesicules comme des saccules"
"306880","310760"," qui contiennent les neurotransmetteurs dont on a parlé."
"313280","318220"," Cette neurotransmission chimique, cette synapse chimique, comme vous"
"318220","321280"," pouvez le voir, les deux neurones ne sont"
"321280","323860"," pas directement en contact."
"324560","325460"," Ils ne se touchent pas. "
"326100","327680"," Il y a une fonte qui est certes"
"327680","329560"," très petite, mais ça fait qu'il y"
"329560","330240"," a un espace."
"330980","334500"," C'est une neurotransmission rapide, mais relativement moins"
"334500","336820"," rapide que la neurotransmission électrique."
"342380","348000"," Cette neurotransmission permet donc une transmission juste depuis"
"348000","350140"," l'élément présynaptique vers l'élément postsynaptique. "
"350760","352900"," Comme on va le voir dans les électriques,"
"353000","353520"," ce n'est pas le cas."
"353800","357200"," On peut avoir une transmission bidirectionnelle."
"362150","364450"," On va voir ensemble la physiologie de la"
"364450","364890"," synapse. "
"365210","367970"," Ce sont des éléments qui sont très importants"
"367970","368450"," qu'on va voir."
"368550","371690"," L'objectif est de comprendre comment l'influx"
"371690","377670"," nerveux qui vient du neurone A va créer"
"377670","384490"," un potentiel électrique dans le neurone 2."
"385590","389670"," Ça, c'est une schématisation d'une synapse"
"389670","391970"," qui montre l'élément présynaptique et l'élément"
"391970","392750"," postsynaptique."
"393290","395410"," Les éléments les plus importants, c'est l "
"395410","396690","'arrivée du potentiel d'action. "
"396910","397970"," C'est ce qu'on appelle dans la"
"397970","399470"," transmission électrique l'influx nerveux."
"400650","403130"," Les autres éléments importants, c'est les vésicules"
"403130","403590"," synaptiques."
"403750","408710"," C'est des saccules qui contiennent les neurotransmetteurs. "
"408710","411050"," Il y a une zone active qui n "
"411050","412930","'est pas bien schématisée là, mais c'est"
"412930","415510"," la zone où on va avoir un contact,"
"416110","419490"," une fusion entre les saccules, les vésicules et"
"419490","421690"," la membrane présynaptique."
"422630","425270"," On doit avoir les neurotransmetteurs aussi qui sont"
"425270","429350"," des facteurs déterminants pour la physiologie de la"
"429350","429770"," synapse."
"429770","432550"," Il y a la fonte synaptique dans laquelle"
"432550","436250"," on va trouver des enzymes qui permettent donc"
