"start","end","text"
"70","4050"," Chers étudiants, on va continuer nos cours de"
"4050","8230"," neurophysiologie par le système nerveux végétatif, appelé aussi"
"8230","10090"," le système nerveux autonome."
"14320","17020"," Vous pouvez trouver ici les objectifs de ce"
"17020","17260"," cours."
"21400","24780"," Le système nerveux, comme vous le savez maintenant,"
"25080","27180"," est divisé en deux types de systèmes. "
"27760","29320"," Il y a le somatique, en contrôle par"
"29320","30960"," la conscience, et il y a l'autonome,"
"31140","32740"," qui fait partie de l'inconscient."
"35260","39480"," Il y a différentes fonctions dans notre corps"
"39480","42840"," qui sont vitales et qui sont très complexes"
"42840","44500"," à gérer de façon consciente."
"44640","49040"," C'est pourquoi nous avons été créés avec"
"49040","53240"," une capacité à gérer toutes ces fonctions de"
"53240","54140"," façon autonome. "
"54600","56260"," Il y a déjà tous les mécanismes, tous"
"56260","59220"," les systèmes qui permettent de contrôler tout ça."
"59420","60760"," Et le chef d'orchestre, c'est au"
"60760","62420"," niveau de l'hépotalamus."
"62420","65700"," Parmi ces fonctions, c'est maintenir une température"
"65700","71120"," stable du milieu intérieur, c'est établir des"
"71120","76320"," homeostasies, avoir une tension artérielle correcte, une perfusion"
"76320","84080"," cérébrale correcte, avoir un rythme cardiaque correct, etc. "
"84340","86940"," Adapter à l'effort, etc."
"86940","89460"," Il y a beaucoup de fonctions qui se"
"89460","93460"," passent à un niveau qui est franchement inconscient"
"93460","95360"," mais vital."
"98100","103060"," Ce système nerveux autonome est divisé en sympathique"
"103060","104100"," et parasympathique. "
"104460","105940"," Je pense que vous avez déjà entendu parler"
"105940","106340"," de ça."
"106440","109020"," Le sympathique, c'est un système qui est"
"109020","112160"," impliqué plutôt lorsqu'on est en état de"
"112160","115360"," stress, en état d'alerte, où on doit"
"115360","117560"," combattre ou fuir le danger."
"117560","122500"," Alors que le parasympathique fonctionne à l'état"
"122500","126900"," de repos pour rétablir les réserves, etc. "
"128060","130420"," Il y a un troisième système qui est"
"130420","132380"," le système enterique."
"132540","135460"," Vous avez vu avec nos collègues gastro dans"
