"start","end","text"
"250","2210"," Le cours d'aujourd'hui est intitulé «"
"2210","4890"," Infection par le virus de l'immunodéficience humaine"
"4890","5630"," »."
"5630","7470"," Les objectifs de ce cours, c'est que"
"7470","9650"," vous soyez capables à la fin de ce"
"9650","11890"," cours de citer les mots de transmission et"
"11890","15230"," de prévention de l'infection à virus de"
"15230","18870"," l'immunodéficience humaine, d'expliquer l'histoire naturelle"
"18870","20730"," de l'infection à VIH, d'évoquer l "
"20730","25770","'infection devant des situations cliniques, de reconnaître les"
"25770","29850"," principales infections opportunistes, de poser le diagnostic positif"
"29850","32370"," et faire le suivi biologique de l'infection,"
"32790","37130"," ou plutôt d'écrire le bilan, d'y"
"37130","39950"," citer le bilan initial à faire en cas"
"39950","43290"," d'infection par le VIH confirmé, et aussi"
"43290","46230"," de citer les grandes lignes de traitement antirétrovirales."
"46230","50310"," Le sida ou syndrome d'immunodéficience acquise a"
"50310","54230"," été reconnu la première fois en 1981 chez"
"54230","59310"," des personnes présentant des infections opportunistes, et c "
"59310","61690","'était essentiellement une population d'hommes ayant des"
"61690","63250"," rapports sexuels avec des hommes."
"63769","65730"," Mais à l'époque, on ne connaissait pas"
"65730","68050"," l'agent pathogène qui n'a été découvert"
"68050","70230"," que deux ans plus tard où on a"
"70230","73110"," découvert le virus de l'immunodéficience humaine. "
"73110","78010"," En 1986, on découvre un autre virus qui"
"78010","82770"," est génétiquement différent du premier, mais qui aboutit"
"82770","86810"," au même tableau clinique, et on a désigné"
"86810","89410"," le premier par VIH 1 et le deuxième"
"89410","90390"," par VIH 2."
"92200","94120"," Dans le monde de l'onus sida, il"
"94120","99960"," a rapporté des chiffres qui sont très rassurants"
"99960","102120"," concernant l'évolution de cette épidémie."
"102120","105600"," Ainsi, on a noté à partir de 2015"
"105600","110460"," une régression de 35%, une diminution de 35 "
"110460","114740","% de nouvelles infections à VIH depuis 2002."
"115080","118240"," Aussi, une diminution de 42% des décès"
"118240","120900"," liés au sida depuis le pic de 2004. "
"121380","124300"," Et une diminution de 58% de nouvelles"
"124300","127180"," infections à VIH parmi les enfants depuis 2000."
"127180","131020"," Et aussi une augmentation de 84% de"
"131020","134580"," l'accès à la thérapie antirétrovirale depuis 2010."
"135420","138520"," Aussi dans le monde, les estimations de 2015"
"138520","142920"," étaient d'un chiffre de 36,7 millions"
"142920","144860"," de personnes vivant avec le VIH. "
"144860","148840"," Avec 2 millions de nouvelles infections dans le"
"148840","153040"," monde, 1 million de personnes décédées à cause"
"153040","156960"," d'une cause liée au VIH dans le"
"156960","161040"," monde, et entre 2000 et 2015, le nombre"
"161040","163080"," de nouvelles infections à VIH a baissé de"
"163080","166560"," 35%, et celui des décès liés au sida"
"166560","167600"," de 28%."
"167600","172680"," En 2016, jusqu'en mi-2016, on a"
"172680","178100"," estimé 18,2 millions de personnes vivant avec"
"178100","180760"," le VIH étaient sous traitement antirétroviral."
"181860","183100"," Qu'en est-il au Maroc?"
"183840","185980"," La prévalence de l'infection à VIH au"
"185980","189460"," Maroc est considérée très faible. "
"190020","192660"," Il est de l'ordre de 0,15%."
"192660","197540"," Cependant, cette prévalence est variable en fonction de"
"197540","200020"," la population, en fonction de la région."
"200400","203600"," Par exemple, chez les usagers de drogue par"
"203600","209720"," voie intraveineuse ANADOR, la prévalence est de 25 "
"209720","213880","% dans cette population. "
"213880","217180"," C'est-à-dire que sans usager de"
"217180","220280"," drogue par voie intraveineuse ANADOR, on trouve 25 "
"220280","221660","% qui sont infectés par le VIH."
"222140","224980"," À Tétouan, cette prévalence est de 7%"
"224980","226520"," chez les usagers de drogue."
"226960","230140"," À Angadir, cette prévalence est supérieure à 5 "
"230140","233460","% parmi les professionnels de sexe et parmi"
"233460","235800"," les hommes ayant des rapports sexuels avec les"
"235800","236040"," hommes. "
"236860","239360"," Si on regarde la distribution des malades par"
"239360","242340"," région, on trouve que 21% des malades"
"242340","245900"," infectés par le VIH viennent de la région"
"245900","247040"," de Sous-Massadera."
"248260","252740"," Le deuxième chiffre, c'est notre région, Marrakech "
"252740","257820","-Tensif, qui contient 16% des patients infectés"
"257820","258399"," par le VIH."
"258579","261620"," On vient donc avant même le grand Casablanca,"
"261880","265260"," à partir duquel vient 13% des patients. "
"266240","269460"," 70% des patients vivant avec le VIH"
"269460","271440"," viennent du milieu urbain."
"272140","275260"," L'évolution des cas de VIH-SIDA du"
"275260","279180"," 1er janvier 1986, où on a découvert le"
"279180","282520"," premier cas de VIH jusqu'en septembre 2016,"
"283040","290040"," on a dénombré 12 098 cas de patients"
"290040","293940"," vivant avec le VIH au stade de SIDA."
"293940","296660"," C'est un chiffre des cas qui sont"
"296660","299200"," recensés, connus et déclarés. "
"299780","304480"," Les prévisions concernant la totalité des personnes infectées"
"304480","306880"," par le VIH, même ceux qui ne le"
"306880","311420"," connaissent pas, dépassent ça de 65%."
"311420","314580"," 47% des cas ont été notifiés au"
"314580","318120"," cours de la période 2011-2016, c'est "
"318120","321300","-à-dire qu'une prise de connaissances importante"
"321300","324740"," de l'infection à VIH qui fait un"
"324740","328780"," dépistage aussi important, de même que pour les"
"328780","334680"," campagnes de dépistage qui sont menées essentiellement soit"
"334680","336740"," par le ministère de santé ou même par"
"336740","339100"," les associations de lutte contre le SIDA."
"339840","344360"," Si on regarde le nombre de cas notifiés"
"344360","346680"," selon le stade, il s'agit d'une"
"346680","350240"," simple infection par le VIH ou bien d "
"350240","353140","'un stade avancé de l'infection à VIH"
"353140","357920"," au stade SIDA, on voit qu'avant 2011,"
"358340","361840"," la plupart des cas déclarés sont des cas"
"361840","363900"," à un stade avancé de l'infection à"
"363900","364260"," VIH. "
"365040","369140"," 67% en 2008, 68% en 2009,"
"369240","370480"," 60% en 2010."
"370860","373640"," À partir de 2011, on commence à avoir"
"373640","376400"," des cas d'infection par le VIH déclarés"
"376400","378660"," à un stade encore précoce de l'infection,"
"378800","382920"," ce qui témoigne de la connaissance de plus"
"382920","385580"," en plus importante de cette infection, et aussi"
"385580","390640"," grâce à l'augmentation de conscience dans la"
"390640","396200"," population et aux campagnes de dépistage menées régulièrement"
"396200","398020"," pour dépister cette infection."
"398840","402680"," Concernant la répartition de cette infection par rapport"
"402680","404940"," à l'âge et par rapport au sexe,"
"404940","410460"," on trouve qu'entre 20 ans et 34"
"410460","413380"," ans, il y a plutôt une prédominance féminine,"
"413720","416860"," et qui dit prédominance féminine dit femme en"
"416860","422720"," activité génitale avec risque de transmission verticale et"
"422720","425180"," le risque d'avoir des enfants infectés. "
"426460","429460"," Le mode de transmission essentiel de l'infection"
"429460","431600"," à VIH au Maroc, il est représenté par"
"431600","435080"," les rapports hétérosexuels qui est présent dans 89 "
"435080","437280","% des cas, et c'est-à-dire"
"437280","439380"," les rapports entre femmes et hommes."
"441330","445270"," Le virus VIH est un virus à ARN"
"445270","448170"," qui appartient à la famille des rétrovirus, c "
"448170","449890","'est-à-dire qui ont besoin de la"
"449890","454090"," transcription de l'ARN grâce à une transcriptase"
"454090","458050"," inverse à un ADN, et qui fait partie"
"458050","460050"," de la catégorie de l'antivirus."
"460050","462670"," Il existe deux types de virus, le VIH"
"462670","464410"," 1 qui est le plus répandu à l "
"464410","466490","'échelle mondiale et qui est le plus répandu"
