"start","end","text"
"200","2520"," Aujourd'hui, on va voir le cours du"
"2520","2980"," choléra."
"3840","5480"," Les objectifs de ce cours, c'est d "
"5480","7720","'être capable de citer et de reconnaître les"
"7720","10980"," modes de transmission du buprion cholérique, de poser"
"10980","14360"," le diagnostic du choléra sur des arguments cliniques"
"14360","17100"," et paracliniques, de prendre en charge un cas"
"17100","21560"," de choléra et de prescrire les mesures préventives."
"23120","25800"," Le monde a connu sept pandémies de choléra"
"25800","28260"," depuis 1817. "
"28260","31740"," La dernière pandémie qui touche tout le globe"
"31740","35140"," terrestre, elle évolue depuis 1961."
"35760","38140"," Et la dernière épidémie dans le monde, c "
"38140","39660","'est celle de Yémen."
"40040","41900"," Au Maroc, aucun cas de choléra n'a"
"41900","44560"," été déclaré depuis 1999. "
"45640","48680"," Dans le monde, et selon les estimations, chaque"
"48680","52120"," année, on enregistre 1,3 à 4 millions"
"52120","56560"," de cas de choléra et qui causent 21"
"56560","59760"," 000 à 143 000 décès dus à la"
"59760","61460"," maladie dans le monde."
"62020","64120"," Et selon l'Organisation mondiale de la santé,"
"64680","67800"," en 2015, il y a eu 42 pays"
"67800","71600"," qui ont déclaré un total de 162 012"
"71600","77820"," 454 cas, dont 1304 étaient mortels."
"77820","81960"," Au Yémen, plus de 250 000 cas suspects"
"81960","86080"," ont été enregistrés jusqu'en juillet 2017. "
"88640","91760"," Au Maroc, une épidémie de choléra a été"
"91760","96540"," enregistrée dans les années, les fins des années"
"96540","99480"," 80 et début des années 90."
"99480","102200"," On a eu jusqu'à au-delà de"
"102200","102880"," 6 000 cas."
"105020","107100"," Et pratiquement, il n'y a plus de"
"107100","110860"," cas de choléra déclarés au Maroc depuis 1999. "
"112160","114940"," L'agent pathogène du choléra, c'est le"
"114940","116080"," Vébrillon cholérique."
"116260","118760"," C'est un bacille gramme négative mobile."
"119500","122860"," Il est classé en souches selon la structure"
"122860","124040"," de l'antigène O."
"124040","126260"," Donc on a le sérogroppe O1 et le"
"126260","129759"," sérogroppe O39 qui sont responsables de la maladie. "
