"start","end","text"
"3270","6090"," Le cours d'aujourd'hui est intitulé «"
"6090","8190"," Epidémiologie des maladies infectieuses »."
"8190","10410"," C'est un cours d'introduction à ce"
"10410","12870"," chapitre de maladies infectieuses qu'on va traiter"
"12870","15230"," dans ce premier semestre de la troisième année."
"17290","19770"," Ce cours est plein de définitions qui sont"
"19770","22550"," nécessaires à la compréhension de ce chapitre des"
"22550","23610"," maladies infectieuses."
"24290","27150"," Alors, on dit épidémiologie, c'est un science,"
"27310","29330"," c'est une étude de la distribution des"
"29330","31910"," maladies chez l'homme et l'étude des"
"31910","34990"," facteurs qui influencent l'apparition des maladies. "
"35530","37570"," C'est aussi l'étude des épidémies et"
"37570","39210"," des facteurs qui pourraient les causer."
"39730","41950"," Et le but de cette science est de"
"41950","45770"," comprendre les causes des maladies, améliorer leur traitement"
"45770","47990"," et pouvoir les prévenir."
"49110","51390"," La deuxième définition, c'est celle de l "
"51390","52170","'infection. "
"52170","54950"," Donc on parle de l'infection quand on"
"54950","56970"," a un résultat de l'agression d'un"
"56970","60330"," organisme par un agent pathogène auquel il doit"
"60330","62330"," réagir par la mise en place de ses"
"62330","63269"," moyens de défense."
"64470","67590"," Cette infection va se traduire par des altérations"
"67590","71450"," anatomiques et fonctionnelles et par des manifestations cliniques"
"71450","72290"," et biologiques."
"72290","75590"," Par exemple, quand on a un gastroenterite, il"
"75590","79590"," va se manifester par une diarrhée, une émission"
"79590","84010"," de sang dans les selles et biologiquement, il"
"84010","89810"," peut s'apparaître sous forme de troubles hydroélectrolytiques. "
"90690","93630"," Alors, selon le mode d'acquisition d'une"
"93630","98450"," infection, on décrit une infection communautaire, c'est "
"98450","100170","-à-dire c'est une infection qui a"
"100170","104070"," été acquise en extra-hospitalière, c'est-à "
"104070","106230","-dire en dehors de l'hôpital, c'est "
"106230","109850","-à-dire une infection de ville et qui"
"109850","111750"," s'est développée en dehors de l'hôpital,"
"111850","112230"," bien sûr."
"112850","119050"," Alors, en parallèle, on décrit une infection communautaire"
"119050","121750"," quand elle apparaît au cours ou à la"
"121750","124630"," suite d'une hospitalisation, que ce soit pour"
"124630","130110"," une intervention thérapeutique, diagnostique ou préventive, à condition"
"130110","133250"," que cette infection ne soit pas présente au"
"133250","138690"," moment de l'hospitalisation et ne soit pas"
"138690","141630"," en incubation au moment de l'hospitalisation."
"142510","146050"," Pour qu'une maladie infectieuse se développe, on"
"146050","148090"," a besoin d'une chaîne faite d'un"
"148090","151650"," réservoir qui va émettre les agents pathogènes, de"
"151650","154590"," l'agent pathogène lui-même, qui va atteindre"
"154590","157970"," l'autre réceptive par deux moyens, soit une"
"157970","161910"," transmission directe ou une transmission indirecte, dont on"
"161910","166490"," verra la définition par la suite. "
"169610","172510"," Le réservoir des germes, c'est la source"
"172510","174770"," à partir de laquelle il est libéré l "
"174770","175650","'agent pathogène."
"175650","178130"," Ce réservoir, il peut être humain, l'être"
"178130","181050"," humain qui est représenté soit par l'homme"
"181050","184730"," malade qui peut libérer les germes et être"
"184730","188530"," contagieux pour l'entourage, que ce soit même"
"188530","192290"," en période d'incubation ou bien en période"
"192290","194950"," de la maladie, en de convalescence ou même"
"194950","197950"," après la maladie quand il va continuer à"
"197950","199250"," émettre les germes."
"199250","201810"," Aussi le porteur sain, c'est-à-dire"
