"start","end","text"
"840","4520"," Bonjour, aujourd'hui on va traiter les accidents"
"4520","5700"," d'exposition au sang."
"7940","10500"," La définition d'un accident d'exposition au"
"10500","14740"," sang est toute exposition percutanée au taux contact"
"14740","17440"," d'une miqueuse, de l'œil ou de"
"17440","20320"," la bouche ou une peau lésée avec du"
"20320","22980"," sang ou un liquide biologique souillé avec du"
"22980","23160"," sang."
"25850","27730"," La conduite à tenir en cas d'accident"
"27730","30670"," d'exposition au sang, il faut entretenir les"
"30670","33510"," premiers soins en urgence dans les premières 5"
"33510","36090"," minutes qui suivent cet accident d'exposition au"
"36090","36250"," sang. "
"37010","39810"," Consulter en urgence un médecin référent dans la"
"39810","42210"," prise en charge des accidents d'exposition au"
"42210","44630"," sang dans les premières 4 heures qui suivent"
"44630","46390"," cet accident d'exposition au sang."
"46870","50110"," Une évaluation du risque sera faite en fonction"
"50110","53090"," du statut du patient source par rapport à"
"53090","55790"," l'infection à VIH, par rapport à l "
"55790","57630","'hépatite B et à l'hépatite C."
"59320","63760"," Une prophylaxie éventuelle peut être indiquée."
"64900","68240"," Déclarer l'accident de travail dans les premières"
"68240","70840"," 24 heures qui suivent cet accident d'exposition"
"70840","74740"," au sang et contacter la médecine du travail"
"74740","76600"," en respectant le délai. "
"77280","79380"," Une mise en place du suivi sera faite"
"79380","81900"," avec une analyse des causes de l'accident"
"81900","83160"," d'exposition au sang."
"84730","88210"," En cas d'accident d'exposition au sang,"
"89170","92030"," il faut en premier interrompre le soin en"
"92030","92310"," cours."
"94720","96960"," Confier le soin en cours à un collègue"
"96960","99100"," et ne pas oublier de calmer le malade"
"99100","102320"," s'il est agité pour ne pas être"
"102320","105000"," source d'un autre accident d'exposition au"
"105000","105140"," sang. "
"109080","112560"," Deuxièmement, il faut entreprendre les premiers soins d "
"112560","117160","'urgence dans les premières 5 minutes suivant l "
"117160","118880","'accident d'exposition au sang."
"122640","125180"," Ne jamais presser la plaie ou la faire"
"125180","125580"," saigner."
"128500","133220"," Les premiers soins d'urgence sont Premièrement, nettoyage"
"133220","134660"," de la plaie à l'eau courante et"
"134660","135240"," au savon. "
"136380","139680"," Deuxièmement, tremper la partie blessée dans l'un"
"139680","142440"," des produits suivants pendant 5 à 7 minutes,"
"143420","146560"," soit le daquin, le javel à 12 degrés"
"146560","151140"," dilué au indizien, l'alcool à 70 degrés"
"151140","154320"," ou le polyvidone iodé."
"155500","158560"," Troisièmement, rincer avec de l'eau."
"160240","163700"," En cas de projection sur le visage ou"
"163700","167300"," sur les yeux, il faut rincer abondamment à"
"167300","171140"," l'eau courante ou au sérum physiologique pendant"
"171140","172620"," 5 minutes au moins. "
"176040","180400"," Ensuite, il faut contacter rapidement un médecin référent"
"180400","183480"," dans les premières 4 heures suivant l'accident"
"183480","184800"," d'exposition au sang."
"188300","191300"," Un médecin référent doit être désigné dans tout"
"191300","192500"," établissement de soins."
"193920","195940"," C'est un médecin qui est formé à"
"195940","198340"," la prise en charge des accidents d'exposition"
"198340","198900"," au sang. "
"198900","202540"," Le nom du médecin référent et ses coordonnées"
"202540","205580"," doivent être communiqués à l'ensemble du personnel"
"205580","207600"," soignant de l'établissement."
"212110","215690"," L'évaluation du risque sera faite en fonction"
"215690","218350"," du type de l'accident, de la profondeur"
"218350","221070"," de la blessure, de l'objet responsable de"
"221070","222790"," l'accident d'exposition au sang."
"223610","226170"," Le risque augmente en cas d'aiguille creuse. "
"226710","229510"," Il faut prendre en considération aussi le diamètre"
"229510","230030"," de l'aiguille."
"230030","233930"," Ce risque augmente aussi en cas de gestes"
"233930","237910"," intravasculaires, intraveineux ou intraartériels."
"238650","241970"," L'évaluation du risque prendra en considération aussi"
"241970","244330"," le délai entre le geste et l'accident"
"244330","247210"," d'exposition au sang et le temps de"
"247210","248690"," contact si projection. "
"249710","252790"," L'évaluation du risque sera faite aussi en"
"252790","256350"," fonction du statut du patient source par rapport"
"256350","261770"," à l'infection à VIH, par rapport à"
"261770","264270"," l'hépatite B et à l'hépatite C."
"265330","268410"," Il faut prendre en considération la charge virale,"
"268810","272350"," la positivité de l'ARN-VHC en cas"
"272350","274090"," d'hépatite active."
"274810","277450"," Il faut prendre en considération aussi les traitements"
"277450","280530"," que prend le patient et vérifier s'il"
"280530","282530"," n'y a pas de notion de résistance"
"282530","283310"," au traitement."
"284430","290980"," Le risque est important quand la piqûre est"
"290980","296380"," profonde, si aiguille creuse et intravasculaire, artérielle ou"
"296380","296960"," veineuse. "
"298080","301360"," Le risque est intermédiaire dans les cas suivants."
"302240","306560"," Coupure avec historie, piqûre avec aiguille intravasculaire ou"
"306560","312220"," sous-cutanée, piqûre avec aiguille pleine, exposition cutanéumiqueuse"
"312220","315140"," avec temps de contact supérieur à 15 minutes."
"316180","319180"," Le risque est estimé minime en cas de"
"319180","322740"," piqûre avec des seringues abandonnées, en cas de"
"322740","325660"," contact avec des crachats, en cas de morsure"
"325660","329040"," ou griffure et dans les autres cas. "
"331840","334740"," Après tout accident d'exposition au sang, il"
"334740","337740"," faut instaurer un suivi médical."
"337740","343260"," Il faut évaluer le statut du patient source"
"343260","346020"," par rapport à l'infection à VIH, à"
"346020","348420"," l'hépatite C et à l'hépatite P."
"349000","351860"," Pour cela, il faut demander un prélèvement initial"
"351860","355560"," qui comprend la recherche d'anticorps anti-VIH,"
"356040","359480"," la recherche d'anticorps anti-VHC, le dosage"
"359480","363940"," des transaminases et la recherche d'antigènes HPS."
"364960","369280"," En fonction du résultat de ce bilan, soit"
"369280","372560"," que le patient source ne présente pas d "
"372560","376580","'infection à VIH, ni hépatite B, ni hépatite"
"376580","380340"," C, à ce moment, il faut arrêter le"
"380340","384020"," suivi médical de l'accident d'exposition au"
"384020","384220"," sang. "
"384940","390780"," Dans le cas où le prélèvement initial montre"
"390780","394320"," une infection à VIH ou une hépatite C"
"394320","396740"," ou une hépatite B chez le patient source,"
"398420","402560"," ou que le statut du patient source reste"
"402560","408060"," inconnu, il faut, à ce moment, évaluer le"
"408060","412320"," statut de la personne victime par rapport à"
"412320","414860"," l'infection à VIH par rapport à l "
"414860","417440","'hépatite C et par rapport à l'hépatite"
"417440","417760"," B."
"419340","423440"," Il faut demander chez la personne victime un"
"423440","428260"," prélèvement initial qui doit comprendre la recherche d "
"428260","431980","'anticorps anti-VIH, la recherche d'anticorps anti "
"431980","436920","-VHC, le dosage des transaminases, la recherche d "
"436920","442060","'antigènes HPS, si pas de notion de vaccination"
"442060","443740"," contre l'hépatite B."
"444520","449140"," Si la personne victime est vaccinée contre l "
"449140","453380","'hépatite B, il faut demander le titrage d "
"453380","455680","'anticorps anti-HPS."
"458900","463150"," Il faut savoir que toute personne exposée doit"
"463150","468010"," 24 sur 24 avoir accès à une information"
"468010","473170"," homogène et écrite, à des démarches rapides, à"
"473170","476550"," l'avis d'un médecin référent pour décider"
"476550","479390"," d'une prophylaxie éventuelle."
"481270","484050"," Dans le cadre du suivi, après l'accident"
"484050","487490"," d'exposition au son et concernant la prise"
"487490","490210"," en charge après exposition au virus de l "
"490210","495830","'hépatite B, si le patient source un antigène"
"495830","500410"," HPS positif ou que le statut par rapport"
"500410","503770"," à l'hépatite B est inconnu, si la"
"503770","507070"," personne victime est vaccinée et répandeur, c'est "
"507070","508850","-à-dire qu'elle a un titrage d "
"508850","513289","'anticorps anti-HPS supérieur à 10 unités par"
"513289","516450"," litre, même ancien, il n'y a ni"
"516450","519390"," prophylaxie ni suivi à faire. "
"521409","523790"," Si la personne victime n'est pas vaccinée"
"523790","525850"," ou s'il est vacciné, qu'il a"
"525850","528870"," reçu trois injections mais non répandeurs, c'est"
"528870","532270"," l'indication des immunoglobulines spécifiques dans les 72"
"532270","535450"," heures plus une vaccination dans les 72 heures"
"535450","537410"," jusqu'à 7 jours suivant l'accident d "
"537410","541370","'exposition au son, la première injection puis la"
"541370","544270"," deuxième injection à un mois et la troisième"
"544270","546930"," à six mois après la première."
"548070","551370"," Il faut instaurer un suivi par le dosage"
"551370","555030"," des alates et la demande de la sérologie"
"555030","558350"," de l'hépatite B, le jour de l "
"558350","561850","'accident d'exposition au son pour évaluation du"
"561850","565390"," statut de la personne victime, la demande d "
"565390","568230","'une sérologie à trois mois et à six"
"568230","568430"," mois."
"570550","574030"," Si la personne victime est vaccinée mais réponse"
"574030","578090"," inconnue, on en considère comme non répandeur et"
"578090","581150"," c'est l'indication des immunoglobulines plus la"
"581150","585530"," vaccination avec un contrôle des transaminases et de"
"585530","587090"," la sérologie de l'hépatite B."
