"start","end","text"
"6220","9320"," Bonjour, aujourd'hui on va voir le cours"
"9320","11320"," sur la bilharziose urogénitale."
"13800","16240"," Les objectifs de notre cours sont les suivants,"
"16860","21140"," reconnaître la bilharziose urogénitale devant des arguments épidémiologiques"
"21140","24640"," cliniques et paracliniques, citer les complications de la"
"24640","29560"," bilharziose urogénitale et savoir traiter la bilharziose urogénitale."
"32100","36200"," La bilharziose ou la cystosomiase fut découverte en"
"36200","39460"," 1852 par un médecin allemand, c'est le"
"39460","40020"," Dr. Billard. "
"40400","45800"," La bilharziose urogénitale ou la cystosomiase urogénitale est"
"45800","48700"," une maladie parasitaire qui est due à un"
"48700","51000"," verre plat, platellement, de la classe d'être"
"51000","52800"," hématode du genre cystosoma."
"55320","57940"," Pour les gens pathogènes, c'est le cystosoma"
"57940","60940"," hématomien qui vit dans les plexus véneux périrectaux"
"60940","61800"," et périvisicaux."
"62180","65180"," La source est strictement humaine, le produit virulence"
"65180","69300"," est le douce entre 18°C et 30°C, la"
"69300","72120"," transmission se fait par pénétration des cerquières par"
"72120","73280"," voie transcutanée. "
"73820","75700"," Concernant la réceptivité, il n'y a pas"
"75700","79740"," d'immunité naturelle, l'immunité acquise peut-être"
"79740","81580"," par atteinte antérieure."
"82200","84940"," Concernant les facteurs favorisants, c'est essentiellement la"
"84940","89400"," prévention exposée, le développement des ressources hydrauliques, tels"
"89400","90480"," les barrages hydrauliques."
"91900","95940"," Concernant la répartition géographique, au niveau mondial, c "
"95940","98540","'est une pathologie qui sévit essentiellement au niveau"
"98540","100780"," de l'Afrique, le delta du Nil, la"
"100780","102500"," zone intertropicale et le Maghreb. "
"102940","105100"," Au niveau du Maroc, c'est une pathologie"
"105100","107820"," qui a été éradiquée depuis 2005, le dernier"
"107820","109900"," cas a été enregistré en 2004."
"112200","114840"," Voici une cartographie qui vous montre la distribution"
"114840","117080"," géographique de la bilharziose."
"119500","124620"," Pour le cycle de maturation des bilharzioses, voici"
"124620","126740"," un schéma qui vous résume le cycle de"
"126740","130640"," maturation de la bilharziose à partir de la"
"130640","136100"," pénétration transcutanée active des furcocercaires jusqu'à excrétion"
"136100","138980"," des œufs de bilharzi dans les selles et"
"138980","141620"," les urines du sujet infecté dans le milieu"
"141620","142240"," extérieur. "
"144860","148220"," Pour la physiopathologie, après pénétration de cercaires, il"
"148220","150700"," y aura une réaction cutanée allergique immédiate mais"
"150700","154340"," inconstante, maturation des larves qui va aboutir à"
"154340","156640"," la pente des œufs et au stade chronique,"
"156800","158760"," on aura une production permanente des œufs et"
"158760","162680"," leur élimination dans les voies excrétrices avec constitution"
"162680","165720"," d'un granulome et d'une réaction fibreuse."
"167280","170160"," Sur le plan clinique, après pénétration des cercaires,"
"170560","172760"," quelques heures à 7 jours après la contamination,"
"173000","175340"," on aura l'apparition d'une éruption papilleuse,"
"175440","178020"," prurigineuse qui peut passer inaperçue."
"178360","180560"," Au cours de la phase d'invasion, 2"
"180560","185040"," à 12 semaines après, inconstamment, on peut observer"
"185560","189280"," une fièvre, des céphalées, des phénomènes allergiques tels"
"189280","193360"," une dyspnée asthmatiforme, une éruption urticarienne, présence de"
"193360","198920"," troubles digestifs, une hépatomégalie, rarement une encéphalopathie, avec"
"198920","202820"," présence d'une hyper-isomophilie constante sur l "
"202820","205680","'annumération de la formule sanguine et importante. "
"205680","210280"," C'est ce qu'on appelle la fièvre"
"210280","211340"," de safari."
"213690","215570"," Au cours de la période d'état, 10"
"215570","219290"," à 12 semaines après la contamination, on aura"
"219290","224510"," des signes urinaires, une hématurie, macroscopique terminale récidivante"
"224510","229310"," parfois microscopique, présence d'une protéinerie, présence de"
"229310","232790"," signes de cystite et des signes de surenfection"
"232790","233690"," microbienne."
"234990","239310"," A la cystoscopie, présence de lésions caractéristiques du"
"239310","242350"," bas du fendt vésical avec de fines granulations,"
"244270","247090"," avec aspects de grains de saumoule, présence d "
"247090","250050","'ulcérations, rarement des poulies billardiennes. "
"254440","257260"," Les signes génitaux chez l'homme, on peut"
"257260","262720"," observer une orchiepédidymite, l'hémospermie, une prostatite chronique"
"262720","267640"," chez la femme, une annexite, une cervicite, la"
"267640","271640"," stérilité, la dystocie et possibilité d'une grossesse"
"271640","272540"," extra-utérine."
"273440","276520"," Pour les complications, on peut observer une sclérose"
"276520","279500"," et un rétrécissement du bas urtère avec dilatation"
"279500","284200"," pilocalicielle, unie ou bilatérale, surenfection et insuffisance rénale,"
"285520","288800"," la calcification de la vessie et la cancérisation"
"288800","289480"," de la vessie."
"290740","293180"," Voici un schéma qui résume l'atteinte des"
"293180","294600"," reins, des urtères et de la vessie. "
"294800","296540"," Au niveau des reins, on peut voir une"
"296540","299260"," hydronephrose, une néphrite interstitiale et une insuffisance rénale."
"299780","302340"," Au niveau des urtères, une sténose terminale, une"
"302340","305760"," dilatation fixe-jacente, une dissociation des tuniques et"
"305760","306320"," une atonie."
"306520","308760"," Au niveau de la vessie, des granules, un"
"308760","313040"," adénopapillum, des scléroses et des calcifications. "
"313040","315920"," Et dans les urines, on peut avoir une"
"315920","319780"," hématurie avec présence des oeufs de bilharzie."
"321120","325020"," Sur le plan radiologique, l'UIV peut nous"
