"start","end","text"
"3720","8000"," Bonjour tout le monde, j'ai le plaisir"
"8000","10220"," de vous accueillir dans ce cours intitulé le"
"10220","12340"," paludisme ou malaria."
"13620","17940"," Les objectifs qui sont fixés pour ce chapitre"
"17940","22540"," c'est de connaître les cinq espèces plasmodiales,"
"22640","25380"," les cinq espèces du genre plasmodium qui sont"
"25380","28700"," pathogènes, comprendre un petit peu leur cycle de"
"28700","32260"," développement et les modalités de contamination de l "
"32260","32360","'âme."
"33220","37180"," Par la suite comprendre les mécanismes physiopathologiques qui"
"37180","41220"," expliquent la symptomatologie clinique de l'infection à"
"41220","41860"," plasmodium. "
"42400","46140"," L'étudiant doit être capable d'évoquer, de"
"46140","48940"," penser à un axé palustre devant toute fièvre"
"48940","53600"," au retour d'un séjour après un séjour"
"53600","58800"," en zone tropicale, savoir prescrire en l'examen"
"58800","64379"," parasitologique nécessaire et recommander au diagnostic de l "
"64379","65380","'axé palustre."
"66460","70980"," Avoir une idée sur les principaux schémas thérapeutiques"
"70980","76980"," du traitement d'un paludisme et enfin faire"
"76980","80760"," connaissance avec les moyens physiques ou chimiques de"
"80760","87760"," prévention mais en plus et surtout la chimioprophylaxie"
"87760","90420"," médicamenteuse pour être à l'abri de l "
"90420","95880","'infection plasmodiale ou pour éviter les conséquences graves"
"95880","98100"," de l'axé palustre."
"100500","103560"," Alors comme plan adopté pour ce cours on"
"103560","107600"," va commencer par une introduction bien sûr puis"
"107600","110340"," par la suite on va étudier les aspects"
"110340","114980"," épidémiologiques à savoir la répartition géographique du paludisme,"
"116280","121700"," étudier les parasites, le vecteur, développer le cycle"
"121700","125800"," biologique des différentes espèces plasmodiales. "
"127280","129979"," On va par la suite étudier les mécanismes"
"129979","135740"," physiopathologiques qui expliquent la maladie et puis après"
"135740","138360"," on va voir un petit peu les différents"
"138360","143500"," tableaux cliniques qui sont causés par l'infection"
"143500","144180"," plasmodiale."
"145200","151200"," Par la suite bien sûr il faut développer"
"151200","156960"," les modalités biologiques pour poser le diagnostic, savoir"
"156960","160060"," quelles sont les conditions, dans quel délai, quelles"
"160060","162060"," sont les techniques et méthodes qui sont mises"
"162060","165220"," en oeuvre et puis on va dire un"
"165220","169840"," petit mot sur le traitement et surtout on"
"169840","172440"," va développer un petit peu la prophylaxie."
"173960","180960"," Le paludisme ou malaria sans ce terme si"
"180960","184140"," vous voulez est dérivé du latin paludis qui"
"184140","188340"," veut dire marée et c'est pour justement"
"188340","192160"," parler de fièvre des marées. "
"194660","199360"," Le paludisme est appelé également malaria et malaria"
"199360","204320"," est tiré de l'italien malaria ou mauvais"
"204320","205460"," air."
"205820","208880"," Le paludisme est une maladie infectieuse qui est"
"208880","212460"," humaine, fébrile et causée par un parasite du"
"212460","213460"," genre plasmodium."
"213920","217480"," Cette parasitose est transmise par un vecteur, l "
"217480","222900","'anophèle, après une pécure de ce moustique hématophage. "
"226280","230840"," Le paludisme représente un sérieux problème de santé"
"230840","233500"," publique, c'est un problème majeur dans le"
"233500","235720"," monde entier selon l'organisation mondiale de la"
"235720","238460"," santé et c'est une maladie à déclaration"
"238460","239180"," obligatoire."
"239440","242280"," On estime qu'à peu près 500 millions"
"242280","245240"," de cas sont enregistrés chaque année et on"
"245240","251040"," déplore malheureusement 450 000 morts par an qui"
"251040","255880"," concernent essentiellement et particulièrement l'enfant et la"
"255880","255980"," femme."
"257459","264460"," Le parasite c'est un protozoaire et précisément"
"264460","269060"," c'est un sporozoaire du genre plasmodium et"
"269060","271760"," pour lequel on connaît cinq espèces dont quatre"
"271760","275680"," sont spécifiques à l'homme, en l'occurrence"
"275680","278340"," plasmodium falciparum qui est de loin l'espèce"
