"start","end","text"
"5830","8330"," Bonjour, aujourd'hui on va essayer de traiter"
"8330","9870"," les antithrombotiques."
"10010","12310"," C'est un très grand chapitre qui va"
"12310","15690"," englober pratiquement trois grandes classes."
"16110","18390"," Ces trois classes qui vont essayer de s "
"18390","22570","'opposer aux différentes étapes de l'hémostase pour"
"22570","26970"," empêcher justement la formation d'un thrombus vasculaire. "
"27890","30050"," Alors la deuxième classe qu'on va essayer"
"30050","33010"," de traiter dans les antithrombotiques, après les anti "
"33010","35810","-agréments plaquettaires, vous avez les anticoagulants, c'est "
"35810","37670","-à-dire qu'on va essayer de s "
"37670","40270","'attaquer à la deuxième phase de l'hémostase"
"40270","41370"," qui est la coagulation."
"42450","45410"," Pour ceci, on va rappeler le schéma de"
"45410","46510"," la coagulation."
"46770","48490"," Alors comme vous le savez brillamment, vous avez"
"48490","49070"," deux voies. "
"49510","51970"," Vous avez une voie exogène qui commence par"
"51970","54110"," le facteur 7 et puis vous avez une"
"54110","56690"," voie endogène qui commence par le facteur 12"
"56690","58790"," et puis par la suite vous avez un"
"58790","62550"," tronc commun qui est un petit peu commun"
"62550","64430"," entre les deux voies qui est l'activation"
"64430","66810"," du facteur 10 qui va nous donner le"
"66810","69890"," 10A, lequel va activer la prothrombine pour nous"
"69890","71590"," donner la thrombine, la 2A."
"72370","74650"," Et cette 2A va essayer de convertir le"
"74650","78890"," fibrinogène en fibrine pour essayer de consolider notre"
"78890","81330"," thrombus blanc en thrombus rouge."
"81830","85370"," Et bien évidemment dans cette cascade de coagulation,"
"85550","88870"," vous avez des inhibiteurs de la coagulation qui"
"88870","90030"," sont signalés en vert. "
"90290","94410"," Nous avons essentiellement l'antithrombine 3 qui est"
"94410","98390"," une action prédominante sur le facteur 10A et"
"98390","98810"," 2A."
"99290","102310"," Puis vous avez les facteurs ou les protéines"
"102310","104910"," C et S qui sont des inhibiteurs, des"
"104910","107950"," cofacteurs de la coagulation qui sont le 8A"
"107950","110270"," et le 5A."
"110970","113910"," Alors je vais passer sur le cas clinique"
"113910","115710"," que vous aurez la réponse à la fin. "
"117610","121090"," Alors si on veut classer nos anticoagulants, nous"
"121090","123030"," avons trois grains de classe."
"123170","126530"," Nous avons les éparines, puis les antivitamines K,"
"126730","128789"," puis les anticoagulants eurodirects."
"128850","131550"," Et dans les éparines, vous avez pratiquement trois"
"131550","134270"," sortes d'éparines en fonction du poids moléculaire. "
"134390","136490"," Vous avez l'éparine standard avec une chaîne"
"136490","139130"," longue non fractionnée, vous avez l'éparine de"
"139130","141630"," bas poids moléculaire et vous avez l'éparine"
"141630","143610"," qui est composée de cinq monomères, la plus"
"143610","146570"," courte qui est la pentasaccharide ou le fondatimus."
"147510","153910"," Dans les anticoagulants eurodirects, vous avez trois anticoagulants"
"153910","155210"," qui sont disponibles au Maroc."
"155330","158510"," Vous avez les antixavants ou les xavants anti "
"158510","160990","-10A, donc qui sont dirigés contre les facteurs"
"160990","163330"," 10A qui sont le rivaroxavant et laxixavant. "
"163750","167110"," Vous avez l'antithrombine direct qui est de"
"167110","167950"," dabigatran."
"168510","170410"," Alors, pour essayer de comprendre, on va essayer"
"170410","173030"," de projeter ceci sur le schéma de la"
