"start","end","text"
"70","3230"," Bonjour, alors dans les cours de pharmacologie nous"
"3230","6510"," allons aborder aujourd'hui le cours intitulé les"
"6510","7490"," anthalgiques."
"8290","10670"," Alors les objectifs du cours c'est de"
"10670","15050"," connaître les différentes classes pharmacologiques des anthalgiques, leurs"
"15050","19610"," mécanismes d'action, leurs effets thérapeutiques, leurs principaux"
"19610","24110"," effets indésirables, les interactions médicamenteuses et plus particulièrement"
"24110","27230"," celles qui entraînent des contraindications et puis les"
"27230","30330"," principes du bon maniement et du bon usage"
"30330","31290"," des anthalgiques."
"32530","34530"," Alors le plan qu'on va aborder, après"
"34530","36890"," une introduction on va parler de la classification"
"36890","40290"," des anthalgiques qui sont classées en trois niveaux"
"40290","42410"," et de ce fait on va parler des"
"42410","45190"," différents niveaux, le niveau 1, 2 et 3"
"45190","46610"," avant de conclure. "
"48150","51650"," Alors la douleur est définie par l'association"
"51650","54610"," internationale d'études de la douleur en 1973"
"54610","59930"," comme étant une expérience sensorielle et émotionnelle désagréable"
"59930","63050"," associée à un dommage tessulaire réel ou potentiel"
"63050","65590"," ou décrite en référence à une telle lésion."
"65830","67670"," Donc l'intérêt de cette définition est de"
"67670","69470"," ne pas réduire la notion de douleur aux"
"69470","70570"," seules causes des zonaines."
"71150","73650"," Donc vous avez l'aspect ou la dimension"
"73650","77170"," physiologique c'est le sensoriel, psychologique c'est"
"77170","79850"," l'émotionnel et puis le fait qu'il"
"79850","82890"," s'agit d'une expérience désagréable va induire"
"82890","87750"," des phénomènes de renforcement négatif, des réactions, des"
"87750","91470"," vitements donc la personne va avoir des souvenirs"
"91470","93590"," de la douleur et donc ça va entraîner"
"93590","96170"," des phénomènes ou des comportements d'évitement. "
"96750","99030"," L'association à un dommage tessulaire rappelle que"
"99030","101010"," sur un plan biologique la douleur est souvent"
"101010","104130"," un signal d'alarme qui informe le sujet"
"104130","107210"," de l'occurrence d'une situation lésionnelle qui"
"107210","110410"," met en danger son intégrité physique ou sa"
"110410","110870"," survie."
"111230","112310"," Donc ça c'est ce que veut dire"
"112310","114890"," le signal d'alarme."
"117320","119480"," Sur ce schéma vous voyez les voies de"
"119480","121400"," transmission des messages non susceptifs. "
"121940","123620"," Ces messages résultent de la mise en jeu"
"123620","128919"," de terminaisons libres amyléniques dans les musculaires, articulaires"
"128919","130740"," ainsi que dans les parois des viscères."
"131720","134800"," Les fibres transmettant les messages non susceptifs induits"
"134800","137020"," sont les fibres A-delta et C."
"137460","140200"," Ce sont des fibres fines, faiblement myélinisées."
"140740","143620"," Elles gagnent les couches superficielles de la colonne"
"143620","145860"," dorsale de la moelle spinale et favorisent la"
"145860","148720"," libération de neurotransmetteurs de la douleur telles que"
"148720","149640"," la substance P."
"150280","154180"," La modulation des messages non susceptifs est soumise"
"154180","157240"," à des systèmes de contrôle d'origine segmentaire"
"157240","160500"," et supraspinale, en particulier les fibres de gros"
"160500","163820"," calibre A-bêta, dont la stimulation peut atténuer"
"163820","166820"," l'intensité du flux nerveux véhiculé par les"
"166820","167880"," fibres A-delta et C."
"168480","171680"," Les contrôles inhibiteurs descendants proviennent de certaines régions"
"171680","174580"," du transcérébral qui entraînent des effets analgésiques. "
"175060","177080"," Le point de départ central est la substance"
"177080","178620"," grise periaque ducale."
"179820","181720"," L'analgésie résulte en partie de la mise"
"181720","183660"," en jeu des voies descendantes inhibitrices."
"183960","187120"," Ces voies mettent en jeu des systèmes noradrénergiques. "
"189810","193090"," Les ontalgiques sont des médicaments qui luttent contre"
"193090","193610"," la douleur."
"193730","196810"," Ce sont des antidouleurs et ces douleurs, il"
"196810","197690"," en existe trois."
"198590","200150"," Il y a la douleur par excès de"
"200150","204410"," nociception, c'est la plus fréquente, la douleur"
"204410","207170"," neuropathique et puis les douleurs psychogènes. "
"209530","211670"," Cette douleur doit être évaluée."
"211670","213030"," Pourquoi ?"
"213030","215550"," Parce qu'en fonction du degré de la"
"215550","218050"," douleur, on va adapter le traitement."
"218170","220390"," On va proposer un traitement en fonction de"
"220390","221590"," l'intensité de la douleur. "
"221870","224990"," On peut s'aider par l'échelle visuelle"
"224990","225750"," analogique."
"225910","228210"," Comme vous voyez ici, c'est une réglette"
"228210","231630"," graduée de 0 à 10 et le malade"
"231630","235370"," va poser ou va mobiliser le curseur de"
"235370","238710"," cette réglette entre la zone où c'est"
"238710","241810"," décrit pas de douleur, vers la zone où"
"241810","244630"," est écrit douleur maximale imaginable."
"245390","249130"," Le malade va mettre son curseur en fonction"
"249130","251470"," du degré et de l'intensité de la"
"251470","252470"," douleur ressentie. "
"252930","257410"," Le médecin va voir cette ligne rouge, elle"
"257410","259930"," correspond à quel degré, c'est un chiffre"
"259930","262290"," qu'il va donner entre 0 et 10."
"262690","265210"," La douleur est dite faible à modérer quand"
"265210","268490"," le degré de la douleur sur l'échelle"
"268490","271750"," visuelle analogique est inférieur à 40 mm ou"
"271750","272870"," à 4 cm."
"273910","277010"," Elle est dite modérée à sévère quand l "
"277010","281470","'EVA est comprise entre 40 à 70 mm"
"281470","284070"," et puis la douleur est dite très intense"
"284070","287010"," quand l'EVA est supérieure à 70 mm. "
"287790","289850"," Donc la réglette est graduée de 0 à"
"289850","292050"," 10 mais c'est l'équivalent de 0"
"292050","292490"," à 100."
"292890","294330"," Donc si vous avez 10, ça veut dire"
"294330","296270"," 100, c'est du 100%."
"296270","300050"," L'OMS a classé les anthalgiques en trois"
"300050","302750"," niveaux en fonction de l'intensité de la"
"302750","303090"," douleur. "
"303630","305910"," C'était en référence à la douleur cancéreuse."
"306470","308630"," Il y a la douleur faible qui le"
"308630","312870"," plus souvent requiert des médicaments anthalgiques de niveau"
"312870","315770"," 1 et dans ce niveau on retrouve le"
"315770","319350"," paracétamol, les anti-inflammatoires non stéroïdiens et le"
"319350","319890"," néphopam."
"320670","323210"," La codéine et le tramadol font partie du"
"323210","326870"," groupe niveau 2 et sont souvent donnés dans"
"326870","328410"," les douleurs modérées. "
"328910","330510"," Et puis le troisième niveau c'est pour"
"330510","334210"," les douleurs intenses et ça englobe la morphine"
"334210","335350"," et ses dérivés."
"336610","339210"," Comme on vient de le dire, les anthalgiques"
"339210","342890"," de niveau 1 englobent le paracétamol, l'aspirine,"
"343210","346230"," les INS à faible dose, le chlorhydrate et"
"346230","346970"," le néphopam."
"349500","353560"," On commence par le paracétamol et le paracétamol"
"353560","357180"," est un analgésique antipérittique, c'est-à-dire"
"357180","361980"," il a un effet anthalgique antidouleur mais aussi"
"361980","364400"," contre la fièvre antipérittique. "
"364720","367460"," C'est l'anthalgique de première intention parce"
"367460","372440"," que le rapport efficacité-tolérance est bien, ça"
"372440","373960"," veut dire qu'il est plus efficace avec"
"373960","375100"," une bonne tolérance."
"375640","379480"," Il existe différentes formes galéniques, vous avez le"
"379480","383120"," comprimé simple, le comprimé effervescent, les sachets, les"
"383120","388860"," gélules, le lyophilisat oral qui a une biodisponibilité"
"388860","393360"," rapide, les suppositoires et les formes injectables intramusculaires"
"393360","396880"," ou intraveineuses quand on veut un effet thérapeutique"
"396880","397520"," rapide."
