"start","end","text"
"1100","5120"," Bonjour, donc on continue avec toujours le deuxième"
"5120","8200"," cours d'imagerie pédiatrique et on va attaquer"
"8200","9540"," donc les applications."
"10380","12960"," Les objectifs de ce cours donc sera l "
"12960","14980","'étudiant sera capable à la fin du secours"
"14980","18960"," de connaître la sémiologie radiologique des pathologies pédiatriques"
"18960","20040"," les plus fréquentes."
"21200","24220"," Donc en complot on va adopter une introduction,"
"24680","27580"," après on va parler des masses abdominopelviennes chez"
"27580","31140"," l'enfant, du thorax de l'enfant et"
"31140","35220"," enfin des malformations digestives congénitales avant de conclure. "
"35580","38220"," Il faut savoir que ce cours là il"
"38220","42980"," ne va pas donc aborder toutes les pathologies"
"42980","43540"," chez l'enfant."
"44100","46840"," On va se contenter donc des pathologies les"
"46840","49940"," plus fréquentes et le reste des pathologies comme"
"49940","52200"," la neuro et l'osteoarticulaire ils vont être"
"52200","56600"," abordés dans les cours de nos confrères radiologues"
"56600","57480"," ou chirurgiens."
"59730","62180"," Donc il faut savoir que dans l'imagerie"
"62180","65900"," pédiatrique, les malformations congénitales ce sont les pathologies"
"65900","69180"," les plus fréquentes et que la pathologie tumorale"
"69180","70560"," elle est propre à l'enfant. "
"70640","72780"," Elle est totalement différente de la pathologie tumorale"
"72780","75720"," de l'adulte et que l'imagerie permet"
"75720","79160"," le diagnostic et aide à la décision thérapeutique"
"79160","79940"," et ça c'est important."
"80680","82800"," Et encore une fois, j'insiste sur le"
"82800","85100"," rôle primordial de l'échographie qui est un"
"85100","87740"," examen qui représente le gold standard dans l "
"87740","89500","'exploration radiologique chez l'enfant."
"90640","93460"," Alors tout d'abord les masses abdominopelviennes chez"
"93460","93800"," l'enfant. "
"93940","96000"," On va les classer en trois catégories."
"96160","97180"," D'abord il y a les masses rétro "
"97180","99840","-peritoneales qui sont les plus fréquentes, il y"
"99840","101420"," a les masses intra-peritoneales et il y"
"101420","102960"," a les masses pelviennes."
"107620","110440"," Il faut savoir qu'on peut classer les"
"110440","112940"," pathologies chez l'enfant en fonction de l "
"112940","113160","'âge. "
"113280","114940"," Chez l'enfant de moins de un an,"
"115260","117880"," le nourrisson de moins de un an, 70 "
"117880","121340","% c'est les malformations et n'oublions"
"121340","122680"," pas qu'il y a la pathologie tumorale"
"122680","123060"," maligne."
"123640","125520"," De 1 à 6 ans c'est les"
"125520","128020"," pathologies tumorales malignes."
"128620","130520"," De 6 ans à 15 ans donc ce"
"130520","132380"," qui est plus fréquent ce sont les lymphomes"
"132380","134900"," et les tumeurs génitales. "
"134940","137180"," Alors les moyens d'exploration donc en période"
"137180","140720"," prénatale c'est l'échographie fétale et l "
"140720","141360","'IRM fétale."
"141540","143860"," En période post-natale c'est l'échographie,"
"143960","148320"," le scanner, l'IRM et les examens spécialisés"
"148320","150560"," utilisant le contraste."
"151740","154060"," Quel est le diagnostic éthiologique?"
"154260","155840"," Comme je viens de le dire, on classe"
"155840","159800"," les masses abdominopelviennes en masse rétro-peritoneales, intra "
"159800","162320","-peritoneales ou pelviennes. "
"162440","166060"," Pour la masse rétro-peritoneale, il faut donc"
"166060","170660"," utiliser cette analyse en fonction de l'origine"
"170660","173160"," extra-rénale ou intra-rénale."
"173680","175620"," Si la masse est en dehors du rein,"
"175760","178100"," ça veut dire extra-rénale, la tumeur la"
"178100","180580"," plus fréquente ou l'éthiologie la plus fréquente,"
"180720","182540"," c'est le neuroblastome."
"183360","185360"," Si la masse est à l'intérieur du"
"185360","189480"," rein, là, si elle est solide, l'éthiologie"
"189480","191480"," la plus fréquente, c'est le néphroblastome. "
"192100","194820"," Si la masse est kystique ou liquidienne, donc"
"194820","197220"," il y a les malformations, par exemple syndrome"
"197220","201040"," de conjonction, pylo-urétérale ou dysplasie kystique."
"201840","204660"," Donc, je répète, masse rétro-peritoneale, si elle"
"204660","206560"," est extra-rénale, c'est le neuroblastome."
"207020","208400"," Si elle est intra-rénale, ça dépend. "
"208600","210260"," Si elle est solide, c'est le néphroblastome."
"210380","212860"," Si elle est kystique, c'est les malformations"
"212860","214320"," ou les uropathies malformatives."
"215420","217420"," Donc, le neuroblastome, qui est l'éthiologie des"
"217420","221660"," masses rétro-peritoneales, extra-rénale la plus fréquente,"
"222000","223640"," elle se développe à partir de la crête"
"223640","226420"," norale, ça veut dire, soit au dépend de"
"226420","229300"," la médulle ossur-rénale ou du système sympathique. "
"230520","232740"," L'enfant en général atteint, il a un"
"232740","235640"," âge de moins de 5 ans et dans"
"235640","239040"," les localisations, la localisation abdominale représente la localisation"
"239040","240920"," la plus fréquente, c'est 80%."
"241380","242980"," Bien sûr, il y a d'autres localisations"
"242980","245360"," qui sont moins fréquentes, notamment le thorax, le"
"245360","247380"," pelvis et la région cervicale."
"247520","252200"," Vous pouvez avoir des neuroblastomes abdominales, toujours dans"
"252200","255060"," la chaîne sympathique ou dans la médulle ossur "
"255060","257560","-rénale ou bien dans le thorax, dans le"
"257560","259459"," pelvis ou dans la région cervicale. "
"259560","262100"," Cette fois ci, dans le système sympathique."
"263760","266400"," Les circonstances de diagnostic en général, soit c "
"266400","268500","'est une masse abdominale palpable ou bien dans"
"268500","269740"," le cadre de métastases."
"270160","274680"," Quand même, le métastase révélatrice du neuroblastome représente"
"274680","275900"," 60% des cas. "
"276500","278540"," Alors, les métastases, comment ils vont se manifester?"
"278680","280680"," Ils vont se manifester par des douleurs osseuses"
"280680","283040"," ou bien par le syndrome de Hutchinson."
"283640","285140"," Le syndrome de Hutchinson, c'est quoi?"
"285240","288340"," C'est une équimose périorbitaire et une exophthalmie"
"288340","290840"," ou carrément par une compression médulaire."
"290940","292680"," Vous savez très bien que la chaîne sympathique"
"292680","297220"," lombaire, elle est paravertébrale, donc la tumeur peut"
"297220","301180"," facilement infiltrer à travers les foramen et entraîner"
"301180","304120"," une compression médulaire ou bien ce syndrome de"
"304120","308200"," pépère, qui est une circonstance découverte qui est"
"308200","309040"," assez fréquente. "
"309300","311900"," Ce sont des bébés qui ont une hépatomégalie"
"311900","315000"," et des nodules souscutanés, ça veut dire hépatomégalie"
"315000","319180"," métastatique au niveau du foie ou avec associé"
"319180","320520"," ou non à des nodules souscutanés."
"321320","323740"," La biologie est très intéressante et importante."
"325020","328820"," Les neuroblastomes sont sécréteurs de ces catecholamines, donc"
"328820","331960"," le dosage des catecholamines urinaires est très important"
"331960","335600"," pour étayer le diagnostic quant à l'imagerie. "
"335600","339060"," On utilisera l'échographie en première intention et"
"339060","341640"," en deuxième lieu, on peut utiliser l'IRM"
"341640","343980"," ou à défaut le scanner, le scanner qui"
"343980","345820"," est très performant dans la détection des micro"
"345820","349760"," classification qui sont fréquentes dans le neuroblastome et"
"349760","352060"," qui sont de petites tailles poussiéreuses."
"353260","354680"," À la fin, il y a un examen"
"354680","357260"," qui permet de confirmer le diagnostic."
"357500","358260"," Il faut le retenir. "
"358360","361520"," C'est la scintigraphie à la MIBG qui"
"361520","364060"," montre, bien sûr, dans le cas du neuroblastome,"
"364220","365740"," une hyperfexation spécifique."
"365920","366860"," Donc ça, il faut le retenir."
"368060","369460"," Là, vous avez quelques exemples. "
"369660","372200"," Vous avez donc une échographie qui montre une"
"372200","375820"," masse rétropéritonelle droite extrarénale."
"375940","378880"," On dépend pratiquement ici de la surrénale, de"
"378880","381620"," la médulo surrénale droite qui est tissulaire solide"
"381620","382240"," extrarénale."
"382420","384060"," Donc, c'est un neuroblastome. "
"384360","386500"," Ici, vous avez donc une IRM en coupe"
"386500","390900"," axiale en séquence pondérée en T2 qui montre"
"390900","393680"," un neuroblastome, une masse qui est extrarénale."
"393740","395880"," Ici, vous avez le rein gauche, donc une"
"395880","401660"," masse rétro rénale gauche extrarénale rétropéritonelle qui infiltre"
"401660","404280"," la moelle à travers le foramen."
"404680","407260"," Ici, vous imaginez que ce bébé là doit"
"407260","410140"," avoir cet enfant là, il doit avoir des"
"410140","411860"," signes de compression médulaire. "
"412320","414880"," Là, c'est un scanner en reconstruction sagittale"
"414880","419320"," qui montre toujours une masse surrénale extrarénale."
"419320","422540"," Donc, au dépend de la médulo surrénale, qui"
"422540","425740"," est typiquement le siège de micro classification typique"
"425740","427360"," de neuroblastome."
"427560","429840"," Ici, vous avez également le foie qui est"
"429840","435820"," refoulé par la masse dans toujours dans le"
"435820","439620"," cadre des masses abdominopelviennes rétropéritonelles. "
"439660","441340"," Mais cette fois ci, rénale et solide."
"441440","442780"," On a dit c'est la tumeur la"
"442780","443300"," plus fréquente."
"443340","445300"," L'éthiologie la plus fréquente, c'est le"
"445300","448920"," néphroblastome qui représente 95% des tumeurs rénales. "
"449320","451540"," L'âge moyen, c'est entre 3 ans"
"451540","453760"," et rarement après 7 ans, 3 ans et"
"453760","455220"," 7 ans et rarement après 7 ans."
"455760","457880"," Les circonstances découvertes en général, c'est une"
"457880","460040"," masse abdominale et une hématurie."
"460180","461540"," Donc, vous imaginez, c'est une masse qui"
"461540","462540"," est au dépend du rein. "
"463880","466340"," Et puis, j'insiste sur le fait que"
"466340","468640"," lorsqu'on fait l'examen clinique, il faut"
"468640","470120"," faire une palpation prudente."
"470240","470420"," Pourquoi?"
"470560","471440"," Parce qu'il y a le risque de"
"471440","474140"," rupture de la masse et d'une hémorragie"
"474140","479140"," foudroyante rétropéritonelle dont les conséquences peuvent être fatales"
"479140","479780"," pour l'enfant."
"480520","482380"," Bien sûr, il faut utiliser l'échographie comme"
"482380","485260"," moyen d'exploration en première intention et bien"
"485260","487820"," sûr, compléter soit par l'IRM ou à"
"487820","490480"," défaut par le scanner qui permet de faire"
"490480","494220"," le bilan d'extension locorégionale de la tumeur"
"494220","494720"," et génère. "
"495700","498600"," Ici, vous avez donc une échographie à gauche"
"498600","501680"," et ici le scanner qui a objectif, donc"
"501680","505040"," une masse tissulaire solide au dépend du rein"
"505040","505900"," droit."
"506220","507880"," Ici, avec le signe de l'épreuve des"
"507880","510400"," deux côtés, c'est une masse intra-rénale"
"510400","514720"," solide, évocatrice de néphroblastome et le scanner qui"
