"start","end","text"
"460","2660"," Nous allons commencer par le premier chapitre, qui"
"2660","5020"," est l'exploration radiologique de l'appareil urinaire."
"7560","10400"," Les objectifs pédagogiques qu'on va adopter pour"
"10400","10920"," ce cours."
"11180","13700"," D'abord, l'étudiant doit connaître les indications,"
"14460","16580"," les contre-indications et les limites de chaque"
"16580","17500"," technique d'imagerie. "
"18700","21240"," Il doit ensuite savoir les principes techniques de"
"21240","22280"," chaque méthode d'imagerie."
"23040","27020"," Et enfin, connaître la radioanatomie normale, à l "
"27020","30240","'arbre urinaire sans préparation, à l'urographie intraveineuse"
"30240","31119"," et à l'échographie."
"32520","34400"," Nous allons adopter le plan suivant. "
"34700","35680"," Tout d'abord, une introduction."
"36680","38320"," Après, on va parler de l'arbre urinaire"
"38320","42300"," sans préparation, l'urographie intraveineuse et l'échographie."
"42900","45820"," Ensuite, on va passer au scanner et à"
"45820","46320"," l'IRM. "
"46320","50400"," Avant de terminer avec les explorations rétrogrades et"
"50400","51900"," l'assistographie suspubienne."
"52340","53760"," Et enfin, la conclusion."
"55980","59360"," Donc, la pathologie urogenitale est fréquente et très"
"59360","59820"," variée. "
"60240","63040"," Et nous disposons d'une diversité des moyens"
"63040","63580"," d'imagerie."
"64560","68160"," Notamment, l'arbre urinaire sans préparation, l'urographie"
"68160","71020"," intraveineuse et l'échographie, qui représentent les examens"
"71020","71500"," de base."
"72200","76080"," Le scanner et les opacifications rétrogrades ont des"
"76080","77820"," indications spécifiques. "
"78700","82320"," Et enfin, l'IRM peut être une alternative"
"82320","84860"," au scanner en cas de contre-indication."
"92040","94240"," Donc, l'arbre urinaire sans préparation est un"
"94240","96440"," examen qui est très demandé en pratique courante."
"97660","100160"," Sa principale indication est la litiase urinaire. "
"100980","104020"," Et ceci du fait que les litiases urinaires,"
"104720","107360"," 90% des litiases sont radio-opaques."
"112640","115180"," L'arbre urinaire sans préparation a plusieurs avantages."
"115440","117100"," C'est un examen qui est simple, de"
"117100","120980"," réalisation facile et rapide, faiblement irradiant et qui"
"120980","122620"," a un coût faible par rapport aux autres"
"122620","122880"," examens. "
"123800","125760"," Et sa lecture peut être faite par toutes"
"125760","127680"," les différentes catégories médicales."
"129120","131560"," Du point de vue technique, l'arbre urinaire"
"131560","135040"," sans préparation doit être réalisé après évacuation vésicale,"
"135740","138960"," en position de décubitus dorsal, en incidence de"
"138960","139260"," face."
"140400","148040"," Certaines incidences complémentaires peuvent parfois être réalisées, notamment"
"148040","151280"," le cliché de profil ou en incidence oblique,"
"151520","153420"," pour préciser le siège des calcifications. "
"154220","157260"," Ou en position debout, afin de mettre en"
"157260","159400"," évidence un sédiment calcique."
"159620","162220"," Ou carrément en position de décubitus ventral, pour"
"162220","165340"," chasser les gaz intestinal chez les patients météorisés."
"169190","171910"," Une fois réalisé l'arbre urinaire sans préparation,"
"172750","177150"," il faut vérifier les critères de réussite, pour"
"177150","178710"," juger qu'il s'agit bien d'un"
"178710","179710"," cliché de bonne qualité. "
"179710","183290"," On doit avoir la visibilité du pôle supérieur"
"183290","186670"," du rein ou de la 11ème côte, du"
"186670","189490"," bord inférieur de la symphyse pubienne et des"
"189490","191030"," bords externes des muscles psoas."
"191650","193650"," Et enfin, il ne doit pas y avoir"
"193650","194650"," de flou cinétique."
"195350","197470"," Ceci est jugé par la netteté des bords"
"197470","200170"," des gaz au niveau des structures digestives. "
"204590","206670"," Quels sont les résultats normaux obtenus par l "
"206670","208130","'arbre urinaire sans préparation?"
"208130","211690"," Tout d'abord, on commence par analyser les"
"211690","213750"," vertèbres, les côtes et le bassin."
"214450","217890"," Ensuite, les bords externes des psoas, qui se"
"217890","220670"," prolongent en ligne directe entre la 12ème vertèbre"
"220670","223570"," dorsale, en bas et en dehors, vers la"
"223570","224290"," crétiliaque."
"225430","227910"," Les ombres rénales sont visibles, surtout si la"
"227910","231110"," graisse périrénale de Gérota est suffisante et en"
"231110","232650"," l'absence de gaz intestinal. "
"233470","236610"," Et puis, les zones de projection des urtères"
"236610","240070"," et enfin l'ombre vésicoprostatique."
"243700","246060"," Le deuxième examen qui permet l'exploration de"
"246060","249080"," l'appareil urinaire est l'urographie intraveineuse."
"251000","255500"," Cet examen est actuellement surplanté par la tomodensitométrie"
"255500","256459"," et l'IRM. "
"257500","261160"," Son principe consiste en une injection intraveineuse d "
"261160","263780","'un produit de contraste IOD qui va subir"
"263780","266800"," une élimination rénale et entraîner l'opacification de"
"266800","268340"," l'arbre urinaire en totalité."
"269620","272040"," L'intérêt de cet examen, c'est qu "
"272040","274520","'il permet à la fois une étude morphologique"
"274520","277260"," et fonctionnelle de l'arbre urinaire."
"279920","284180"," On réalise une urographie intraveineuse devant une crise"
"284180","289640"," de colic néphritique, une hématurie, une dysurie, devant"
"289640","292700"," des infections urinaires à répétition et enfin pour"
"292700","294800"," le bilan d'uropathie malformative. "
"297100","298600"," Bien sûr, il y a des contre-indications"
"298600","300000"," à l'urographie intraveineuse."
"300760","303700"," Ces contre-indications peuvent être formelles et relatives."
"304440","307660"," Les deux contre-indications formelles sont la déshydratation"
"307660","310340"," chez le sujet diabétique et chez les patients"
"310340","312080"," qui souffrent d'une insuffisance rénale. "
"312860","314700"," Et en deuxième lieu, la grossesse."
"315460","317140"," C'est pour cette raison qu'on préconise"
"317140","320240"," de réaliser l'urographie intraveineuse à la première"
"320240","321560"," partie du cycle menstruel."
"322480","327460"," Les contre-indications relatives sont l'intolérance à"
"327460","332080"," l'iode, l'insuffisance rénale et le myelôme"
"332080","336420"," multiple du fait de la précipitation tubulaire des"
"336420","337760"," protéines de Benz-John's. "
"340530","343890"," Sur le plan technique, l'urographie intraveineuse nécessite"
"343890","345070"," une préparation."
"346410","348210"," Il est nécessaire de faire un régime sans"
"348210","351590"," résidu, être agent au moins trois heures avant"
"351590","352490"," le début de l'examen."
"352490","356030"," Ne pas prendre de médicaments radio opaques cinq"
"356030","356510"," jours avant. "
"358090","360550"," Une prémédication peut être prescrite chez des patients"
"360550","361210"," allergiques."
"362050","363950"," Et il faut bien sûr la réaliser en"
"363950","365610"," première partie du cycle chez la femme."
"367050","371310"," On utilisera des produits de contraste hydrosoluble par"
"371310","373290"," voie veineuse à la dose de 1 à"
"373290","374270"," 2 millilitres kilos. "
"379560","382220"," Pour le déroulement, on procède à la réalisation"
"382220","384140"," d'abord d'un cliché d'arbres minaires"
"384140","385060"," sans préparation."
"385060","388760"," Ensuite, après l'injection de produits de contraste,"
"389220","391860"," on fait des clichés minutés dès la cinquième"
"391860","392280"," minute."
"392940","394780"," Et puis toutes les cinq minutes jusqu'à"
"394780","396240"," opacification des urtères. "
"397140","400480"," On réalisera des clichés avec compression urétérale et"
"400480","401260"," des compressions."
"401980","405340"," Tout en respectant les contraindications à cette compression"
"405340","408920"," qui sont le sujet âgé, une chirurgie abdominale"
"408920","412310"," récente, une insuffisance cardiaque et le syndrome obstructif."
"412310","416350"," Car il y a le risque d'aggravation"
"416350","417870"," et de rupture du fournix. "
"419650","423390"," Un cliché pré, per et postmictionnel vers la"
"423390","423570"," fin."
"424370","427150"," Le cliché permictionnel est réalisé en oblique couché"
"427150","429270"," chez l'homme et de face debout chez"
"429270","429650"," la femme."
"433080","436600"," Le cliché postmictionnel permettra de quantifier un résidu"
"436600","438720"," postmictionnel s'il existe. "
"441480","444370"," Ici, on voit sur ces images l'ensemble"
"444370","446590"," des clichés qu'on réalise pendant l'urographie"
"446590","447530"," intraveineuse."
"448390","450610"," En haut, de gauche à droite, l'arbre"
"450610","453530"," urinaire sans préparation ainsi que les clichés minutés"
"453530","457230"," qui montrent la progression du produit de contraste"
"457230","459970"," dans les cavités piélo-calicielles et l'opacification"
"459970","460710"," des urtères."
"461270","468330"," En bas, remarquez donc les clichés pré, à"
"468330","471050"," gauche, pré, à droite, per et en bas,"
"471190","473150"," tout en bas, le cliché postmictionnel. "
"476860","480600"," Des clichés complémentaires peuvent être indiqués, notamment le"
"480600","483160"," cliché tardif qui peut être fait jusqu'à"
"483160","486160"," 36 heures après l'examen en cas de"
"486160","489180"," syndrome obstructif avec retard d'opacification de l "
"489180","489780","'arbre urinaire."
"490980","493440"," Parfois, on complète l'examen par des clichés"
"493440","498340"," en incidence oblique de profil debout ou en"
"498340","499020"," procubitus."
"499720","501460"," Mais il faut bien préciser qu'il n "
"501460","504960","'existe pas d'urographie intraveineuse standard et il"
"504960","507200"," faut adapter l'examen en fonction des résultats"
"507200","507960"," des clichés successifs. "
"512950","516010"," Après, on commence à interpréter les résultats normaux"
"516010","517730"," de l'urographie intraveineuse."
"517730","521890"," Tout d'abord, les renseignements fonctionnels."
"522730","525790"," La sécrétion rénale normale se fait de façon"
"525790","529410"," synchrone et symétrique et le produit de contraste"
"529410","532090"," arrive au niveau des petits calices au bout"
"532090","534030"," de 3 minutes après injection de produit de"
"534030","534650"," contraste. "
"536230","539510"," Ensuite, une analyse morphologique est nécessaire."
"539510","542250"," On commencera par les deux reins."
"542850","545570"," Normalement, ils sont situés en dehors des muscles"
"545570","549070"," psoas et ils ont un axe qui est"
"549070","552150"," oblique en bas et en dehors, un bord"
"552150","556430"," externe convexe et un bord interne concave qui"
"556430","558010"," correspond au rile rénal. "
"558770","561010"," Le rein gauche est plus haut situé que"
"561010","563490"," le rein droit et la longueur des reins"
"563490","568570"," est à environ 12 à 14 cm, ce"
"568570","570330"," qui est l'équivalent de 3 vertèbres et"
"570330","570510"," demi."
"573100","577620"," Pour les cavités piello-calicielles, les petits calices,"
"577720","579460"," comme vous pouvez le voir sur l'image"
"579460","581480"," d'en haut, désignés par le petit P,"
"582040","585100"," ont un fond concave sous forme de cupules"
"585100","588080"," qui s'emboîtent dans la papille et ils"
"588080","590160"," ont une tige qui est fine et régulière."
"590860","593320"," La ligne qui rejoint les fonds des petits"
"593320","596680"," calices s'appelle la ligne de Hodgson et"
"596680","598860"," la distance entre cette ligne et le bord"
"598860","602780"," externe du rein désigne l'index cortical qui"
"602780","606240"," est normalement mesuré à 2,5 et 3"
"606240","609180"," cm chez l'adulte. "
"609180","613140"," Les petits calices se regroupent pour former 3"
"613140","617340"," grands calices désignés par le petit G, le"
"617340","620960"," groupe calicelle supérieur, moyen et inférieur."
"622000","626260"," Le bassiné normal désigné par le petit B"
"626260","630640"," est de forme triangulaire à bord supérieur, convexe"
"630640","632560"," et inférieur, concave."
"635470","639130"," Pour les urtères normaux, on distingue à droite"
"639130","641010"," comme à gauche 4 segments. "
"641830","644970"," Le segment lombaire, le petit L, le segment"
"644970","649410"," iliaque, le petit I qui désigne l'entrecroisement"
"649410","652730"," entre les urtères et les vaisseaux iliaques et"
"652730","655430"," puis le segment pelvien, le petit P et"
"655430","658410"," enfin le segment intramural."
"658410","663980"," L'aspect de la vessie change au cours"
"663980","664640"," de l'examen."
"665320","667940"," En début de remplissage, elle présente une partie"
"667940","671660"," postérieure moulant la prostate et c'est en"
"671660","676250"," répression qui est représentée par le cliché d "
"676250","678530","'en haut qu'on étudie le siège, la"
"678530","680770"," morphologie, les parois et le contenu de la"
"680770","681350"," vessie. "
"683240","685920"," Quant à l'urètre, son étude se fait"
"685920","689680"," sur les clichés permictionnels en analysant ces différents"
"689680","693460"," segments opacifiés visibles sur le cliché du milieu."
"695360","698000"," Après la mixtion, on cherchera la présence d "
"698000","701460","'un résidu postmictionnel à l'état normal."
"701680","702700"," Donc il n'y a pas de résidu"
"702700","704980"," postmictionnel comme vous pouvez le voir sur l "
"704980","705560","'image d'en bas. "
"705560","711430"," Les limites de l'urographie intraveineuse qui est"
"711430","713910"," en plus en plus remplacée par la TDM,"
"716730","718230"," c'est qu'elle ne permet pas de"
"718230","721870"," visualiser les petits tumeurs rénales et physicales et"
"721870","724350"," ne permet pas de différencier un kyste d "
"724350","725690","'une tumeur rénale solide."
"729560","731940"," L'échographie de l'appareil urinaire est une"
"731940","736420"," méthode fiable, anodine, disponible et peu coûteuse."
"738640","740880"," Mais il reste un examen qui ne donne"
"740880","743200"," pas de renseignements sur la fonction rénale. "
"743200","747280"," Ses principales indications sont l'étude du parenchyme"
"747280","750560"," rénal, la recherche d'une dilatation des cavités"
"750560","755700"," excrétrices ou en complément, allurographie intraveineuse en cas"
"755700","759060"," de reins muets, de syndrome tumoral rénal, de"
"759060","761740"," lacunes des voies excrétrices ou de traumatismes rénales."
"762540","765900"," Il peut être également indiqué en cas de"
"765900","767760"," contre-indication allurographie intraveineuse."
"772400","775860"," On utilisera pour l'échographie une sonde convexe"
"775860","778260"," dont la fréquence varie de 3,5 à"
"778260","779220"," 5 MHz. "
"780120","782880"," Le patient est placé en position de décubitus"
"782880","783480"," dorsal."
"784120","786060"," La vessie doit être pleine pour une bonne"
"786060","788120"," exploration de la vessie et de la prostate."
"789360","792600"," Pour l'exploration du rein, on procède par"
"792600","795980"," la voie antérieure, latérale et postérieure. "
"797080","800480"," Parfois, la sonde ondorectale est utilisée pour une"
"800480","802420"," meilleure étude de la prostate et des vésicules"
"802420","803460"," séminales."
"804240","806840"," Enfin, le Doppler permet l'étude du pédicule"
"806840","807840"," vasculaire rénal."
"812230","815590"," Les reins présentent trois zones d'éco-structures"
"815590","816330"," différentes. "
"816970","819070"," La capsule, qui est hyper-écogène."
"819630","823310"," Le paranchyme rénal, formé par la corticale écogène,"
"824050","826670"," différencié de la médulaire, qui est hypo-écogène."
"827750","830070"," Le sinus rénal est très écogène. "
"831830","834710"," Quant aux voies excrétrices, elles ne sont pas"
"834710","836450"," visibles que s'ils sont dilatées."
"837350","840530"," La vessie est anécogène et à paroi fine."
"841530","843290"," La prostate est homogène. "
"844050","846090"," La mesure de ces trois diamètres dans deux"
"846090","849010"," plans orthogonaux permettra d'avoir une estimation de"
"849010","849490"," son poids."
"852530","854030"," Quelles sont les limites de l'échographie?"
"854330","857210"," C'est un examen qui est opérateur dépendant,"
"857530","860630"," qui ne fournit aucun renseignement sur la fonction"
"860630","861230"," rénale."
"861230","864290"," Et comme pour tous les appareils, il y"
"864290","867370"," a l'obésité, les gaz intestinaux et les"
"867370","868230"," cicatrices opératoires. "
"873950","876550"," La thomodensitométrie est un examen qui permet l "
"876550","879110","'étude du rétropéritoine et de son contenu."
"879770","882230"," Il est indiqué pour la recherche de litiases"
"882230","885710"," invisibles sur l'arbre urinaire sans préparation, couplé"
"885710","886550"," à l'échographie."
"887630","889710"," Également dans le cadre du bilan d'extension"
"889710","892690"," des tumeurs des reins, des voies excrétrices et"
"892690","893290"," de la prostate. "
"893290","896270"," Dans le bilan des traumatismes rénaux."
"897550","900950"," En cas de complications infectieuses à type de"
"900950","903470"," pyionéphrite, pionnéphrose ou abscérénale."
"904070","906470"," Et enfin, en cas de suspicion de fibrose"
"906470","907510"," rétropéritoneale. "
"914940","918120"," On réalisera des coupes sans injection de produits"
"918120","919000"," de contraste."
"919680","921800"," Ensuite, des coupes après injection de produits de"
"921800","922580"," contraste IOD."
"923700","926820"," Par un temps néphrographique qui permet l'analyse"
"926820","929460"," du parenchyme rénal et un temps excrétoire. "
"929460","932100"," Qui permet l'analyse des voies urinaires."
"933260","936980"," Le scanner, les nouveaux appareils multibarrettes permettent d "
"936980","939900","'avoir des reconstructions multiplanaires dans les trois plans"
"939900","940540"," de l'espace."
"941700","945320"," Sans oublier la possibilité de faire un cliché"
"945320","948620"," d'arbre urinaire sans préparation. "
"948940","951440"," En post-scanner qui est équivalent à une"
"951440","952720"," image d'urographie intraveineuse."
"957480","960620"," Ici, on a à gauche de l'écran"
"960620","964580"," une image de reconstruction frontale en mode MIP"
"964580","968140"," d'un scanner réalisé après injection de contraste."
"968520","970820"," Et à droite de l'image, une urographie"
"970820","971700"," intraveineuse. "
"972260","974920"," Regardez donc la similitude qu'apporte le scanner"
"974920","978000"," avec des reconstructions dans le plan coronal par"
"978000","979860"," rapport à l'urographie intraveineuse."
"980260","982980"," On a une visualisation de l'ensemble de"
"982980","983960"," l'arbre urinaire."
"990970","993810"," Les limites du scanner, bien sûr, ce sont"
"993810","995930"," les contre-indications à l'irradiation. "
"996110","997010"," C'est la grossesse."
"998010","1000830"," Les contre-indications à l'injection, c'est"
"1000830","1004650"," l'insuffisance rénale avec une clairance créatine inférieure"
"1004650","1006730"," à 30 millilitres par minute."
"1007070","1009250"," Et bien sûr, l'irradiation. "
"1012370","1015970"," Alors, l'imagerie par résonance magnétique trouve ses"
"1015970","1019470"," indications de plus en plus nombreuses, notamment pour"
"1019470","1021790"," caractériser les petites tumeurs rénales."
"1021790","1023609"," Ou dans le cadre d'un bilan d "
"1023609","1025829","'extension de tumeurs, d'urein ou de la"
"1025829","1026210"," prostate."
"1026849","1029970"," Ou dans la pathologie obstructive des voies excrétrices,"
"1030089","1032650"," bien sûr, en cas de contre-indication au"
"1032650","1034530"," rayon X ou à l'injection d'iode. "
"1037420","1040040"," Sur le plan technique, on réalisera des séquences"
"1040040","1043400"," pondérées en T1 et en T2."
"1044220","1047900"," Des séquences uro-IRM dans le plan coronal"
"1047900","1050580"," sans injection de contraste, en écho de gradient."
"1050580","1053860"," Ces séquences-là ont un intérêt primordial chez"
"1053860","1056540"," la femme enceinte où l'injection de gadolinium"
"1056540","1057600"," est contre-indiquée. "
"1058360","1061160"," On peut réaliser des séquences dynamiques après injection"
"1061160","1062040"," de gadolinium."
"1062400","1065200"," On utilisera bien sûr les deux plans axial"
"1065200","1066480"," et coronal."
"1069730","1071890"," Les limites de l'IRM sont le coût"
"1071890","1077510"," élevé, la disponibilité qui peut être parfois défaillante"
"1077510","1081510"," et l'absence de visualisation des petites calcifications. "
"1081510","1086150"," Les contre-indications sont le pacemaker au stimulateur"
"1086150","1090810"," cardiaque, les corps étrangers intraoculaires, l'équilibre vasculaire"
"1090810","1095650"," cérébraux, la claustrophobie et l'insuffisance rénale et"
"1095650","1096330"," la grossesse."
"1096710","1098490"," Ce sont des contre-indications à l'injection"
"1098490","1099170"," de gadolinium."
"1101570","1104170"," On passe ensuite aux explorations rétrogrades. "
"1104590","1106670"," Il faut savoir que ce genre d'exploration"
"1106670","1109890"," expose aux risques traumatiques et infectieux."
"1109890","1112870"," Tout d'abord, il y a l'urétrocystographie"
"1112870","1113230"," rétrograde."
"1114350","1117330"," On place une sonde urinaire à l'extrémité"
"1117330","1120090"," distale de l'urètre après asepsie et on"
"1120090","1124570"," procède à un remplissage à prévidange vésicale par"
"1124570","1126010"," du produit de contraste IOD. "
"1126770","1130670"," Après, on réalisera des clichés permictionnels en position"
"1130670","1131590"," de trois quarts."
"1133390","1136750"," Cette méthode est utilisée essentiellement à la recherche"
"1136750","1138250"," de sténose urétérale."
"1138250","1141410"," Et également pour l'étude du col vésical. "
"1143770","1146190"," Deuxièmement, la cystographie rétrograde."
"1146350","1149110"," Cette fois-ci, on place la sonde en"
"1149110","1151470"," intra-vésical et on procède à la répression"
"1151470","1153130"," par du produit de contraste IOD."
"1153970","1157630"," Et on analysera par une étude paire et"
"1157630","1158450"," postmictionnelle. "
"1159190","1161970"," L'indication principale de cette méthode d'imagerie"
"1161970","1165970"," est essentiellement la recherche de reflux vésico-urétéral"
"1165970","1167950"," qui peut être passif ou actif."
"1171050","1175790"," La cystographie suspubienne, donc pour cette exploration, on"
"1175790","1179030"," procède à une ponction suspubienne d'une vessie"
"1179030","1179510"," pleine."
"1180290","1182870"," C'est une méthode qui est utilisée essentiellement"
"1182870","1186310"," chez l'enfant pour la recherche de valves"
"1186310","1190010"," de l'urètre postérieur et de reflux vésico "
"1190010","1190390","-urétéral. "
"1190390","1194150"," Comme vous pouvez le voir sur les images,"
"1194530","1197610"," la deuxième image qui montre une valve de"
"1197610","1199890"," l'urètre postérieur avec une vessie de lutte"
"1199890","1200390"," multiverticulaire."
"1201630","1203170"," Et l'image d'en bas qui montre"
"1203170","1207550"," une valve associée à un reflux vésico-urétéral."
"1208530","1211450"," L'image d'en haut représente une cystographie"
"1211450","1212730"," suspubienne normale. "
"1212730","1218210"," En conclusion, l'arbre urinaire sans préparation et"
"1218210","1221470"," l'échographie représentent les examens de base dans"
"1221470","1224350"," l'exploration radiologique de l'appareil urinaire."
"1225170","1228730"," Le scanner ou l'uroscanner est indiqué en"
