"start","end","text"
"4170","12260"," Bonjour, alors on va démarrer la partie qui"
"12260","15780"," m'est réservée dans le module de la"
"15780","21460"," pathologie cardiovasculaire par le sujet du risque cardiovasculaire."
"22440","24700"," Ceci va nous permettre d'introduire les cours"
"24700","28600"," suivants qui sont les cours sur l'hypertension"
"28600","33620"," artérielle et celui sur l'athérosclérose."
"36170","37860"," Alors cette partie, ce cours là, je vais"
"37860","42220"," le faire en deux parties, parce qu'il"
"42220","46020"," est un peu long et aussi parce qu "
"46020","52060","'il constitue le socle du raisonnement en cardiologie"
"52060","58500"," face aux maladies qui peuvent se développer, c "
"58500","60980","'est-à-dire en ce qui constitue la"
"60980","63720"," partie prévention cardiovasculaire ou la partie de la"
"63720","67640"," cardiologie qui s'intéresse à la prévention, cette"
"67640","69780"," partie est dominée par la notion de risque"
"69780","72980"," cardiovasculaire, donc il a fallu qu'on prenne"
"72980","74340"," le temps qu'il faut pour bien l "
"74340","74780","'expliquer. "
"77810","84130"," Bien, le mot prévention cardiovasculaire va comporter la"
"84130","86650"," compréhension de la notion de facteur de risque,"
"87350","92290"," d'accord, facteur de risque, et deuxièmement, quels"
"92290","94650"," sont en cardiologie en tout cas les modalités"
"94650","99090"," de la prévention, primaire et secondaire, et comment"
"99090","101190"," à partir de là on va raisonner pour"
"101190","104850"," mettre en place une stratégie de réduction de"
"104850","107650"," ce risque à l'échelle individuelle et à"
"107650","108430"," l'échelle collective."
"113170","116990"," Alors, on apprendra aussi à travers des scores"
"116990","120690"," comment calculer le risque cardiovasculaire individuel d'un"
"120690","125350"," patient, et à partir de là, toutes les"
"125350","129610"," thérapeutiques qui sont surtout des stratégies de prévention,"
"130750","134050"," comment ils vont être basés sur le niveau"
"134050","137430"," de risque individuel du patient, donc en quelque"
"137430","143090"," sorte une façon d'individualiser si vous voulez"
"143590","147110"," le traitement ou la prise en charge du"
"147110","150650"," patient en fonction du niveau de risque qu "
"150650","150810","'il a."
"153860","159260"," Alors, la prévention cardiovasculaire, son objectif, ce qui"
"159260","162000"," est évident, c'est de réduire le risque"
"162000","164880"," de développer un problème, ce risque peut être"
"164880","169480"," celui d'un problème sérieux qui engage le"
"169480","172280"," pronostic vital, ou alors c'est celui de"
"172280","175580"," développer une maladie qui aura un impact bien"
"175580","178260"," sûr sur la santé du patient, et donc"
"178260","180480"," ce que je viens de dire, c'est"
"180480","184240"," la notion qu'on utilisera dorénavant, c'est"
"184240","188880"," la notion de morbimortalité, ou de façon équivalente,"
"188980","194420"," on utilisera le terme réduction des événements cardiovasculaires,"
"194520","197240"," alors quand je dis cardiovasculaire, c'est pour"
"197240","201620"," ne pas s'étaler et dire événements cérébraux,"
"201620","206040"," cardio-rénovasculaires, donc chaque fois on parlera d "
"206040","210580","'événements cardiovasculaires, sans précision, ce sera toutes les"
"210580","213560"," complications qui peuvent être développées à l'échelle"
"213960","216040"," cardiaque, à l'échelle vasculaire, et à l "
"216040","218380","'échelle vasculaire ça peut être neurologique, ça peut"
"218380","223200"," être aussi rénale, ça peut être artériel, périphérique,"
"223340","227860"," ça peut être coronaire, etc., cardiovasculaire, fatal ou"
"227860","230060"," non, c'est à dire ça peut entraîner"
"230060","233600"," juste un handicap comme ça peut être bien"
"233600","238400"," sûr mortel, donc morbimortalité ou événements, vous entendrez"
"239260","244720"," probablement le terme anglais les maïs, les maïs"
"244720","246300"," c'est la même chose, c'est les"
"246300","251640"," événements cardiovasculaires qui peuvent survenir, c'est exactement"
"251640","256820"," la même terminologie, alors l'objectif de la"
"256820","260380"," prévention cardiovasculaire c'est justement de réduire ces"
"260380","262900"," événements, on peut le faire à deux niveaux,"
"263680","266960"," au moment où le patient n'a encore"
"266960","274680"," aucune pathologie cardiovasculaire, donc au moins il n "
"274680","277040","'a pas les symptômes d'une pathologie cardiovasculaire,"
"277140","278600"," parce qu'il peut en avoir juste parce"
"278600","283320"," qu'on n'a pas dépisté, donc patient"
"283320","285980"," asymptomatique il n'a rien, il ne ressent"
"285980","287240"," rien, en tout cas il n'est pas"
"287240","290260"," diagnostiqué comme cardiaque, on est dans la prévention"
"290260","293920"," primaire, et bien sûr en prévention primaire on"
"293920","296540"," va essayer justement de chercher tous les facteurs,"
"296540","304040"," toutes les situations, les circonstances qui vont le"
"304040","308480"," prédisposer plus que le reste de la population"
"308480","313860"," à développer une pathologie cardiovasculaire, comment les dépister"
"313860","316060"," et comment les prendre en charge, le but"
"316060","320460"," bien sûr c'est évident retarder, éviter ces"
"320460","323020"," événements, et à ce niveau là on va"
"323020","324720"," avoir recours à ce qu'on appelle les"
"324720","328880"," calculateurs de risque, en prévention secondaire on a"
"328880","331220"," déjà affaire à un cardiaque, et donc là"
"331220","333660"," aussi c'est toujours intéressant d'agir, mais"
"333660","336440"," le but serait de diminuer le risque de"
"336440","338600"," récidive, qu'il ne refasse pas un deuxième"
"338600","341440"," événement, un troisième etc, et bien sûr de"
"341440","343600"," ralentir la progression de la maladie et donc"
"343600","348260"," d'éviter les complications et d'améliorer disons"
"348260","349280"," la survie du patient."
"352170","357810"," Ok après cette introduction sur le sujet, c "
"357810","359850","'est quoi un facteur de risque ?"
"359850","367050"," Sur le plan statistique et aussi en épidémiologie,"
"368510","370250"," le terme facteur de risque ne veut pas"
"370250","376210"," dire, on doit plutôt le différencier de la"
"376210","379290"," cause, une maladie peut avoir une cause directe"
"379290","380730"," et donc si on agit sur la cause,"
"381430","385290"," bien sûr on traite la maladie, exemple la"
"385290","388630"," tuberculose, on connaît sa cause, on sait que"
"388630","389770"," c'est un germe, c'est le bacille"
"389770","394350"," de corps, et donc toute la thérapeutique va"
"394350","399230"," viser à éradiquer, éliminer le BK, parce qu "
"399230","400610","'on connaît la cause, on sait qu'en"
"400610","404430"," agissant sur la cause, normalement il ne doit"
"404430","405930"," pas y avoir de tuberculose. "
"407250","410250"," Ce n'est pas le cas dans pas"
"410250","413910"," mal de pathologies cardiaques, parce qu'on ne"
"413910","416650"," connaît pas exactement la cause, mais on connaît"
"416650","421950"," les situations ou les circonstances qui vont mettre"
"421950","427290"," un patient plus à risque de développer telle"
"427290","428470"," une maladie cardiovasculaire."
"429310","432470"," Donc c'est vraiment important de bien cerner"
"432470","436630"," c'est quoi un facteur de risque, parce"
"436630","440930"," qu'une fois une situation donnée est rangée"
"440930","443650"," dans la case des facteurs de risque, et"
"443650","445210"," a fortiori si c'est un facteur de"
"445210","448230"," risque majeur, ça mérite bien sûr qu'on"
"448230","452750"," mette en place une stratégie thérapeutique pour contrôler,"
"453810","456450"," éliminer si c'est possible, sinon au moins"
"456450","461270"," contrôler ce facteur de risque, justement pour voir"
"461270","464230"," le risque de développer une pathologie cardiaque diminue."
"465150","466430"," Si bien sûr on n'a pas tous"
"466430","472570"," les critères, on va toujours parler de marqueurs"
"472570","476510"," de risque, de possibles facteurs de risque, et"
"476510","478410"," dans ce cas là ce ne sera pas"
"478410","483890"," obligatoire d'agir là dessus, parce que ce"
"483890","485590"," n'est pas vraiment un facteur de risque. "
"486670","489190"," Alors comment définit-on un facteur de risque,"
"489390","493550"," c'est une caractéristique mesurable, c'est important,"
"493890","496190"," on peut la mesurer, et pourquoi on insiste"
"496190","498630"," sur le fait qu'elle soit mesurable, parce"
"498630","502250"," que justement la logique veut dire qu'un"
"502250","505430"," facteur de risque, plus on est exposé à"
"505430","509390"," ce facteur de risque, plus la maladie risque"
"509390","512950"," de se développer, donc la notion de quantité"
"512950","516450"," existe, et donc le fait qu'il soit"
"516450","518929"," mesurable si c'est possible ce serait bien,"
"520620","522200"," ce serait bien, donc parce qu'on va"
"522200","523220"," voir, on va voir qu'il y a"
"523220","525060"," des facteurs de risque qui sont difficiles à"
"525060","525380"," mesurer."
"526760","530160"," Donc mesurable si c'est possible, qui indique"
"530160","533200"," une probabilité de développer une maladie, et la"
"533200","536220"," notion de risque, c'est risque cardiovasculaire, c "
"536220","539260","'est tout simplement le risque d'avoir des"
"539260","541340"," événements, tout à l'heure j'ai dit"
"541340","545060"," que je vais parler en large, je ne"
"545060","547480"," vais pas préciser, événements, c'est événements coronaires,"
"547560","552200"," cérébrovasculaires, périphériques, insuffisance cardiaque, ça peut être aussi"
