"start","end","text"
"1540","5120"," Bonjour chers étudiants, nous allons voir aujourd'hui"
"5120","8960"," les endocardites infectieuses, l'une des pathologies et"
"8960","11340"," l'une des complications les plus graves en"
"11340","12120"," cardiologie."
"16260","19720"," Au terme de cette présentation, vous devez être"
"19720","24620"," capable de définir les endocardites infectieuses, dénumérer les"
"24620","28360"," germes responsables de cette maladie et dénumérer les"
"28360","31119"," cardiopathies à risque d'endocardites infectieuses."
"31119","35440"," Vous devez être capable aussi d'expliquer la"
"35440","39580"," physiopathologie de cette maladie et d'identifier les"
"39580","44140"," caractéristiques des signes fonctionnels et physiques en faveur"
"44140","47840"," de l'endocardite infectieuse chez un patient se"
"47840","49920"," présentant pour une fièvre prolongée. "
"51220","53820"," Il faut que vous soyez aussi capable de"
"53820","57780"," diagnostiquer l'endocardite infectieuse sur un faisceau d "
"57780","62500","'arguments cliniques, biologiques et radiologiques appelés les critères"
"62500","65240"," de Duke chez un patient se présentant pour"
"65240","66460"," une fièvre prolongée."
"68180","71500"," Il faut être capable de citer les complications"
"71500","75760"," à chercher systématiquement chez un patient hospitalisé pour"
"75760","79820"," cette maladie et de prescrire le protocole thérapeutique"
"79820","80980"," chez ces patients."
"81660","85180"," Enfin, vous devez être capable de prescrire le"
"85180","89020"," protocole de prévention d'endocardite infectieuse chez un"
"89020","91960"," patient suivi pour une cardiopathie à risque d "
"91960","93360","'endocardite infectieuse. "
"94700","97580"," Pour répondre à ces objectifs, nous allons suivre"
"97580","98860"," le plan suivant."
"99120","101900"," D'abord une introduction, au cours de laquelle"
"101900","105420"," nous allons définir les endocardites infectieuses ainsi que"
"105420","106660"," l'intérêt de la question."
"107530","110920"," Nous allons survoler quelques notions sur l'épidémiologie"
"111570","114840"," ainsi que la classification de cette pathologie. "
"115880","118640"," Après, on va s'étaler sur le mécanisme"
"118640","123160"," physiopathologique des endocardites infectieuses et on va s "
"123160","126280","'étaler aussi sur le diagnostic positif avant de"
"126280","128120"," passer au diagnostic différentiel."
"129500","133660"," Ensuite, nous allons voir les complications, le traitement"
"133660","136360"," et on va finir par les modalités de"
"136360","141280"," surveillance des patients hospitalisés pour endocardite infectieuse avant"
"141280","142140"," de conclure."
"144500","146900"," Maintenant, on va voir l'introduction et on"
"146900","149040"," va définir l'endocardite infectieuse. "
"150980","156840"," L'endocardite infectieuse est une maladie infectieuse septicémique"
"156840","161060"," dont l'agent pathogène, qui peut être soit"
"161060","164920"," une bactérie ou bien une levure, diffuse dans"
"164920","167960"," l'organisme à partir d'une porte d "
"167960","171460","'entrée, se greffe par la suite sur les"
"171460","175520"," valves cardiaques ou sur l'endocarde murale et"
"175520","179460"," provoque des lésions ulcéro-végétantes chargées de micro "
"179460","182180","-organismes, bactéries ou levures."
"183340","184920"," Donc, j'ai dit bien qu'il s "
"184920","186920","'agit d'une maladie infectieuse."
"186920","190200"," Contrairement au rhumatisme articulaire aigu qu'on a"
"190200","193000"," vu la dernière fois, qui est une maladie"
"193000","198300"," immunologique, l'endocardite infectieuse constitue une maladie infectieuse"
"198300","202000"," qui peut toucher l'endocarde valvulaire ou bien"
"202000","203700"," l'endocarde murale. "
"205810","209050"," C'est une pathologie grave qui met en"
"209050","212290"," jeu le pronostic fonctionnel et vital du patient."
"212290","215890"," D'où la nécessité d'un diagnostic précoce"
"215890","218830"," et adapté avant le stade de complication."
"222040","225480"," Quelle est maintenant la classification des endocardites infectieuses?"
"227980","230940"," Les endocardites infectieuses peuvent être classées en deux"
"230940","234300"," groupes, les endocardites sur valves natifs et les"
"234300","236660"," endocardites sur prothèses. "
"236820","239680"," Les endocardites sur valves natifs peuvent être classés"
"239680","242210"," à leur tour en deux sous-groupes, les"
"242210","246950"," endocardites sub-aigus, appelées maladies d'Osler, elle"
"246950","250810"," est d'installation progressive et survient sur cardiopathie"
"250810","251910"," préexistante."
"253810","256970"," L'endocardite aigu, quant à elle, elle est"
"256970","260170"," d'installation rapide et survient sur un endocarde"
"260170","261410"," primitivement sain."
"263870","267070"," Les endocardites sur prothèses peuvent être classées selon"
"267070","268570"," leur ancienneté. "
"269290","272490"," On distingue les endocardites précoces quand ils durent"
"272490","275310"," moins d'un an et les endocardites tardives"
"275310","277530"," quand elles surviennent après un an de la"
"277530","278290"," chirurgie."
"280350","284710"," Sur le plan épidémiologique, en effet, l'endocardite"
"284710","287430"," infectieuse peut survenir à tout âge avec une"
"287430","288750"," prédominance masculine."
"289670","291950"," On note que les deux tiers des cas"
"291950","295690"," d'endocardite infectieuse survient sur un cœur pathologique,"
"295910","298070"," c'est-à-dire sur une cardiopathie préexistante. "
"298070","302230"," L'incidence de survenue de l'endocardite infectieuse"
"302230","304270"," est de l'ordre de 25 à 50"
"304270","306830"," millions d'habitants par an et la mortalité"
"306830","309090"," peut atteindre 15 à 20%."
"312580","319190"," Sur le plan éthiopathogénique, on note trois facteurs"
"319190","321610"," qui peuvent intervenir dans la survenue de l "
"321610","322870","'endocardite infectieuse."
"323910","326590"," Le germe, la porte d'entrée et la"
"326590","327670"," lésion cardiaque. "
"331250","333070"," En ce qui concerne les germes en cause"
"333070","336640"," et dans notre contexte, on trouve les streptococques"
"336640","338360"," sur la tête de file."
"339400","342260"," Il s'agit du streptococque non groupable, notamment"
"342260","345200"," les véridenses avec une fréquence de 50%."
"345200","348900"," Ce streptococque se trouve surtout au niveau bucodentaire. "
"350040","353880"," Après vient le streptococque du groupe D, notamment"
"353880","356540"," les enterococques et les bovis avec une fréquence"
"356540","357720"," de 10%."
"358760","362160"," Après les streptococques, on trouve les staphylococques avec"
"362160","366180"," une fréquence de 30%, notamment les staphylococques Oreus"
"366180","370420"," doré sur valve natif puis Epidermis coagulans négatif"
"370420","371800"," sur les prothèses."
"372760","375060"," Ces staphylococques peuvent constituer la cause la plus"
"375060","376900"," fréquente, mais dans les pays développés. "
"377120","379360"," J'insiste, dans notre contexte, on a toujours"
"379360","382040"," les streptococques à la tête des éthiologies de"
"382040","385000"," l'endocardite infectieuse et en deuxième position, c "
"385000","387200","'est les staphylococques."
"387680","389960"," A côté de ces germes-là, on peut"
"389960","393300"," trouver des endocardites à hémoculture négative et ceci"
"393300","394520"," dans 10% des cas."
"395420","399080"," Ceci peut être dû à une antibiotérapie préalable"
"399080","401600"," ou bien à des germes à croissance lente"
"401600","404840"," ou difficile et qui constituent le groupe ASEC. "
"405360","407700"," ASEC, c'est l'abréviation de l'initial"
"407700","408740"," de chaque germe."
"409600","413100"," On trouve le H hémophilus, A qui correspond"
"413100","419400"," à Lactinobacterium, C au Cardiobacterium, E à Echinella,"
"419860","420780"," K à Kengella."
"421720","425820"," Et en dernière position, viennent les autres germes. "
"426240","428040"," Donc, ce que vous devez retenir qu'en"
"428040","432540"," cause d'endocardite infectieuse et dans notre contexte,"
"432840","436700"," le streptococque non groupable, notamment le viridans, le"
"436700","440480"," streptococque groupable D, c'est les enterococques et"
"440480","445560"," les bovis, en deuxième position, les staphylococques et"
"445560","447520"," puis le groupe ASEC."
"451030","453870"," La porte d'entrée, bien évidemment, elle constitue"
"453870","456530"," la porte d'entrée des germes qu'on"
"456530","457410"," a vus tout à l'heure."
"457990","460390"," Et selon la fréquence de ces germes, on"
"460390","463130"," peut déduire les portes d'entrée par ordre"
"463130","463890"," de fréquence. "
"464430","467590"," Donc, à la tête du fil, on trouve"
"467590","470190"," la porte d'entrée bucodentaire où se trouvent"
"470190","473410"," les streptococques non groupables, notamment les viridans."
"473830","476950"," En deuxième position, on trouve la porte d "
"476950","479810","'entrée digestif, là on trouve les streptococques D,"
"479970","481490"," les enterococques et les bovis."
"482210","485270"," Et en troisième position, la porte d'entrée"
"485270","487730"," cutanée avec les staphylococques. "
"488510","491110"," En dernière position, vient la porte d'entrée"
"491110","493930"," gynécologique, urinaire, ORL et atrogène."
"494270","497130"," Donc, toutes les portes d'entrée peuvent être"
"497130","499390"," possibles, mais ce que vous devez retenir, c "
"499390","502250","'est la porte bucodentaire, digestif et cutanée."
"504940","506780"," Donc, on a vu les germes en cause,"
"507140","508940"," on a vu la porte d'entrée, maintenant"
"508940","511640"," on va voir les cardiopathies préexistantes. "
"512159","513380"," Donc, on a vu tout à l'heure"
"513380","518299"," que l'endocardite infectieuse peut survenir sur un"
"518299","521460"," cœur pathologique et moins fréquemment sur un cœur"
"521460","523580"," sain, mais avec un contexte particulier."
"524560","527840"," Donc, les cardiopathies préexistantes sont classées en deux"
"527840","528240"," groupes."
"528500","530780"," Le groupe A qui correspond à des cardiopathies"
"530780","534080"," à un risque élevé d'endocardite infectieuse et"
"534080","536940"," le groupe B qui correspond à des cardiopathies"
"536940","538420"," à risque moins élevé. "
"539280","541820"," Pour le groupe A, c'est les patients"
"541820","544780"," qui ont une prothèse valvulaire, c'est les"
"544780","547800"," patients qui ont des antécédents d'endocardite infectieuse."
"548040","549560"," Donc, c'est clair, un patient qui a"
"549560","551940"," déjà fait un antécédent d'endocardite infectieuse, il"
"551940","553740"," devient prédisposé à en faire d'autres."
"554580","558260"," Et enfin, les cardiopathies congénitales cyanogènes non opérées. "
"559660","562700"," Pour les groupes B, les pathologies du groupe"
"562700","567120"," B, on trouve les valvulopathies, mais dans notre"
"567120","572320"," contexte, on continue à voir des endocardites infectieuses"
"572320","573500"," sur valvulopathies."
"573960","576940"," Donc, dans notre contexte, on va les considérer"
"576940","579040"," un petit peu comme des cardiopathies à risque"
"579040","579420"," élevé."
"580300","583420"," Après viennent les biscus pidi-aortiques, les prolapsus,"
"583760","587360"," les cardiomyopathies obstructives, les cardiopathies congénitales non"
"587360","590940"," cyanogènes, sauf la communication interauriculaire qui ne donne"
"590940","593180"," jamais d'endocardite infectieuse. "
"596290","599450"," On va passer maintenant au mécanisme physiopathologique et"
"599450","601130"," ses conséquences."
"601330","605570"," En ce qui concerne le mécanisme pathogénique, l "
"605570","609890","'agent virulent va diffuser dans la circulation à"
"609890","612010"," partir d'une porte d'entrée et il"
"612010","614190"," va se fixer dans l'endocarde lésé."
"615190","617310"," Ce processus se fait en deux étapes qui"
"617310","618130"," se succèdent. "
"618770","622630"," La première étape correspond à l'endocardite non"
"622630","623470"," bactérienne."
"624510","625990"," C'est-à-dire qu'il s'agit"
"625990","628530"," d'une altération de l'endocarde par des"
"628530","629730"," turbulences traumatiques."
"630390","633150"," On va prendre l'exemple d'une insuffisance"
"633150","633630"," mitrale. "
"633970","637190"," Cette insuffisance mitrale va être responsable de turbulences"
"637190","640310"," et ces turbulences vont créer des traumatismes avec"
"640310","642570"," des dépôts de plaquettes et de fibrines."
"643790","645710"," Dans ce cas-là, on va avoir des"
"645710","649550"," thrombus plaquétaires qui vont se déposer sur la"
"649550","651110"," surface de la valve."
