"start","end","text"
"710","4390"," Bonjour chers étudiants, Le cours d'aujourd'hui"
"4390","6790"," s'intitule l'insuffisance aortique."
"7550","11350"," Une pathologie fréquente dans notre contexte peut être"
"11350","15070"," grave dans les formes évoluées et c'est"
"15070","17930"," une pathologie caractérisée par la richesse de ses"
"17930","21310"," étiologies et la richesse de ses signes simbiologiques"
"21310","21930"," cliniques."
"24360","27420"," Au terme de ce cours, nous devons être"
"27420","32140"," capables de définir l'insuffisance aortique, d'expliquer"
"32140","35700"," les mécanismes de survenue de cette pathologie ainsi"
"35700","40340"," que ses conséquences, d'énumérer ses étiologies, d "
"40340","44280","'identifier les caractéristiques des signes fonctionnels et physiques"
"44280","47320"," en faveur d'une insuffisance aortique chez un"
"47320","49380"," patient se présentant pour une dyspnée. "
"50860","53320"," Nous devons être capables aussi de citer les"
"53320","57440"," résultats des examens paracliniques demandés chez un patient"
"57440","61960"," suivi pour cette pathologie ainsi que d'énumérer"
"61960","65260"," les complications pouvant survenir chez ces patients."
"66300","69720"," Enfin, nous devons être capables de citer les"
"69720","73660"," traitements curatifs pouvant être indiqués chez cette population"
"73660","77400"," et de prescrire le protocole de prévention de"
"77400","80000"," l'endocardite infectieuse chez ces patients."
"83090","86050"," Pour atteindre ces objectifs, nous allons suivre le"
"86050","86770"," plan suivant. "
"87610","89450"," D'abord, une introduction."
"90470","93550"," Après, nous allons voir un rappel anatomique et"
"93550","97690"," physiologique avant de s'étaler sur la physiopathologie."
"98710","101970"," Ensuite, nous allons voir les étiologies de l "
"101970","106310","'insuffisance aortique, dont ses formes aiguës et chroniques. "
"107090","109490"," Après, nous allons s'étaler sur le diagnostic"
"109490","112470"," positif, évolutions et complications."
"113310","115650"," Nous allons voir d'une manière succincte les"
"115650","116550"," formes cliniques."
"117070","119610"," Après, nous allons détailler le traitement avant de"
"119610","120190"," conclure. "
"123390","125350"," C'est quoi une insuffisance aortique?"
"126010","128370"," C'est la perte d'étanchéité de la"
"128370","129350"," valve aortique."
"130150","132850"," On sait que la valve aortique doit se"
"132850","136310"," fermer en diastole pour empêcher le reflux du"
"136310","138610"," sang de l'aorte vers le ventricule gauche,"
"139110","143510"," ainsi que pour favoriser le remplissage du ventricule"
"143510","145610"," gauche au moment de la diastole."
"145610","150190"," Quand cette valve perd son étanchéité, elle ne"
"150190","152490"," va pas se fermer complètement au moment de"
"152490","155910"," la diastole, ce qui va favoriser le reflux"
"155910","158790"," du sang de l'aorte vers le ventricule"
"158790","160890"," gauche lors de la diastole. "
"163750","165370"," C'est une pathologie fréquente."
"166210","169070"," Ses conséquences peuvent aussi être graves en l "
"169070","171710","'absence d'un traitement précoce et codifié."
"172650","176770"," Dans notre contexte, le rheumatisme articulaire aigu constitué"
"176770","180130"," la cause la plus fréquente et on souligne"
"180570","183050"," l'intérêt de la prévention qui va nous"
"183050","187550"," permettre d'éviter l'évolution vers ces complications. "
"189590","193210"," Sur le plan anatomique et physiologique, le coeur"
"193210","196490"," est constitué de deux côtés, le côté gauche"
"196490","197290"," et le côté droit."
"197690","200090"," Le côté gauche est constitué de l'oreillette"
"200090","202790"," gauche et du ventricule gauche et le côté"
"202790","205530"," droit de l'oreillette droite et du ventricule"
"205530","205790"," droit."
"205790","210870"," L'oreillette gauche et le ventricule gauche sont"
"210870","215490"," séparés par la valve mitrale et le ventricule"
"215490","217870"," gauche donne issue à l'aorte qui va"
"217870","220270"," assurer l'éjection vers la périphérie. "
"221830","224790"," Du côté droit, nous avons l'oreillette droite"
"224790","229870"," qui sépare le ventricule droit par la valve"
"229870","230630"," tricuspide."
"231390","234030"," Le ventricule droit assure l'éjection du sang"
"234030","237550"," vers la circulation pulmonaire à travers l'artère"
"237550","238190"," pulmonaire."
"241220","243380"," Un petit rappel sur l'anatomie de la"
"243380","244260"," valve aortique. "
"245480","248240"," La valve aortique est constituée de trois feuillets"
"248240","249880"," appelés les sigmoïdes."
"251080","253800"," Ces trois sigmoïdes donnent issue à l'aorte."
"255019","258760"," Ces trois sigmoïdes sont accolés à l'aorte"
"259200","261300"," par ce qu'on appelle les sinus. "
"262900","266980"," Ainsi, on trouve la sigmoïde non coronaire et"
"266980","271980"," les postérieurs et les sigmoïdes antérieurs, droite et"
"271980","277460"," gauche appelés aussi les sigmoïdes coronaire droite et"
"277460","280520"," sigmoïdes coronaire gauche parce qu'au niveau de"
"280520","284660"," leur sinus sort l'artère coronaire droite ou"
"284660","286180"," l'artère coronaire gauche."
"289080","294040"," Pour pouvoir comprendre la physiopathologie, un petit rappel"
"294040","298880"," sur la physiologie, le cycle cardiaque est nécessaire."
"299460","303440"," Le son veineux oxygéné qui vient du poumon"
"303440","306680"," va rejoindre l'oreillette gauche puis le ventricule"
"306680","308540"," gauche à travers la valve mitrale. "
"309040","312460"," Après, il va rejoindre la circulation systémique à"
"312460","313760"," partir de l'aorte."
"314920","317660"," A partir de l'aorte, le son oxygéné"
"317660","320840"," va rejoindre les différents organes comme le cerveau,"
"321020","324020"," les muscles, le reins, où ce son va"
"324020","327540"," être pris par ces organes et avec libération"
"327540","328660"," du CO2."
"329460","333240"," Le son désoxygéné, libéré à partir de ces"
"333240","336080"," organes, va rejoindre le coeur à travers la"
"336080","338420"," vincave inférieure et supérieure. "
"339760","344820"," Ainsi, il va rejoindre les poumons à travers"
"344820","346120"," l'artère pulmonaire."
"348910","351470"," Nous allons voir maintenant la physiopathologie de l "
"351470","352810","'insuffisance aortique."
"352810","356730"," Dans cette physiopathologie, nous allons voir le mécanisme"
"356730","358070"," et les conséquences. "
"358930","363110"," En ce qui concerne les mécanismes, plusieurs mécanismes"
"363110","367630"," peuvent intervenir pour modifier la structure de la"
"367630","368530"," valve aortique."
"369330","371750"," Il peut s'agir d'une rétraction valvulaire,"
"372210","375710"," d'un prolapsus, d'une dilatation de l "
"375710","378030","'anneau ou bien d'une perforation de la"
"378030","378370"," valve."
"380580","383100"," En ce qui concerne les conséquences, il faut"
"383100","386540"," savoir qu'ils sont variables en fonction de"
"386540","389720"," l'insuffisance aortique modérée ou bien d'une"
"389720","391300"," insuffisance aortique sévère. "
"391800","395220"," Dans l'insuffisance aortique modérée, en général, il"
"395220","397660"," n'y a pas de conséquences hémodynamiques mais"
"397660","400400"," il y a un risque d'endocardite infectieuse."
"401020","403120"," Comme on le dit toujours, le risque d "
"403120","405460","'endocardite infectieuse n'est pas lié à la"
"405460","407200"," sévérité de la valvulopathie."
"408400","411740"," Par contre, dans les formes sévères, les conséquences"
"411740","414720"," hémodynamiques changent en fonction qu'il s'agit"
"414720","417440"," d'une insuffisance aortique aiguë ou d'une"
"417440","419700"," insuffisance aortique chronique. "
"422070","424910"," Dans l'insuffisance aortique chronique, l'évolution se"
"424910","427470"," fait sur plusieurs mois voire années."
"428790","430950"," Donc il s'agit, comme on l'a"
"430950","433570"," dit dans l'introduction, d'un passage du"
"433570","436870"," sang de l'aorte vers le ventricule gauche"
"436870","438410"," au moment de la diastole."
"439490","442670"," Ceci va avoir des conséquences en amont et"
"442670","444970"," qui dit en amont, donc toutes les structures"
"444970","447050"," qui sont en amont de la valve aortique. "
"447690","449450"," Donc il peut s'agir du ventricule gauche,"
"449810","451890"," du poumon, voire le coeur droit."
"453550","456010"," En ce qui concerne les conséquences en aval,"
"456130","458170"," comme on va le voir plus tard, il"
"458170","461690"," peut s'agir de conséquences sur la circulation"
"461690","464650"," systémique et sur la circulation coronaire."
"466950","469730"," Quand vous le voyez sur ce dessin, nous"
"469730","472570"," avons des retentissements en aval de la valve"
"472570","475290"," aortique et des retentissements en amont. "
"476050","478750"," En ce qui concerne les retentissements en amont"
"478750","482850"," de la valve aortique, ils sont entourés du"
"482850","486690"," cadran rouge et on trouve un retentissement sur"
"486690","490650"," le ventricule gauche, l'oreillette gauche, les veines"
"490650","493670"," et capillaires pulmonaires, les poumons, c'est-à "
"493670","496670","-dire le milieu interstitiel et le milieu alvéolaire,"
"496670","500330"," après les artères et les artérioles pulmonaires et"
"500330","501750"," enfin les cavités droites."
"502910","506270"," Pour le retentissement en aval, encadré par le"
"506270","510130"," trait vert, il va concerner la circulation systémique"
"510130","513770"," avec les organes périphériques et la circulation coronaire."
"515070","517870"," En ce qui concerne les conséquences en amont,"
"518289","520650"," on va commencer par celle du ventricule gauche. "
"521490","524390"," En effet, cette cavité est exposée à deux"
"524390","527110"," types de phénomènes, le premier se déroule en"
"527110","529850"," diastole, le deuxième en systole."
"530630","533490"," En moment de la diastole, le ventricule gauche"
"533490","538490"," est exposé à une surcharge volumétrique ou surcharge"
"538490","539150"," de volume."
"539830","540690"," Pourquoi ?"
"540690","543230"," Parce que cette cavité reçoit à la fois"
"543230","546370"," le sang normal qui provient de l'oreillette"
"546370","549490"," gauche en moment de la diastole, mais elle"
"549490","552390"," reçoit aussi le sang reflué de la horte"
"552390","553690"," vers le ventricule gauche. "
"554370","558290"," Donc pour supporter cette surcharge de volume, le"
"558290","561130"," ventricule gauche doit s'adapter et donc il"
"561130","563230"," va se dilater progressivement."
"564190","567610"," Cette dilatation progressive va aboutir à la fin"
"567610","569790"," à une altération de sa fonction."
"572240","575480"," De l'autre côté, en systole, le ventricule"
"575480","578580"," gauche doit éjecter une grande quantité du sang"
"578580","580720"," à laquelle il n'est pas habitué. "
"581500","584140"," Donc l'exemple type c'est comme si"
"584140","587340"," on vous demande à 10 étudiants de quitter"
"587340","590060"," la salle à partir d'une porte."
"590840","594400"," Pour 10 étudiants, la sortie va être facile."
"595400","597260"," Le jour où je vais demander à 50"
"597260","600160"," étudiants de quitter la salle avec la même"
"600160","602780"," vitesse et à partir de cette porte. "
"603480","606940"," Cette porte va se comporter comme un obstacle,"
"607660","608840"," même si sa taille normale."
"608840","611720"," Donc il va se comporter comme un obstacle"
"611720","614880"," fonctionnel parce qu'il était exposé à une"
"614880","617040"," surcharge, à un travail de plus."
"617540","620780"," La même chose se passe au niveau de"
"620780","622160"," ses sigmoïdes aortiques. "
"622640","625280"," A cause de cette surcharge de volume qui"
"625280","628580"," doit passer à travers un orifice qui est"
"628580","631700"," fixe qui va se comporter comme une sténose."
"632300","634700"," Donc le ventricule gauche est exposé à une"
"634700","636120"," surcharge de pression."
"636120","639660"," Donc il va s'hypertrophier progressivement. "
"640640","644060"," Cette hypertrophie progressive va aboutir à la fin"
"644060","647620"," à une altération progressive de la fonction ventriculaire"
"647620","648000"," gauche."
"649120","654520"," Pour récapituler, dans l'insuffisance aortique, le ventricule"
"654520","657940"," gauche est à la fois dilaté et hypertrophié."
"658920","661340"," Ce qui se passe maintenant au niveau de"
"661340","665720"," l'oreillette gauche, veine pulmonaire, capillaire pulmonaire sont"
"665720","667840"," à peu près identiques à ceux qu'on"
"667840","669540"," a vu dans le cours de l'insuffisance"
"669540","670460"," mitrale. "
"670940","672580"," C'est-à-dire qu'on peut assister"
"672580","674980"," à une augmentation de la pression au niveau"
"674980","678020"," de l'oreillette gauche qui va être responsable"
"678020","680980"," de la dilatation de cette dernière avec risque"
