"start","end","text"
"2180","5320"," Bonjour chers élèves, nous allons voir aujourd'hui"
"5320","7940"," une question d'une grande importance qui est"
"7940","9500"," le rheumatisme articulaire aigu."
"9980","12620"," C'est une pathologie qui reste encore sous "
"12620","15960","-diagnostiquée dans notre contexte et ceci explique le"
"15960","18020"," nombre de séquelles qu'on continue à avoir"
"18020","19220"," jusqu'au jour d'aujourd'hui."
"20260","22740"," Elle constitue de ce fait un vrai problème"
"22740","25100"," de santé publique dans notre contexte. "
"28700","30900"," Au terme de ce cours, vous devez être"
"30900","33960"," capable de définir le rheumatisme articulaire aigu."
"34840","37060"," D'expliquer son éthiopathogénie."
"38080","41900"," De rassembler les critères diagnostiques cliniques et paracliniques"
"41900","44220"," appelés aussi les critères de Jones et qui"
"44220","46040"," sont en faveur de cette pathologie. "
"47380","50160"," Vous devez être capable de prescrire le protocole"
"50160","52740"," thérapeutique chez les patients qui se présentent pour"
"52740","55700"," le rheumatisme articulaire aigu et de les surveiller"
"55700","56840"," quand sous traitement."
"56840","59960"," A la fin, il faut que vous soyez"
"59960","63360"," capable de prescrire le protocole de prévention primaire"
"63360","66720"," de rheumatisme articulaire aigu et de prescrire le"
"66720","69660"," protocole de prévention secondaire chez les patients qui"
"69660","72120"," ont déjà eu cette pathologie."
"75280","78040"," Pour atteindre ces objectifs, nous allons suivre le"
"78040","78760"," plan suivant. "
"79080","81640"," D'abord, on va définir le rheumatisme articulaire"
"81640","81960"," aigu."
"82380","84560"," Après, on va voir quelques données sur son"
"84560","85400"," épidémiologie."
"85400","87880"," Par la suite, on va s'étaler sur"
"87880","91480"," le mécanisme éthiopathogénique de cette pathologie avant de"
"91480","94240"," voir quelques notions sur son anatomie pathologique. "
"95040","97680"," Ensuite, on va s'étaler sur le diagnostic"
"97680","101400"," positif, le diagnostic différentiel, on va voir l "
"101400","103900","'évolution de cette maladie et enfin on va"
"103900","106060"," voir le traitement avant de conclure."
"106060","112220"," C'est quoi le rheumatisme articulaire aigu?"
"112640","116160"," C'est une maladie d'origine inflammatoire, immunologique,"
"116660","120880"," poststreptococcique, secondaire à l'infection par un streptocoque"
"120880","123620"," bêta-hémolytique du groupe A et qui est"
"123620","126380"," responsable de l'atteinte de plusieurs organes."
"126880","130660"," J'ai dit bien maladie inflammatoire, immunologique, poststreptococcique. "
"131840","133220"," Donc on comprend bien que ce n'est"
"133220","134420"," pas une maladie infectieuse."
"135880","136220"," Pourquoi?"
"136220","139420"," Parce que le streptocoque bêta-hémolytique du groupe"
"139420","141660"," A est responsable de la maladie, pas d "
"141660","144980","'une manière directe, mais plutôt à travers les"
"144980","147220"," anticorps qu'il va déclencher."
"149180","152360"," Cette maladie survient généralement 3 semaines à 4"
"152360","155160"," semaines après un épisode d'angine ou de"
"155160","155460"," pharyngite. "
"161270","163750"," C'est une maladie qui peut être grave"
"163750","166270"," et la gravité de cette maladie est liée"
"166270","168070"," à la sévérité de l'atteinte cardiaque."
"168070","172610"," En effet, le rheumatisme articulaire aigu peut déclencher"
"172610","175770"," des séquelles valvulaires qui grèvent le pronostic ultérieur"
"175770","176330"," du patient."
"177630","180230"," La gravité de la maladie est liée aussi"
"180230","182450"," au potentiel évolutif de la maladie. "
"183270","185650"," Une fois elle est là, les atteintes valvulaires"
"185650","187370"," peuvent s'aggraver au fil du temps."
"187850","190350"," Elles peuvent être sujettes à des complications comme"
"190350","193370"," l'insuffisance cardiaque et l'endocardite infectieuse."
"196120","199240"," On va voir maintenant l'épidémiologie du rheumatisme"
"199240","200060"," articulaire aigu. "
"201580","203440"," Je ne vais pas vous demander de retenir"
"203440","205360"," les chiffres, mais il faut savoir que c "
"205360","207360","'est une pathologie qui reste rare dans les"
"207360","207800"," pays industrialisés."
"209100","210860"," Mais elle reste très fréquente dans les pays"
"210860","214440"," émergents et qui ont un revenu faible, comme"
"214440","216520"," l'Afrique, dans le Maroc, le Proche-Orient,"
"216640","217460"," le Moyen-Orient."
"217460","220620"," Elle est fréquente aussi dans les populations indigènes"
"220620","221160"," d'Oceania. "
"221640","224700"," Indigènes, c'est des populations qui sont issues"
"224700","229260"," de plusieurs origines ethniques et de plusieurs races."
"233250","234850"," C'est une carte qui vous montre la"
"234850","238270"," fréquence du rheumatisme articulaire aigu dans les différents"
"238270","240330"," continents et les différents pays."
"240930","242510"," Ce qui nous intéresse, c'est le Maroc. "
"242770","246030"," Regardez, la fréquence atteint presque 10% selon"
"246030","248030"," les statistiques de 1990."
"248030","250930"," Ce qui souligne la gravité et la fréquence"
"250930","253030"," de cette maladie dans notre contexte."
"255820","258200"," C'est une maladie qui reste fréquente chez"
"258200","260399"," les jeunes enfants entre 5 ans et 15"
"260399","260700"," ans. "
"261300","263220"," Elle est exceptionnelle avant l'âge de 4"
"263220","263400"," ans."
"263500","263740"," Pourquoi?"
"264020","265820"," On va le voir dans l'éthiopathogénie."
"266140","267960"," Il faut plusieurs épisodes d'ongine ou de"
"267960","271360"," pharyngite avant d'avoir le rheumatisme articulaire aigu. "
"271520","273900"," Ce qui reste rare avant l'âge de"
"273900","274340"," 4 ans."
"274340","276440"," Elle est rare aussi après l'âge de"
"276440","277900"," 30 ans parce qu'on fait de moins"
"277900","280040"," en moins d'épisodes d'ongine ou de"
"280040","280660"," pharyngite."
"281240","282640"," Il n'y a pas de relation de"
"282640","283160"," sexe. "
"284000","285740"," Concernant l'origine ethnique, comme on l'a"
"285740","286980"," dit tout à l'heure, elle est plus"
"286980","289780"," fréquente dans les populations indigènes comme celle de"
"289780","291680"," l'Amérique du Nord et de l'Océanie."
"294320","296900"," Quelques données épidémiologiques sur l'agent causal."
"297380","298620"," On l'a vu tout à l'heure,"
"298780","300920"," c'est le streptocoque bêta-hémolytique du groupe"
"300920","301140"," A."
"302200","304960"," Cette bactérie est présente à l'état endémique"
"304960","305800"," dans tout le globe. "
"306160","308120"," Elle s'approfite au niveau du nez, du"
"308120","309380"," pharynx, du sujet sain."
"309820","312360"," La contamination se fait d'une manière interhumaine"
"312360","314860"," par voie respiratoire ou par contact direct à"
"314860","315520"," travers les mains."
"316420","319440"," Cette contamination se fait essentiellement pendant les saisons"
"319440","319880"," froides. "
"320380","322300"," C'est une période où la pilulation du"
"322300","323160"," germe est maximale."
"324500","326700"," Il faut savoir que la plupart des ongines"
"326700","329060"," sont d'origine virale et 20% uniquement"
"329060","330340"," sont d'origine streptocoque."
"330340","334620"," Sur ces 20%, 2% seulement sont responsables"
"334620","336260"," du rhumatisme articulaire aigu. "
"336560","338020"," Si l'on fait le calcul, on va"
"338020","341160"," trouver que sur l'ensemble des ongines, 0 "
"341160","345240",",4% vont être responsables du rhumatisme articulaire"
"345240","345520"," aigu."
"345760","348140"," C'est un chiffre qui reste quand même"
"348140","350740"," important et significatif."
"353840","356940"," On a vu la définition du rhumatisme articulaire"
"356940","358980"," aigu, la gravité de cette maladie. "
"359480","362080"," On a vu quelques données sur son épidémiologie."
"362080","365120"," Maintenant, on va passer à son éthiopathogénie."
"367420","370980"," Dans l'éthiopathogénie du rhumatisme articulaire aigu, on"
"370980","373280"," va voir d'abord les facteurs de survenue"
"373280","374720"," de cette maladie. "
"375100","378600"," Le mécanisme et conséquences de ces facteurs."
"378960","381140"," Et après, on va voir l'évolution de"
"381140","382260"," ces conséquences."
"383900","387120"," Concernant les facteurs de survenue du rhumatisme articulaire"
"387120","388880"," aigu, ils sont en nombre de trois. "
"388880","392620"," Le germe, les facteurs liés à l'hôte"
"392620","394880"," et les facteurs liés à l'environnement."
"398810","401030"," En ce qui concerne le germe, on a"
"401030","402710"," vu que l'agent causal, c'est le"
"402710","405090"," streptocoque bêta-hémolytique du groupe A."
"405910","409050"," La porte d'entrée est uniquement rhinopharyngée."
"409950","411850"," La contamination, comme on l'a vu tout"
"411850","414630"," à l'heure, se fait par voie aérienne"
"414630","416330"," ou par contact direct. "
"417830","421110"," Un petit rappel sur la classification des streptocoques."
"421170","424290"," Juste pour situer le streptocoque bêta-hémolytique du"
"424290","424790"," groupe A."
"425370","428470"," En fait, les streptocoques sont classés selon l "
"428470","429530","'antigène membranaire."
"429710","432010"," C'est la classification de Lansfield et selon"
"432010","433390"," le caractère hémolytique. "
"434130","436830"," Selon l'antigène membranaire, ils sont classés en"
"436830","439370"," streptocoques groupables et non groupables."
"439790","441910"," Notre streptocoque fait partie du groupe A."
"442850","446450"," Selon le caractère hémolytique, notre streptocoque fait partie"
"446450","448730"," des streptocoques bêta-hémolytiques."
"448910","449670"," C'est-à-dire que quand on les"
"449670","452510"," met sur une gélose de sang, le streptocoque"
"452510","455110"," bêta-hémolytique donne une liste totale des globules"
"455110","455570"," rouges. "
"458070","460590"," En ce qui concerne la structure anatomique de"
"460590","463670"," ce germe, le streptocoque bêta-hémolytique du groupe"
"463670","465370"," A est constitué de trois couches."
"465490","467930"," De l'extérieur vers l'intérieur, on trouve"
"467930","470770"," la capsule, la paroi et la membrane plasmique."
"471830","474450"," En ce qui concerne la paroi, elle-même"
"474450","476030"," est constituée de trois couches. "
"476250","478990"," De l'extérieur vers l'intérieur, on trouve"
"478990","482750"," les protéines R, T, M, on trouve les"
"482750","484970"," polyosides C et on trouve les peptidoglycanes."
"487330","489730"," Le streptocoque est doté aussi d'enzymes."
"490090","492150"," Ces enzymes n'ont pas de pouvoir pathogène. "
"492670","494150"," Ils ne sont pas pathogéniques, ils ne sont"
"494150","496330"," pas responsables de la maladie, mais ils peuvent"
"496330","499530"," être utilisés comme marqueurs de la maladie."
"500110","502550"," Donc ces enzymes sont au nombre de 5."
"503310","508650"," Streptolysine O, Streptolysine S, Streptokinase, Streptodonase et Yaluronidase."
"510190","513130"," Retenez bien la Streptolysine O parce qu'on"
