"start","end","text"
"710","3950"," Bonjour chers étudiants, nous allons voir aujourd'hui"
"3950","6890"," le rétrécissement mitral, l'une des valvulopathies les"
"6890","9550"," plus fréquentes et dont l'étiologie principale dans"
"9550","12250"," notre contexte reste la cause rhumatismale."
"14490","17390"," Au terme de ce cours, nous devons être"
"17390","21290"," capables de définir le rétrécissement mitral, d'expliquer"
"21290","26470"," son mécanisme physiopathologique, de décrire les caractéristiques des"
"26470","29690"," signes fonctionnels et physiques en faveur d'un"
"29690","32830"," rétrécissement mitral chez un patient suivi pour un"
"32830","34410"," cardit rhumatismal chronique."
"35430","38150"," On doit être capables aussi de décrire les"
"38150","41730"," résultats des examens paracliniques chez un patient suivi"
"41730","43370"," pour rétrécissement mitral serré. "
"44050","46350"," On doit être capables aussi d'énumérer les"
"46350","50410"," complications pouvant survenir chez ces patients, d'énumérer"
"50410","55350"," les éventualités thérapeutiques curatives pouvant être proposées chez"
"55350","58470"," ces patients, et enfin de prescrire le protocole"
"58470","61790"," de prévention de l'ondocardite infectieuse chez un"
"61790","64110"," patient suivi pour cette pathologie."
"66000","68920"," Pour aboutir à ces objectifs, nous allons suivre"
"68920","70020"," le plan suivant."
"70360","72680"," D'abord une introduction au cours de laquelle"
"72680","74600"," on va voir ce qu'est le rétrécissement"
"74600","76860"," mitral ainsi que l'intérêt de la question. "
"77700","79900"," Après on va voir un petit rappel anatomo "
"79900","83740","-physiologique avant de s'étaler sur le mécanisme"
"83740","87720"," physiopathologique ainsi que les conséquences du rétrécissement mitral."
"88700","91260"," Par la suite, nous allons voir les éthiologies"
"91800","94180"," puis on va s'étaler sur le diagnostic"
"94180","95020"," positif."
"96560","99860"," Ensuite, nous allons voir l'évolution et complications"
"99860","103340"," de cette maladie, certains formes cliniques, avant de"
"103340","105460"," terminer par le traitement et la conclusion. "
"107060","108700"," C'est quoi le rétrécissement mitral?"
"108980","111340"," C'est la réduction de la surface mitrale."
"112160","114320"," On sait bien que la surface mitrale normale"
"114320","116020"," est de l'ordre de 4 à 6"
"116020","116900"," cm²."
