"start","end","text"
"710","4470"," La maladie ulcéreuse, gastro-adrénale ou ce qu "
"4470","8530","'on appelle aussi l'ulcère gastro-adrénale, c "
"8530","13330","'est une maladie chronique en absence de traitement."
"14230","15990"," C'est une maladie qui va évoluer par"
"15990","19470"," poussée et qui est caractérisée par la présence"
"19470","23530"," d'un ulcère catéiforme qui peut se compliquer."
"23530","28050"," Son diagnostic repose sur l'endoscopie qui permet"
"28050","32310"," de mettre en évidence cette ulcération. "
"33430","35990"," Et c'est une maladie dont l'éthiopathogénie"
"35990","40130"," fait intervenir plusieurs facteurs et le facteur principal"
"40130","42310"," reste les glucobactères puloris."
"42310","47290"," C'est un facteur éthiologique important qui a"
"47290","52310"," permis de comprendre la physiopathogénie et de proposer"
"52310","55090"," un traitement qui a modifié l'histoire de"
"55090","58510"," cette maladie qui était longtemps restée une maladie"
"58510","62750"," chronique récidivante qui est devenue une maladie curable."
"63690","66170"," On peut dire que c'est une maladie"
"66170","69690"," qu'on peut considérer comme liée infectieuse. "
"71070","74590"," Cette maladie a largement profité de tous les"
"74590","79550"," progrès réalisés en thérapeutique, puisque la découverte et"
"79550","81950"," l'utilisation des inhibiteurs de la pompe à"
"81950","86390"," protons a permis de réduire les ulcères gastro "
"86390","91230","-dénales résistants au traitement médical et réduire ainsi"
"91230","94450"," les indications de la chirurgie dans cette maladie."
"95230","97270"," Et comme je l'ai dit, l'éradication"
"97270","101750"," de glucobactères puloris permet de modifier l'histoire"
"101750","105910"," de la maladie et d'éviter la récidive"
"105910","110770"," de la maladie et la maladie devenue curable."
"112470","118810"," Sur le plan anatomopathologique, la maladie ulcéreuse se"
"118810","121830"," caractérise par un ulcère. "
"121830","126750"," Cet ulcère est une perte de substance profonde"
"126750","127669"," et localisée."
"128669","130890"," C'est une perte de substance de la"
"130890","136170"," muqueuse profonde qui va dépasser la musculaire muqueuse,"
"136710","143670"," ce qui permet de la faire distinguer de"
"143670","146230"," toutes les pertes de substance de la muqueuse"
"146230","151010"," superficielle qui ne dépassent pas la musculaire."
"151010","157030"," Comme les ulcérations, les exulcérations, les érosions qui"
"157030","158370"," restent superficielles. "
"159550","165690"," Sur le plan anatomopathologique, macroscopiquement, il réalise une"
"165690","168910"," perte de substance sous forme d'un cratère"
"168910","172210"," qui peut être rond ou ovalaire, de taille"
"172210","176950"," variable, avec des bords réguliers sur lesquels convergent"
"176950","178290"," les plus muqueux."
"178290","180610"," Cet aspect, on le voit, il est bien"
"180610","183290"," visible sur l'endoscopie."
"184850","187890"," Microscopiquement, on a les caractères de chronicité de"
"187890","188490"," l'ulcère. "
"188690","191050"," On a de la fibrine avec de l "
