"start","end","text"
"1990","5370"," Bonjour chers étudiants, le cours d'aujourd'hui"
"5370","7550"," c'est les dilatations des branches, on les"
"7550","9770"," appelle également les branches ectasies."
"13730","17250"," Les objectifs pédagogiques du cours, tout d'abord"
"17250","19830"," définir ce qu'est les dilatations de branches"
"19830","25690"," ou branches ectasies, décrire les différents types de"
"25690","29950"," dilatations de branches, citer les éléments de diagnostic"
"29950","34890"," positif et différentiel des dilatations de branches, citer"
"34890","38590"," les principales étiologies de dilatations de branches, l "
"38590","42130","'intérêt de la bronchoscopie dans le bilan des"
"42130","49600"," dilatations des branches, énumérer les complications de dilatations"
"49600","54780"," de branches et décrire le traitement médical des"
"54780","55880"," dilatations des branches."
"58220","65300"," Le plan du cours comporte une introduction, anatomopathologie,"
"66300","74760"," etiopathogénie, diagnostic positif, diagnostic différentiel, évolution et"
"74760","78860"," complication, traitement et conclusion. "
"84270","89350"," En introduction, la définition des dilatations de branches"
"89350","91710"," est une définition anatomique."
"92290","95670"," C'est l'augmentation permanente du calibre branchique,"
"96410","99250"," digne aux plusieurs branches de quatrième ou huitième"
"99250","105450"," subdivision, associée à une destruction permanente et irréversible"
"105450","109810"," de l'armature fibroélastique et cartilagineuse."
"109810","113690"," C'est une affliction prédominante chez la femme"
"113690","114710"," depuis 50 ans. "
"115530","119870"," C'est une pathologie fréquente, malheureusement sous-estimée,"
"120350","123050"," confondue avec la branchite chronique."
"124150","127830"," Elle fait partie de la supération branchique chronique."
"128509","131050"," Elle peut être acquise ou congénitale. "
"131050","134790"," Il y a un retentissement important sur un"
"134790","137090"," retentissement socioprofessionnel."
"139580","142960"," L'évolution et le pronostic de cette pathologie"
"142960","147340"," dépendent de son étendue, de la précocité de"
"147340","150080"," sa prise en charge et du terrain sur"
"150080","151580"," lequel il survient."
"151580","157360"," Et ses complications sont les infections, l'hémoptysie"
"157360","162760"," et l'insuffisance respiratoire chronique, d'où la"
"162760","166160"," nécessité d'une connaissance et une prise en"
"166160","169020"," charge précoce de cette pathologie. "
"172150","176430"," Sur le plan anatomique et anatomopathologique, sur le"
"176430","181090"," plan macroscopique des dilatations, c'est surtout au"
"181090","183190"," niveau du lobe inférieur."
"183790","187210"," Souvent au niveau du lobe inférieur gauche, il"
"187210","189590"," y a atteinte de l'angula associée dans"
"189590","194190"," la moitié des cas et les bilatérales dans"
"194190","195350"," un cas sur trois."
"199140","200920"," Le type est très important. "
"201940","206520"," Il y a des dilatations de branches cylindriques"
"206520","207310"," au fésiforme."
"208270","212150"," Ce sont des dilatations à bord réguliers et"
"212150","214970"," se terminent sur un bouchon muqueux."
"215570","220730"," Et les dilatations variqueuses, les dilatations irrégulières en"
"220730","221310"," chapelet. "
"222090","224610"," Également les dilatations acoustiques."
"225510","228510"," C'est une augmentation progressive du calibre qui"
"228510","232170"," se termine au 9e et 4e génération en"
"232170","232750"," cul-de-sac."
