"start","end","text"
"6730","11950"," Bonjour, nous allons poursuivre aujourd'hui nos cours"
"11950","14950"," sur la pathologie respiratoire et nous allons parler"
"14950","17710"," aujourd'hui d'une pathologie très fréquente et"
"17710","19130"," intéressante qu'est la COVID-19."
"19570","22610"," L'objectif des cours sera comme suit, donc"
"22610","23910"," on va définir la maladie."
"24730","27350"," On parlera des facteurs prédisposants et des facteurs"
"27350","27990"," favorisants. "
"29030","32570"," La symptomatologie clinique, il faut savoir différencier entre"
"32570","33830"," une crise et une maladie de faim."
"35270","37350"," Évaluer les critères de gravité d'une crise"
"37350","41610"," d'asthme, énumérer les complications, discuter des diagnostics"
"41610","45590"," différentiels devant un asthme, poser le diagnostic positif,"
"46310","48590"," connaître la classification de l'asthme selon la"
"48590","52750"," sévérité, les étapes du traitement, évaluer le contrôle"
"52750","54750"," et conduire le traitement d'une crise d "
"54750","54930","'asthme."
"55750","57550"," Nous allons suivre le plan suivant. "
"60540","63060"," Comme définition, l'asthme est une maladie hétérogène,"
"63660","66540"," généralement caractérisée par une inflammation chronique des voies"
"66540","70940"," aériennes, définie par une histoire clinique des symptômes"
"70940","74600"," respiratoires tels que la respiration sifflante, l'essoufflement,"
"75240","77400"," l'oppression thoracique et la toux qui varient"
"77400","80540"," au fil du temps et en intensité et"
"80540","83960"," par la limitation variable du débit d'air"
"83960","85000"," expiratoire."
"87800","90920"," C'est une pathologie qui reste très fréquente,"
"91220","93220"," qui pose un véritable problème de santé publique"
"93220","95120"," de par sa prévalence qui est en nette"
"95120","96740"," augmentation, surtout chez les enfants."
"97840","99780"," C'est aussi une cause majeure d'absentéisme"
"99780","102900"," professionnel et scolaire et aussi d'un retentissement"
"102900","105880"," économique important, ça représente à peu près entre"
"105880","108360"," 1 et 2% des coups de santé. "
"111110","112930"," Alors quelques chiffres, il faut savoir que la"
"112930","114890"," prévalence a doublé au cours des 20 dernières"
"114890","118670"," années, bien évidemment c'est une conséquence d "
"118670","120110","'un certain nombre de facteurs, à la fois"
"120110","123410"," des facteurs environnementaux et une susceptibilité génétique."
"125810","128690"," La mortalité est tout aussi importante, elle reste"
"128690","131390"," inquiétante avec plus de 180 000 décès par"
"131390","132170"," an dans le monde."
"132890","135850"," 35 à 50% des asthmes malheureusement ne"
"135850","139490"," sont pas diagnostiqués et il faut aussi savoir"
"139490","142190"," différencier entre deux aspects de la maladie. "
"142450","143190"," Il y a ce qu'on appelle l "
"143190","145530","'asthme allergénique qui reste le plus fréquent dans"
"145530","147890"," les 50 à 80% des cas et"
"147890","149690"," il y a l'asthme non allergénique."
"150970","154970"," Alors l'atopie est fréquemment présente mais il"
"154970","158250"," faut savoir également qu'il y a aussi"
"158250","160570"," des asthmatiques qui vont développer la maladie sans"
"160570","161910"," forcément qu'il y ait un terrain d "
"161910","162230","'atopie."
"162430","166690"," Donc 70% des asthmatiques sont diagnostiquées alors"
"166690","167530"," qu'il n'y a pas de terrain"
"167530","169250"," atopique préalable. "
"170570","172250"," Alors quand on voit un peu l'évolution,"
"173390","175150"," un peu l'histoire naturelle, donc on est"
"175150","179390"," exposé à sa petite enfance et très souvent"
"179390","182050"," c'est des nourrissons qui peuvent présenter une"
"182050","184410"," dermatite atopique, qui sont sensibilisés."
"185890","189010"," Il y a une prédisposition génétique certes, mais"
"189010","190550"," il y a aussi d'autres cofacteurs qui"
"190550","194650"," vont intervenir, telle que la pollution atmosphérique, telle"
"194650","199650"," que les allergènes, qui eux également vont intervenir"
"199650","202870"," aussi bien en termes de qualité de quantité,"
"203050","205690"," aussi en termes de précocité de répétition d "
"205690","206270","'exposition."
"207250","211350"," Tout ceci va d'une part contribuer à"
"211350","214230"," la sensibilisation et puis après l'apparition de"
"214230","215790"," la maladie, voire même sa sévérité. "
"218290","220470"," En question des facteurs étiologiques, il y a"
"220470","222190"," les facteurs prédisposants, il y a l'hyper"
"222190","225250"," réactivité branchique non spécifique, c'est l'anomalie"
"225250","225770"," de base."
"226390","228590"," Elle est définie comme étant une réponse exagérée"
"228590","231710"," des branches sous forme de bronchoconstrictions à l "
"231710","236870","'élanation d'agents bronchoconstricteurs, comme l'acétylcholine est"
"236870","241190"," dérivée, l'histamine, le froid et l'hémorragie."
"242430","243390"," Qu'est-ce que c'est que l "
"243390","243770","'atopie?"
"243870","245650"," C'est l'attitude à produire une quantité"
"245650","249130"," anormale d'immunoglobuline E en réponse à une"
"249130","250930"," exposition à des allergènes de l'environnement. "
"251810","253270"," L'association, comme je l'ai dit, à"
"253270","255070"," l'asthmatopie n'est pas forcément obligatoire."
"255870","258170"," Il existe des facteurs favorisants qui peuvent être"
"258170","259430"," exogènes ou endogènes."
"259630","261550"," Alors quelques exemples de facteurs exogènes, c'est"
"261550","263990"," essentiellement les allergènes, mais on peut retrouver des"
"263990","266390"," agents infectieux, des polluants ou d'autres irritants. "
"267270","270090"," Les facteurs endogènes, tels que le reflux gastro "
"270090","270690","-osophagien."
"274930","276270"," Donc en fait, ce qu'il faut retenir,"
"276370","277910"," c'est que c'est une maladie multifactorielle."
"278070","280730"," Il y a certes des facteurs génétiques, mais"
"280730","282550"," il y a aussi des facteurs environnementaux. "
"284210","286290"," Le style de vie, est-ce qu'on"
"286290","288870"," vit dans un contexte occidental ou traditionnel?"
"289070","290330"," Le régime alimentaire."
"291350","292530"," Alors l'allaitement maternel."
"292730","293490"," L'exposition. "
"294250","295510"," On parle beaucoup du microbiote."
"295750","296750"," Le rôle des vaccinations."
"297010","298230"," L'usage d'antibiotiques. "
"299430","301790"," L'obésité qui peut définir un phénotype à"
"301790","302050"," part."
"303570","305070"," Et donc on reconnaît que c'est une"
"305070","306330"," maladie multifactorielle."
"306610","308830"," Encore une fois, il y a une exposition"
"308830","315050"," environnementale et il y a aussi une prédisposition"
"315050","318470"," génétique qui contribuerait au développement de cette maladie. "
"319710","321390"," Alors de point de vue physiopathologique, ce qu "
"321390","322930","'il faut retenir, c'est le trépied classique"
"322930","323650"," de cette maladie."
"323890","328010"," Donc il y a l'inflammation, le brancospasme"
"328010","331570"," et l'hyperréactivité branchie qui vont entraîner cette"
"331570","334070"," obstruction branchie qui va être définie sur le"
"334070","337190"," plan des explorations fonctionnelles par un coefficient de"
"337190","339250"," typhno qui est inférieur à 80% de"
"339250","339770"," la théorie."
"339950","342210"," Et c'est une obstruction qui est très"
"342210","343130"," souvent inversible. "
"344470","347090"," Et ceci, l'apparition des symptômes."
"347510","349550"," Alors je rappelle juste la brancomotricité, quoi qu "
"349550","352170","'on en a déjà parlé l'année dernière"
"352170","354510"," en physiologie."
"355110","359310"," Je rappelle que la brancomotricité, elle est régulée"
"359310","360710"," par un système nerveux. "
"361150","363910"," Il y a le système parasympathique qui, de"
"363910","366890"," parcentonus vagal, est brancoconstricteur."
"367370","371710"," Le système sympathique ou adrénergique est plutôt brancodilatateur."
"372910","376110"," Et le système non adrénergique, non cholinergique, on"
"376110","381030"," retrouve des substances qui entraînent une brancoconstriction telle"
"381030","382530"," que la substance P et d'autres qui"
"382530","387870"," entraînent une brancodilatation comme le vasopeptide intestinal peptide. "
"390750","392430"," Et puis il y a la réaction humorale."
"392850","394830"," C'est des médiateurs libérés par les cellules"
"394830","397850"," à l'origine de la réaction d'hyperréactivité"
"397850","398550"," de type 1."
"399770","404030"," Donc sur ce schéma, je rappelle le contrôle"
"404030","408530"," de la brancomotricité, le rôle du système parasympathique,"
"408770","412670"," le rôle du système sympathique, les médiateurs cellulaires"
"412670","416390"," et les différents éléments qui interviennent dans la"
"416390","419990"," régulation du système nerveux non cholinergique et non"
"419990","420530"," adrénergique."
"423670","427350"," Alors comment on va développer effectivement cette allergie?"
"427850","429590"," Donc on est exposé, comme je vous ai"
"429590","431690"," dit, on va plus parler de l'asthme"
"431690","432230"," allergique. "
"434730","437610"," Quand on est exposé, le premier contact avec"
"437610","439250"," l'énergie, ça va être reconnu par les"
"439250","441070"," cellules présentatrices de l'antigène."
"445150","447270"," Et puis ça va entraîner une libération d "
"447270","449030","'un certain nombre d'interleuquines et ça va"
"449030","452010"," se terminer par la fabrication des immunoglobulins qui"
"452010","454970"," vont se fixer à la surface des cellules"
"454970","457630"," cibles, les mastocytes, les éosinophiles."
"458590","461450"," Donc quand on est en contact, et là,"
"462150","464810"," cette phase va se terminer, ça entraîne ce"
"464810","466770"," qu'on appelle la personne va être sensibilisée. "
"467610","469570"," Ce n'est qu'au deuxième contact de"
"469570","472490"," l'organisme avec cette allergène qui va se"
"472490","475890"," fixer sur les deux ligands adjacents des immunoglobulins"
"475890","479370"," E où ça va entraîner une dégranulation des"
"479370","483310"," cellules cibles, les mastocytes, avec libération de plusieurs"
"483310","486950"," médiateurs inflammatoires, l'istamide, les leucotrièdes, les prostaglandines."
"487070","489690"," Et ceci va entraîner l'apparition des symptômes."
"492850","494870"," Donc voilà, encore une fois, vous avez effectivement"
"494870","498990"," l'antigène qui se lie aux deux immunoglobulins"
"498990","499410"," E."
"499710","501670"," On va assister à une entrée du calcium"
"501670","506450"," dans la cellule, dégranulation des mastocytes et puis"
"506450","507930"," l'apparition des symptômes. "
"511270","514470"," Cette activation des mastocytes, ça va entraîner d "
"514470","519429","'une part la libération de médiateurs granulaires préformés"
"519429","520330"," qui existent déjà."
"521309","522470"," Et puis il y aura aussi des médiateurs"
"522470","525850"," membranaires qui sont dits néoformés comme le facteur"
"525850","528570"," activateur des plaquettes, les leucotrièdes, les prostaglandines."
"529390","531130"," Et là, à partir de l'acide arachidonique,"
"531250","532790"," on va distinguer, il y a deux voies"
"532790","534170"," qui vont être impliquées. "
"534330","535210"," Il y a la voie de la lipo "
"535210","537950","-oxygénase qui est entrée à la production de"
"537950","540530"," leucotriènes et la voie de la cyclo-oxygénase"
"540530","542130"," avec la production des prostaglandines."
"544590","547650"," Donc rappelez-vous encore une fois, le trépied"
"547650","550570"," classique dans la physiopathologie de l'asthme, c "
"550570","553970","'est le brancospasme, l'hyperréactivité branchique."
"555330","558070"," Donc à partir de ces éléments physiopathologiques, on"
"558070","561390"," va comprendre la symptomatologie clinique. "
"562270","564070"," Donc en termes d'obstruction, le brancospasme va"
"564070","565090"," être responsable d'une obstruction."
"565330","568210"," Donc on aura des sifflements ou un wheezing"
"568210","570290"," à l'examen clinique, surtout en crise."
"570290","574030"," Et ça va se répercuter sur les explorations"
"574030","576390"," fonctionnelles par un trône ventilatoire obstructif ou une"
"576390","578290"," diminution de débit expiratoire de pointe. "
"579930","583070"," L'hyperréactivité branchique, comme je vous l'ai"
"583070","585810"," dit, c'est une hyperréactivité branchique qui est"
"585810","587410"," présente dans l'asthme et n'est pas"
"587410","588850"," spécifique de l'asthme."
"589610","591770"," Et on peut la mettre en évidence par"
"591770","595870"," l'été de provocation branchique, dite non spécifique"
"595870","597730"," quand on parle de diagnostic positif."
"598130","599010"," Et puis l'inflammation. "
"601650","602970"," Malheureusement, on ne fait pas tout le temps"
"602970","605790"," des explorations des médiateurs inflammatoires."
"606930","609270"," C'est réservé dans des contextes particuliers."
"611540","612440"," Alors, comment est-il clinique?"
"612520","614500"," Nous allons prendre l'exemple d'une crise"
"614500","616180"," d'asthme légère à modérée. "
"617920","619660"," Et parmi les certains temps de survenue, on"
"619660","621740"," peut retrouver des prodras, tels qu'une rhinite"
"621740","622660"," spasmodique."
"623340","626340"," La symptomatologie survient généralement la nuit, parfois le"
"626340","628740"," jour, et on peut retrouver des facteurs déclenchants,"
"629140","631700"," tels que le stress, l'inhalation d'irritants"
"631700","633660"," ou d'exposition allergénique ou à l'effort."
"635880","638580"," Donc, la personne va ressentir une sensation de"
"638580","644380"," gêne respiratoire d'installation brutale, aiguë, avec ces"
"644380","646980"," sensations de soif d'air, une toux sèche,"
"647480","649220"," une dyspnée expiratoire et sifflante. "
"649860","651180"," Et à l'examen, on retrouvera une personne"
"651180","654040"," qui est distendue, avec des sifflements diffus, surtout"
"654040","656880"," en expiratoire, parfois une tachycardie."
"658060","661220"," Pas de cyanose, puisqu'on parle de crise"
"661220","662140"," légère."
"662480","666040"," Un demi-pointe diminué, mais qui reste plus"
"666040","667380"," de 60% d'athéorique. "
"667520","670140"," Et puis, vous voyez, sur le côté droit,"
"670460","674600"," l'imagerie, très souvent, elle représente une distension"
"674600","676900"," thoracique et parfois, elle peut mettre en évidence"
"676900","679120"," la cause de cette crise d'asthme."
"680400","682280"," Alors, l'évolution est très favorable quand on"
"682280","684460"," la jugule par des bronchodilatateurs de courte durée"
"684460","684880"," d'action."
"685780","689220"," Elle peut se prolonger de façon spontanée et"
"691680","692620"," parfois, elle peut s'aggraver. "
"693880","698380"," En période intercritique, eh bien, cette période où"
"698380","702680"," la personne est asymptomatique et la durée, ils"
"702680","704640"," sont importants, dépendra également de la sévérité de"
"704640","705360"," la maladie de faim."
"706200","708580"," Généralement, c'est une période où la personne"
"708580","709700"," est asymptomatique."
"710080","713160"," Parfois, elle peut ressentir une gêne légère, modérée"
"713160","714600"," ou plus importante. "
"714800","715460"," Et comme je vous l'ai dit, c "
"715460","716600","'est en fonction de la sévérité de la"
"716600","717000"," maladie."
"717740","720640"," Et là, les explorations fonctionnelles respiratoires évaluent mieux"
"720640","721140"," cette période."
"723380","724900"," Alors, l'asthme aigu grave, c'est une"
"724900","727260"," crise beaucoup plus sévère qui ne cède pas"
"727260","729000"," à un traitement jusqu'alors actif et qui"
"729000","730420"," met en jeu le pronocype vital. "
"731060","732520"," Et de point de vue gazométrique, quand elle"
"732520","734300"," est réalisée, on va mettre en évidence un"
