"start","end","text"
"650","3090"," Bonjour chers étudiants, le cours d'aujourd'hui"
"3090","6290"," c'est l'insuffisance respiratoire aiguë."
"9670","12670"," Les objectifs pédagogiques du cours, tout d'abord"
"12670","17670"," définir l'insuffisance respiratoire aiguë, décrire les mécanismes"
"17670","22550"," physiopathologiques de l'insuffisance respiratoire aiguë, reconnaître les"
"22550","26450"," signes cliniques de l'insuffisance respiratoire aiguë, préciser"
"26450","30410"," ces signes de gravité, énumérer ses principales éthiologies"
"30410","34430"," et préciser les principes du traitement de l "
"34430","37690","'insuffisance respiratoire aiguë."
"43000","47240"," Le plan du cours comporte une introduction, des"
"47240","52620"," rappels physiopathologiques, diagnostics positifs et de gravité de"
"52620","57220"," l'insuffisance respiratoire aiguë, diagnostics éthiologiques et principales"
"57220","60640"," éthiologies, puis traitement de l'insuffisance respiratoire aiguë"
"60640","62500"," avant de conclure. "
"66450","70790"," L'insuffisance respiratoire aiguë est définie par la"
"70790","75030"," survenue brutale d'une défaillance du système assurant"
"75030","79010"," les échanges gazonormaux et se traduit par une"
"79010","81690"," baisse soudaine du taux d'oxygène de leçon"
"81690","87210"," artérielle, par une pression partielle d'oxygène inférieure"
"87210","90790"," à 60 mmHg, avec ou sans hypercapnée."
"91410","94030"," L'hypercapnée est définie par une presse sodeuse"
"94030","97290"," supérieure à 45 mmHg."
"101320","104680"," L'insuffisance respiratoire aiguë est une situation fréquente,"
"106860","110720"," fait partie des urgences vitales, le retraitement sur"
"110720","113140"," les organes nobles, le cerveau, l'urein et"
"113140","113720"," le myocarde. "
"113720","117040"," Son diagnostic est essentiellement clinique."
"118240","121920"," Il pose un problème de diagnostic éthiologique, dont"
"121920","124540"," la nécessité de faire une démarche de diagnostic"
"124540","128960"," éthiologique, également un problème de prise en charge"
"128960","130280"," thérapeutique."
"133880","136460"," Sur le plan physiopathologique, il va rappeler l "
"136460","137600","'étape de la respiration. "
"137800","139900"," L'étape de la respiration comporte la ventilation,"
"140440","143180"," la diffusion, le transport du sang et les"
"143180","147260"," besoins sont adaptés en fonction de la commande"
"147260","149160"," ventilatoire."
"149660","153420"," Donc l'étape de la respiration, nous avons"
"153420","154520"," la ventilation."
"154880","157180"," C'est l'ensemble des phénomènes qui aboutissent"
"157180","159960"," au renouvellement de l'air alvéolaire par mobilisation"
"159960","161160"," de gaz respiratoire. "
"161300","163860"," Donc la ventilation, besoin d'une commande centrale"
"163860","167280"," qui va adapter en fonction des besoins."
"168240","173680"," Une afférence nerveuse, un soufflet musculoskeletal et des"
"173680","177000"," voies aériennes supérieures et inférieures intègres."
"177920","180360"," Donc si on aura des anomalies de ventilation,"
"180740","182900"," si on aura une anomalie de la commande"
"182900","187780"," centrale, une anomalie des afférences nerveuses, une atteinte"
"187780","191780"," du soufflet musculoskeletal ou une atteinte des voies"
"191780","194360"," aériennes supérieures ou inférieures. "
"196630","199650"," La deuxième étape, c'est la diffusion, c "
"199650","201510","'est le transport du gaz au niveau des"
"201510","204370"," espaces alvéolaires, la diffusion entre les alvéoles et"
"204370","205070"," les capillaires."
"205550","210210"," Il requiert une membrane alvéolocapillaire, une perfusion adaptée"
"210210","213310"," dans le territoire ventilé, également un dibi cardiaque."
"214390","216150"," Puis on aura le transport du gaz du"
"216150","216410"," sang. "
"216770","218490"," Dans le cours de physiopathologie, vous avez le"
"218490","222090"," principal transporteur des gaz du sang, c'est"
"222090","222850"," l'hémoglobine."
"222850","226050"," Donc le gaz, l'oxygène CO2 va être"
"226050","227330"," transporté par l'hémoglobine."
"227710","230090"," On aura une extraction périphérique de l'oxygène"
"230090","231950"," par l'essuie-d'eau, puis on a"
"231950","234470"," l'élimination de CO2. "
"237480","241800"," Puis les mécanismes de l'insuffisance respiratoire."
"242820","246260"," On a pratiquement quatre mécanismes qui peuvent expliquer"
"246260","247960"," l'insuffisance respiratoire."
"248360","253120"," On aura l'hypoventilation alvéolaire, l'anomalie du"
"253120","259740"," rapport ventilation-perfusion, chaînes sanguines droite à gauche,"
"260640","263120"," une perturbation de la diffusion des gaz. "
"263320","265560"," Il faut rappeler que ces mécanismes peuvent être"
"265560","268140"," intriqués chez les mêmes sujets."
"271700","274640"," Tout d'abord, l'hypoventilation alvéolaire."
"276280","278600"," L'hypoventilation, c'est une définition, c'est"
"278600","280880"," le défaut de renouvellement du gaz alvéolaire. "
"281640","284440"," Il est causé soit par une diminution de"
"284440","287220"," la volatilisation totale, par une diminution du volume"
"287220","290040"," courant, soit par une augmentation de la ventilation"
"290040","291240"," de l'espace mort."
"292820","296960"," Cette hypoventilation alvéolaire, elle est rarement observée de"
"296960","299400"," façon isolée, sauf en cas de dépression des"
"299400","301600"," respirateurs d'origine centrale."
"302300","306420"," Les idéologies de l'hypoventilation alvéolaire, sur un"
"306420","310240"," poumon normal, cette hypoventilation peut être centrale, pour"
"310240","315040"," l'affection neuromusculaire ou l'affection paritale, ou"
"315040","319520"," survenue sur atteinte du poumon pathologique, sur atteinte"
"319520","321060"," du poumon ou les voies aériennes. "
"324850","329110"," Le deuxième mécanisme de l'insuffisance respiratoire aiguë,"
"329230","331890"," c'est l'anomalie du rapport ventilation-perfusion."
"332090","334550"," Il faut rappeler qu'un sujet sain, il"
"334550","337470"," a pratiquement une adéquation locale de la perfusion"
"337470","338510"," à la ventilation."
"339050","340430"," Et qu'il y a ce rapport de"
"340430","344770"," ventilation-perfusion, il augmente de la base vers"
"344770","346550"," le sommet. "
"347690","350710"," L'insuffisance respiratoire aiguë est due à une"
"350710","353990"," mauvaise harmonisation de la ventilation au début sanguin"
"353990","354910"," puis monaire."
"355730","358450"," Plusieurs mécanismes, dont les anomalies du rapport ventilation,"
"358650","361430"," vont décrire ce qu'est l'effet Schentz"
"361430","363130"," et l'effet espace mort."
"363590","366330"," L'effet Schentz, vous avez une perfusion qui"
"366330","369390"," est normale, mais la ventilation est faible ou"
"369390","369870"," absente. "
"369870","374210"," L'effet espace mort, vous avez la ventilation"
"374210","377770"," alvéole qui est présente, mais la perfusion pulmonaire"
"377770","378990"," est absente."
"382640","384060"," Pour qu'il y ait de la Schentz"
"384060","386560"," droite à gauche, c'est le passage du"
"386560","389860"," sang veineux dans le système artériel, sans avoir"
"389860","391960"," traversé les ondes ventilées du poumon."
"393340","396120"," Il faut rappeler pour différencier entre Schentz vrai"
"396120","399240"," et Schentz négatif, que dans le Schentz, l "
"399240","402020","'hypoxémie n'est pas améliorée par l'inhalation"
"402020","405240"," d'oxygène pur, contrairement à l'effet Schentz. "
"405360","407300"," Et l'éthiologie de la Schentz droite à"
"407300","410780"," gauche, c'est la communication entre le corps"
"410780","414000"," droit et le corps gauche, les conditions interventiculaires"
"414000","418060"," et interoculaires, également les fustiles artériovineuses pulmonaires."
"423390","428990"," Également, parmi les mécanismes physiopathologiques de l'insuffisance"
"428990","432270"," respiratoire aiguë, il faut citer les troubles de"
"432270","435330"," la diffusion des gaz par atteinte de la"
"435330","438750"," membrane alvéolocale épipéliaire, qui se traduit dans le"
"438750","441990"," cas d'inhalation de gaz toxique, intoxication viscérale,"
"442290","444050"," ou au cas d'infection également par des"
"444050","444430"," virus."
