"start","end","text"
"330","4150"," Bonjour tout le monde, donc nous continuons notre"
"4150","7550"," enseignement du module neurologie, neurochirurgie, la pathologie du"
"7550","11390"," système nerveux et nous allons consacrer cette séance"
"11390","13550"," à l'étude des traumatismes du racisme cervical."
"15190","16610"," Il y a un certain nombre de concepts"
"16610","19610"," qui vont se répéter par analogie au traumatisme"
"19610","21950"," crânien puisqu'il s'agit de lésions post "
"21950","22370","-traumatiques."
"26910","30710"," Un certain nombre de principes vont se répéter"
"30710","32750"," tout au long de ce chapitre, de cette"
"32750","33090"," question. "
"33430","36850"," Alors, le traumatisme du racisme cervical représente une"
"36850","39790"," pathologie fréquente, à l'instar aussi des traumatismes"
"39790","41050"," crâniens, comme on l'avait dit la dernière"
"41050","43010"," fois, parce que malheureusement, il y a beaucoup"
"43010","44630"," d'accidents de la circulation dans notre pays"
"44630","46770"," et que malgré les efforts faits, il y"
"46770","48070"," a encore beaucoup d'efforts à faire en"
"48070","50990"," matière de prévention des accidents routiers, routiers et"
"50990","52930"," des lésions du système nerveux."
"53590","56430"," Alors, les traumatismes du racisme cervical doivent être"
"56430","58970"," considérés comme étant des traumatismes vertébraux, médulaires."
"59730","62270"," C'est des lésions vertébrales et le risque"
"62270","63950"," étant d'entraîner des lésions médulaires. "
"64570","67170"," C'est le traumatisme souvent grave du fait,"
"67730","70610"," malheureusement, parfois de complications neurologiques qui peuvent être"
"70610","71710"," immédiates ou secondaires."
"71830","75290"," Et nous verrons tout ceci en détail lors"
"75290","77510"," des prochaines diapositives."
"78510","80470"," Ces lésions ne peuvent s'offrir d'aucun"
"80470","83410"," retard diagnostique et par conséquent thérapeutique. "
"83690","87090"," Mais malgré les efforts faits, on insiste parfois,"
"87210","89090"," malheureusement, à des patients qui présentent des séquelles"
"89090","91530"," neurologiques qui, des fois, peuvent être définitives."
"92130","95350"," Ce qui constitue donc, ce qui fait que"
"95350","99270"," ces lésions représentent une urgence diagnostique et thérapeutique."
"105550","108650"," Alors, pour une meilleure compréhension de ces lésions"
"108650","112290"," vertébraux, médulaires, traumatiques, cervicales, il est important de"
"112290","115130"," revoir un certain nombre de prérequis d'anatomie. "
"115230","117270"," Comme vous voyez sur cette plaque là, vous"
"117270","119850"," avez ici le racisme cervical en rouge, le"
"119850","121730"," racisme thoracique qu'on verra la prochaine fois,"
"121850","123990"," le racisme lombaire, puis le sacrum incorporé au"
"123990","124290"," bassin."
"124890","127150"," Alors, pour le racisme cervical, vous savez que"
"127150","130490"," le racisme cervical compte 7 vertèbres, 7 vertèbres"
"130490","132790"," de C1 à C7."
"133170","135750"," Mais il y a 8 paires de nerfs"
"135750","138170"," rachidiennes de C1 jusqu'à C8. "
"138950","143750"," Alors, la première vertèbre cervicale C1 ou Atlas"
"143750","147350"," et la deuxième vertèbre cervicale C2 ou Axis"
"147350","151410"," constitue le racisme cervical supérieur avec l'articulation,"
"151470","153370"," bien sûr, occipitocervical."
"154290","157490"," Les vertèbres de C3 à C7 constituent le"
"157490","159450"," racisme cervical inférieur."
"160770","164390"," Alors, par rapport à la correspondance racine vertèbre,"
"164630","167010"," il faut noter que la première racine cervicale"
"167010","170230"," quitte le racisme au-dessus de C1, donc"
"170230","173130"," la racine C1 quitte le racisme au-dessus"
"173130","177390"," de la vertèbre C1 et donc la racine"
"177390","180790"," C7 quitte le racisme au-dessus de la"
"180790","186130"," vertèbre C7 et donc la racine C8 sort"
"186130","190370"," en dessous de C7 et la première racine"
"190370","195090"," thoracique sort en dessous de T1 et pareil"
"195090","196390"," en dorsal jusqu'en lombaire. "
"196510","198990"," En lombaire, par exemple, la racine L5 va"
"198990","201930"," sortir du racisme par le trot de conjugaison"
"201930","204990"," en dessous du pédicule de la vertèbre L5."
"206390","208250"," Vous voyez ici un certain nombre de muscles"
"208250","212490"," énervés par les racines cervicales, les muscles de"
"212490","214830"," la nuque, le diaphragme par C4, par exemple,"
"215330","218590"," le deltoïde, le biceps, les extenseurs, le triceps"
"218590","220750"," et puis les muscles de la main."
"222290","223630"," Ça, c'est une coupe, une vue un"
"223630","230110"," peu verticofrontale postérieure qui montre au centre la"
"230110","232110"," moelle épinière en jaune puis l'émergence des"
"232110","233170"," racines que vous voyez ici. "
"234590","236490"," D'accord, ça, c'est des prérequis que"
"236490","238670"," vous connaissez déjà en première et deuxième année."
"239310","240850"," Ça, c'est la transition entre le crâne"
"240850","243250"," et l'orachis ou la région du troux"
"243250","245050"," occipital ou du foramen magnum."
"245770","247510"," Alors, sur cette vue là, vous avez ici"
"247510","249790"," l'orachis cervical, vous avez ici l'arc"
"249790","252330"," antérieur de C1, vous avez la vertèbre C2,"
"252910","254890"," vous avez les pédicules de C2, qui est"
"254890","257190"," une portion solide de la vertèbre C2 de"
"257190","257490"," l'axis. "
"258269","260670"," Vous voyez ici une solution de continuité due"
"260670","262450"," à une fracture du pédicule de C2."
"263730","265850"," Vous remarquez aussi que l'aprophyse épineuse de"
"265850","268470"," C2 est une aprophyse très saillante, d'accord,"
"268690","270630"," très saillante et sur laquelle s'insère un"
"270630","272110"," grand nombre du muscle de la nuque."
"272110","274990"," Il est important pour la stabilité, ces muscles"
"274990","276750"," sont importants pour la stabilité de la nuque. "
"277230","278850"," Voulez-vous dire orachis cervical, ça aussi, je"
"278850","281450"," pense que vous le connaissez, on vous l "
"281450","282570","'a dit en radiologie, on en a tenu"
