"start","end","text"
"1420","7660"," Bonjour, nous allons continuer notre programme de pathologie"
"7660","11400"," neurochirurgicale et on va parler aujourd'hui des"
"11400","13860"," hématomes intracérébraux spontanés."
"18510","22690"," L'hématome intracérébral spontané, il se définit comme"
"22690","24910"," une éruption du sang à l'intérieur du"
"24910","26770"," parenchyme cérébral, c'est-à-dire c'est"
"26770","29950"," un caillot de sang qui se constitue à"
"29950","32270"," l'intérieur du parenchyme cérébral."
"32270","36150"," Cet hématome ou ce saignement, cette éruption du"
"36150","38490"," sang, il est dû à la rupture d "
"38490","42570","'un vaisseau sanguin intracrânien, donc ça survient suite"
"42570","46470"," à la rupture d'un vaisseau sanguin intracrânien. "
"46470","50870"," C'est une affection fréquemment rencontrée dans le"
"50870","53210"," cadre des urgences neurologiques."
"53910","56850"," Cette affection, il relève, il peut survenir suite"
"56850","60350"," à de nombreuses éthiologies et ces éthiologies sont"
"60350","66970"," dominées par une hypertension artérielle non traitée ou"
"66970","69450"," mal traitée et mal équilibrée."
"69450","73530"," Cette affection qui est l'hématome intracérébral spontané,"
"74110","76470"," il a bénéficié du développement des techniques de"
"76470","79910"," l'imagerie médicale, notamment avec l'avènement du"
"79910","82030"," scanner et de l'IRM qui a rendu"
"82030","83460"," le diagnostic facile. "
"83460","88000"," Donc l'avènement de ces deux moyens d "
"88000","90520","'imagerie médicale que sont le scanner ou l "
"90520","93340","'IRM, il a facilité le diagnostic."
"93700","97240"," C'est une technique aussi qui a bénéficié"
"97240","100640"," du développement des moyens de la réanimation et"
"100640","102880"," donc suite au développement de ces techniques de"
"102880","107460"," réanimation, on arrive à sauver et à récupérer"
"107460","113840"," beaucoup de malades victimes de ces hématomes intracérébraux."
"114060","117960"," La prise en charge de cette affection, il"
"117960","122960"," passe par une multidisciplinarité, c'est à dire"
"122960","127419"," la gestion de cette affection. "
"127419","131320"," Il fait intervenir beaucoup de spécialités, notamment le"
"131320","136820"," neurochirurgien, le neurologue, le réanimateur et le radiologue."
"136820","148190"," L'hématome intracérébral spontané, c "
"148190","150150","'est quoi un hématome intracérébral?"
"150370","155070"," L'hématome intracérébral spontané, il se définit comme"
"155070","157630"," une éruption du sang dans le parenchyme cérébral,"
"157790","158670"," c'est à dire que c'est un"
"158670","161870"," caillot de sang qui vient se constituer et"
"161870","165510"," se former à l'intérieur du parenchyme cérébral."
"167950","170470"," Cette éruption du sang est due à la"
"170470","173350"," rupture d'un vaisseau sanguin intracrânien, donc c "
"173350","175570","'est suite à la rupture d'un vaisseau"
"175570","181090"," cérébral intracrânien à l'intérieur du parenchyme cérébral. "
"181090","185010"," Et l'hématome intracérébral spontané, il doit être"
"185010","189330"," différencié de l'hématome intracérébral post-traumatique, donc"
"189330","192050"," c'est une éruption spontanée en dehors de"
"192050","194030"," tout contexte traumatique."
"194030","197110"," C'est une affection qui est fréquemment rencontrée"
"197110","201690"," en pratique neurochirurgicale et neurologique urgente."
"202490","204510"," C'est une affection qui relève de multiples"
"204510","207010"," idéologies, c'est à dire plusieurs causes peuvent"
"207010","209630"," être responsables de la formation d'un hématome"
"209630","211030"," intracérébral spontané. "
"212210","216450"," Mais ces idéologies sont dominées par l'hypertension"
"216450","220910"," artérielle mal équilibrée et mal traitée."
"222090","225530"," Cette affection qui est l'hématome intracérébral spontané,"
"225650","228130"," il a bénéficié du développement des techniques de"
"228130","231570"," l'imagerie, notamment l'avènement du scanner et"
"231570","234910"," de l'IRM cérébral qui a facilité et"
"234910","238230"," qui a rendu facile le diagnostic de cette"
"238230","238730"," affection."
"239570","243590"," Aussi, le développement des techniques de réanimation, il"
"243590","246330"," a amélioré en quelque sorte le pronostic de"
"246330","246990"," prise en charge. "
"246990","250050"," Grâce au développement des techniques de la réanimation"
"250050","254410"," et au développement de l'imagerie, on pose"
"254410","257750"," de plus en plus précocement le diagnostic et"
"257750","262590"," on traite de plus en plus précocement et"
"262590","266930"," de façon adaptée ces hématomes intracérébraux."
"266930","268990"," Et de là, on arrive à sauver beaucoup"
"268990","269530"," de malades."
"270170","274330"," La prise en charge de cette affection, il"
"274330","277750"," passe par une métier disciplinaire, une disciplinarité, c "
"277750","279770","'est à dire la prise en charge et"
"279770","282110"," la gestion de l'hématome intracérébral spontané. "
"283090","287650"," Il fait intervenir plusieurs spécialités, notamment le neurochirurgien,"
"287850","291210"," les neurologues, les réanimateurs et les radiologues."
"291210","294150"," C'est une affection qui pose surtout un"
"294150","296670"," problème thérapeutique et pas diagnostique."
"296730","298850"," Le diagnostic, il est facile, on va le"
"298850","301450"," voir, mais c'est surtout la prise en"
"301450","305210"," charge thérapeutique qui pose le problème de ce"
"305210","306450"," genre de pathologie. "
"306450","308970"," C'est une affection grave parce qu'il"
"308970","314090"," expose potentiellement un risque de mortalité et si"
"314090","316010"," le malade s'en sort, il court un"
"316010","320590"," risque de morbidité lourde avec un handicap fonctionnel,"
"321090","325790"," moteur, sensitif, végétatif qui peut être irréversible."
"325790","328830"," Et de là, du fait de cette gravité,"
"329410","332110"," de ce problème de prise en charge thérapeutique,"
"332910","337010"," tout hématome intracérébral spontané, il constitue une urgence"
"337010","340090"," diagnostique et thérapeutique."
"406370","413590"," Un petit rappel anatomique concernant la vascularisation artérielle"
"413590","416850"," du cerveau, vous savez que la vascularisation artérielle"
"416850","419110"," du cerveau, il est assuré par deux systèmes,"
"419250","423550"," un système vertébro basilaire et un système carotidien. "
"423550","426610"," Le système vertébro basilaire est formé par les"
"426610","429290"," deux artères vertébrales droite et gauche qui se"
"429290","434510"," réunissent pour former le tronc artériel basilaire et"
"434510","437790"," qui assure la vascularisation des éléments nerveux de"
"437790","439350"," la fosse cérébrale postérieure."
"439350","441750"," Et puis, il y a le système carotidien,"
"441930","444510"," le système carotidien qui est formé par l "
"444510","447230","'artère carotide interne qui rentre par la base"
"447230","449470"," du crâne et qui se divise pour former"
"449470","452770"," des branches terminales que sont l'artère carotide"
"452770","456530"," interne, l'artère cérébrale moyenne, dite aussi artère"
"456530","460870"," sylvienne, les artères coroïdiennes et l'artère communicante"
"460870","461670"," postérieure."
"461670","464670"," Et le système vertébro basilaire et le système"
"464670","467370"," carotidien, ils sont réunis entre eux au niveau"
"467370","469310"," de la base du crâne pour former le"
"469310","471680"," polygone artériel de Willis. "
"475840","480440"," Alors, sur le plan anatomopathologique, on a l "
"480440","484520","'hématome intracérébral spontané et on a des lésions"
"484520","487870"," cérébrales qui entourent l'hématome intracérébral spontané."
"489370","492970"," Alors, concernant l'hématome intracérébral spontané, son siège,"
"493030","496810"," il peut être superficiel, il peut être profond,"
"497450","500670"," il peut être sus ou sous-tentoriel, de"
"500670","503530"," même que sa taille, il est variable et"
"503530","504870"," son volume, il est variable."
"505050","506990"," Des fois, on a des petits hématomes, des"
"506990","509830"," fois, on a de gros hématomes. "
"509830","514710"," Alors, les lésions cérébrales qui accompagnent cet hématome"
"514710","520669"," intracérébral, ils sont à type d'inondation ventriculaire,"
"520750","521630"," c'est-à-dire que c'est un"
"521630","526090"," hématome intracérébral qui se rompt et qui inonde,"
"526210","528970"," qui remplit les cavités ventriculaires."
"529850","533550"," Et puis, on a des lésions paranchimateuses cérébrales"
"533550","537350"," tout autour et puis, à côté de ces"
"537350","541190"," lésions paranchimateuses, on a de l'œdème qui"
"541190","544830"," entoure l'hématome, de l'œdème cérébral qui"
"544830","546790"," entoure l'hématome."
"549700","555540"," Alors, les éthiologies de ces hématomes intracérébraux spontanés,"
"555560","558100"," elles sont nombreuses. "
"558620","560360"," Alors, l'éthiologie la plus fréquente, c'est"
"560360","565200"," l'hypertension artérielle mal équilibrée, mal traitée, mal"
"565200","566020"," prise en charge."
