"start","end","text"
"2040","5040"," Bonjour tout le monde, chers étudiants."
"5240","7720"," Donc, nous continuons notre enseignement de la pathologie"
"7720","10500"," du système nerveux et en particulier les corps"
"10500","13800"," relatifs à la neurochirurgie et nous traiter ensemble"
"13800","17300"," aujourd'hui la question des traumatismes crânio-encéphaliques."
"19540","23960"," Alors, les traumatismes crânio-encéphaliques constituent un ensemble"
"23960","26500"," de lésions dû à un impact traumatique crânien. "
"27500","29280"," C'est une cause, malheureusement, c'est une"
"29280","31600"," cause fréquente de mortalité dans des cas physiques"
"31600","32540"," ou cognitifs."
"33040","36300"," C'est des lésions très fréquentes en raison"
"36300","37580"," de la fréquence des accidents de la voie"
"37580","42420"," publique dans notre contexte, des accidents de domestique,"
"42600","45100"," de chute, accidents de travail, etc."
"45820","48380"," Malheureusement, c'est une pathologie qui intéresse le"
"48380","51000"," sujet jeune actif en pleine activité professionnelle d "
"51000","53460","'où l'impact social, familial de cette pathologie"
"54160","56540"," puisqu'il affecte essentiellement le sujet jeune en"
"56540","58740"," période d'activité professionnelle. "
"58740","62400"," Ces lésions constituent des urgences diagnostiques et thérapeutiques"
"62400","64400"," et ils ne doivent souffrir d'aucun retard"
"64400","66340"," diagnostique ni thérapeutique."
"67480","69860"," Alors, en réalité, pour parler d'un traumatisme"
"69860","71880"," crânien, il faudrait qu'il y ait un"
"71880","74200"," impact important avec des lésions."
"74580","75320"," Il faut qu'il y ait des lésions"
"75320","76140"," en atome pathologique. "
"76620","77620"," Quelqu'un qui a horté la tête, par"
"77620","80120"," exemple, contre une fenêtre avec un léger impact"
"80120","81960"," n'est pas forcément un trauma crânien."
"82120","83420"," Donc, il faudrait qu'il y ait des"
"83420","85860"," lésions d'une des composantes de la boîte"
"85860","87420"," crânienne pour parler d'un traumatisme crânien."
"88700","93500"," Alors, cette pathologie a bénéficié d'importants progrès"
"93500","96100"," de prise en charge ces dernières années ou"
"96100","98820"," même ces dernières décennies, notamment en ce qui"
"98820","101660"," concerne la prise en charge préhospitalière, l'acheminement"
"101660","104540"," des blessés vers les structures de soins, publics"
"104540","106100"," ou privés, à partir du lieu de l "
"106100","106400","'accident. "
"106980","109640"," Des progrès aussi en imagerie puisque, par exemple,"
"109720","110880"," avant les années 70, il n'y avait"
"110880","111340"," pas le scanner."
"111480","113480"," Le scanner a été inventé en 1975."
"114520","115480"," Avant, il n'y avait pas l'IREM. "
"115480","117060"," Donc, il y a des progrès en imagerie"
"117060","118920"," qui ont permis de mieux comprendre ces lésions"
"119480","121260"," pour leur proposer un traitement adéquat."
"121520","124540"," Aussi, des progrès en réanimation, la ventilation, l "
"124540","127080","'acidation, la neuroprotection, etc."
"127699","130840"," Des progrès dans les techniques neurochirurgicales, les techniques"
"130840","133980"," de micro-neurochirurgie avec des gestes moins invasifs"
"133980","136740"," qui permettent de réparer ces lésions et d "
"136740","140020","'éviter des lésions iatrogènes induites par l'acte"
"140020","140440"," chirurgical. "
"141900","145460"," Également, des progrès en rééducation, en réadaptation fonctionnelle,"
"145860","148400"," notamment pour les patients qui ont des déficits"
"148400","154220"," neurologiques, des troubles du langage, des problèmes neurosensoriels,"
"154300","154500"," etc."
"154700","159380"," Donc, cette spécialité, la réhabilitation, la rééducation, profite"
"159380","161080"," aussi à ce genre de blessés qui ont"
"161080","163760"," parfois, malheureusement, des lésions neurologiques graves."
"165020","168620"," Et ces traitements, plutôt ces lésions, ces traumatismes"
"168620","172620"," crânioencephaliques peuvent, malheureusement, être parfois à l'origine"
"172620","176880"," de séquelles neurosensorielles avec un important retentissement"
"177880","179800"," socioprofessionnel, une incapacité au travail, etc. "
"180420","183580"," D'où l'importance de cette prise en"
"183580","183860"," charge."
"184420","186480"," Ces lésions fréquentes dans notre contexte, vous le"
"186480","188740"," savez tous, en raison de la fréquence des"
"188740","191880"," accidents de la circulation, donc, beaucoup de progrès"
"191880","193820"," restent encore à faire dans notre contexte, dans"
"193820","196520"," notre pays, par rapport à la prévention des"
"196520","198460"," lésions traumatiques et des accidents de la circulation."
"200000","204080"," Alors, pour mieux comprendre ces lésions traumatiques intracrâniennes,"
"204320","205320"," c'est toujours utile, et c'est très"
"205320","207780"," important, d'avoir un peu des notions d "
"207780","209820","'anatomie, de revoir un peu votre anatomie. "
