"start","end","text"
"6300","8900"," Nous entamons l'étude des tumeurs de la"
"8900","10160"," force cérébrale postérieure."
"13320","16520"," Les tumeurs de la force cérébrale postérieure constituent"
"16520","18760"," environ un tiers de l'ensemble des tumeurs"
"18760","19280"," cérébrales."
"19820","22140"," Elles intéressent tous les âges, mais prédominent chez"
"22140","22580"," l'enfant. "
"25280","26920"," Au niveau de ce groupe de tumeurs, il"
"26920","28620"," y a plusieurs variétés histologiques que nous allons"
"28620","30380"," étudier en détail."
"30880","33020"," Le pronostic, bien évidemment, dépend de la nature"
"33020","33540"," tumorale."
"35430","42290"," Cette plaque résume pratiquement tous les types de"
"42290","44090"," tumeurs de la force cérébrale postérieure. "
"44770","46710"," Il suffit de vous référer à l'anatomie"
"46710","51850"," pour essayer de reconnaître toutes ces variétés de"
"51850","52230"," tumeurs."
"52690","54350"," Vous avez des tumeurs qui se développent dans"
"54350","55870"," l'angle pantocérébelleux."
"56330","58010"," Vous avez des tumeurs du cervelet. "
"58490","60510"," Vous avez des tumeurs du quatrième ventricule."
"60990","62110"," Et puis vous avez des tumeurs du tronc"
"62110","62570"," cérébral."
"64570","68050"," Pour les tumeurs de l'angle pantocérébelleux, retenez"
"68050","68970"," ces trois types de tumeurs. "
"69090","70030"," Il y a ce qu'on appelle le"
"70030","71130"," méranome de l'acoustique."
"71950","74390"," On l'appelle surtout le chevalin vestibulaire."
"74950","79410"," En réalité, le nom le plus approprié étant"
"79410","82290"," un chevalin vestibulaire, puisque ces tumeurs se développent"
"82290","84650"," au dépend de la gaine de cheval, du"
"84650","87630"," contingent vestibulaire et du mercoclonio vestibulaire. "
"88090","89850"," Vous savez que dans le mercoclonio vestibulaire, vous"
"89850","91230"," avez une partie de l'édition qui est"
"91230","92050"," le mercocloniaire."
"92050","94610"," Il y a une partie en contingent vestibulaire"
"94610","95250"," pour l'équilibre."
"95830","97570"," Ces tumeurs se développent au dépend de la"
"97570","100310"," gaine de cheval de la partie vestibulaire. "
"100390","101530"," C'est une tumeur bénigne."
"101830","102970"," Ce qu'on appelle le méranome de l "
"102970","105290","'acoustique ou bien le chevalin vestibulaire qui se"
"105290","108590"," manifeste par des acouphènes, une baisse de l "
"108590","113030","'audition, des troubles de l'équilibre avec un"
"113030","113970"," syndrome vestibulaire."
"115230","117190"," A côté de ces tumeurs, il y a"
"117190","118390"," ce qu'on appelle le ménage jaune de"
"118390","119630"," la face postérieure du rocher. "
"119630","121590"," La face postérieure du rocher est couverte de"
"121590","121950"," ménage."
"122230","123930"," On peut avoir un ménage jaune, comme on"
"123930","125170"," l'a dit tout à l'heure, quand"
"125170","126290"," on a parlé du ménage jaune."
"127030","128270"," Là aussi, c'est un tumeur bénigne. "
"129310","130610"," Puis il y a une autre variété de"
"130610","131570"," tumeurs, ce qu'on appelle le caisse d "
"131570","133090","'épidermie ou bien le cholestéatome."
"133930","136470"," Le caisse d'épidermie, c'est un amas"
"136470","140610"," de ronds d'écart de tissu épidermique en"
"140610","142230"," intracrânien dans l'ongue potentielle et veloce."
"142330","142990"," C'est ce qu'on appelle le caisse"
"142990","144610"," d'épidermie qui est aussi un tumeur bénigne. "
"144770","146210"," C'est le principal tumeur de l'ongue"
"146210","147730"," potentielle et veloce."
"147730","151370"," Maintenant, pour ce qui est du cervelé, il"
"151370","153510"," y a le médule blastome, qui est un"
"153510","156790"," tumeur maligné de l'enfant, qui se développe"
"156790","159410"," au niveau du vermis cérébenne, qui dépend du"
"159410","161030"," vermis au niveau du cervelé chez l'enfant."
"161850","164290"," Vous avez l'astrocytome de l'hémisphère cérébenne. "
"164370","166110"," L'astrocytome, là aussi, c'est surtout un"
"166110","166810"," tumeur de l'enfant."
"167010","167730"," C'est un tumeur bénign."
"168510","170170"," Rappelez-vous, quand on a étudié les glions,"
"170370","171590"," nous avions dit que très souvent, c'est"
"171590","177210"," du tumeur qui peut être maligné ou de"
"177210","180790"," bas grade, mais la particularité de l'astrocytome"
"180790","185030"," cérébelleux de l'enfant étant un tumeur de"
"185030","187310"," bas grade, de bénign, de bon pronostic. "
"188510","190730"," Et puis, il y a la métastase au"
"190730","192210"," niveau du cervelé chez l'adulte."
"192970","196090"," Retenez que la tumeur du cervelé la plus"
"196090","197990"," fréquente chez l'adulte, c'est la métastase."
"199630","201110"," Le milieu de l'astrocytome est un tumeur"
"201110","201590"," de l'enfant. "
"201670","204130"," L'astrocytome, ce qu'on appelle l'astrocytome"
"204130","206110"," de bas grade, ou bien l'astrocytome pélocytique,"
"206250","208390"," survient au niveau de l'hémisphère cérébelleux, surtout"
"208390","208850"," chez l'enfant."
"208990","209730"," C'est un tumeur bénign."
"210670","213530"," Pour le quatrième ventricule, vous avez essentiellement l "
"213530","215130","'épendymone du quatrième ventricule. "
"215270","216690"," C'est un tumeur qui se développe au"
"216690","218370"," niveau de l'épendyme du ventricule, du quatrième"
"218370","218890"," ventricule."
"220530","222070"," Et puis, vous avez du tumeur du tronc"
"222070","222530"," cérébral."
"223990","225990"," Quand on a parlé des glions hémisphériques, c "
"225990","228170","'est les glions du tronc cérébral, qui sont"
"228170","230070"," des tumeurs très souvent bénignes. "
"233000","234820"," Cliniquement, vous avez plusieurs types de symptômes."
"235120","236820"," Vous avez le tableau des perturbations intracrâniennes."
"237200","237560"," Pourquoi ?"
"237560","240260"," Parce que ces perturbations intracrâniennes s'expliquent d "
"240260","242180","'une part par le volume tumoral, d'autre"
"242180","246160"," part, l'hydrocéphalie par constructive, parce qu'il"
"246160","247620"," va y avoir une gêne à la circulation"
"247620","250760"," du liquide cérébrospinal dans la filière ventriculaire. "
"251040","252800"," Et un blocage de la circulation du LCR,"
"252960","255300"," vous aurez donc une hydrocéphalie en plus du"
"255300","257079"," volume tumoral, ce qui explique un tableau des"
"257079","258700"," perturbations intracrâniennes."
"259000","260380"," On peut avoir un syndrome cérébreux."
"260540","261560"," Ça, c'est quéo-cynétique. "
"261900","263760"," Ça, vous l'avez étudié en cellulologie, parce"
"263760","265540"," qu'il y a une pathologie du cerveau"
"265540","265660"," laid."
"266260","267620"," On peut avoir un syndrome de l'ongle"
"267620","268560"," ponto-cérébreux."
"269260","271220"," Alors, le syndrome de l'ongle ponto-cérébreux"
"271220","273460"," peut comporter plusieurs variétés de symptômes. "
"273960","276160"," Vous avez ce qu'on appelle les scénicocléias"
"276160","278780"," vestibulaires en rapport avec la souffrance du nerf"
"278780","280820"," cocléia vestibulaire, la huitième percrânienne."
"281260","282440"," On peut avoir une épaule cousue."
"283100","285600"," On peut avoir des acrophèmes, des bourdonnements d "
"285600","288820","'oreilles, un vertige ou un nystagmus. "
"289200","290400"," Le vertige, c'est ce que ressent le"
"290400","290640"," patient."
"290880","291680"," C'est un signe fonctionnel."
"292180","294040"," Le nystagmus, c'est un signe objectif que"
"294040","295860"," l'on retrouve quand on examine le patient. "
"296120","297920"," C'est un signe d'atteinte vestibulaire."
"299580","300920"," Donc, quand vous avez un nystagmus, c'est"
"300920","302980"," un signe objectif d'une souffrance vestibulaire."
"303560","305880"," On peut avoir une paralysie faciale par compression"
"305880","306520"," du nerf facial. "
"307120","308260"," C'est tardif, mais c'est possible."
"308960","310860"," Et puis, on peut avoir aussi une atteinte"
"310860","313230"," du nerf trigémeux, notamment une névralgie faciale."
"314150","316190"," Rappelez-vous que l'atteinte du nerf facial"
"316190","317390"," entraîne une paralysie faciale. "
"318110","320090"," L'atteinte du nerf trigémeux du sein entraîne"
"320090","321850"," une névralgie faciale, douleur."
"322930","323730"," Douleur faciale."
