"start","end","text"
"1220","4100"," Bonjour à tous, le cours d'aujourd'hui"
"4100","6860"," s'intitule la spina bifida ainsi que les"
"6860","10580"," malformations du système nerveux central, cours destiné aux"
"10580","12140"," étudiants de médecine de quatrième année."
"15710","19910"," Les malformations du tube neural consistent en une"
"19910","22950"," absence de fermeture d'un ou de plusieurs"
"22950","27190"," arcs vertébraux postérieurs associés à des anomalies des"
"27190","30010"," éléments nerveux, méningés ou cutanés."
"30010","33050"," Parmi ces malformations du tube neural, on distingue"
"33050","34190"," la dysséraphie spinale. "
"35630","39570"," Dans la dysséraphie spinale, nous avons deux types."
"39710","42750"," La spina bifida occulta qui est asymptomatique et"
"42750","44970"," le diagnostic ne se fait que par la"
"44970","45290"," radiographie."
"46050","48570"," C'est un diagnostic radiologique, radiographie ou scanner. "
"49430","52730"," Et la spina bifida aperta qui est visible"
"52730","54310"," cliniquement, visuellement."
"55110","57050"," On peut avoir une méningocelle qui est de"
"57050","58050"," pronostic favorable."
"58050","60170"," C'est une poche contenant que du liquide"
"60170","60910"," cephalorachidia. "
"61410","64670"," Ou une myeloméningocelle où le pronostic fonctionnel est"
"64670","66350"," parfois vital et mis en jeu."
"67990","71890"," Nous verrons que les erreurs qui se produisent"
"71890","75450"," lors de la différenciation embryologique du système nerveux"
"75450","79130"," central seront à l'origine de malformations plus"
"79130","80250"," ou moins graves."
"81030","84010"," D'où l'intérêt d'un dépistage précoce"
"84010","86730"," et d'un traitement adapté en vue d "
"86730","89910","'éviter au maximum les séquelles possibles. "
"90530","93050"," Et nous verrons surtout que devant la difficulté"
"93050","95750"," de traitement de ces malformations du système nerveux"
"95750","99710"," central, les mesures de prévention sont primordiales pour"
"99710","103470"," éviter la formation de ces anomalies."
"104670","108310"," Sur le plan embryologique, la dysséraphie spinale est"
"108310","111430"," une conséquence d'un trouble de développement du"
"111430","112230"," tube neural."
"112230","116770"," Dysséraphie signifie trouble de la fermeture des différents"
"116770","119470"," plans tissulaires. "
"121170","123870"," La spina bifida se produit au niveau du"
"123870","125730"," neuropore postérieur."
"126890","131090"," Ces malformations peuvent affecter plusieurs tissus dérivant du"
"131090","131810"," neuroectoderme."
"134330","137310"," Cela va atteindre le système nerveux, les méninges,"
"137990","141210"," le rachis, ainsi que les muscles et la"
"141210","141430"," peau. "
"143270","149670"," Sur ce diagramme sont résumées les différentes malformations"
"149670","153730"," du système nerveux central survenant à différents tâches"
"153730","156890"," gestationnelles."
"158150","163550"," De la conception jusqu'à la quatrième semaine"
"163550","166070"," d'améliorer, Au tout début, nous avons les"
"166070","169670"," malformations du tube neural à type de spina"
"169670","172710"," bifida, de malformations d'ocarie et d'anencephalie."
"173790","176730"," Entre la cinquième et la dixième semaine, ce"
"176730","180270"," sont les malformations de type d'hiferticulation cérébrale"
"180670","182330"," qui vont être à l'origine de l "
"182330","185970","'holoprovencéphalie, de la malformation de Dandewalker et de"
"185970","187150"," la génésie commissurale. "
"187150","191750"," Enfin, entre le deuxième et le cinquième mois,"
"192170","194730"," ce sont les malformations de l'histogénèse à"
"194730","197810"," type d'hétérotopie, polymicrogérie et agérie."
"198550","200630"," Et du cinquième au quinzième mois, ce sont"
"200630","202510"," des troubles de la myélination qui vont entraîner"
"202510","205490"," un retard intellectuel et des maladies démyélinisantes."
"207230","210590"," Pour comprendre ces malformations du système nerveux central,"
"211110","216310"," nous devons commencer la deuxième semaine du gestationnel"
"216310","219670"," lors de la formation du tube bilaminaire avec"
"219670","222510"," l'hectoderme et l'endoderme. "
"225730","228550"," Du fait de la formation du sillon primitif,"
"229170","232810"," le disque bilaminaire devient trilaminaire comportant l'hectoderme,"
"232910","234410"," le mésoderme et l'endoderme."
"234410","240430"," Par la suite, la régression du sillon primitif"
"240430","242910"," se fait par l'expansion d'un plateau"
"242910","247790"," procordal et formation et élongation de la notocorde."
"248090","251990"," Cette notocorde va participer à la formation du"
"251990","252650"," tube neural. "
"257430","260269"," Les anomalies de la fermeture du tube neural"
"260269","264650"," ou neurodysraphie se font lors de la formation"
"264650","265350"," du tube neural."
"265350","267890"," Tout d'abord, l'hectoderme va s'épaissir"
"267890","271830"," et s'invaginer, formant la plaque neural puis"
"271830","272850"," la gouttière neural."
"273290","276290"," Cette gouttière neural va se refermer et former"
"276290","277110"," le tube neural. "
"279870","284830"," Pour simplifier cette disjonction, sur le schéma représentant"
"284830","286990"," une coupe, on voit l'hectoderme et en"
"286990","289070"," dessous de l'hectoderme, en profondeur, la notocorde."
"289070","292490"," Cette notocorde va avoir une influence sur l "
"292490","297110","'hectoderme pour engager la formation du tube neural."
"298790","301830"," Sous l'effet de la notocorde, l'hectoderme"
"301830","305730"," va s'épaissir et entraîner, former une dépression"
"305730","308010"," qui sera sous forme de gouttière. "
"310170","312950"," La gouttière sera de plus en plus profonde,"
"313510","315150"," attirée par la notocorde."
"320950","324730"," Par la suite, lors de la disjonction normale,"
"325010","328730"," cette gouttière va complètement se désolidariser de l "
"328730","329190","'hectoderme."
"329510","332790"," L'hectoderme va donner les tissus cutanés et"
"332790","334770"," le tube neural va donner le système nerveux"
"334770","335090"," central. "
"338200","340640"," Lorsque le tube neural reste ouvert, ça fait"
"340640","341960"," un défaut de la disjonction."
"341960","345340"," Au niveau du neuropore postérieur, dans la partie"
"345340","348920"," caudale du dos, on va voir apparaître les"
"348920","353480"," signes de la spina bifida aperta, la spina"
"353480","356320"," bifida ouverte à titre de méningocèle ou de"
"356320","356960"," myeloméningocèle."
"358640","361420"," A ce stade de formation du tube neural,"
"361780","365580"," les anomalies que nous pouvons observer sont à"
"365580","369360"," titre d'anencephalie ou absence de fermeture du"
"369360","370280"," neuropore antérieur. "
"372140","376980"," Lorsque la dilatation du rhomboencephale est insuffisante, la"
"376980","379000"," fosse postérieure reste trop petite et ça donne"
"379000","381000"," la malformation de Chiari type 2."
"381980","384420"," La malformation de Chiari type 3 est un"
"384420","387900"," défaut de fermeture au niveau du rhomboencephale avec"
"387900","392040"," une anencephaloméningocèle occipitocervicale, c'est-à-dire dans"
"392040","394160"," la partie postérieure entre le crâne et le"
"394160","395260"," racisme cervicale."
"395260","398460"," Au niveau du rhomboencephale, c'est une myelocèle"
"398460","401800"," ou myeloméningocèle avec une plaque neurale fixée à"
"401800","402260"," la peau."
"415190","418290"," Le deuxième type de malformation du système nerveux"
"418290","420910"," central, ce sont les anomalies de la diverticulation. "
"421570","424150"," A partir du tube neural déjà formé, il"
"424150","427590"," se produit les vésicules primitives qui vont être"
"427590","429690"," à l'origine de la moelle épinière et"
"429690","430850"," du système nerveux central."
"431590","435030"," Au départ, nous avons trois vésicules."
"438320","441500"," Ces trois vésicules primordiales vont être à l "
"441500","445180","'origine de la partie crâniale vers la partie"
"445180","449700"," distale, du télencephale et des vésicules optiques, du"
"449700","456720"," diencephale, du mécencephale, du méthencephale, du myelencephale et"
"456720","459000"," enfin, distalement de la moelle épinière. "
"462900","466080"," Parmi les anomalies de la diverticulation, nous avons"
"466080","469860"," ce qu'on appelle la holoprosencephalie qui est"
"469860","473360"," une pathologie associant des anomalies faciales et une"
"473360","475940"," indifférenciation de la vésicule prosencephalique."
"476180","479840"," La vésicule prosencephalique est à l'origine du"
"479840","484040"," télencephale, donc des hémisphères cérébraux ainsi que des"
"484040","486140"," vésicules optiques."
"486640","488940"," Dans le premier cas de figure sur la"
"488940","491740"," gauche, nous voyons un visage quasiment normal à"
"491740","496320"," part une grande incisive unique médiane. "
"497380","499440"," Mais si on fait une IRM, on trouvera"
"499440","501160"," qu'il y a une holoprosencephalie, c'est "
"501160","501740","-à-dire qu'il n'y a pas"
"501740","503860"," une séparation entre deux hémisphères mais un seul"
"503860","504440"," hémisphère commun."
"504440","506140"," Dans la forme la plus grave, c'est"
"506140","508300"," la cyclopie où on a un seul globe"
"508300","511900"," oculaire et un seul hémisphère cérébral qui est"
"511900","514360"," une malformation exceptionnellement rare, mais c'est juste"
"514360","517600"," pour comprendre les différentes types d'anomalies de"
"517600","521200"," la diverticulation que nous vous montrons cet exemple."
"525120","528560"," Autre anomalie de la diverticulation, nous avons la"
"528560","531700"," maladie de Dandy-Walker qui est une dilatation"
"531700","534860"," kystique du quatrième ventricule qui va s'accompagner"
"534860","537980"," d'une agénésie d'une partie du corps"
"537980","539920"," caleux et des hémisphères cérévelleux. "
"539920","544620"," Cette maladie est souvent associée à une hydrocéphalie"
"544620","549060"," et met en jeu le pronostic intellectuel où"
"549060","554220"," seul 40% des cas, le QI sera"
"554220","558340"," normal, mais dans 60% des cas, il"
"558340","559200"," y aura un retard intellectuel."
"560400","564200"," La troisième phase d'embryologie qui s'accompagne"
"564200","568080"," de troubles du système nerveux central, c'est"
"568080","569980"," la phase de l'hystogénèse avec ses différentes"
"569980","570460"," anomalies."
"570460","573200"," On rappelle qu'au niveau de la zone"
"573200","581240"," germinale périépandinaire, autour des ventricules, sont produits les"
"581240","584540"," neuroblastes qui sont les précurseurs des neurones et"
"584540","587720"," ceux-ci vont migrer en dehors guidés par"
"587720","589520"," des cellules radiaires comme des lianes qui vont"
"589520","594020"," escalader de la région périventriculaire jusqu'à la"
"594020","596460"," substance grise périphérique corticale. "
