"start","end","text"
"2380","6920"," Bonjour, je me présente, Nisri Louheb, je suis"
"6920","8980"," enseignante à la faculté de médecine et de"
"8980","9500"," pharmacie."
"10840","14820"," Je vous présente ce cours intitulé les neuropathies"
"14820","15620"," périphériques."
"16660","19560"," Les objectifs pédagogiques de ce cours, c'est"
"19560","23420"," de reconnaître un syndrome neurogène périphérique et de"
"23420","26660"," savoir faire le diagnostic clinique du neuropathie périphérique,"
"26660","31320"," connaître la démarche diagnostique et savoir demander des"
"31320","35060"," examens complémentaires suffisants pour déterminer l'étiologie. "
"36080","42640"," Les neuropathies périphériques, maladies du nerf périphérique, représentent"
"42640","45080"," une des pathologies les plus fréquentes en neurologie."
"46460","50680"," Les étiologies sont multiples et nécessitent une démarche"
"50680","55520"," diagnostique rigoureuse basée sur l'anamnèse, l'examen"
"55520","57780"," clinique et l'étude électrophysiologique."
"59100","63120"," La prévalence des neuropathies périphériques est peu étudiée"
"63120","66380"," et on estime en effet que la prévalence"
"66380","70620"," générale des polyneuropathies chroniques serait d'environ 1 "
"70620","74700","% dans la population générale, montant jusqu'à"
"74700","76300"," 7% chez le sujet âgé. "
"76300","80080"," Leur diagnostic étiologique n'est pas toujours aisé"
"80080","83340"," et la cause la plus fréquente des neuropathies"
"83340","86020"," périphériques, c'est la neuropathie diabétique."
"87160","90940"," Elle augmente avec la durée et le mauvais"
"90940","92040"," contrôle du diabète."
"92940","95840"," Aussi, il y a les neuropathies périphériques post "
"95840","98340","-médicamenteuses, post-chimiothérapie. "
"99500","102400"," L'étiologie est non identifiée dans 20%"
"102400","102760"," des cas."
"103900","108840"," La démarche diagnostique devant une neuropathie périphérique nécessite"
"108840","111600"," d'avoir des connaissances dans des domaines aussi"
"111600","115980"," variés que l'anatomie, la physiologie, l'immunologie,"
"116120","118940"," la génétique, à peu près tous les champs"
"118940","119760"," de la médecine."
"121300","124760"," Sur le plan anatomique, le système nerveux périphérique,"
"125420","127979"," c'est un réseau de nerfs qui permet"
"127979","131880"," de relier le système nerveux central au reste"
"131880","136460"," du corps et transmettre des informations sensitives et"
"136460","136980"," motrices. "
"141370","144810"," Le nerf est constitué d'un ensemble de"
"144810","150190"," fibres nerveuses, motrices, sensitives et végétatives."
"151610","158860"," Les fibres motrices prennent origine au niveau du"
"158860","160180"," motoneuron périphérique."
"161490","166490"," Les fibres sensitives, en bleu, prennent origine au"
"166490","167930"," niveau du ganglion spinal. "
"168390","171190"," Là, vous avez le neuron sensitif."
"172470","177570"," Les racines sensitives et les racines motrices s "
"177570","182390","'unissent pour former le nerf spinal ou le"
"182390","187870"," nerf rachidien qui quitte la colonne spinale à"
"187870","189560"," travers les foramen intervertebraux."
"189560","197300"," Et ces nerfs rachidiens se subdivisent en branches"
"197300","200480"," ventrales et en branches dorsales. "
"201420","204680"," Et les branches ventrales au niveau des racines"
"204680","207200"," des membres forment les plexus."
"208520","212440"," Le plexus brachial au membre supérieur et le"
"212440","214700"," plexus lombosacré au membre inférieur."
"215920","219660"," Par la suite, ces plexus seront à l "
"219660","220940","'origine des trans nerveux. "
"221340","224020"," Et comme vous connaissez, au niveau du membre"
"224020","227740"," supérieur, vous avez le nerf médian, le nerf"
"227740","228340"," radial."
"229240","232220"," Au membre inférieur, par exemple, le nerf plural,"
"232680","234580"," le nerf tibial et le nerf péronnier."
"237090","241210"," Le système nerveux périphérique est constitué de neurones"
"241210","244230"," moteurs et sensitives du système nerveux périphérique. "
"244230","248590"," Des nerfs périphériques sensitives et moteurs représentés par"
"248590","251990"," les nerfs crâniens, les racines, les plexus, les"
"251990","256649"," trans nerveux périphériques, les ramifications terminales intramusculaires et"
"256649","258230"," le système nerveux autonome."
"263370","266470"," Un même nerf comporte des fibres de calibre"
"266470","271070"," différent, myélinisées ou amyéliniques."
"273690","276010"," Les fibres nerveuses sont classées en fibres A,"
"276590","277130"," B et C."
"277130","280370"," Les fibres A et B sont myélinisées, tandis"
"280370","282070"," que les fibres C sont amyéliniques. "
"282970","285690"," Les fibres myélinisées sont des fibres de gros"
"285690","289410"," calibre véhiculant la sensibilité profonde et tactile."
"290210","293070"," Elles ont une vitesse de conduction nerveuse plus"
"293070","296420"," élevée que les fibres de petit calibre amyéliniques"
"296910","301230"," qui véhiculent la sensibilité douloureuse et thermique et"
"301230","302610"," les fonctions végétatives."
"304430","310310"," L'influx nerveux est une activité électrochimique transmise"
"310310","312870"," le long de l'axone sous la forme"
"312870","316070"," d'une séquence de potentiel d'action. "
"317650","322870"," Le nerf conduit normalement l'influx nerveux."
"323710","327670"," Grâce à la myéline, la conduction est lessaltatoire"
"327670","328670"," et plus rapide."
"330430","334410"," Le mécanisme d'atteinte du système nerveux périphérique"
"334410","337190"," est important à préciser. "
"337750","340810"," Est-ce que l'atteinte est démyélinisante ou"
"340810","341450"," axonale?"
"342290","345630"," Les atteintes démyélinisantes sont secondaires le plus souvent"
"345630","349930"," à une cause disimmunitaire ou inflammatoire."
"350630","354190"," Pour les atteintes axonales, le plus souvent est"
"354190","356590"," d'origine métabolique ou vasculaire."
"362060","366440"," Les neuropathies périphériques sont classées en fonction du"
"366440","369120"," mode d'installation et la durée des symptômes,"
"369540","373100"," le type de fibres nerveuses, son zétive motrice"
"373100","377880"," végétative, la topographie du déficit neurologique et le"
"377880","380410"," mécanisme d'atteinte axonale ou démyélinisante. "
"387010","388730"," Le mode d'installation et la durée des"
"388730","392630"," symptômes des neuropathies périphériques aiguës s'installent en"
"392630","395530"," quelques heures jusqu'à 4 semaines, ça ne"
"395530","396450"," dépasse pas un mois."
"396450","399950"," Pour les formes subaigües, c'est entre 4"
"399950","402390"," et 8 semaines et pour les formes chroniques,"
"402510","403410"," ça dépasse deux mois."
"405010","407490"," Et pour le type des fibres nerveuses, on"
"407490","411450"," distingue les neuropathies sans zétive, les neuropathies motrices,"
"412470","417050"," les neuropathies végétatives autonomes et les neuropathies sans"
"417050","418030"," zétive ou motrices. "
"419470","424050"," La topographie du déficit neurologique, moteur et sans"
"424050","428650"," zétive permet de distinguer différents types de neuropathies."
"429690","433270"," Les polyneuropathies ont rapport avec une atteinte tronculaire,"
"433770","434850"," symétrique, distale."
"435550","439050"," Les mononeuropathies, c'est une atteinte d'un"
"439050","439950"," seul tronc nerveux. "
"440730","445390"," Les mononeuropathies multiples, c'est une atteinte asymétrique"
"445390","446330"," et asynchrone."
"446330","450990"," Les polyradiculoneuropathies ont rapport avec une atteinte des"
"450990","453190"," racines et des nerfs de façon symétrique."
"454130","457370"," La neuronopathie sans zétive, c'est l'atteinte"
"457370","460910"," du neurone au niveau du ganglion spinal. "
"461630","464010"," La neuronopathie motrice, c'est l'atteinte de"
"464010","465070"," la corne antérieure."
"467710","470850"," Le mécanisme d'atteinte est important de le"
"470850","473270"," préciser et c'est l'intérêt de faire"
"473270","476410"," l'étude électrophysiologique pour identifier le type d "
"476410","476750","'atteinte."
"476750","479530"," Est-ce que c'est une neuropathie axonale,"
"480030","483150"," démyélinisante ou bien mixte ?"
"483870","488670"," Le diagnostic d'une neuropathie périphérique repose principalement"
"488670","490610"," sur l'anamnèse et l'examen clinique. "
"491770","495230"," Et devant un déficit neurologique moteur sans zétive,"
"496030","498590"," avant de retenir que c'est d'origine"
"498590","502950"," périphérique, c'est important d'éliminer une origine"
"502950","504590"," centrale ou musculaire."
"504590","508830"," Par la suite, on va parler des formes"
"508830","510970"," cliniques topographiques."
"512610","514870"," Les signes cliniques en faveur d'une atteinte"
"514870","519809"," du système nerveux périphérique contraignent une symptomatologie sensitive,"
"520690","523610"," une symptomatologie motrice et végétative. "
