"start","end","text"
"2640","4860"," Le cours d'aujourd'hui s'intitule les"
"4860","5620"," épilepsies."
"6500","9080"," Tout d'abord, comme définition, l'épilepsie est"
"9080","13380"," une affection neurologique chronique d'étiologies diverses caractérisées"
"13380","16240"," par la répétition des crises qui sont dues"
"16240","18460"," à des décharges excessives d'une population des"
"18460","19340"," neurones corticaux."
"20120","21940"," Ça veut dire qu'on peut avoir une"
"21940","23980"," petite décharge au niveau d'une population de"
"23980","25980"," neurones qui donne une crise et on a"
"25980","27580"," le droit de parler de l'épilepsie qui"
"27580","29660"," est une maladie chronique que quand les crises"
"29660","30140"," se répètent. "
"30140","32600"," Donc, une crise peut être accidentelle."
"33120","35620"," Une crise unique ou parfois même deux ou"
"35620","37980"," trois contient un facteur causal comme l'alcool,"
"38080","40360"," l'hypoglycémie, un traumatisme, la fièvre chez les"
"40360","40800"," nourrissons."
"41720","45100"," Et donc, ça, c'est une épilepsie qui"
"45100","46140"," est accidentelle. "
"47260","50360"," Il existe d'autant de manifestations cliniques que"
"50360","54020"," de fonctions cérébrales, mais les plus fréquentes sont"
"54020","57600"," les pertes de connaissances et les phénomènes moteurs."
"59230","62210"," Donc, il faut savoir aussi que leur diagnostic,"
"62450","66150"," il est électroclinique et leur pronostic est généralement"
"66150","66550"," bon."
"70670","72510"," D'accord, donc ça, c'est juste quelques"
"72510","76730"," patients épileptiques célèbres qui ont été épileptiques. "
"76730","78830"," Et bien sûr, ceci n'a rien diminué"
"78830","81730"," de leur productivité scientifique et intellectuelle."
"82470","87550"," Comme Alfred Nobel, Van Gogh, Flaubert, Jules César"
"87550","91290"," et aussi Molière, Socrate qui était un grand"
"91290","95850"," philosophe grec, Vladimir Lenin qui était le patron"
"95850","99170"," de la révolution russe."
"99170","102350"," Donc, c'était les tsars avant en arabe"
"102350","105150"," et après, c'est devenu un régime communiste. "
"105410","107510"," Et donc, il y a bien sûr marqué"
"107510","113210"," l'histoire au cours des années 1904, 1917."
"115170","117370"," Donc, sur le plan épidémiologique, il faut savoir"
"117370","118890"," que l'épilepsie, c'est une maladie qui"
"118890","121930"," est fréquente et sa prévalence varie dans le"
"121930","123650"," monde entre 1 et 6 %."
"123650","126350"," 1, c'est dans les pays développés ou"
"126350","127570"," parfois même à moins de 1."
"128310","131230"," Et malheureusement, une prévalence élevée qui peut atteindre"
"131230","133390"," 6 % dans les pays où il y"
"133390","137710"," a un problème d'infection fréquente comme l "
"137710","139530","'Afrique où il y a la cysticercose, comme"
"139530","140430"," on le voit sur la carte."
"140930","142210"," Tout ce qui est en rouge ou en"
"142210","143730"," foncé, donc c'est là où la prévalence"
"143730","144490"," est la plus élevée. "
"145190","147290"," Le Maroc, il a une prévalence intermédiaire de"
"147290","149890"," 1,1 % dans cette étude que j "
"149890","151630","'ai mentionnée ici qui a été faite à"
"151630","151890"," Gaza."
"151890","154190"," Donc, c'est probablement sous-évalué."
"155510","157510"," Et on voit aussi l'autre courbe, c "
"157510","159470","'est que, bien sûr, la fréquence de l "
"159470","161370","'épilepsie, donc, elle a deux pics. "
"161450","163490"," Un pic, en fait, au cours des dix"
"163490","165970"," premières années et après, ça diminue et après,"
"166050","166990"," un autre pic après."
