"start","end","text"
"900","3019"," Chers étudiants, bonjour."
"3500","5720"," Je suis contente de vous retrouver pour vous"
"5720","8940"," présenter la troisième partie des dermatos secondaires aux"
"8940","9980"," infections virales."
"10520","13020"," Ce cours concerne les lésions cutanées liées au"
"13020","14380"," papillomavirus humain. "
"17840","19880"," Au terme de ce cours, l'étudiant doit"
"19880","24500"," savoir diagnostiquer les verrues, diagnostiquer les papillomes anogénitaux"
"24500","28280"," et reconnaître les modalités thérapeutiques des verrues et"
"28280","29780"," des papillomes anogénitaux."
"31409","35690"," Les infections à papillomavirus humain sont très fréquentes."
"36430","40270"," Les HPV sont responsables de lésions épithéliales cutanées"
"40270","43030"," aux muqueuses, qui sont le plus souvent bénignes,"
"43110","45310"," comme les verrues et les candylomes, mais qui"
"45310","48890"," sont associées à certains néoplasies, carcinomes cutanés au"
"48890","52710"," cours de l'épidermodysplasie verriciforme et carcinomes anogénitaux,"
"52950","55310"," comme le cancer du colléthérin principal. "
"55310","58470"," C'est un virus qui est caractérisé par"
"58470","61110"," son génotype et non son sérotype."
"61650","65310"," On distingue plus de 120 génotypes d'HPV"
"65310","68850"," sont actuellement caractérisés selon la séquence de leur"
"68850","69370"," ADN."
"69370","72650"," Ils agissent soit par réplication virale en profitant"
"72650","75950"," de la prolifération de la cellule Hote, responsable"
"75950","79790"," de l'effet cétopathogène spécifique sur les kératinocytes,"
"79970","81990"," soit ils persistent à l'état latence aux"
"81990","85510"," formes épisomales d'ADN virale libre, responsable d "
"85510","88490","'infections latentes et des porteurs sains, soit par"
"88490","91110"," intégration dans le génome cellulaire avec un risque"
"91110","91750"," oncogène. "
"91750","94070"," Il faut noter que la durée d'incubation"
"94070","96270"," de ce virus peut varier de trois semaines"
"96270","99050"," à quelques mois en fonction du statut immunitaire"
"99050","99870"," de l'homme."
"99870","104570"," Certains génotypes sont directement à haut risque oncogène"
"104570","109170"," comme l'HPV 16, 18, 31, 33 et"
"109170","114110"," qui sont responsables de cancers et surtout l "
"114110","118790","'association à ce genre de génotype avec des"
"118790","122150"," conditions particulières comme le tabac, l'immunosuppression pour"
"122150","124830"," les greffés d'organes et les patients HIV."
"124830","127470"," C'est un virus qui a un tropisme"
"127470","130770"," exclusif pour les épithéliums malpégiens et c'est"
"130770","133090"," un virus très résistant au froid, à la"
"133090","135770"," chaleur et transmis par contact et le mode"
"135770","138450"," d'infection, surtout l'infection des kératinocytes de"
"138450","140170"," la couche basale à l'occasion d'une"
"140170","142450"," effraction épithéliale avec évolution. "
"146900","150700"," Le mode de transmission du human papulma virus"
"150700","155060"," est variable, ça peut être un contact direct,"
"155520","157860"," ça veut dire peau à peau, donc sexuel"
"157860","161500"," ou non sexuel, ou un contact indirect suite"
"161500","164620"," à l'usage d'un intermédiaire comme l "
"164620","167460","'eau, comme les gants, comme linge, un matériel"
"167460","169900"," souillé ou suite au passage de la filière"
"169900","173680"," génitale infectée par l'HPV suite à un"
"173680","176500"," accouchement, donc c'est un contact materno-fétal."
"176500","179720"," Certains human papulma virus sont liés à des"
"179720","183200"," lésions spécifiques qui permettent une classification étiologique."
"183800","185840"," Il faut noter que les lésions dues à"
"185840","189980"," l'HPV sont généralement de diagnostic clinique, rarement"
"189980","193560"," on a besoin de réaliser une biopsie cutanée"
"193560","196640"," quand il s'agit de lésions vraiment atypiques"
"196640","200020"," ou des lésions maquilleuses très discrètes pour faire"
"200020","200900"," la part des choses. "
"203620","207200"," Les virus cutanés, ce sont des tumifactions par"
"207200","211280"," hyperplasie hépitérielle binine due à une infection par"
"211280","212340"," papulma virus."
"213200","218320"," Elles sont fréquentes, cosmopolites, contagieuses, auto-inculables, transmises"
"218320","221160"," par contact direct ou indirect, notamment les bains"
"221160","223560"," ou piscines, les objets contaminés."
"223560","226460"," Ils touchent surtout les enfants et les adolescents. "
"227020","229980"," La contamination est favorisée par les micro-traumatismes"
"229980","231060"," et l'immunodépression."
"231700","234820"," L'incubation dure entre 1 et 20 mois."
"236080","240180"," Certaines professions peuvent exposer avoir des virus cutanés"
"240180","244000"," comme celles des bouchers, les vétérinaires, les travailleurs"
"244000","247240"," dans l'abattoir, les poissonniers qui sont exposés"
"247240","250840"," à des virus dus à l'HPV type"
"250840","251360"," 7."
"254020","258360"," Les candylons, ce sont des tumeurs binines hépitérielles"
"258360","260880"," dues à des human papulma virus, le plus"
"260880","263980"," souvent de type 6, 11, mais aussi de"
"263980","266680"," type 16, 18, 31, 33. "
"267800","270860"," Elles ont comme synonyme des végétations vénériennes, mais"
"270860","272160"," aussi crête de coque."
"273260","276840"," Les 4 derniers types sont plus rares et"
"276840","279720"," sont associés à un risque de myoplasie."
"279720","284040"," Ils touchent avec prédilection les sujets entre 16"
"284040","286880"," et 25 ans, avec une incidence en constante"
"286880","289260"," augmentation dans tous les pays développés. "
"290060","292060"," C'est un virus qui est caractérisé par"
"292060","295800"," un portage asymptomatique du human papulma virus au"
"295800","298980"," niveau génitale, ce qui explique la contagiosité fréquente."
"298980","302600"," La transmission se fait par voie sexuelle chez"
"302600","303360"," les adultes."
"303880","306420"," Elle peut survenir lors de la délivrance ou"
"306420","309820"," lors de contacts intimes non sexuels avec des"
"309820","310680"," sujets infectés. "
"311440","313820"," La transmission est favorisée par les états d "
"313820","318120","'immunodépression comme la grossesse, l'infection à VIH,"
"318360","323520"," corticothérapie générale, transplantation et par des cofacteurs vireaux"
"323520","326020"," comme l'herpès simplex virus ou bactériens."
"328730","330610"," Nous avons dit tout à l'heure que"
"330610","333350"," l'infection à human papulma virus dépend du"
"333350","334710"," statut immunitaire."
"335390","338050"," Il faut noter que les infections à HPV"
"338050","341390"," sont plus fréquentes et plus agressives sur un"
"341390","342670"," terrain d'immunodépression. "
"342670","345030"," Chez les greffés d'organes, on a une"
"345030","347290"," augmentation de l'incidence des virus et des"
"347290","348410"," cancers de la peau."
"348730","351450"," Cette augmentation est corrélée à la durée et"
"351450","354090"," à l'intensité de l'immunodépression, ce qui"
"354090","357750"," justifie une consultation et un suivi dermatologique en"
"357750","361790"," cours chez les patients en raison du risque"
"361790","362670"," carcinogène."
"362670","365470"," Chez un patient à HPV, on a une"
"365470","368330"," augmentation de la prévalence des infections à human"
"368330","371010"," papulma virus du col de l'utérus et"
"371010","372570"," au niveau génital et anal. "
"373670","376930"," Cette infection à HPV aggrave la sévérité et"
"376930","381310"," la progression des néoplasies associées au human papulma"
"381310","385230"," virus, notamment les néoplasies cervicales anales."
"387790","390370"," Le human papulma virus est un virus qui"
"390370","392650"," est caractérisé par son génotype et non son"
"392650","393330"," sérotype."
"393450","396270"," On distingue plus en 20 génotypes d'HPV. "
"396970","401730"," Ils sont caractérisés tous selon la séquence de"
"401730","402450"," leur ADN."
"403070","405470"," Ils agissent soit par réplication virale, soit par"
"405470","408270"," persistance à l'état latence ou forme épisomale"
"408270","411150"," d'ADN virale, soit en s'intégrant au"
"411150","413690"," génome cellulaire responsable de risque oncogène."
"415580","419080"," La durée d'incubation des HPV est mal"
"419080","421940"," connue et semble varier entre trois semaines à"
"421940","425220"," plusieurs mois, bien sûr, en fonction du statut"
"425220","426660"," immunitaire de l'hôte. "
"427160","431360"," Le risque oncogène dépend de certains HPV myqueux"
"431360","433560"," dits à haut risque oncogène, notamment le 16 "
"433560","434000","-18."
"434880","438960"," Ils peuvent être directement carcinogènes ou interviennent en"
"438960","443060"," association à d'autres facteurs carcinogènes, notamment la"
"443060","444920"," présence du tabac et d'immunosuppression."
"445780","447800"," C'est un virus qui a un tropisme"
"447800","451540"," exclusif pour les hépatéliums malpégiens et très résistant"
"451540","453560"," au froid et à la chaleur et transmis"
"453560","454320"," par contacts. "
"454800","457280"," Le mode d'infection, surtout les infections des"
"457280","459740"," keratinocytes de la couche basale à l'occasion"
"459740","461240"," d'une effraction hépatélias."
"463120","467640"," Nous allons voir maintenant les différents types de"
"467640","468000"," verrues."
"468080","470340"," On va commencer par les verrues plantaires. "
"470800","474200"," On peut distinguer deux types, la myrmicie aux"
"474200","477600"," verrues profondes et les verrues dites en mosaïque."
"477600","481180"," D'abord, la myrmicie aux verrues profondes."
"481220","484760"," Elle est due au génotype type 1."
"485340","487980"," C'est la forme la plus fréquente de"
"487980","489760"," verrues. "
"490000","494520"," C'est une verrue endophytique, douloureuse, arrondie, profonde."
"494960","497560"," Elle est le plus souvent isolée et siège"
"497560","499060"," au niveau des zones d'appui."
"499060","503520"," C'est une lésion arrondie circonscrite par un"
"503520","507360"," anneau kératosique recouvrant partiellement la partie centrale et"
"507360","510340"," qui est piquetée de points noirâtres qui signent"
"510340","514280"," le caractère viral de cette lésion. "
"514280","517740"," Il faut toujours se poser la question, est "
"517740","518720","-ce que c'est un diruant?"
"519120","520080"," Est-ce que c'est une verrue?"
"520240","523020"," Le diruant, c'est une lésion due à"
"523020","527160"," un épuississement cutané secondaire, un frottement répété ou"
"527160","531140"," suite à un facteur traumatique persistant ou chronique."
"532240","536740"," Les éléments qui vont favoriser le diagnostic de"
"536740","538920"," la verrue plantaire, c'est la présence de"
"538920","542520"," ce piqueté de points noirâtres caractéristique de verrues."
"544730","549510"," Cette photo illustre une myrmicie ou une verrue"
"549510","553230"," endophytique plantaire chez un patient qui pratiquait la"
"553230","553890"," natation. "
"554390","557750"," Vous voyez, la lésion est arrondie et il"
"557750","560010"," y a un piqueté noirâtre qui signe la"
"560010","562650"," présence de micro-hémorragie à l'intérieur de"
"562650","566790"," la lésion et qui caractérise la verrue plantaire."
"569060","572620"," Deuxième forme clinique de verrues plantaires, ce sont"
"572620","576540"," les verrues superficielles dites en mosaïque et sont"
"576540","579800"," dues au human papillomavirus de génotype 2."
"580700","584020"," Elles se caractérisent par des lésions multiples indolores"
"584020","586920"," siégeant en dehors des zones d'appui et"
"586920","590440"," qui vont confluer en placards kératosiques légèrement en"
"590440","590820"," relief."
"591440","595460"," Ce sont des lésions virales plantaires moins fréquentes"
"595460","596580"," que la myrmice. "
"598790","602950"," Vous voyez sur cette photo la présence de"
"602950","604390"," verrues en mosaïque."
"604850","607190"," Il faut noter le caractère indolore de ces"
"607190","609890"," lésions et qu'elles sont composées de multiples"
"609890","613810"," verrues se groupant en un placard kératosique plantaire."
"616780","620140"," Après les verrues plantaires, nous allons voir les"
"620140","623700"," verrues vulgaires ou aussi les verrues vulgaires communes. "
"623960","627220"," Elles sont dues au human papillomavirus génotype 2"
"627220","628220"," ou 4."
"628920","631660"," Elles sont localisées principalement à la face dorsale"
"631660","633040"," des mains et des doigts."
"633340","634920"," Elles sont rarement palmères."
"634920","638000"," Elles forment des élevures de 3 à 4"
