"start","end","text"
"460","2260"," Chers étudiants, bonjour."
"2780","4700"," J'ai le plaisir de vous souhaiter la"
"4700","7460"," bienvenue dans ce cours de dermatologie dédié aux"
"7460","9020"," étudiants de 4ème année de MIT."
"9480","13140"," Je suis professeure Hoka, professeure de dermatologie, chargée"
"13140","15120"," de vous faire la partie du cours consacré"
"15120","18260"," aux dermatoses infectieuses et aux dermatoses prurigineuses. "
"18620","21760"," Nous allons commencer par les dermatoses virales et"
"21760","24440"," nous allons voir aujourd'hui les infections cutanées"
"24440","26000"," à herpes simplex virus."
"28200","32560"," Les objectifs pédagogiques de ce cours sont comme"
"32560","35120"," il suit, d'abord savoir expliquer le cycle"
"35120","39280"," du virus herpes simplex, savoir diagnostiquer cliniquement une"
"39280","43480"," primo-infection herpétique, puis savoir diagnostiquer une recurrence"
"43480","46800"," herpétique et diagnostiquer les formes graves de l "
"46800","49040","'herpès et puis à la fin, il faut"
"49040","52300"," savoir traiter les infections herpétiques."
"54320","57920"," Les virus cutanés sont dominés par les infections"
"57920","62260"," à herpès simplex virus, varicella zona virus et"
"62260","64060"," papilloma virus humain. "
"64880","67580"," L'infection à herpès simplex virus est responsable"
"67580","70980"," d'atteintes cutanio-myqueuses bénignes, rarement viscérales et"
"70980","71260"," graves."
"75070","77910"," L'agent pathogène est l'herpès simplex virus"
"77910","80430"," qui est un virus à ADN dont on"
"80430","82970"," connaît deux types, l'herpès simplex virus type"
"82970","85470"," 1 et l'herpès simplex virus type 2."
"85470","88290"," Ces deux virus ayant un grand degré d "
"88290","92250","'homologie mais différenciés par des critères structureaux et"
"92250","93290"," épidémiologiques."
"93590","96910"," Classiquement, l'herpès simplex virus type 1 infecte"
"96910","99570"," plutôt la partie supérieure du corps et l "
"99570","102230","'herpès simplex virus type 2 plutôt la région"
"102230","106910"," génitale, responsable d'une infection sexuellement transmissible et"
"106910","109650"," l'herpès du nouveau-né contaminé au passage"
"109650","111010"," de la filière génitale. "
"111010","114830"," Il faut noter que les infections à herpès"
"114830","117810"," simplex virus atteignent l'homme qui est le"
"117810","120570"," seul réservoir, l'homme avec grand H et"
"120570","124010"," c'est des virus intracellulaires obligatoires."
"126720","129259"," De façon schématique, les sites cellulaires de l "
"129259","131980","'infection latente de l'herpès simplex virus type"
"131980","135040"," 1 et type 2 sont le corps neuronal"
"135040","138540"," des ganglions sensitifs, les ganglions trégiminés pour l "
"138540","141120","'herpès simplex virus type 1 et les ganglions"
"141120","143760"," sacrés pour l'herpès simplex virus type 2."
"144200","146460"," Et pour le varicelle zona virus, ce sont"
"146460","149680"," les neurones du ganglion sensitif rachidien et des"
"149680","150940"," paires crâniennes."
"153320","155900"," L'herpès simplex virus type 1 atteint la"
"155900","158860"," partie supérieure du corps et la transmission se"
"158860","161520"," fait par contact direct, alors que l'herpès"
"161520","164040"," simplex virus type 2 atteint la partie inférieure"
"164040","166380"," du corps et la transmission se fait par"
"166380","167140"," contact génital. "
"168160","171420"," Cette distinction n'est pas absolue car on"
"171420","173840"," peut isoler de l'herpès simplex virus type"
"173840","176820"," 1 de lésions génitales, 20 % de récurrence"
"176820","178820"," et près de 50 % dans la primo "
"178820","179440","-infection."
"180160","182860"," La prévalence des infections à herpès simplex virus"
"182860","185380"," type 2 est en constante augmentation depuis une"
"185380","188420"," quinzaine d'années, pouvant atteindre 15 à 30"
"188420","191900"," % de la population générale, 50 % chez"
"191900","195880"," les hétérosexuels ayant une IST, 70 % chez"
"195880","196900"," les homosexuels."
"198360","201080"," L'herpès génital est actuellement la première cause"
"201080","203920"," d'érosion et d'ulcération génital dans les"
"203920","204800"," pays développés. "
"205200","207860"," La contamination survient surtout dans les deux premières"
"207860","209380"," décennies de vie sexuelle."
"211400","214100"," L'herpès néonatal est dû à un herpès"
"214100","217040"," simplex virus type 2 dans 75 % des"
"217040","219240"," cas et c'est dû à une contamination"
"219240","222520"," in utero, une contamination per partum et le"
"222520","224940"," risque de transmission est de 75 % si"
"224940","228560"," la maman a une primo-infection symptomatique, il"
"228560","230600"," est de 25 % si la maman présente"
"230600","233720"," une primo-infection asymptomatique et de 4 %"
"233720","235580"," si la maman présente une récurrence."
"235580","237480"," Il faut noter qu'il y a un"
"237480","239760"," autre mode, c'est la contamination post-partum"
"239760","242220"," et peut être dû à l'herpès simplex"
"242220","244580"," virus type 1 ou type 2 à partir"
"244580","247520"," d'un herpès labial ou génital symptomatique chez"
