"start","end","text"
"1800","7720"," Bonjour tout le monde, c'est professeur M "
"7720","12520","'hary Rizlan du service d'endocrinologie, diabétologie, maladie"
"12520","16160"," métabolique du CHU Mohamed 6 et de la"
"16160","16460"," FAC."
"17480","22960"," Je commence mon module d'enseignement sur le"
"22960","27280"," module de diabétologie et métabolisme par les généralités"
"27280","28580"," sur le diabète."
"29960","35120"," Cette année-là, on va traiter les généralités"
"35120","39120"," sur le diabète, les types de diabète, les"
"39120","43280"," complications dégénératives du diabète, dans la rubrique diabétologie. "
"43560","45880"," Le métabolisme, on va traiter le cours des"
"45880","49900"," hypoglycémies, qui est un cours hyper important."
"49900","53500"," Les hypoglycémies, quand on dit hypoglycémie, ce n "
"53500","58300","'est pas une hypoglycémie secondaire, un traitement diabétique."
"58500","62740"," C'est des hypoglycémies et organiques et fonctionnelles"
"62740","63680"," et iatrogènes. "
"65300","70760"," On va inaugurer notre module avec des généralités"
"70760","71600"," sur le diabète."
"73400","76220"," Avant tout, on va essayer de le définir."
"76400","78880"," Alors, comment se définit le diabète ?"
"79600","83760"," Le diabète est un groupe de maladies métaboliques. "
"84840","87380"," Quand on dit un groupe de maladies métaboliques,"
"87500","88540"," ça se nous entend que ce n'est"
"88540","89800"," pas une maladie."
"90020","91840"," On ne peut pas dire que le diabète"
"91840","93560"," c'est une seule maladie, parce qu'il"
"93560","97640"," existe plusieurs types de diabète."
"98260","100400"," Pas seulement un ou deux types de diabète,"
"100560","101880"," plusieurs, on verra. "
"103260","108190"," Ensuite, ce diabète, ce groupe de maladies métaboliques,"
"108500","114340"," sont caractérisés par une hyperglycémie chronique, qui est"
"114340","116940"," secondaire, soit un défaut de sécrétion ou un"
"116940","119040"," défaut d'action de l'insuline ou les"
"119040","119220"," deux."
"120380","123600"," Quand je dis c'est caractérisé par une"
"123600","129380"," hyperglycémie chronique, ça sous-entend que le diabète"
"129380","134240"," vrai ne va pas inclure les hyperglycémies ponctuelles"
"134240","136220"," de stress chez les patients non diabétiques."
"136560","137320"," Je m'explique. "
"138560","142060"," Un patient qui est non connu diabétique, qui"
"142060","145840"," fait un infarctus du myocarde, élève souvent ces"
"145840","146440"," glycémies."
"146440","150320"," Et c'est dû à la mise en"
"150320","154580"," course des hormones de stress."
"154720","157900"," Les hormones de stress, ce sont les catéchoramines"
"157900","160460"," et le cortisol, qui sont tous les deux"
"160460","163900"," des hormones d'hyperglycémie, qui vont provoquer une"
"163900","164860"," hyperglycémie. "
"165820","169660"," Donc, si on m'appelle, ça c'est"
"169660","173820"," souvent le cas chez nous au service, lorsqu "
"173820","176260","'on nous appelle des urgences ou de la"
"176260","180960"," cardiologie, pour donner notre avis, chez un patient"
"180960","185780"," non connu diabétique, hospitalisé pour un syndrome coronaire"
"185780","189380"," aigu, et qui élève ces glycémies."
"189800","192060"," Chez qui, par exemple, on va découvrir une"
"192060","196820"," glycémie, par exemple, à 1,80 alors qu "
"196820","198200","'il n'a rien mangé, par exemple."
"198800","200460"," Donc, est-ce que je peux dire, est "
"200460","201660","-ce que je suis dans la mesure de"
"201660","203220"," dire que c'est un patient diabétique?"
"203440","207780"," Et bien non, parce que l'intensité de"
"207780","209960"," la douleur fait augmenter les hormones de stress,"
"210060","212200"," et les hormones de stress peuvent occasionner une"
"212200","212960"," hyperglycémie. "
"213440","215160"," Donc, pour dire que c'est un patient"
"215160","217620"," diabétique ou non, il faut que je continue"
"217620","221460"," avec un bilan, soit une hémoglobine glycée, on"
"221460","224680"," verra dans les définitions sur les slides ultérieurs,"
"224680","228760"," ou par une deuxième glycémie, par exemple, par"
"228760","232680"," un suivi à distance de l'épisode aigu,"
"232820","233140"," etc."
"234700","239000"," Alors, dans le complément de la définition, on"
"239000","241460"," a dit groupe de maladies métaboliques, ce n "
"241460","242660","'est pas une seule maladie, c'est un"
"242660","246640"," groupe, caractérisé par une hyperglycémie chronique, associée à"
"246640","248360"," un défaut de sécrétion ou un défaut d "
"248360","250780","'action d'insuline, et qui est associé à"
"250780","252180"," des complications à long terme."
"252400","255860"," C'est secondaire à cette hyperglycémie chronique, qui"
"255860","257899"," va traumatiser les petits et les gros vaisseaux,"
"258000","260000"," et qui va donner des complications micro et"
"260000","260920"," angiopathiques. "
"263730","267190"," Les recommandations de l'OMS, qui vont nous"
"267190","271550"," étayer en chiffres la définition du diabète, disent"
"271550","273990"," qu'on est en mesure de poser le"
"273990","277150"," diagnostic positif du diabète, si vous avez des"
"277150","280670"," symptômes cliniques présents, associés à une glycémie faite"
"280670","282410"," à n'importe quel moment de la journée,"
"282530","283810"," supérieur à 2 grammes."
"284910","287470"," Je me réfère toujours à l'exemple que"
"287470","288790"," je vous ai donné tout à l'heure."
"289550","292690"," Chez ce patient qui est venu aux urgences"
"292690","295950"," avec infarctus du myocarde, chez qui je découvre,"
