"start","end","text"
"3140","9780"," Bonjour, nous entamons, suite au cours des généralités,"
"9960","12980"," notre cours sur le diabète de type 2."
"13780","15540"," Comme je vous ai dit, c'est le"
"15540","19380"," diabète le plus fréquent de tous les diabètes."
"19900","21860"," On a dit dans le cours des généralités"
"21860","23500"," qu'il n'existe pas un seul diabète,"
"23600","26620"," mais plusieurs diabètes et que le diabète de"
"26620","32700"," type 2 constitue le diabète le plus prédominant."
"35630","39810"," Le diabète de type 2 constitue 80%"
"39810","41150"," des diabètes. "
"42650","44950"," C'est une entité hétérogène."
"47070","50190"," Et dans les signes cliniques, dans le tableau"
"50190","53590"," clinique, on note l'importance de l'hérédité,"
"53590","55630"," souvent chez les diabétiques de type 2."
"56250","58730"," L'hérédité diabétique est positive chez les parents"
"58730","59850"," ou la famille."
"61230","65070"," On retrouve l'obésité, on retrouve l'âge"
"65070","69050"," et on retrouve l'évolutivité de la maladie. "
"69550","71330"," Ça veut dire quoi l'évolutivité de la"
"71330","71710"," maladie?"
"71830","73990"," C'est que dans ce type de diabète,"
"74830","76970"," contrairement au diabète qu'on va voir, surtout"
"76970","80550"," le diabète de type 1, on peut découvrir"
"80550","84330"," le diabète à un stade évolutif ou évoluer"
"84330","87150"," de la maladie au stade des complications dégénératives."
"88890","93570"," Les mécanismes physiopathologiques du diabète de type 2,"
"94590","96730"," les plus communs, les plus classiques sont l "
"96730","98430","'insulinorésistance et l'insulinopénie."
"98570","100250"," Vous les connaissez, on en a parlé. "
"101090","106050"," Mais, mais, mais, mais, il existe de nouveaux"
"106050","110930"," mécanismes physiopathologiques qu'on va étayer dans ce"
"110930","111230"," cours."
"111970","115070"," Donc il y a l'effet incrésime dont"
"115070","117670"," j'ai parlé les deux dernières années."
"118850","122770"," Mais il y a un nouveau mécanisme physiopathologique. "
"123730","127449"," Donc je vais en parler pour la première"
"127449","131870"," fois lors de ce cours qui est le"
"131870","136510"," mécanisme lié à la régulation rénale, le rôle"
"136510","140170"," du rein dans la physiopathologie du type 2."
"141170","147410"," Donc j'espère que vous serez attentifs aux"
"147410","151770"," nouvelles notions qui seront citées dans ce cours."
"153740","158200"," Lors de ce cours, on va parler de"
"158200","160460"," l'épidémiologie du diabète de type 2, surtout"
"160460","161120"," au Maroc."
"162260","166240"," On va étayer les mécanismes physiopathologiques et cette"
"166240","168940"," année, c'est exceptionnel, donc on va, en"
"168940","172640"," plus des mécanismes physiopathologiques classiques que vous connaissez,"
"172760","177040"," c'est l'insulinorésistance et l'insulinopénie, on"
"177040","178520"," va traiter les nouveaux mécanismes. "
"179380","183780"," L'effet incrétine dont j'ai parlé lors"
"183780","187880"," du cours des deux années dernières, mais on"
"187880","192240"," va parler d'un nouveau mécanisme physiopathologique qui"
"192240","194300"," est le rôle du rein dans la physiopathologie"
"194300","196000"," du diabète de type 2, qui est la"
"196000","200460"," nouvelle cible thérapeutique actuellement dans le monde de"
"200460","201360"," la diabétologie."
"202320","204420"," Donc, notion très importante."
"206020","209660"," Ensuite, on va parler de la présentation clinique"
