"start","end","text"
"1420","5840"," Après avoir traité la macrangiopathie diabétique, aujourd'hui"
"5840","8420"," nous allons parler de la microangiopathie."
"10730","16210"," La macrangiopathie diabétique est définie comme les complications"
"16210","20430"," spécifiques à l'atteinte des petites artères et"
"20430","23790"," capillaires secondaires à l'hyperglycémie chronique."
"24750","30910"," On distingue une triopathie diabétique, la rétinopathie, la"
"30910","34070"," glomérolopathie et la neuropathie diabétique. "
"34670","37750"," La survenue ou l'installation de ces complications"
"37750","42590"," microangiopathiques est intimement liée au degré de l "
"42590","43630","'équilibre glycémique."
"43810","47470"," Plus le diabète est déséquilibré, plus les complications"
"47470","51470"," vont survenir de façon plus précoce et se"
"51470","53570"," rendent d'autant plus sévères."
"55780","59510"," Comment s'installe cette microangiopathie diabétique ?"
"59510","65150"," Sur le plan biochimique, les petites artères, les"
"65150","69790"," petits capillaires sur la surface du vaisseau, il"
"69790","71330"," y a des protéines de surface. "
"71970","75050"," L'hyperglycémie chronique, comme ce que je vous"
"75050","78130"," ai expliqué par rapport à la macrangiopathie diabétique,"
"79330","82930"," il y a le taux de sucre élevé"
"82930","86590"," dans le sang et surtout l'hyperglycémie chronique"
"86590","89730"," va faire qu'il y aura une captation"
"89730","93030"," du glucose par les protéines de surface, ce"
"93030","96810"," qu'on appelle la glycation protéique qui sera"
"96810","99610"," responsable de l'augmentation de la synthèse du"
"99610","103210"," collagène et de l'activation d'une série"
"103210","107190"," de protéines, essentiellement la protéine kinase."
"107890","112290"," Ces modifications biochimiques vont favoriser l'action de"
"112290","113550"," facteurs de croissance."
"113550","120070"," Du coup, il y aura une surexpression des"
"120070","122550"," facteurs de croissance angiogénétiques. "
"123490","126750"," Il y aura une stimulation de la fabrication,"
"126930","130590"," si on peut dire, de nouveaux néo-petits"
"130590","131830"," vaisseaux."
"135740","139220"," Sur ce schéma, c'est plus clair, l "
"139220","144900","'hyperglycémie chronique va être responsable de la glycation"
"144900","148140"," des protéines de surface et la création, la"
"148140","151200"," formation de produits avancés de dégradation."
"153400","158500"," Cette glycation protéique a des effets délétères parce"
"158500","161540"," qu'elle est perçue comme une agression de"
"161540","164660"," la paroi endothéliale. "
"164880","168320"," Du coup, il y aura une stimulation de"
"168320","171240"," la sécrétion du collagène et une stimulation des"
"171240","174320"," facteurs de croissance locaux pour essayer de réparer"
"174320","180000"," ou pour essayer de switcher au blocage de"
"180000","183360"," ces petites artérioles par la glycation des protéines"
"183360","183980"," de surface."
"184860","186840"," Du coup, on aura une altération de la"
"186840","191340"," fonction endothéliale et une modification de la perméabilité"
"191340","194600"," et de l'élasticité de la paroi endothéliale"
"194600","198560"," à cause de la surexpression du collagène."
"200560","205560"," Alors, on a expliqué les mécanismes physiopathologiques sur"
"205560","207280"," le plan chimique et vous allez trouver que"
"207280","211280"," c'est intimement lié au phénomène histologique. "
"211720","214900"," Si on prend par exemple la rétine, alors"
"214900","215900"," qu'est-ce qui se passe ?"
"215900","220140"," Vous avez une souffrance endothéliale, une altération de"
"220140","224240"," la paroi endothéliale, vous avez une glycation des"
"224240","228720"," protéines, la altération de la paroi endothéliale bien"
"228720","234240"," sûr va causer l'apoptose des cellules parce"
"234240","235900"," qu'elles sont mal perfusées."
"236700","239660"," Donc, si on prend la rétine comme exemple,"
"240580","243320"," on a une apoptose des péricytes par altération"
"243320","246960"," endothéliale parce qu'elles sont mal vascularisées, mal"
"246960","247300"," nourries."
"248960","252140"," Donc, ces cellules de soutien enchâssées dans la"
"252140","255940"," rétine, dans la paroi des capillaires, vont communiquer"
"255940","260140"," avec les cellules endothéliales et donc, qu'est "
"260140","261140","-ce qui va se passer ?"
"261720","264380"," Il y aura une apoptose de ces péricytes,"
"264480","267300"," une prolifération, comme on a vu, des cellules"
"267300","268240"," endothéliales. "
"268860","270800"," Donc, il y aura des problèmes de tonus"
"270800","273980"," des capillaires rétiniens, des problèmes de perméabilité."
"274820","277540"," Donc, la paroi rétinienne, en fait des capillaires"
"277540","281620"," rétiniens, va devenir perméable et donc on aura"
"281620","283520"," des suffusions hémorragiques."
"287390","288910"," Au niveau du rein, c'est la même"
"288910","289370"," chose. "
"289910","291190"," Donc, c'est la même chose."
"291530","292590"," Qu'est-ce qui va se passer ?"
"292590","294970"," Donc, on a vu les phénomènes biochimiques."
"295450","296910"," On a vu qu'il y aura une"
"296910","299190"," glycation des protéines. "
"300650","305570"," Donc, la surexpression des produits de glycation avancée."
"306610","310630"," La production des facteurs angiogéniques locaux."
"311070","311930"," Donc, qu'est-ce qui va se passer"
"311930","312030"," ?"
"312030","314030"," Il y aura une synthèse accrue de la"
"314030","315370"," matrice cellulaire. "
"316100","320530"," Donc, on a vu dans les phénomènes extracellulaires"
"320530","323230"," la fabrication, la synthèse accrue du collagène."
"323390","326130"," Donc, il y aura un épaississement de la"
"326130","331570"," membrane basale glomérulaire, une expansion du mésangium."
"332170","334610"," Et donc, justement, à cause de ces phénomènes"
"334610","339030"," de glycation protéique, de la production des agents"
"339030","343010"," glyqués, des produits de glycation avancée comme on"
"343010","346710"," a vu sur le schéma tout à l "
"346710","346830","'heure. "
"351220","356680"," Donc, après l'explication biochimique et histologique de"
"356680","359300"," ces phénomènes de micro-angiopathie diabétique, on va"
