"start","end","text"
"710","4230"," Bonjour, aujourd'hui nous allons voir une nouvelle"
"4230","8890"," pathologie qui est intitulée la leucémie aiguë."
"9370","14410"," Les leucémies aiguës constituent une variété d'hémopathies"
"14410","20990"," malignes caractérisées par des proliférations monoclonales de cellules"
"20990","26770"," médulaires immatures appelées blastes, envahissant la moelle osseuse"
"26770","28250"," et parfois le sang."
"29030","33390"," Elles constituent un groupe hétérogène d'entités clinico "
"33390","37410","-biologiques qui peuvent toucher aussi bien les lignées"
"37410","41570"," myloïdes qu'on appelle leucémies aiguës myloblastiques ou"
"41570","46430"," LAM, ou les lignées lymphoïdes appelées leucémies aiguës"
"46430","48730"," lymphoblastiques ou LAM. "
"49730","53810"," Les leucémies aiguës sont caractérisées par un hiatus,"
"54270","57410"," c'est-à-dire un blocage de la"
"57410","59230"," lignée de maturation."
"60050","63390"," L'incidence globale des leucémies aiguës est de"
"63390","65630"," 3 à 100 000 habitants par an."
"66530","70330"," Les LAM représentent 80 % des LA de"
"70330","73630"," l'adulte et 20 % des leucémies aiguës"
"73630","74190"," de l'enfant. "
"74830","78470"," Leur incidence augmente avec l'âge et les"
"78470","82670"," LAM représentent 80 % des leucémies de l "
"82670","86230","'enfant et 20 % des leucémies aiguës de"
"86230","87510"," l'adulte."
"87630","90470"," Alors, sur le plan hétérogie, dans la grande"
"90470","93150"," majorité des cas, aucun facteur hétéologique n'est"
"93150","93650"," retrouvé."
"94310","98370"," Certaines maladies congénitales prédisposent à la survenue de"
"98370","101710"," leucémies aiguës comme la trisomie 21, la maladie"
"101710","104050"," de ponconie qui est une maladie associée à"
"104050","106870"," des anomalies de réparation de l'ADN. "
"108190","111310"," Et concernant les facteurs de risque acquis, c "
"111310","113930","'est-à-dire qui favorisent l'apparition de"
"113930","118130"," leucémies, on distingue l'exposition à des radiations"
"118130","122930"," ionisantes dans un contexte thérapeutique comme la radiothérapie,"
"122930","126570"," ou bien l'exposition à des médicaments cytotoxiques"
"126570","131070"," dont la cible principale est l'ADN, ou"
"131070","134350"," bien l'exposition à des agents toxiques comme"
"134350","138670"," les pesticides, les benzènes lors de manipulations de"
"138670","142410"," caoutchouc ou de pétrochimie, ou bien l'existence"
"142410","145190"," d'un syndrome myelodysplasique ou d'un syndrome"
"145190","150990"," myeloprolifératif qui sont des situations très leucémiques."
"150990","154190"," Donc à retenir, lorsqu'aucun facteur n'est"
"154190","157490"," identifié, la leucémie est dite secondaire."
"157990","160710"," C'est souvent une forme résistante au traitement"
"160710","162750"," de pronostics sombres. "
"163530","168730"," Alors sur le plan physiopathologique, une hématopoïèse normale"
"168730","174630"," nécessite la prolifération et la différenciation étroitement régulées"
"174630","179690"," de cellules-souches hématopoïétiques pluripotentes qui deviennent des"
"179690","183070"," cellules matures au niveau du sang périphérique."
"183810","187290"," La leucémie aiguë est le résultat d'événements"
"187290","192590"," néoplasiques survenant dans l'un des précurseurs hématopoïétiques."
"192590","196430"," Au lieu de proliférer et de se différencier"
"196430","201190"," normalement, la cellule affectée donne naissance à une"
"201190","205790"," descendance qui ne se différencie pas mais continue"
"205790","210350"," à se proliférer de façon incontrôlée. "
"210350","215010"," En conséquence, les cellules myéloïdes immatures dans la"
"215010","219850"," LAM ou les cellules lymphoïdes dans la LAL,"
"220070","223410"," qui sont aussi appelées les BLAST, s'accumulent"
"223410","228690"," rapidement et remplacent progressivement la moelle osseuse, ce"
"228690","232350"," qui diminue la production des globules rouges, des"
"232350","233870"," globules blancs et des plaquettes."
"234870","238230"," Cette perte de fonction de la moelle normale"
"238230","242170"," donne lieu aux complications cliniques courantes de la"
"242170","246230"," leucémie, à savoir l'anémie, l'infection et"
"246230","246910"," le saignement."
"247650","251650"," Avec le temps, les BLAST leucémiques passent dans"
"251650","256370"," la circulation sanguine et finalement occupent les ganglions"
"256370","260130"," lymphatiques, la rate et les autres organes vitaux. "
"260130","264550"," Non traité, la leucémie aiguë est rapidement fatale,"
"265010","268530"," la plupart des patients meurent dans quelques mois"
"268530","269850"," après le diagnostic."
"270990","275250"," Avec un traitement approprié, l'histoire naturelle de"
"275250","279550"," la leucémie aiguë peut être fortement modifiée et"
"279550","282090"," de nombreux patients peuvent être guéris."
"283190","287270"," Le tableau clinique d'une leucémie aiguë est"
"287270","290970"," varié et peut être en rapport avec une"
"290970","295150"," insuffisance médulaire comportant un syndrome animique, un syndrome"
"295150","297830"," infectieux et un syndrome hémorragique. "
"297830","301830"," Le malade peut, dans le cadre du syndrome"
"301830","305570"," animique, présenter une pâleur, asthémie, dyspnée."
"306250","310530"," Dans le cadre du syndrome infectieux, il peut"
"310530","315370"," présenter une fièvre avec angine, uséro, nécrotique ou"
"315370","317830"," bien des infections respiratoires."
"317830","322750"," Et dans le cadre du syndrome hémorragique, on"
"322750","326490"," peut observer un furtura, des épistaxies et des"
"326490","333930"," gingivoragies et éventuellement une coagulation intravasculaire disséminée ou"
"333930","334730"," CIVD. "
"334730","338710"," A retenir que les signes d'insuffisance médulaire"
"338710","342350"," peuvent être très marqués ou bien au contraire"
"342350","345950"," manquer complètement, selon l'état de l'hémogramme"
"345950","348930"," lors de la découverte de la maladie."
"349930","355030"," Donc on arrive maintenant au syndrome tumoral."
"355390","358770"," Donc le malade peut présenter soit des adénopathies,"
"358930","362790"," soit une scolomégalie, soit une hépatomégalie, soit l "
"362790","364890","'association des trois. "
"364890","370510"," Concernant le syndrome infiltratif, qui est en rapport"
"370510","375290"," avec une infiltration des cellules blastiques, le malade"
"375290","380830"," peut présenter une douleur osseuse, une mélingite blastique,"
"381170","386950"," une hypertrophie gingivale ou testiculaire ainsi que des"
"386950","387930"," lésions cutanées."
"388070","391570"," Donc tous les organes peuvent être infiltrés par"
"391570","393130"," les blastes leucémiques."
"394370","396110"," Attention, il y a un piège. "
"396910","400270"," Concernant les signes osseux de la leucémie aiguë"
"400270","403690"," chez l'enfant, il doit être bien connu"
"403690","407930"," par le praticien car il simule souvent un"
"407930","412670"," rhumatisme articulaire aiguë ou une ostéogamie aiguë ou"
"412670","414430"," une séquelle d'entorse."
"414430","418650"," Et le diagnostic est alors retardé, surtout si"
"418650","422090"," une corticothérapie à l'aveugle a été prescrite"
"422090","425710"," qui peut masquer provisoirement l'atteinte médulaire."
"426310","429250"," Donc jamais donner de corticoïdes chez un enfant"
"429250","432630"," qu'après avoir posé le bon diagnostic. "
"433350","437010"," La radiographie osseuse aussi trouvera dans la zone"
"437010","441810"," douloureuse des images en bandes claires visées."
"443170","447110"," La leucémie aiguë aussi peut être révélée lors"
"447110","451110"," d'une surveillance d'une hémopathie préexistante qui"
"451110","454550"," est susceptible d'évoluer vers une leucémie aiguë."
"455030","459210"," Ce sont les syndromes myeloprolifératifs comme la leucémie"
"459210","463310"," myeloïde chronique ou la polyglobuline de Parkes ainsi"
"463310","465030"," que les syndromes myelodysplasie. "
"465710","469830"," Donc ces trois syndromes peuvent évoluer vers une"
"469830","470870"," leucémie aiguë."
"471930","475470"," Quels sont maintenant les examens complémentaires qu'on"
"475470","481270"," devra pratiquer pour confirmer le diagnostic de leucémie"
"481270","482210"," aiguë ?"
"482470","484690"," Donc on commence toujours par l'examen le"
"484690","486770"," plus simple, c'est-à-dire l'hémogramme"
"486770","490490"," qui comporte l'annumération fondue sanguine et le"
"490490","491630"," frossis sanguin."
"491630","495090"," Donc il révèle le plus souvent une anémie"
"495090","500550"," normocitaire ou macrocitaire qui est régénérative, une thrombophilie,"
