"start","end","text"
"840","5100"," Bonjour, aujourd'hui nous allons aborder notre cours"
"5100","8880"," sur l'hémostase et qui est intitulé la"
"8880","12980"," coagulation intravasculaire disséminée ou CIVD."
"15000","22120"," La coagulation intravasculaire disséminée ou CIVD, appelée aussi"
"22120","27700"," syndrome de consommation, coagulopathie de consommation ou syndrome"
"27700","32360"," de défibrillation, c'est un syndrome anatomique, clinique"
"32360","38260"," et biologique compliquant certaines infections et provoquant un"
"38260","42880"," état d'hypercoagulabilité, des phénomènes hémorragiques et des"
"42880","44120"," défaillances d'organes."
"45020","47980"," C'est une grande urgence menaçant le pronostic"
"47980","48480"," vital. "
"49400","52440"," Elle est toujours la conséquence à une maladie"
"52440","53540"," sous-attente."
"53540","58180"," De ce fait, le traitement étiologique sera primordial"
"58180","62080"," et indispensable à la restauration d'une hémostase"
"62080","62680"," normale."
"71680","75020"," Les mécanismes physiopathologiques à l'origine de la"
"75020","76460"," CIVD sont multiples. "
"77400","79480"," Il y a un phénomène d'échappement au"
"79480","83060"," système de contrôle aboutissant à la production permanente"
"83060","86540"," de thrombines et à la formation en quantité"
"86540","88560"," excessive de fibrines."
"88560","94830"," La fibrinolyse secondaire entraîne la dégradation de fibrines,"
"95180","100280"," mais aussi du fibrinogène aggravant ainsi l'hypofibrinogénie."
"101060","103300"," Alors quels sont les facteurs déclenchants?"
"104060","106020"," Il peut y avoir soit des lésions tissulaires,"
"106160","107860"," c'est-à-dire que ces lésions tissulaires"
"107860","111460"," vont libérer dans la circulation des substances à"
"111460","116220"," activité thromboplastinique de type facteur tissulaire qui active"
"116220","120100"," la voie extrinsèque de la coagulation par la"
"120100","125200"," constitution de complexes facteurs tissulaires facteur 7 activés. "
"125980","129100"," Ce mécanisme peut être observé en cas de"
"129100","132780"," lésions de tissus riches en facteurs tissulaires, en"
"132780","136860"," particulier l'utérus, le poumon et la prostate,"
"137380","139480"," ou bien en cas de chirurgie portant sur"
"139480","140360"," ces organes."
"140360","144840"," Certaines pathologies aussi obstétricales comme l'hématome rétroplacentaire"
"144840","147100"," ou bien la rétention prolongée de morts et"
"147100","151980"," certaines néoplasies ou leucémie, certains traumatismes aussi, peuvent"
"151980","156540"," engendrer la même chose par le même mécanisme."
"157020","159580"," Et ce facteur tissulaire peut être aussi produit"
"159580","163320"," directement par des monocytes macrophages en réponse à"
"163320","168520"," certains stimuli comme les ontotoxines bactériennes ou bien"
"168520","169320"," des cytokines. "
"169320","172980"," Et ce mécanisme est particulièrement évoqué au cours"
"172980","177580"," des infections bactériennes à grammes négatifs comme le"
"177580","182520"," mélingocoque et certaines leucémies ou bien réactions transfusionnelles."
"182940","187440"," L'autre mécanisme concernant l'activation de la"
"187440","190920"," coagulation, donc la génération non contrôlée de thrombine"
"190920","195000"," in vivo entraîne la consommation des substrats naturels"
"195000","197640"," de la thrombine comme le fibrinogène, le facteur"
"197640","200960"," 5, le facteur 8, le facteur 13 et"
"200960","201580"," les plaquettes."
"202240","204820"," L'action de la thrombine sur le fibrinogène"
"204820","208200"," donne lieu à des monomères de fibrine soluble"
"208200","212140"," qui constituent un argument diagnostique très important en"
"212140","213940"," faveur de la CIVD. "
"214300","217180"," L'activation de la coagulation provoque donc des"
"217180","221200"," microcaillots qui peuvent entraîner une souffrance viscérale en"
"221200","223880"," particulier au niveau des reins, des poumons et"
"223880","228100"," du cerveau et parfois même une nécrose cutanée."
"229040","232780"," Donc la consommation des plaquettes et du fibrinogène"
"232780","235520"," est à l'origine de l'expression hémorragique,"
"235860","237420"," souvent au premier plan."
"238820","241940"," Concernant l'activation de la fibrinolise, celle-ci"
"241940","244580"," est habituellement modérée au cours des CIVD. "
"244580","247980"," C'est un processus réactionnel de défense bénéfique"
"247980","250700"," qui vise à débarrasser les vaisseaux des défauts"
"250700","255220"," de fibrine et donc à prévenir les défaillances"
"255220","256100"," d'organes."
"257300","260279"," Donc plusieurs étapes sont impliquées."
"260700","262640"," C'est la génération de thrombine qui est"
"262640","265760"," médiée par la voie du facteur tissulaire, la"
"265760","269780"," formation exagérée de fibrine et la défaillance des"
"269780","274660"," protéines des systèmes inhibiteurs comme l'antithrombine à"
"274660","277480"," protéine C et à protéine S, ainsi que"
"277480","281080"," le dysfonctionnement du système fibrinolithique. "
"281760","285980"," Le tableau clinique, ou plutôt les tableaux cliniques,"
"286200","290220"," sont variés en raison des circonstances pathologiques et"
"290220","293880"," biologiques diverses et de l'importance des troubles"
"293880","295260"," biologiques qu'elles entraînent."
"295880","299960"," Les complications hémorragiques sont assez facilement reconnues à"
"299960","304580"," l'inverse des complications thrombotiques dont le diagnostic"
"304580","305980"," est plus difficile à poser."
"307520","310580"," Donc on peut avoir plusieurs manifestations, en particulier"
"310580","314800"," des chocs, des manifestations hémorragiques et thrombotiques s "
"314800","315580","'associant parfois. "
"316500","319940"," Donc ce sont généralement des hémorragies cutanio-muqueuses"
"319940","322720"," à type de purpura, pétéchies, des bulles hémorragiques"
"322720","325300"," d'autant plus sévères qu'il existe une"
"325300","328340"," cause locale d'un saignement particulièrement en milieu"
"328340","330700"," chirurgical ou obstétrical."
"331180","335040"," Certains types de saignements orientent vers une CIVD,"
"335340","339640"," en particulier le saignement en nappe du champ"
"339640","343120"," opératoire ou des orifices des drains, des métroradios"
"343120","346040"," obstétricales, un saignement au niveau du point de"
"346040","350400"," ponction et des échymoses en cartographie, ainsi que"
"350400","353800"," des hématomes extensives à la suite d'une"
"353800","355100"," injection intramusculaire."
"356180","359340"," Les manifestations thrombotiques, par contre, sont liées aux"
"359340","361940"," dépôts de fibrines, aux agrégats plaquettaires et aux"
"361940","366160"," microthrombies et sont responsables de signes ischémiques périphériques"
"366160","371420"," atteignant tous les organes avec des troubles neurologiques,"
"371500","373980"," des troubles de conscience voire au coma, des"
"373980","379140"," lésions cutanées avec un purpura nécrotique, des ganglions"
"379140","381400"," des extrémités des membres du nez et des"
"381400","386600"," oreilles, une atteinte rénale avec oligurie voire anurie"
"386600","392740"," et insuffisance rénale, parfois une atteinte pulmonaire avec"
"392740","397620"," des troubles respiratoires voire des détresses respiratoires aiguës"
"398320","403160"," et même des atteintes digestives sont possibles à"
"403160","405900"," titre de lucérations aiguës ou hépatiques qu'on"
"405900","408520"," appelle syndromes de but qui arrivent. "
"409040","411140"," Alors, sur le plan biologique, il n'y"
"411140","414580"," a pas de test spécifique pour le diagnostic"
"414580","415360"," de CIVD."
"415680","418320"," Le diagnostic est retenu sur des troubles de"
"418320","421280"," némostase associés à un contexte éthiologique."
"422500","424920"," Le temps de céphaline et le temps de"
"424920","426900"," quick et le temps de thrombine sont allongés"
"426900","430440"," en raison de la diminution du taux des"
"430440","432760"," facteurs de la coagulation. "
"432760","437220"," Le taux de fibrinogène est diminué, il est"
"437220","441940"," inférieur généralement à 1 g par litre en"
"441940","445240"," présence d'un état inflammatoire ou d'une"
"445240","447040"," infection associée."
"447640","450340"," Il peut être parfois normal, par conséquence, il"
"450340","453880"," est intéressant d'interpréter les variations de son"
"453880","454120"," taux."
"455380","458780"," Alors, les autres paramètres, le chiffre des plaquettes"
"458780","461220"," est diminué, il est plus souvent inférieur à"
"461220","464560"," 50 000 par millimètre cube et la sévérité"
"464560","468420"," de la thrombopénie dépend du tableau clinique. "
"469100","472620"," Concernant le dosage factoriel, il montre une diminution"
"472620","475140"," des facteurs, en particulier le facteur 5 et"
"475140","475880"," le facteur 8."
"476500","479080"," Les facteurs 2, 7 et 10 sont peu"
"479080","479620"," diminués."
"480200","482560"," A noter aussi que le facteur 8 est"
"482560","486080"," parfois augmenté secondairement à l'inflammation fréquente dans"
"486080","488180"," ce contexte et peut rester normal à la"
"488180","488720"," phase initiale."
"492820","496440"," Les inhibiteurs physiologiques de la coagulation, comme on"
"496440","498360"," a dit tout à l'heure, l'antithrombine"
"498360","500440"," 3, le protéin C et le protéin S,"
"500960","503920"," sont diminués et leur taux varie en fonction"
"503920","507680"," de l'intensité du processus. "
"507960","511980"," Donc, concernant les complexes solubles qui correspondent à"
"511980","514860"," la combinaison des monomères de fibrinogène ou de"
"514860","518039"," la fibrine, ces complexes sont mis en évidence"
"518039","520140"," par le test à l'éthanol ou au"
"520140","521760"," sulfate de protamine."
"523100","526100"," Concernant l'activation de la fibrinolise, elle se"
"526100","529720"," manifeste par une élévation du taux des produits"
"529720","532400"," de dégradation de fibrine qu'on appelle PDF"
"532400","535380"," et des édimers qui sont aussi élevés."
"535620","539600"," Donc un taux d'édimer supérieur à 500"
"539600","543280"," microgrammes par litre est considéré pathologique. "
"544640","547400"," Un autre examen qu'on peut utiliser, c "
"547400","548700","'est ce qu'on appelle le temps de"
"548700","551040"," lise des oeufs globulines ou test de lise"
"551040","555460"," du caillot, mais il est de réalisation plus"
"555460","558720"," longue et il n'est généralement pas demandé"
"558720","563540"," en routine lors de la suspicion de CIVD."
"564280","568060"," La lise des oeufs globulines prend habituellement plus"
"568060","571140"," de 3 heures et en cas d'hyperfibrinolise,"
"571740","573780"," ce temps de lise des oeufs globulines est"
"573780","574780"," raccourci."
"575100","578960"," Donc important, les tests biologiques doivent impérativement être"
"578960","582420"," répétés pour apprécier l'évolution de la CIVD. "
"583940","587620"," Quelles sont les situations cliniques qui peuvent traiter"
"587620","591150"," à confusion avec la CIVD ?"
"591150","595430"," Donc on distingue la fibrinolise primitive aiguë, ce"
"595430","599470"," syndrome rare et secondaire à la libération massive"
"599470","601750"," d'activateurs du plasminogène."
"602910","606170"," Ce tableau peut être observé en chirurgie pulmonaire"
"606170","610510"," lourde ou bien aussi en cas de chirurgie"
"610510","612810"," de la prostate ou en cas d'anastomose"
"612810","618090"," portocale chez des patients présentant une insuffisance hépatocellulaire."
"618090","625430"," Notre diagnostic différentiel, c'est l'insuffisance hépatocellulaire. "
"625990","630290"," Donc le diagnostic différentiel entre insuffisance hépatocellulaire et"
"630290","634970"," CIVD est souvent difficile à faire, mais le"
"634970","639630"," contexte clinique permet de trancher et la thrombopignote"
"639630","643950"," servée lors de l'insuffisance hépatocellulaire est habituellement"
"643950","645170"," modérée."
"645170","648870"," De même, le dosage du facteur 8 est"
"648870","650370"," strictement normal."
"650990","654710"," Les étiologies des CIVD sont très diverses et"
"654710","658410"," peuvent être aussi bien médicales que chirurgicales. "
"659710","663410"," Et les principales causes sont surtout les infections"
"663410","668390"," sévères, notamment les infections à grammes négatives comme"
"668390","672290"," les mycéria meningitis ou bien les phalmonéoses, les"
"672290","676570"," infections à grammes positives comme les streptococcus pneumoniae,"
"677050","682110"," les infections virales sévères comme le cytomégalovirus, le"
"682110","689030"," VIH, les hépatites, certaines infections parasitaires, en particulier"
"689030","693110"," le plasmodium falciparum, qui est responsable du paludisme."
"693690","696110"," Et il y a aussi des infections fongiques"
"696110","699610"," comme l'aspergillose ou la candidose systémique qui"
"699610","702910"," peuvent entraîner un tableau de CIVD."
"704050","708830"," En second lieu, certaines situations obstétricales comme l "
"708830","712070","'hématome rétro-placentaire, la rupture utérine, l'ombole"
"712070","716050"," amniotique, l'apoxémie gravidique, l'éclampsie, la moulti "
"716050","719550","-placiforme, le placenta prévia, donc ce sont des"
"719550","727410"," situations obstétricales ou gynécologiques qui peuvent entraîner une"
"727410","729490"," coagulation travasculaire disséminaire. "
"730790","735950"," Certaines complications peuvent engendrer une CIVD."
"736770","740950"," La CIVD peut s'observer généralement au cours"
"740950","745110"," de toute chirurgie lourde, en particulier la chirurgie"
"745110","749710"," pulmonaire, la chirurgie cardiaque avec circulation extracorporelle, la"
"749710","751670"," chirurgie prostatique."
"751890","754790"," Dans toutes ces situations, elles peuvent entraîner une"
"754790","755390"," CIVD. "
"757270","761150"," Concernant les autres chirurgies possibles des CIVD, celles "
"761150","764150","-ci peuvent s'observer lors de lésions tissulaires"
"764150","767070"," massives, en cas de traumatisme majeur, en cas"
"767070","771010"," de bruit répandu, en cas d'ombole grasseuse"
"771010","775590"," aussi, et aussi elles peuvent s'observer en"
"775590","780030"," relation avec des hémolyses aiguës post-transfusionnelles, ou"
"780030","782610"," bien des hémolyses médicamenteux au cours d'une"
"782610","787370"," hémoglobinurie paroxystique nocturne, ou bien lors, par exemple,"
"787830","789370"," d'une drépanocytose."
"790230","793090"," A retenir que certains types de cancers ou"
"793090","796930"," leucémies peuvent entraîner la CIVD, et en particulier"
"796930","800910"," la leucémie aiguë promilocitaire qu'on appelle la"
"800910","802110"," LAM3."
"803010","805710"," Autrement, il y a d'autres étiologies comme"
"805710","808330"," les morsures de serpents et de vipères, les"
"808330","813170"," pancréatiques aiguës, les infections hépatiques, aiguës et chroniques,"
"813270","815290"," et le rejet de greffe qui peuvent être"
"815290","817250"," à l'origine de CIVD. "
"817750","819870"," Et il faut retenir que la CIVD n "
"819870","823230","'apparaît jamais seule, il faut toujours rechercher sa"
"823230","827190"," cause pour une prise en charge appropriée."
"828830","830970"," Quel est le traitement de la CIVD?"
"831230","833490"," On a dit que la CIVD est toujours"
"833490","835410"," la conséquence d'une autre pathologie."
"836270","838330"," Si la cause de la CIVD n'est"
"838330","841270"," pas évidente, il est indispensable de la rechercher,"
"841790","846330"," car le schéma thérapeutique à employer est avant"
"846330","848270"," tout le traitement de la cause. "
"848270","851830"," Parallèlement et suivant le degré de CIVD, on"
"851830","853890"," peut y adjoindre d'une part un traitement"
"853890","857590"," substitutif, d'autre part un traitement visant à"
"857590","859850"," empêcher l'activation de la coagulation."
"860910","862570"," Donc, le traitement de la cause, c'est"
"862570","862730"," quoi?"
"863010","865370"," Le traitement étiologique est aussi essentiel."
"866030","868750"," Le traitement de la CIVD sans un traitement"
"868750","871070"," visant l'étiologie est voué à l'échec. "
"871330","874010"," Il permet de réduire et parfois d'éliminer"
"874010","877570"," des sources de substances thromboplastiques ou de freiner"
"877570","880950"," l'activation de la voie intrinsèque."
"881470","884770"," Je donnerai l'exemple d'une évacuation rapide"
"884770","887970"," utérine qui permet de stopper la CIVD, le"
"887970","891430"," retrait d'une antibiotérapie aussi qui permet de"
"891430","892750"," stopper la CIVD."
"893430","895010"," Donc, ce traitement de la cause, on doit"
"895010","897910"," lui associer le traitement d'un éventuel état"
"897910","901910"," de choc qui comporte le répandissement d'une"
"901910","904170"," nouvelle limite d'efficace de la tension artérielle"
"904170","906950"," et la correction d'une éventuelle anémie ou"
"906950","908670"," d'une éventuelle acidose. "
"909190","911950"," L'épuration extra-rénale en cas d'insuffisance"
"911950","917350"," rénale aiguë peuvent être aussi indispensables dans certaines"
"917350","919750"," complications de la CIVD."
"920890","925690"," Le traitement substitutif qu'on peut administrer, donc,"
"925910","927750"," il est indiqué en cas de syndrome hémorragique"
"927750","931530"," grave avec confusion de culot globulaire en cas"
"931530","934650"," d'anémie, de concentré plaquetaire en cas de"
"934650","939410"," thrombopénie majeure ou bien de plasma frais congelé"
"939410","943030"," en cas d'effondrement du fibrinogène ou des"
"943030","944550"," facteurs de la coagulation."
"945550","949030"," Donc, le PPSV qui contient des facteurs activés"
"949030","950610"," de la coagulation, c'est-à-dire le"
"950610","954910"," facteur 7, 2, 10, 9, est contre-indiqué. "
"955730","957730"," Car, en effet, il ne contient ni facteur"
"957730","960090"," 5, ni facteur 8, ni inhibiteur de la"
"960090","960650"," coagulation."
"960650","965690"," Donc, l'apport du facteur PPSV va favoriser"
"965690","970350"," l'apparition de microthromboses, donc, aggraver la CIVD."
"970650","974470"," Donc, le PPSV est contre-indiqué en cas"
"974470","975830"," de CIVD. "
"978020","982520"," Concernant le traitement anticoagulant, théoriquement, ce traitement permet"
"982520","985340"," de stopper le processus de CIVD."
"986000","989100"," Cependant, il expose à une majoration du risque"
"989100","989530"," hémorragique."
"989530","992750"," Donc, ce traitement doit être préconisé chez les"
"992750","995550"," patients présentant une expression thrombotique. "
"996210","998870"," Et l'héparine est préconisé à des doses"
"998870","1001630"," faibles, entre 200 à 300 unités par kilo"
"1001630","1006290"," par jour d'héparine standard, en association avec"
"1006290","1008970"," un traitement substitutif."
"1009930","1014590"," Ou bien, on peut utiliser aussi des héparines"
"1014590","1017570"," de bon point moléculaire, qu'on appelle HBPM."
"1018490","1021310"," Donc, à des doses variantes entre 5000 jusqu "
"1021310","1022010","'à 10 000. "
"1022630","1025310"," Ce qu'il faut retenir de ce cours,"
"1025450","1028730"," c'est que la coagulation intravasculaire disséminée est"
"1028730","1032869"," un syndrome de défibrillation secondaire à l'activation"
"1032869","1033790"," de la coagulation."
"1034069","1037430"," La physiopathologie de la CIVD est liée à"
"1037430","1039690"," l'activation anormale de la coagulation."
"1040310","1043170"," Il en résulte une génération excessive de thrombies,"
"1043170","1046650"," une diminution de la concentration plasmatique de plusieurs"
"1046650","1050590"," facteurs de la coagulation, en particulier le fibrinogène,"
"1050950","1054430"," le dépôt de fibrine dans la microcirculation et"
"1054430","1057370"," l'activation du syndrome ou bien du système"
"1057370","1058610"," fibrinolytique. "
"1059410","1061730"," Donc, les principales causes de CIVD, c'est"
"1061730","1065190"," surtout les septicémies, les cancers, les pathologies obstétriques,"
"1065430","1068650"," la chirurgie lourde, les polythromatisées et les états"
"1068650","1069090"," de choc."
"1069090","1073050"," Le tableau clinique d'une CIVD peut associer"
"1073050","1077270"," aussi bien des manifestations hémorragiques que des manifestations"
"1077270","1078110"," thrombotiques."
"1078830","1082770"," Les anomalies biologiques d'une CIVD associent une"
"1082770","1087250"," thrombopénie, une hypofibrinogénémie, une diminution du facteur 5"
"1087250","1090110"," et du facteur 8, ainsi que la présence"
"1090110","1093070"," de complexes solides et de produits de dégradation"
"1093070","1095350"," de fibrine ou de délimère. "
"1096350","1099530"," Et les deux principaux diagnostics différentiels de la"
"1099530","1102750"," CIVD, c'est surtout la fibrinolyse aiguë primitive"
"1102750","1104850"," et l'insuffisance hépatocégaire."
"1105450","1108570"," Et concernant le traitement de la CIVD, c "
"1108570","1111150","'est le traitement de la cause qui est"
"1111150","1115210"," souvent indispensable et suffisant dans la majorité des"
"1115210","1115430"," cas. "
