"start","end","text"
"1100","5520"," Bonjour, on va voir le cours sur le"
"5520","7400"," diabète de l'enfant."
"10740","14760"," Le diabète sucré est défini comme un groupe"
"14760","19140"," de maladies métaboliques caractérisés par une hyperglycémie chronique"
"19140","22280"," dû à un défaut de sécrétion ou d "
"22280","23300","'action d'insuline."
"23920","27560"," Soit c'est un problème de destruction de"
"27560","31280"," cellules pancréatiques secrètes de l'insuline donc il"
"31280","33140"," y a un problème de sécrétion de cette"
"33140","37720"," insuline, soit la sécrétion est normale mais l "
"37720","41200","'action de l'insuline est défectueuse et donc"
"41200","44680"," elle est responsable d'une hyperglycémie chronique qui"
"44680","46020"," est définie sous diabète sucré. "
"47020","48880"," Le diabète de l'enfant est le plus"
"48880","53260"," souvent insulino-dépendant dans plus de 90%"
"53260","57940"," des cas et son incidence, surtout de type"
"57940","62440"," 1, est en croissance considérable, notamment chez le"
"62440","66220"," nourrissant et chez les enfants de 5-6"
"66220","67980"," ans et de 10-11 ans."
"69140","72100"," La prise en charge de ce diabète sucré"
"72100","77420"," est multidisciplinaire et doit être réévaluée à chaque"
"77420","80200"," fois pour un meilleur équilibre glycémique."
"80200","84440"," Le diabète insulino-dépendant chez l'enfant peut"
"84440","89360"," être inauguré par des complications aiguës graves, notamment"
"89360","93840"," l'acédocétose diabétique qui inaugure plus de 50 "
"93840","96460","% des diabètes chez l'enfant. "
"100110","103110"," Le diabète chez l'enfant est classé en"
"103110","104970"," différents types."
"104970","107490"," Nous avons dit que le diabète de type"
"107490","108750"," 1 est le plus fréquent."
"109810","113810"," Il constitue plus de 90% des diabètes"
"113810","114430"," de l'enfant. "
"115250","117570"," Il est dû à une destruction auto-immune"
"117570","121670"," des cellules pancréatiques qui est responsable d'une"
"121670","122970"," carence en insuline."
"124150","125710"," Il y a le diabète de type 2."
"126450","128990"," C'est l'équivalent du diabète de type"
"128990","129970"," 2 de l'adulte."
"129970","134370"," Il est secondaire à une insuline résistance qui"
"134370","137070"," peut être associée à un déficit relatif à"
"137070","137510"," l'insuline. "
"138070","140410"," Pour le diabète de type 2, il y"
"140410","142310"," a une population à risque qui sente les"
"142310","143270"," enfants obèses."
"143850","147230"," Vous savez que dernièrement, on assiste à une"
"147230","151570"," recrudescence de l'obésité chez la population pédiatrique"
"151570","153390"," et qu'elle les expose à ce type"
"153390","153950"," de diabète."
"155010","156290"," Il y a d'autres types de diabète"
"156290","157190"," qui sont moins fréquents. "
"157190","160930"," Il y a le diabète maudit, le diabète"
"160930","165770"," mitochondrial, le diabète neonatal et le diabète de"
"165770","166270"," la mucoviscidose."
"169530","171330"," Le diabète maudit, ou ce qu'on appelle"
"171330","175890"," la maturity onset diabetes of the young, c "
"175890","177830","'est un problème génétique."
"178190","180210"," C'est un défaut génétique de fonctionnement de"
"180210","181010"," la cellule bêta. "
"182050","184970"," Ce défaut génétique est responsable d'une anomalie"
"184970","187270"," de la régulation de la sécrétion d'insuline."
"187270","190290"," Il n'y a pas de signe d "
"190290","191010","'auto-immunité."
"191150","192750"," Vous savez que dans le diabète de type"
"192750","195730"," 1, on peut trouver des auto-anticorps qui"
"195730","199070"," sont dirigés contre l'insuline, contre les îlots,"
"199190","200250"," contre les cellules, etc. "
"200970","202710"," Mais dans le diabète maudit, il n'y"
"202710","204050"," a pas d'auto-immunité."
"204290","207530"," C'est un défaut génétique de fonctionnement de"
"207530","209370"," la cellule bêta qui est responsable de la"
"209370","210230"," sécrétion d'insuline."
"211050","214370"," Ce diabète constitue 2 à 5% des"
"214370","216610"," diabètes non-insulino-prives de l'enfant. "
"217410","220410"," Il survient chez l'enfant et l'adolescent."
"220790","222410"," En général, c'est un diabète qui se"
"222410","224990"," déclare avant 25 ans de vie."
"226030","228610"," Et on trouve souvent une histoire familiale parce"
"228610","231410"," que c'est un diabète à transmission autosomique"
"231410","232550"," dominante. "
"235800","237960"," Comment on suspecte un autre type de diabète"
"237960","238240"," ?"
"238240","240640"," C'est quand on a une histoire familiale."
"240640","243880"," Soit de diabète avec transmission autosomique dominante."
"244900","246980"," Quand on a d'autres signes associés comme"
"246980","249940"," la surdité, la trophie optique ou d'autres"
"249940","250640"," anomalies chromosomiques. "
"251660","253880"," Ou quand on a une résistance marquée à"
"253880","255959"," l'insuline ou un besoin faible ou nieux"
"255959","256519"," dans l'insuline."
"257120","259660"," Ça, c'est le cas du diabète maudit."
"260320","262360"," Le diabète maudit, quand il se déclare et"
"262360","264180"," on démarre l'insuline, on assiste à des"
"264180","265620"," hypoglycémies très importantes. "
"265620","269640"," C'est un diabète qui ne nécessite pas"
"269640","273120"," une dose très importante d'insuline."
"273220","274960"," Quand on démarre l'enfant, on fait des"
"274960","275640"," hypoglycémies."
"276160","278120"," Et donc, on se pose la question sur"
"278120","280740"," le caractère auto-aimant de ce diabète. "
"280840","282620"," On fait des anticorps, on les trouve négatifs."
"283200","285660"," Et on essaie de faire l'étude génétique"
"285660","289120"," pour confirmer le diabète maudit."
"291440","297100"," Notre cours consistera surtout sur le diabète insulino "
"297100","298920","-dépendant de l'enfant, puisque c'est le"
"298920","299440"," plus fréquent. "
"304400","307800"," La physiopathologie de ce diabète, comme on l "
"307800","311380","'a dit, est due à une destruction auto "
"311380","314560","-immune des cellules pancréatiques sécrétrices d'insuline."
"315080","316840"," Et donc, il y aura un déficit en"
"316840","317180"," insuline."
"317180","322320"," Et ce déficit en insuline, il est responsable"
"322320","325230"," du lipolyse. "
"326200","327860"," Quand on n'a pas d'insuline, normalement,"
"328060","329160"," il sert à quoi ?"
"329160","333120"," Il sert à prendre le glucose au niveau"
"333120","335760"," sanguin et le fait d'entrer à l "
