"start","end","text"
"580","6020"," Les carences nutritionnelles chez l'enfant sont importantes."
"8420","9900"," Il y a des carences d'apport en"
"9900","12520"," énergie et en protéines, c'est ce qu "
"12520","14900","'on appelle le marasme de cochon, le cochon"
"14900","18220"," record qu'on voit moins ces dernières années."
"19340","21600"," Mais ce qui est important ces dernières années,"
"21720","24100"," c'est les carences en micronutriments, notamment les"
"24100","25220"," vitamines et le fer. "
"26000","29940"," Le diagnostic d'une carence nutritionnelle se repose"
"29940","33160"," sur l'enquête diététique et les mesures anthropométriques"
"33160","36420"," et la mortalité dans les grandes carences protéino "
"36420","40200","-énergétiques se fait par l'époglycémie, l'épocalymie"
"40200","43060"," et les infections, d'où l'intérêt de"
"43060","44120"," la prévention."
"44880","48980"," Il faut encourager l'allaitement maternel et encourager"
"48980","52620"," la poursuite de l'allaitement maternel jusqu'à"
"52620","54720"," l'âge de 2 ans pour éviter ces"
"54720","56200"," carences nutritionnelles."
"56820","60140"," Un petit rappel sur les besoins physiologiques et"
"60140","61580"," les besoins nutritionnels de l'enfant. "
"62340","66480"," Les besoins quantitatifs en eau sont de 120"
"66480","68060"," ml par kg par jour chez le nouveau "
"68060","70500","-né et diminuent progressivement avec l'âge."
"71360","75180"," Les besoins énergétiques varient de 120 à 90"
"75180","77060"," calories par jour en fonction de l'âge."
"78020","82380"," Les protéines doivent représenter 10 à 12 %"
"82380","87300"," de l'apport énergétique et jusqu'à 6"
"87300","88940"," mois, on a besoin de 2,2 g"
"88940","91120"," par kg par jour entre 6 mois et"
"91120","91540"," 3 ans. "
"92020","93620"," On a besoin de 2 g par kg"
"93620","94340"," par jour."
"95260","99800"," Pour les besoins qualitatifs, les acides aminés indispensables"
"99800","104260"," apportés par les protéines animales doivent constituer au"
"104260","106680"," moins 30 % de l'alimentation."
"107720","111460"," Les sels minéraux doivent être contenus dans l "
"111460","114680","'alimentation, notamment le potassium, le magnésium, le sélimium,"
"114740","117260"," le zinc, ce qu'on appelle les micronutriments"
"117260","118020"," essentiels. "
"118740","122240"," Les vitamines, en particulier la vitamine A, doivent"
"122240","124080"," être contenues dans l'alimentation de l'enfant."
"124760","128160"," Le fer et les folates sont importants pour"
"128160","130400"," la croissance de l'enfant et leur carence"
"130400","133380"," entraîne des dégâts très importants."
"134280","136760"," Quelle est la physiopathologie de la malnutrition protéine"
"136760","138260"," énergétique ?"
"138260","140660"," Quand on est malnutrit, il y a une"
"140660","142920"," malnutrition, ça veut dire que l'apport énergétique"
"142920","146220"," ou l'apport en protéines est inférieur aux"
"146220","146680"," besoins. "
"147340","149740"," Il y a un déficit des masses musculaires"
"149740","150680"," et graisseuses."
"151580","152780"," Il y a une augmentation de l'eau"
"152780","156200"," totale et du capital sodé avec une diminution"
"156200","157340"," du capital potassium."
"158240","161420"," Une absorption intestinale et les fonctions rénales sont"
"161420","162820"," réduites. "
"164200","166820"," La capacité du foie à synthétiser les protéines"
"166820","168740"," et éliminer les toxines est limitée."
"169600","174680"," Et les carences en nutriments essentiels sont toujours"
"174680","179940"," accompagnées de ces carences nutritionnelles, notamment le fer,"
"180040","181060"," le zinc et le cuivre."
"183260","185400"," Il y a une diminution du renouvellement et"
"185400","188020"," de la synthèse des protéines qui ont des"
"188020","190860"," conséquences nocives sur l'organisme. "
"195160","197260"," Dans les malnutritions, il y a une diminution"
"197260","199060"," de la synthèse de l'albumine et donc"
"199060","200620"," une épopalbuminémie."
"201940","206380"," Une diminution de la synthèse des enzymes qui"
"206380","209660"," est responsable d'une malabsorption intestinale et ce"
"209660","211460"," qui va donner une diarrhée chronique qui va"
"211460","214020"," encore aggraver la situation clinique de l'enfant"
"214020","214800"," malnutri."
"215800","219500"," Cet enfant malnutri a une diminution du potentiel"
"219500","223540"," immunitaire et est donc exposé aux infections. "
"223540","227260"," Que dit malnutrition protéine énergétique?"
"227560","228180"," Que dit infection?"
"228520","230680"," Et que dit infection à répétition?"
"230960","234280"," Cela expose aux malnutritions protéines énergétiques."
"236540","244140"," Le premier cas de malnutrition protéine énergétique est"
"244140","249360"," le marasme qui se manifeste chez un enfant"
"249360","254460"," inférieur à un an qui a une insuffisance"
"254460","260120"," nutritionnelle globale avec un déficit pandéral majeur avec"
"260120","262220"," une limitation de la croissance staturale."
"262860","265060"," Cet enfant va présenter une faute musculaire et"
"265060","269040"," graisseuse importante et la facesse de vieillard avec"
"269040","270000"," une boule de bicha. "
"270960","272820"," Un appétit qui est conservé."
"272940","275300"," C'est un enfant qui est affamé, très"
"275300","278460"," actif et qui ne présente pas d'œdème"
"278460","281480"," ni éruption ni trouble de la pigmentation."
"282220","285260"," Regardez un enfant qui a un marasme. "
"286020","286840"," La même chose."
"287020","290100"," Regardez la boule de bicha sur le visage"
"290100","290680"," de l'enfant."
"292180","294560"," Le cochercore est le deuxième type d'alimentation"
"294560","298380"," protéine énergétique grave et qui survient chez un"
"298380","301480"," nourrisson de 18 mois à 2 ans qui"
"301480","305260"," présente des œdèmes généralisés, une rétention d'eau"
"305260","306060"," et de sodium. "
"306980","309360"," C'est des enfants qui sont tout le"
"309360","312140"," temps anorexiques et ce qui fait entraver la"
"312140","313060"," réhabilitation nutritionnelle."
"315760","317960"," Et ils présentent des troubles de comportement, une"
"317960","319280"," tristesse, apathie."
"320180","322660"," Un enfant indifférent, héritable, qui ne joue plus. "
"323860","325560"," Regardez les œdèmes chez un enfant malnutrié."
"327020","328420"," C'est un enfant qui présente aussi des"
"328420","331880"," altérations cutanées, trouble de la pigmentation cutanée, une"
"331880","335680"," muqueuse atrophiée et fragile avec une tinte défanère,"
"335680","338680"," des cheveux fragiles et des angles striés."
"339800","342400"," Des infections multiples à Piogène ou à Candida. "
"343240","344940"," Toute altération de l'état général doit faire"
"344940","346380"," suspecter un sepsis."
"348380","351920"," Si vous voyez un enfant qui est malnutrié"
"351920","354360"," et qui ne va pas bien, il faut"
"354360","357940"," démarrer une biantibiothérapie pour traiter un sepsis parce"
"357940","359120"," que c'est des enfants qui ne font"
"359120","361300"," pas de fièvre, qui ne font pas de"
"361300","364080"," CRP élevé et donc toute altération de l "
"364080","366000","'état général doit faire suspecter un sepsis."
"366000","368140"," C'est des enfants qui ont aussi des"
"368140","372160"," troubles digestifs qui vont aggraver la malnutrition, diarrhévomisme"
"372160","375000"," ébanoui abdominal et une hypothermie. "
"375820","380360"," Regardez un enfant très abattu, avec des troubles"
"380360","382340"," de comportement, qui a des œdèmes."
"382500","384320"," C'est une malnutrition type Coachercore."
"385600","388100"," En conclusion, le marasme est dû à une"
"388100","390480"," carence d'apport global par abondance de l "
"390480","393840","'habitement maternel, alors que le Coachercore est dû"
"393840","395880"," à une carence d'apport en protéines et"
"395880","398400"," une carence spécifique en acédamines. "
"400440","403360"," Les carences en micronutriments sont variables."
"403960","405460"," Il y a la carence en vitamine A"
"405460","409300"," qui peut entraîner une xérophthalmie, une sécheresse oculaire"
"409300","415540"," de la conjonctive et qui peut aller à"
"415540","417020"," l'opacité de la cornée."
"417800","421560"," Des formes frustes sont découvertes à l'examen"
"421560","425040"," à la non-parfumante et qui posent un"
"425040","429920"," problème de xérophthalmie, atrophie et la sécheresse des"
"429920","430560"," conjonctives. "
"431340","433560"," À la langue, l'enfant va développer une"
"433560","436380"," keratomalacie, c'est une inflammation profonde de la"
"436380","439420"," cornée entraînant progressivement la dégénérescence de la cornée"
"439420","440200"," et la cécité."
"441640","443520"," Pour la carence en fer, il touche la"
"443520","445140"," moitié des enfants de 6 mois à 36"
"445140","448820"," mois et les causes sont la mauvaise diversification,"
"449600","453040"," faible consommation du fer héménique, l'arrêt précoce"
"453040","455960"," de l'allaitement maternel, l'utilisation du lait"
"455960","459100"," de vache entier non enrichi en fer et"
"459100","463080"," cette carence favorise les infections parce qu'il"
"463080","464680"," y a une fragilité des muqueuses et une"
"464680","465980"," diminution de l'immunité."
"466740","468400"," Il y a aussi la carence en iodes"
"468400","470940"," qui est très fréquente et qui entraîne un"
"470940","472820"," crétinisme épothéroïdien. "
"473400","475300"," C'est une première cause de retard intellectuel"
"475300","478540"," évitable et qui est responsable de mortalité infantile."
"480000","484360"," Alors, on a dit que les carences nutritionnelles"
"484360","489180"," sont diagnostiquées sur l'enquête diététique et les"
"489180","490320"," indices anthropométriques."
"490840","493180"," L'enquête diététique, c'est la quantité et"
"493180","496620"," la qualité des aliments donnés à l'enfant"
"496620","498820"," et bien sûr, il faut compéter par les"
"498820","503660"," indices anthropométriques pour diagnostiquer une malnutrition. "
"504360","505340"," Il y a ce qu'on appelle l "
"505340","506640","'indice poids A, c'est le poids de"
"506640","508640"," l'enfant mesuré sur le poids médian des"
"508640","510880"," enfants de la population de référence et il"
"510880","512240"," est exprimé en pourcentage."
"519260","522179"," Alors, ça permet de classer en classification de"
"522179","522620"," gomèse."
"523039","527220"," Donc, on parle de dénutrition grave si l "
"527220","531100","'enfant a un indice de gomèse à 60%. "
"531820","534180"," L'indice taille H, la taille de l "
"534180","536880","'enfant, en fonction de son âge, il met"
"536880","538980"," en évidence un retard de croissance et il"
"538980","542500"," traduit une malnutrition chronique parce que dans les"
"542500","544280"," malnutritions, il y a d'abord le poids"
"544280","546120"," qui est touché puis la taille après."
"547000","549360"," Et l'indice poids taille, il exprime le"
"549360","551320"," poids d'un enfant par rapport à sa"
"551320","553840"," taille et il traduit une maigreur."
"555080","557340"," Et l'indice de Waterloo, c'est l "
"557340","561060","'évaluation du poids par rapport au poids attendu"
"561060","562340"," pour la taille. "
"562880","567060"," Et on parle de dénutrition ou malnutrition sévère"
"567060","569940"," quand l'indice de Waterloo est inférieur à"
"569940","572220"," 85%."
"573600","579040"," Ça, c'est une démonstration comment on calcule"
"579040","580480"," l'indice de Waterloo."
"582000","584740"," L'indice de masse corporelle, c'est le"
"584740","587340"," poids sur la taille au carré. "
"587620","589760"," Il est supérieur ou égal à 18,5."
"590840","593420"," Il dit normal si il est supérieur ou"
"593420","594980"," égal à 18,5."
"595580","597660"," Et il y a un déficit sévère si"
"597660","598860"," il est inférieur à 16. "
"599160","602680"," L'indice de masse corporelle n'exprime pas"
"602680","606200"," que l'obésité mais aussi la dénutrition."
"607800","610360"," Le périmètre brachial aussi est un indice important"
"610360","614920"," pour exprimer ou pour confirmer une malnutrition tout"
"614920","617300"," en sachant qu'elle est faussée quand il"
"617300","618240"," y a des œdèmes."
"618880","623520"," Et le périmètre brachial normal, il est supérieur"
