"start","end","text"
"780","2800"," Chers étudiants, bonjour."
"3740","7060"," Aujourd'hui, on va voir notre troisième cours."
"7680","13040"," Un cours très intéressant concernant les infections bactériennes"
"13040","13900"," du nouveau-nombre. "
"15960","20360"," Les objectifs de ce cours sont connaître, l "
"20360","22840","'étudiant doit connaître les principaux gerbes responsables de"
"22840","26020"," l'infection neonatale précoce ou tardive."
"26020","29900"," Il doit évoquer le diagnostic de l'infection"
"29900","34920"," neonatale à partir des signes anamnistiques, demander le"
"34920","38300"," bilan biologique et bactériologique adapté à chaque situation,"
"39600","43500"," et bien sûr, conduire un traitement probabiliste adapté."
"46250","49130"," Le plan que nous allons suivre, on va"
"49130","53970"," faire une introduction, on va parler de l "
"53970","57990","'intérêt de connaître les principaux facteurs de l "
"57990","61750","'infection neonatale, les risques de mortalité et morbidité,"
"61970","63830"," on va parler de la pathogénie et l "
"63830","68550","'épidémiologie, comment réaliser, comment faire un diagnostic positif,"
"69410","73310"," comment réaliser un diagnostic de localisation, le traitement,"
"73590","75610"," et on va faire une conclusion à la"
"75610","76210"," fin de ce cours. "
"77650","81390"," Les infections bactériennes neonatales sont fréquentes."
"82590","84670"," A peu près 2% des licences vivantes"
"84670","87590"," présentent une infection neonatale précoce."
"88270","90110"," Elles sont graves, pourquoi graves?"
"90290","93070"," Parce que le diagnostic n'est pas évident. "
"93870","97630"," Le diagnostic le plus souvent est sous-estimé"
"97630","104470"," à cause d'une mauvaise anamnèse réalisée par"
"104470","108030"," le médecin ou bien parce qu'il y"
"108030","111510"," a d'autres signes qui peuvent désorienter le"
"111510","112130"," praticien."
"112290","115470"," Pour cela, on va voir quels sont les"
"115470","117950"," éléments anamnétiques sur lesquels nous devons chercher."
"118570","121110"," Quand le test, il faut demander les examens"
"121110","126890"," biologiques, à quel durée après l'accouchement, le"
"126890","129509"," premier bilan à réaliser, le deuxième bilan, et"
"129509","133510"," quels sont les signes biologiques qui peuvent orienter"
"133510","134170"," vers une infection. "
"134170","137010"," Les infections neonatales sont fréquentes ou tardives."
"137990","142370"," Nous n'allons pas parler des infections spécifiques,"
"142630","146710"," comme la sépilchélose, la syphilis, le tétanos et"
"146710","147750"," les ombres et phytopathies."
"150400","153620"," Les infections neonatales, c'est un problème de"
"153620","155100"," santé publique mondiale. "
"155880","156040"," Pourquoi?"
"156700","159120"," Parce que 1,5 million de décès par"
"159120","161200"," an dans le monde sont causés par l "
"161200","162520","'infection neonatale."
"162520","165840"," C'est la première cause de mortalité neonatale"
"165840","167260"," dans les pays en voie de développement."
"167540","171120"," Par exemple, à Marrakech, il représente 30%"
"171120","174220"," de la mortalité chez le nouveau-né et"
"174220","177640"," 15% de la mortalité chez les enfants"
"177640","180220"," hospitalisés à l'hôpital d'enfants. "
"182200","183760"," Pourquoi cette mortalité est-elle très importante?"
"183840","185880"," Tout simplement, on a dit à l'introduction"
"185880","188680"," qu'il y a un polymorphisme clinique et"
"188680","192400"," parfois l'infection est masquée par d'autres"
"192400","193960"," choses ou bien il n'y a pas"
"193960","196240"," de diagnostic à temps et le nouveau-né"
"196240","197980"," va venir deux jours, trois jours après."
"198580","202480"," Donc la naissance dans un état septicémique clinique"
"202480","202880"," grave."
"204120","209140"," Les infections systémiques à bactérologie négative représentent 90 "
"209140","210180","% des cas. "
"210340","211820"," Ça veut dire que nous allons faire des"
"211820","214220"," hémocultures et malheureusement, on ne va pas trouver"
"214220","215040"," un germe."
"215160","217720"," Donc c'est un autre argument qui doit"
"217720","220300"," nous insister à faire attention pour ne pas"
"220300","221820"," rater le diagnostic clinique."
"221820","224480"," Le diagnostic d'une infection neonatale, qu'il"
"224480","225980"," soit tardive ou précoce. "
"227200","229000"," Si pour cela, nous allons parler de l "
"229000","231780","'interdit de paramètres biologiques, quels sont les éléments"
"231780","234360"," clés qui vont nous aider et bien sûr,"
"234820","237480"," comment rationaliser l'antibiotique à la péché du"
"237480","237880"," nouveau-né."
"239020","245920"," Donc vous voyez sur ce graphique que 25%,"
"245920","247880"," ça veut dire un quart de la mortalité"
"247880","252640"," chez l'enfant, moins de 5 ans, elle"
"252640","256500"," est secondaire à une infection neonatale."
"258589","260630"," Qu'il y ait cause de mortalité, ça"
"260630","262150"," veut dire que nous allons faire, que nous"
"262150","264710"," devons faire beaucoup d'efforts pour réduire ce"
"264710","267350"," taux de mortalité parce qu'on peut le"
"267350","270690"," réduire si on est vigilant par rapport aux"
"270690","273490"," situations du nouveau-né à risque. "
"276610","280310"," Il y a des modes de contamination."
"281190","284410"," On parle de l'infection neonatale précoce lorsque"
"284410","286430"," l'âge du nouveau-né est inférieur à"
"286430","286850"," 30 ans."
"287910","291910"," Bien sûr, la voie hématogène transplaçantaire est la"
"291910","296710"," première voie de contamination de l'infection neonatale. "
"297130","300030"," Suivie par la voie ascendante, donc s'il"
"300030","301610"," a une vaginite, s'il a une amniotite"
"301610","304750"," chez la maman, il peut causer une infection"
"304750","306310"," neonatale précoce."
"307610","310390"," Rarement lors d'un accouchement, parce que le"
"310390","313270"," passage dans la filière génitale, il est tellement"
"313270","316110"," rapide pour causer une infection neonatale, mais c "
"316110","317250","'est très, très, très rare."
"318350","322550"," Quels sont les germes qui peuvent infecter le"
"322550","323770"," nouveau-né ?"
"323770","326210"," Il y a le streptococcus B dont on"
"326210","329330"," parle, l'infection neonatale précoce, dans 40%"
"329330","329810"," des cas. "
"331370","332290"," Pourquoi ?"
"332290","334770"," Parce que le 1,4 des femmes enceintes"
"334770","336610"," sont colonisées par ce germe."
"337110","341130"," Et dans les voies développées, on réalise systématiquement"
"341130","345610"," un prélèvement vaginal, un diagnostic rapide pour voir"
"345610","350390"," si la femme a un portage de streptococcus"
"350390","350590"," B."
"350910","352470"," S'il a un portage de streptococcus B,"
"352510","354950"," nous devons faire attention après la licence du"
"354950","358230"," nouveau-né, avec un examen clinique, bien sûr,"
"358630","361390"," rigouront, mais avec une surveillance très, très, très"
"361390","363430"," importante s'il n'y a pas de"
"363430","365090"," signe d'infection."
"366310","370870"," L'infection neonatale précoce ou tardive peut être"
"370870","374110"," secondaire à ce streptococcus. "
"374730","376130"," Il y a un autre germe de l "
"376130","378670","'infection neonatale précoce, c'est l'échelle échiopouline."
"379570","380670"," Il y a d'autres vacilles de gramme"
"380670","382330"," négative, mais c'est l'échelle échiopouline."
"382330","385210"," Les deux principaux germes de l'infection neonatale"
"385210","388570"," précoce sont le streptococcus B et l'échelle"
"388570","389030"," échiopouline. "
"393300","396320"," Ils sont les facteurs qui rendent compte de"
"396320","399720"," la contamination du nouveau-né lors de la"
"399720","400700"," passage par l'infirmière."
"401480","403640"," Il y a d'abord le niveau de"
"403640","409380"," défense immunitaire qui est faible à cause de"
"409380","413160"," l'immaturité du système immunitaire et plus immatures"
"413160","415060"," sur le nouveau-né prématuré que le nouveau "
"415060","415660","-né à terme."
"416460","417900"," Le nouveau-né prématuré, c'est un nouveau "
"417900","420520","-né qui est né avant 37 semaines d "
"420520","420780","'amoré. "
"421780","424860"," Le caractère pathogène du germe est sa virilence"
"424860","427420"," parce que si le germe est méchant, bien"
"427420","434000"," sûr on va voir des signes cliniques de"
"434000","434620"," l'infection."
"434620","437100"," S'il y a un caractère qui est"
"437100","439840"," peu pathogène, il y a donc des signes"
"439840","442220"," qui sont minimes et parfois c'est le"
